SG 553,崭新出厂,纪念品,779170,SG 553（纪念品） | 浪花穿孔,1,9998.5,1020.02,0.1,2024-06-17
SG 553,战痕累累,StatTrak™,39526,SG 553（StatTrak™） | 致命紫罗兰,8,199.5,201.32,1.01,2024-06-17
SG 553,略有磨损,普通,762217,SG 553 | 意式拉力,849,191.5,254.72,1.33,2024-06-17
SG 553,破损不堪,StatTrak™,39530,SG 553（StatTrak™） | 致命紫罗兰,11,179.5,200.23,1.12,2024-06-17
SG 553,略有磨损,普通,36509,SG 553 | 致命紫罗兰,70,175.98,224.9,1.28,2024-06-17
SG 553,略有磨损,StatTrak™,39529,SG 553（StatTrak™） | 致命紫罗兰,78,168.5,216.92,1.29,2024-06-17
SG 553,战痕累累,普通,871465,SG 553 | 沙漠之花,4,168.38,162.0,0.96,2024-06-17
SG 553,破损不堪,普通,36510,SG 553 | 致命紫罗兰,20,163.96,216.12,1.32,2024-06-17
SG 553,久经沙场,StatTrak™,39528,SG 553（StatTrak™） | 致命紫罗兰,66,160.25,210.39,1.31,2024-06-17
SG 553,久经沙场,普通,36508,SG 553 | 致命紫罗兰,42,157.89,205.6,1.3,2024-06-17
SG 553,战痕累累,普通,36506,SG 553 | 致命紫罗兰,15,156.5,209.01,1.34,2024-06-17
SG 553,略有磨损,纪念品,38003,SG 553（纪念品） | 浪花穿孔,11,144,165.63,1.15,2024-06-17
SG 553,崭新出厂,普通,871156,SG 553 | 沙漠之花,62,117.98,157.79,1.34,2024-06-17
SG 553,破损不堪,普通,871676,SG 553 | 沙漠之花,4,117.5,230.7,1.96,2024-06-17
SG 553,略有磨损,普通,871376,SG 553 | 沙漠之花,29,116.9,149.74,1.28,2024-06-17
SG 553,久经沙场,StatTrak™,775762,SG 553（StatTrak™） | 四号栖息地,51,115.48,154.74,1.34,2024-06-17
SG 553,久经沙场,普通,871200,SG 553 | 沙漠之花,25,115.4,149.59,1.3,2024-06-17
SG 553,略有磨损,普通,774978,SG 553 | 四号栖息地,115,109.5,160.55,1.47,2024-06-17
SG 553,崭新出厂,普通,36497,SG 553 | 旅行者皮革,15,109,126.31,1.16,2024-06-17
SG 553,崭新出厂,普通,36473,SG 553 | 鳄鱼网格,20,107.38,129.28,1.2,2024-06-17
SG 553,略有磨损,StatTrak™,43931,SG 553（StatTrak™） | 次时代,109,101.5,139.0,1.37,2024-06-17
SG 553,破损不堪,普通,36476,SG 553 | 鳄鱼网格,3,98.9,154.74,1.56,2024-06-17
SG 553,崭新出厂,普通,36512,SG 553 | 浪花喷漆,8,94.69,246.16,2.6,2024-06-17
SG 553,略有磨损,普通,36475,SG 553 | 鳄鱼网格,10,93.81,116.15,1.24,2024-06-17
SG 553,略有磨损,普通,36494,SG 553 | 狂哮飓风,8,92.5,113.97,1.23,2024-06-17
SG 553,破损不堪,纪念品,38004,SG 553（纪念品） | 浪花穿孔,8,90.9,139.15,1.53,2024-06-17
SG 553,战痕累累,普通,36472,SG 553 | 鳄鱼网格,1,87.4,116.15,1.33,2024-06-17
SG 553,破损不堪,StatTrak™,775566,SG 553（StatTrak™） | 四号栖息地,9,86.8,100.62,1.16,2024-06-17
SG 553,久经沙场,普通,36474,SG 553 | 鳄鱼网格,17,85.7,122.03,1.42,2024-06-17
SG 553,崭新出厂,普通,36458,SG 553 | 次时代,154,83.5,120.79,1.45,2024-06-17
SG 553,战痕累累,StatTrak™,776386,SG 553（StatTrak™） | 四号栖息地,12,73.9,92.21,1.25,2024-06-17
SG 553,久经沙场,普通,762216,SG 553 | 意式拉力,950,71.61,96.85,1.35,2024-06-17
SG 553,略有磨损,纪念品,37990,SG 553（纪念品） | 大马士革钢,77,68.42,111.22,1.63,2024-06-17
SG 553,战痕累累,普通,36491,SG 553 | 狂哮飓风,4,66.08,86.4,1.31,2024-06-17
SG 553,略有磨损,普通,36499,SG 553 | 旅行者皮革,11,64.9,85.32,1.31,2024-06-17
SG 553,破损不堪,普通,36495,SG 553 | 狂哮飓风,3,63.9,88.94,1.39,2024-06-17
SG 553,久经沙场,普通,36493,SG 553 | 狂哮飓风,16,60.53,98.01,1.62,2024-06-17
SG 553,崭新出厂,纪念品,37993,SG 553（纪念品） | 辐射警告,169,59.9,100.12,1.67,2024-06-17
SG 553,久经沙场,普通,36498,SG 553 | 旅行者皮革,10,59.26,85.32,1.44,2024-06-17
SG 553,破损不堪,普通,36500,SG 553 | 旅行者皮革,2,58.26,79.44,1.36,2024-06-17
SG 553,战痕累累,普通,36496,SG 553 | 旅行者皮革,1,58.1,100.48,1.73,2024-06-17
SG 553,破损不堪,普通,36515,SG 553 | 浪花喷漆,7,57.75,80.17,1.39,2024-06-17
SG 553,略有磨损,StatTrak™,39514,SG 553（StatTrak™） | 电子脉冲,204,56.9,75.89,1.33,2024-06-17
SG 553,略有磨损,普通,36514,SG 553 | 浪花喷漆,35,56.78,72.19,1.27,2024-06-17
SG 553,战痕累累,普通,36511,SG 553 | 浪花喷漆,14,56.76,72.98,1.29,2024-06-17
SG 553,久经沙场,纪念品,38002,SG 553（纪念品） | 浪花穿孔,29,54.95,88.44,1.61,2024-06-17
SG 553,久经沙场,普通,36513,SG 553 | 浪花喷漆,45,54.78,67.76,1.24,2024-06-17
SG 553,久经沙场,普通,775360,SG 553 | 四号栖息地,118,52.75,72.11,1.37,2024-06-17
SG 553,久经沙场,StatTrak™,39505,SG 553（StatTrak™） | 次时代,101,52.7,74.87,1.42,2024-06-17
SG 553,崭新出厂,普通,775271,SG 553 | 路障,48,52.4,75.89,1.45,2024-06-17
SG 553,破损不堪,StatTrak™,39506,SG 553（StatTrak™） | 次时代,25,52,65.73,1.26,2024-06-17
SG 553,略有磨损,StatTrak™,39533,SG 553（StatTrak™） | 浪花喷漆,44,49.65,64.64,1.3,2024-06-17
SG 553,战痕累累,纪念品,43991,SG 553（纪念品） | 浪花穿孔,9,49.12,96.56,1.97,2024-06-17
SG 553,破损不堪,普通,775854,SG 553 | 红苹果,9,48.68,80.89,1.66,2024-06-17
SG 553,破损不堪,普通,774962,SG 553 | 路障,15,47.27,69.65,1.47,2024-06-17
SG 553,破损不堪,StatTrak™,39534,SG 553（StatTrak™） | 浪花喷漆,12,46.39,52.81,1.14,2024-06-17
SG 553,崭新出厂,普通,774789,SG 553 | 红苹果,294,45.9,66.53,1.45,2024-06-17
SG 553,略有磨损,普通,36460,SG 553 | 次时代,301,45.9,64.28,1.4,2024-06-17
SG 553,崭新出厂,StatTrak™,779404,SG 553（StatTrak™） | 黯翼,107,44.7,65.66,1.47,2024-06-17
SG 553,略有磨损,普通,774699,SG 553 | 红苹果,189,44.58,57.82,1.3,2024-06-17
SG 553,略有磨损,普通,774856,SG 553 | 路障,29,43.37,53.61,1.24,2024-06-17
SG 553,久经沙场,普通,774703,SG 553 | 路障,43,43.29,52.6,1.22,2024-06-17
SG 553,久经沙场,普通,775175,SG 553 | 红苹果,70,43.16,55.35,1.28,2024-06-17
SG 553,久经沙场,StatTrak™,43932,SG 553（StatTrak™） | 浪花喷漆,40,43.14,55.21,1.28,2024-06-17
SG 553,战痕累累,普通,775531,SG 553 | 路障,10,42.3,58.04,1.37,2024-06-17
SG 553,战痕累累,普通,775230,SG 553 | 红苹果,10,41.63,65.73,1.58,2024-06-17
SG 553,战痕累累,StatTrak™,39531,SG 553（StatTrak™） | 浪花喷漆,11,40.35,50.71,1.26,2024-06-17
SG 553,破损不堪,普通,775364,SG 553 | 四号栖息地,29,40,64.28,1.61,2024-06-17
SG 553,破损不堪,普通,36471,SG 553 | 辐射警告,10,37.67,30.62,0.81,2024-06-17
SG 553,战痕累累,普通,775783,SG 553 | 四号栖息地,25,37.49,56.44,1.51,2024-06-17
SG 553,战痕累累,StatTrak™,39503,SG 553（StatTrak™） | 次时代,11,36.97,55.72,1.51,2024-06-17
SG 553,崭新出厂,StatTrak™,39517,SG 553（StatTrak™） | 豹灯蛾,98,36.9,54.77,1.48,2024-06-17
SG 553,破损不堪,StatTrak™,39515,SG 553（StatTrak™） | 电子脉冲,8,34.89,38.6,1.11,2024-06-17
SG 553,破损不堪,普通,762153,SG 553 | 意式拉力,304,31.3,43.46,1.39,2024-06-17
SG 553,崭新出厂,StatTrak™,39522,SG 553（StatTrak™） | 三巨头,78,29.78,42.08,1.41,2024-06-17
SG 553,久经沙场,普通,36459,SG 553 | 次时代,275,29.78,40.63,1.36,2024-06-17
SG 553,略有磨损,普通,36484,SG 553 | 电子脉冲,427,29.58,36.35,1.23,2024-06-17
SG 553,久经沙场,纪念品,37989,SG 553（纪念品） | 大马士革钢,100,29.01,44.47,1.53,2024-06-17
SG 553,破损不堪,普通,36461,SG 553 | 次时代,35,28.63,31.99,1.12,2024-06-17
SG 553,久经沙场,StatTrak™,39513,SG 553（StatTrak™） | 电子脉冲,349,26.92,34.24,1.27,2024-06-17
SG 553,崭新出厂,StatTrak™,900634,SG 553（StatTrak™） | 青龙,204,26.25,37.58,1.43,2024-06-17
SG 553,战痕累累,纪念品,37987,SG 553（纪念品） | 大马士革钢,41,26.13,38.45,1.47,2024-06-17
SG 553,战痕累累,StatTrak™,39512,SG 553（StatTrak™） | 电子脉冲,23,25.95,33.52,1.29,2024-06-17
SG 553,崭新出厂,StatTrak™,39508,SG 553（StatTrak™） | 幻影,180,23.68,31.05,1.31,2024-06-17
SG 553,战痕累累,普通,762252,SG 553 | 意式拉力,236,22.89,31.12,1.36,2024-06-17
SG 553,崭新出厂,纪念品,37998,SG 553（纪念品） | 鳄鱼网格,158,21.67,35.19,1.62,2024-06-17
SG 553,崭新出厂,普通,36468,SG 553 | 辐射警告,43,19.9,24.52,1.23,2024-06-17
SG 553,破损不堪,纪念品,37991,SG 553（纪念品） | 大马士革钢,79,19.79,27.86,1.41,2024-06-17
SG 553,略有磨损,StatTrak™,39519,SG 553（StatTrak™） | 豹灯蛾,118,18.88,27.5,1.46,2024-06-17
SG 553,战痕累累,普通,36457,SG 553 | 次时代,32,18.22,24.16,1.33,2024-06-17
SG 553,略有磨损,纪念品,37995,SG 553（纪念品） | 辐射警告,452,16.85,25.61,1.52,2024-06-17
SG 553,战痕累累,普通,36482,SG 553 | 电子脉冲,55,16.36,19.66,1.2,2024-06-17
SG 553,略有磨损,普通,36470,SG 553 | 辐射警告,25,16.26,21.4,1.32,2024-06-17
SG 553,久经沙场,普通,36483,SG 553 | 电子脉冲,577,14.89,19.59,1.32,2024-06-17
SG 553,破损不堪,普通,36485,SG 553 | 电子脉冲,24,14.87,19.81,1.33,2024-06-17
SG 553,久经沙场,普通,36469,SG 553 | 辐射警告,14,14.28,18.86,1.32,2024-06-17
SG 553,破损不堪,纪念品,37996,SG 553（纪念品） | 辐射警告,30,13.3,20.02,1.51,2024-06-17
SG 553,崭新出厂,普通,36487,SG 553 | 豹灯蛾,288,13.2,17.77,1.35,2024-06-17
SG 553,略有磨损,StatTrak™,900610,SG 553（StatTrak™） | 青龙,273,12.5,17.92,1.43,2024-06-17
SG 553,略有磨损,StatTrak™,779292,SG 553（StatTrak™） | 黯翼,191,11.16,16.98,1.52,2024-06-17
SG 553,破损不堪,纪念品,38001,SG 553（纪念品） | 鳄鱼网格,13,10.9,15.89,1.46,2024-06-17
SG 553,崭新出厂,普通,779199,SG 553 | 黯翼,358,10.75,16.4,1.53,2024-06-17
SG 553,略有磨损,StatTrak™,39510,SG 553（StatTrak™） | 幻影,226,10.54,13.49,1.28,2024-06-17
SG 553,崭新出厂,StatTrak™,857706,SG 553（StatTrak™） | 重金属摇滚,79,10.1,15.16,1.5,2024-06-17
SG 553,略有磨损,纪念品,38000,SG 553（纪念品） | 鳄鱼网格,172,9.89,15.16,1.53,2024-06-17
SG 553,崭新出厂,普通,36502,SG 553 | 三巨头,176,9.39,13.78,1.47,2024-06-17
SG 553,崭新出厂,普通,900603,SG 553 | 青龙,1013,9.38,12.91,1.38,2024-06-17
SG 553,破损不堪,StatTrak™,39520,SG 553（StatTrak™） | 豹灯蛾,30,9.37,10.88,1.16,2024-06-17
SG 553,战痕累累,纪念品,37992,SG 553（纪念品） | 辐射警告,158,8.87,13.49,1.52,2024-06-17
SG 553,久经沙场,StatTrak™,39518,SG 553（StatTrak™） | 豹灯蛾,142,8.68,12.91,1.49,2024-06-17
SG 553,略有磨损,StatTrak™,39524,SG 553（StatTrak™） | 三巨头,116,7.98,10.59,1.33,2024-06-17
SG 553,崭新出厂,普通,36478,SG 553 | 幻影,336,7.98,11.32,1.42,2024-06-17
SG 553,战痕累累,StatTrak™,39516,SG 553（StatTrak™） | 豹灯蛾,38,7.76,9.5,1.22,2024-06-17
SG 553,崭新出厂,普通,36463,SG 553 | 大马士革钢,236,7.6,9.79,1.29,2024-06-17
SG 553,崭新出厂,StatTrak™,921557,SG 553（StatTrak™） | 赛博之力,161,7.21,9.79,1.36,2024-06-17
SG 553,略有磨损,普通,36489,SG 553 | 豹灯蛾,411,6.92,9.65,1.39,2024-06-17
SG 553,战痕累累,纪念品,37997,SG 553（纪念品） | 鳄鱼网格,31,6.88,10.3,1.5,2024-06-17
SG 553,久经沙场,纪念品,37994,SG 553（纪念品） | 辐射警告,681,6.46,8.71,1.35,2024-06-17
SG 553,略有磨损,普通,36465,SG 553 | 大马士革钢,229,6.46,8.34,1.29,2024-06-17
SG 553,崭新出厂,StatTrak™,39499,SG 553（StatTrak™） | 擎天神,79,6.19,8.34,1.35,2024-06-17
SG 553,崭新出厂,普通,835664,SG 553 | 废墟丛生,110,5.92,8.34,1.41,2024-06-17
SG 553,战痕累累,普通,871089,SG 553 | 白骨,17,5.8,6.89,1.19,2024-06-17
SG 553,崭新出厂,StatTrak™,39494,SG 553（StatTrak™） | 轻空,264,5.69,8.42,1.48,2024-06-17
SG 553,崭新出厂,普通,871164,SG 553 | 白骨,138,5.57,7.25,1.3,2024-06-17
SG 553,破损不堪,StatTrak™,39511,SG 553（StatTrak™） | 幻影,31,5.42,8.34,1.54,2024-06-17
SG 553,破损不堪,普通,871330,SG 553 | 白骨,45,5.28,6.46,1.22,2024-06-17
SG 553,久经沙场,普通,871108,SG 553 | 白骨,148,5.27,6.46,1.23,2024-06-17
SG 553,略有磨损,普通,871157,SG 553 | 白骨,194,5.26,6.67,1.27,2024-06-17
SG 553,略有磨损,普通,900502,SG 553 | 青龙,1494,5.17,7.25,1.4,2024-06-17
SG 553,崭新出厂,纪念品,876847,SG 553（纪念品） | 沙漠之花,390,4.88,5.95,1.22,2024-06-17
SG 553,破损不堪,StatTrak™,900662,SG 553（StatTrak™） | 青龙,41,4.84,7.54,1.56,2024-06-17
SG 553,崭新出厂,StatTrak™,763436,SG 553（StatTrak™） | 危险距离,106,4.82,7.11,1.48,2024-06-17
SG 553,久经沙场,StatTrak™,39509,SG 553（StatTrak™） | 幻影,305,4.79,6.38,1.33,2024-06-17
SG 553,久经沙场,StatTrak™,900601,SG 553（StatTrak™） | 青龙,471,4.79,6.75,1.41,2024-06-17
SG 553,破损不堪,普通,835669,SG 553 | 废墟丛生,9,4.6,5.66,1.23,2024-06-17
SG 553,久经沙场,StatTrak™,779195,SG 553（StatTrak™） | 黯翼,278,4.38,6.38,1.46,2024-06-17
SG 553,久经沙场,纪念品,37999,SG 553（纪念品） | 鳄鱼网格,311,4.27,5.95,1.39,2024-06-17
SG 553,略有磨损,普通,835393,SG 553 | 废墟丛生,69,4.19,5.44,1.3,2024-06-17
SG 553,略有磨损,普通,779182,SG 553 | 黯翼,617,4.19,5.95,1.42,2024-06-17
SG 553,战痕累累,StatTrak™,39507,SG 553（StatTrak™） | 幻影,101,4.17,5.8,1.39,2024-06-17
SG 553,战痕累累,普通,835726,SG 553 | 废墟丛生,11,4.11,5.01,1.22,2024-06-17
SG 553,战痕累累,StatTrak™,900614,SG 553（StatTrak™） | 青龙,115,4.09,5.44,1.33,2024-06-17
SG 553,久经沙场,普通,835439,SG 553 | 废墟丛生,115,4.09,5.15,1.26,2024-06-17
SG 553,略有磨损,StatTrak™,857522,SG 553（StatTrak™） | 重金属摇滚,150,4.04,5.51,1.36,2024-06-17
SG 553,略有磨损,普通,36480,SG 553 | 幻影,415,3.99,5.51,1.38,2024-06-17
SG 553,崭新出厂,StatTrak™,45342,SG 553（StatTrak™） | 阿罗哈,689,3.87,5.95,1.54,2024-06-17
SG 553,破损不堪,StatTrak™,779334,SG 553（StatTrak™） | 黯翼,104,3.81,5.3,1.39,2024-06-17
SG 553,战痕累累,StatTrak™,779227,SG 553（StatTrak™） | 黯翼,114,3.8,5.44,1.43,2024-06-17
SG 553,久经沙场,普通,36464,SG 553 | 大马士革钢,734,3.73,4.72,1.27,2024-06-17
SG 553,久经沙场,StatTrak™,39523,SG 553（StatTrak™） | 三巨头,147,3.58,4.14,1.16,2024-06-17
SG 553,崭新出厂,StatTrak™,781647,SG 553（StatTrak™） | 锈蚀之刃,192,3.51,5.15,1.47,2024-06-17
SG 553,久经沙场,普通,36488,SG 553 | 豹灯蛾,371,3.49,5.01,1.44,2024-06-17
SG 553,略有磨损,普通,36504,SG 553 | 三巨头,179,3.46,4.79,1.38,2024-06-17
SG 553,崭新出厂,普通,36442,SG 553 | 深蓝电镀处理,1900,3.29,4.43,1.35,2024-06-17
SG 553,久经沙场,普通,900528,SG 553 | 青龙,2225,2.87,3.92,1.37,2024-06-17
SG 553,战痕累累,普通,36486,SG 553 | 豹灯蛾,79,2.86,3.7,1.29,2024-06-17
SG 553,破损不堪,普通,36490,SG 553 | 豹灯蛾,115,2.8,3.85,1.38,2024-06-17
SG 553,略有磨损,StatTrak™,39496,SG 553（StatTrak™） | 轻空,310,2.79,4.28,1.53,2024-06-17
SG 553,破损不堪,StatTrak™,39525,SG 553（StatTrak™） | 三巨头,22,2.76,3.63,1.32,2024-06-17
SG 553,崭新出厂,普通,857657,SG 553 | 重金属摇滚,247,2.74,3.77,1.38,2024-06-17
SG 553,破损不堪,普通,36466,SG 553 | 大马士革钢,182,2.62,3.12,1.19,2024-06-17
SG 553,破损不堪,StatTrak™,39497,SG 553（StatTrak™） | 轻空,13,2.58,3.99,1.55,2024-06-17
SG 553,破损不堪,普通,900618,SG 553 | 青龙,151,2.57,3.77,1.47,2024-06-17
SG 553,战痕累累,StatTrak™,39521,SG 553（StatTrak™） | 三巨头,50,2.56,3.85,1.5,2024-06-17
SG 553,略有磨损,普通,36443,SG 553 | 深蓝电镀处理,133,2.55,3.34,1.31,2024-06-17
SG 553,久经沙场,普通,36479,SG 553 | 幻影,427,2.49,3.34,1.34,2024-06-17
SG 553,略有磨损,StatTrak™,39501,SG 553（StatTrak™） | 擎天神,119,2.49,3.63,1.46,2024-06-17
SG 553,破损不堪,普通,36505,SG 553 | 三巨头,13,2.46,2.25,0.91,2024-06-17
SG 553,破损不堪,普通,36481,SG 553 | 幻影,33,2.32,2.9,1.25,2024-06-17
SG 553,久经沙场,普通,36503,SG 553 | 三巨头,174,2.14,2.47,1.15,2024-06-17
SG 553,略有磨损,纪念品,876930,SG 553（纪念品） | 沙漠之花,309,2.09,2.97,1.42,2024-06-17
SG 553,战痕累累,普通,900531,SG 553 | 青龙,343,2.09,2.76,1.32,2024-06-17
SG 553,战痕累累,普通,36477,SG 553 | 幻影,51,2.07,2.9,1.4,2024-06-17
SG 553,战痕累累,普通,36462,SG 553 | 大马士革钢,265,2.03,2.54,1.25,2024-06-17
SG 553,略有磨损,StatTrak™,921564,SG 553（StatTrak™） | 赛博之力,338,2,2.68,1.34,2024-06-17
SG 553,久经沙场,普通,779208,SG 553 | 黯翼,952,2,2.9,1.45,2024-06-17
SG 553,久经沙场,StatTrak™,857620,SG 553（StatTrak™） | 重金属摇滚,253,1.99,2.83,1.42,2024-06-17
SG 553,略有磨损,StatTrak™,763397,SG 553（StatTrak™） | 危险距离,181,1.89,2.47,1.31,2024-06-17
SG 553,破损不堪,普通,779228,SG 553 | 黯翼,299,1.75,2.32,1.33,2024-06-17
SG 553,战痕累累,普通,779230,SG 553 | 黯翼,201,1.67,2.32,1.39,2024-06-17
SG 553,战痕累累,普通,36501,SG 553 | 三巨头,38,1.67,2.18,1.31,2024-06-17
SG 553,战痕累累,纪念品,876989,SG 553（纪念品） | 沙漠之花,35,1.66,2.03,1.22,2024-06-17
SG 553,战痕累累,StatTrak™,857673,SG 553（StatTrak™） | 重金属摇滚,223,1.66,2.18,1.31,2024-06-17
SG 553,破损不堪,StatTrak™,857622,SG 553（StatTrak™） | 重金属摇滚,178,1.65,2.54,1.54,2024-06-17
SG 553,略有磨损,StatTrak™,45399,SG 553（StatTrak™） | 阿罗哈,505,1.59,2.32,1.46,2024-06-17
SG 553,崭新出厂,普通,921524,SG 553 | 赛博之力,502,1.51,2.1,1.39,2024-06-17
SG 553,崭新出厂,普通,36438,SG 553 | 轻空,583,1.46,2.03,1.39,2024-06-17
SG 553,崭新出厂,普通,36448,SG 553 | 擎天神,118,1.35,2.03,1.5,2024-06-17
SG 553,崭新出厂,普通,763319,SG 553 | 危险距离,101,1.32,2.03,1.54,2024-06-17
SG 553,略有磨损,StatTrak™,781659,SG 553（StatTrak™） | 锈蚀之刃,356,1.29,1.81,1.4,2024-06-17
SG 553,略有磨损,普通,857578,SG 553 | 重金属摇滚,534,1.26,1.74,1.38,2024-06-17
SG 553,战痕累累,StatTrak™,39493,SG 553（StatTrak™） | 轻空,28,1.26,1.45,1.15,2024-06-17
SG 553,久经沙场,StatTrak™,39495,SG 553（StatTrak™） | 轻空,224,1.23,1.67,1.36,2024-06-17
SG 553,崭新出厂,普通,781555,SG 553 | 锈蚀之刃,493,1.12,1.45,1.29,2024-06-17
SG 553,破损不堪,纪念品,876979,SG 553（纪念品） | 沙漠之花,29,1.09,1.67,1.53,2024-06-17
SG 553,崭新出厂,普通,45388,SG 553 | 阿罗哈,1588,1.09,1.52,1.39,2024-06-17
SG 553,久经沙场,StatTrak™,39500,SG 553（StatTrak™） | 擎天神,184,1.05,1.23,1.17,2024-06-17
SG 553,破损不堪,StatTrak™,39502,SG 553（StatTrak™） | 擎天神,17,1.01,1.16,1.15,2024-06-17
SG 553,破损不堪,StatTrak™,45467,SG 553（StatTrak™） | 阿罗哈,23,0.92,1.02,1.11,2024-06-17
SG 553,破损不堪,StatTrak™,763417,SG 553（StatTrak™） | 危险距离,33,0.91,1.38,1.52,2024-06-17
SG 553,略有磨损,普通,36440,SG 553 | 轻空,317,0.91,1.38,1.52,2024-06-17
SG 553,崭新出厂,纪念品,877031,SG 553（纪念品） | 废墟丛生,308,0.89,1.16,1.3,2024-06-17
SG 553,破损不堪,普通,36441,SG 553 | 轻空,22,0.89,1.38,1.55,2024-06-17
SG 553,久经沙场,StatTrak™,763321,SG 553（StatTrak™） | 危险距离,234,0.88,1.16,1.32,2024-06-17
SG 553,久经沙场,普通,36439,SG 553 | 轻空,116,0.87,1.38,1.59,2024-06-17
SG 553,久经沙场,纪念品,876880,SG 553（纪念品） | 沙漠之花,855,0.86,0.87,1.01,2024-06-17
SG 553,久经沙场,StatTrak™,921479,SG 553（StatTrak™） | 赛博之力,243,0.79,1.09,1.38,2024-06-17
SG 553,久经沙场,普通,857546,SG 553 | 重金属摇滚,285,0.79,1.09,1.38,2024-06-17
SG 553,战痕累累,StatTrak™,763391,SG 553（StatTrak™） | 危险距离,76,0.74,0.87,1.18,2024-06-17
SG 553,战痕累累,普通,36437,SG 553 | 轻空,23,0.74,1.16,1.57,2024-06-17
SG 553,战痕累累,普通,857535,SG 553 | 重金属摇滚,130,0.72,0.94,1.31,2024-06-17
SG 553,略有磨损,普通,36450,SG 553 | 擎天神,190,0.7,0.94,1.34,2024-06-17
SG 553,久经沙场,StatTrak™,781603,SG 553（StatTrak™） | 锈蚀之刃,640,0.69,0.87,1.26,2024-06-17
SG 553,略有磨损,普通,763303,SG 553 | 危险距离,376,0.69,0.94,1.36,2024-06-17
SG 553,破损不堪,普通,857630,SG 553 | 重金属摇滚,138,0.62,1.02,1.65,2024-06-17
SG 553,略有磨损,普通,921430,SG 553 | 赛博之力,1131,0.61,0.87,1.43,2024-06-17
SG 553,战痕累累,StatTrak™,921543,SG 553（StatTrak™） | 赛博之力,77,0.59,0.87,1.47,2024-06-17
SG 553,久经沙场,StatTrak™,45343,SG 553（StatTrak™） | 阿罗哈,624,0.57,0.94,1.65,2024-06-17
