M249,崭新出厂,纪念品,37707,M249（纪念品） | 鳄鱼网格,7,1199.5,3057.68,2.55,2024-06-17
M249,略有磨损,普通,857583,M249 | O.S.I.P.R.,283,1.23,1.81,1.47,2024-06-17
M249,破损不堪,普通,35158,M249 | 系统锁定,18,1.17,1.81,1.55,2024-06-17
M249,久经沙场,普通,33843,M249 | 系统锁定,107,1.14,1.52,1.33,2024-06-17
M249,战痕累累,StatTrak™,38770,M249（StatTrak™） | 鬼影,16,1.01,1.31,1.3,2024-06-17
M249,破损不堪,StatTrak™,38774,M249（StatTrak™） | 鬼影,18,0.96,1.31,1.36,2024-06-17
M249,久经沙场,StatTrak™,38772,M249（StatTrak™） | 鬼影,297,0.94,1.31,1.39,2024-06-17
M249,崭新出厂,普通,927348,M249 | 淹没,132,0.87,1.09,1.25,2024-06-17
M249,战痕累累,普通,35155,M249 | 系统锁定,41,0.84,1.31,1.56,2024-06-17
M249,崭新出厂,纪念品,876928,M249（纪念品） | 雪茄盒,312,0.76,1.02,1.34,2024-06-17
M249,破损不堪,普通,857664,M249 | O.S.I.P.R.,33,0.76,1.16,1.53,2024-06-17
M249,战痕累累,普通,857523,M249 | O.S.I.P.R.,57,0.74,1.02,1.38,2024-06-17
M249,久经沙场,普通,857517,M249 | O.S.I.P.R.,383,0.71,1.09,1.54,2024-06-17
M249,略有磨损,普通,35153,M249 | 鬼影,286,0.69,0.87,1.26,2024-06-17
M249,崭新出厂,纪念品,929078,M249（纪念品） | 淹没,116,0.64,1.02,1.59,2024-06-17
M249,崭新出厂,普通,35121,M249 | 鳄鱼网格,365,0.63,0.8,1.27,2024-06-17
M249,久经沙场,普通,35152,M249 | 鬼影,409,0.47,0.8,1.7,2024-06-17
M249,略有磨损,普通,35123,M249 | 鳄鱼网格,503,0.4,0.58,1.45,2024-06-17
M249,破损不堪,普通,35154,M249 | 鬼影,39,0.39,0.65,1.67,2024-06-17
M249,略有磨损,纪念品,876948,M249（纪念品） | 雪茄盒,165,0.37,0.73,1.97,2024-06-17
M249,破损不堪,纪念品,876975,M249（纪念品） | 雪茄盒,48,0.36,0.51,1.42,2024-06-17
M249,战痕累累,普通,35150,M249 | 鬼影,23,0.33,0.65,1.97,2024-06-17
M249,久经沙场,普通,35122,M249 | 鳄鱼网格,459,0.31,0.51,1.65,2024-06-17
M249,战痕累累,普通,35120,M249 | 鳄鱼网格,44,0.31,0.44,1.42,2024-06-17
M249,略有磨损,普通,927315,M249 | 淹没,285,0.32,0.51,1.59,2024-06-17
M249,破损不堪,普通,35124,M249 | 鳄鱼网格,48,0.29,0.51,1.76,2024-06-17
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,381,0.27,0.36,1.33,2024-06-17
M249,战痕累累,纪念品,876964,M249（纪念品） | 雪茄盒,51,0.26,0.58,2.23,2024-06-17
M249,破损不堪,普通,927332,M249 | 淹没,74,0.21,0.51,2.43,2024-06-17
M249,久经沙场,普通,927285,M249 | 淹没,934,0.22,0.44,2.0,2024-06-17
M249,久经沙场,纪念品,876923,M249（纪念品） | 雪茄盒,446,0.21,0.44,2.1,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,753,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
