UMP-45,略有磨损,普通,871907,UMP-45 | 渐变之色,3,3499.5,3230.78,0.92,2024-06-17
UMP-45,略有磨损,普通,42078,UMP-45 | 色如焦糖,44,88.3,132.76,1.5,2024-06-17
UMP-45,崭新出厂,StatTrak™,835806,UMP-45（StatTrak™） | 金铋辉煌,43,75.69,101.57,1.34,2024-06-17
UMP-45,崭新出厂,普通,921523,UMP-45 | 野孩子,270,69.51,99.54,1.43,2024-06-17
UMP-45,破损不堪,普通,42079,UMP-45 | 色如焦糖,6,62.96,88.94,1.41,2024-06-17
UMP-45,破损不堪,普通,42099,UMP-45 | 辐射警告,4,61.82,71.82,1.16,2024-06-17
UMP-45,略有磨损,StatTrak™,763257,UMP-45（StatTrak™） | 动量,79,61.42,81.25,1.32,2024-06-17
UMP-45,久经沙场,普通,42077,UMP-45 | 色如焦糖,39,61.31,86.11,1.4,2024-06-17
UMP-45,崭新出厂,普通,42125,UMP-45 | 野蛮剑齿虎,139,57.38,77.26,1.35,2024-06-17
UMP-45,崭新出厂,普通,42140,UMP-45 | 枯焦之色,5,56.84,77.55,1.36,2024-06-17
UMP-45,略有磨损,普通,42069,UMP-45 | 白骨之堆,26,55.94,69.65,1.25,2024-06-17
UMP-45,崭新出厂,纪念品,38100,UMP-45（纪念品） | 都市 DDPAT,17,54.9,83.72,1.52,2024-06-17
UMP-45,略有磨损,纪念品,38083,UMP-45（纪念品） | 辐射警告,45,54.89,102.37,1.87,2024-06-17
UMP-45,战痕累累,StatTrak™,763492,UMP-45（StatTrak™） | 动量,9,54.34,63.48,1.17,2024-06-17
UMP-45,久经沙场,普通,42068,UMP-45 | 白骨之堆,26,54.2,67.61,1.25,2024-06-17
UMP-45,久经沙场,普通,42097,UMP-45 | 辐射警告,14,53.83,66.45,1.23,2024-06-17
UMP-45,崭新出厂,普通,763335,UMP-45 | 动量,287,51.9,72.04,1.39,2024-06-17
UMP-45,略有磨损,StatTrak™,39672,UMP-45（StatTrak™） | 白骨之堆,29,49.89,62.97,1.26,2024-06-17
UMP-45,略有磨损,StatTrak™,921602,UMP-45（StatTrak™） | 野孩子,141,49.13,63.91,1.3,2024-06-17
UMP-45,略有磨损,StatTrak™,835828,UMP-45（StatTrak™） | 金铋辉煌,23,47.48,71.17,1.5,2024-06-17
UMP-45,略有磨损,StatTrak™,39704,UMP-45（StatTrak™） | 野蛮剑齿虎,79,46.5,68.49,1.47,2024-06-17
UMP-45,久经沙场,StatTrak™,39671,UMP-45（StatTrak™） | 白骨之堆,13,42.59,52.67,1.24,2024-06-17
UMP-45,战痕累累,普通,42095,UMP-45 | 辐射警告,9,40.93,87.06,2.13,2024-06-17
UMP-45,崭新出厂,普通,835542,UMP-45 | 金铋辉煌,58,39.9,53.76,1.35,2024-06-17
UMP-45,战痕累累,StatTrak™,39696,UMP-45（StatTrak™） | 合金绽放,2,39.9,30.11,0.75,2024-06-17
UMP-45,破损不堪,StatTrak™,763484,UMP-45（StatTrak™） | 动量,8,39.06,55.06,1.41,2024-06-17
UMP-45,久经沙场,StatTrak™,763421,UMP-45（StatTrak™） | 动量,42,38.7,53.69,1.39,2024-06-17
UMP-45,崭新出厂,StatTrak™,39712,UMP-45（StatTrak™） | 支架,55,38.7,51.36,1.33,2024-06-17
UMP-45,崭新出厂,StatTrak™,39697,UMP-45（StatTrak™） | 合金绽放,25,38.39,52.74,1.37,2024-06-17
UMP-45,略有磨损,普通,763284,UMP-45 | 动量,171,36.3,47.08,1.3,2024-06-17
UMP-45,略有磨损,普通,42127,UMP-45 | 野蛮剑齿虎,123,33.1,39.03,1.18,2024-06-17
UMP-45,略有磨损,StatTrak™,39699,UMP-45（StatTrak™） | 合金绽放,10,32.29,43.89,1.36,2024-06-17
UMP-45,略有磨损,普通,921519,UMP-45 | 野孩子,462,31.67,43.46,1.37,2024-06-17
UMP-45,战痕累累,普通,871761,UMP-45 | 机械装置,5,31.53,56.3,1.79,2024-06-17
UMP-45,崭新出厂,StatTrak™,39683,UMP-45（StatTrak™） | 迷幻,26,31.31,46.43,1.48,2024-06-17
UMP-45,破损不堪,StatTrak™,39715,UMP-45（StatTrak™） | 支架,15,29.59,20.24,0.68,2024-06-17
UMP-45,破损不堪,StatTrak™,39700,UMP-45（StatTrak™） | 合金绽放,8,29.14,34.24,1.18,2024-06-17
UMP-45,略有磨损,普通,835575,UMP-45 | 金铋辉煌,50,29.03,33.37,1.15,2024-06-17
UMP-45,破损不堪,普通,871823,UMP-45 | 机械装置,3,27.73,37.94,1.37,2024-06-17
UMP-45,久经沙场,StatTrak™,39703,UMP-45（StatTrak™） | 野蛮剑齿虎,126,26.83,37.36,1.39,2024-06-17
UMP-45,久经沙场,普通,871192,UMP-45 | 机械装置,18,25.9,37.14,1.43,2024-06-17
UMP-45,崭新出厂,普通,871608,UMP-45 | 机械装置,26,25.8,37.72,1.46,2024-06-17
UMP-45,崭新出厂,StatTrak™,773784,UMP-45（StatTrak™） | 塑胶炸弹,43,25.14,41.5,1.65,2024-06-17
UMP-45,崭新出厂,普通,42116,UMP-45 | 合金绽放,33,24.95,34.03,1.36,2024-06-17
UMP-45,略有磨损,普通,871584,UMP-45 | 机械装置,15,24.84,37.36,1.5,2024-06-17
UMP-45,久经沙场,StatTrak™,39698,UMP-45（StatTrak™） | 合金绽放,17,24.77,31.41,1.27,2024-06-17
UMP-45,破损不堪,普通,42110,UMP-45 | 紫青之色,20,24.44,31.05,1.27,2024-06-17
UMP-45,略有磨损,普通,42109,UMP-45 | 紫青之色,66,24.41,30.83,1.26,2024-06-17
UMP-45,崭新出厂,普通,835688,UMP-45 | 犬牙,45,24.31,30.25,1.24,2024-06-17
UMP-45,久经沙场,StatTrak™,835639,UMP-45（StatTrak™） | 金铋辉煌,46,23.54,32.94,1.4,2024-06-17
UMP-45,久经沙场,普通,763288,UMP-45 | 动量,148,23.4,30.03,1.28,2024-06-17
UMP-45,略有磨损,普通,42118,UMP-45 | 合金绽放,28,23.05,26.7,1.16,2024-06-17
UMP-45,战痕累累,普通,835693,UMP-45 | 犬牙,10,22.88,29.67,1.3,2024-06-17
UMP-45,久经沙场,普通,42108,UMP-45 | 紫青之色,41,22.6,28.66,1.27,2024-06-17
UMP-45,战痕累累,StatTrak™,39701,UMP-45（StatTrak™） | 野蛮剑齿虎,23,22.21,29.16,1.31,2024-06-17
UMP-45,略有磨损,普通,835450,UMP-45 | 犬牙,39,21.97,28.66,1.3,2024-06-17
UMP-45,破损不堪,普通,835794,UMP-45 | 犬牙,6,21.25,28.37,1.34,2024-06-17
UMP-45,久经沙场,普通,835556,UMP-45 | 犬牙,22,21.06,26.92,1.28,2024-06-17
UMP-45,破损不堪,普通,763399,UMP-45 | 动量,12,20.9,30.03,1.44,2024-06-17
UMP-45,略有磨损,StatTrak™,39714,UMP-45（StatTrak™） | 支架,87,20.9,27.57,1.32,2024-06-17
UMP-45,久经沙场,纪念品,38082,UMP-45（纪念品） | 辐射警告,100,20.68,31.2,1.51,2024-06-17
UMP-45,破损不堪,StatTrak™,39705,UMP-45（StatTrak™） | 野蛮剑齿虎,10,20.9,29.02,1.39,2024-06-17
UMP-45,战痕累累,普通,42106,UMP-45 | 紫青之色,23,20.48,29.53,1.44,2024-06-17
UMP-45,破损不堪,纪念品,38084,UMP-45（纪念品） | 辐射警告,17,20.31,30.62,1.51,2024-06-17
UMP-45,战痕累累,普通,763465,UMP-45 | 动量,12,20.1,25.46,1.27,2024-06-17
UMP-45,破损不堪,StatTrak™,835876,UMP-45（StatTrak™） | 金铋辉煌,15,19.82,31.12,1.57,2024-06-17
UMP-45,崭新出厂,普通,42135,UMP-45 | 支架,106,19.8,26.7,1.35,2024-06-17
UMP-45,久经沙场,StatTrak™,921572,UMP-45（StatTrak™） | 野孩子,210,19.79,26.33,1.33,2024-06-17
UMP-45,崭新出厂,StatTrak™,39687,UMP-45（StatTrak™） | 曝光,90,19.68,26.26,1.33,2024-06-17
UMP-45,崭新出厂,StatTrak™,45344,UMP-45（StatTrak™） | 白狼,146,19.34,26.33,1.36,2024-06-17
UMP-45,战痕累累,StatTrak™,835920,UMP-45（StatTrak™） | 金铋辉煌,9,17.7,26.7,1.51,2024-06-17
UMP-45,战痕累累,纪念品,38080,UMP-45（纪念品） | 辐射警告,25,17.1,26.77,1.57,2024-06-17
UMP-45,崭新出厂,StatTrak™,769255,UMP-45（StatTrak™） | 城里的月光,246,17,22.2,1.31,2024-06-17
UMP-45,破损不堪,普通,42119,UMP-45 | 合金绽放,19,16.84,26.99,1.6,2024-06-17
UMP-45,略有磨损,纪念品,38092,UMP-45（纪念品） | 紫青之色,202,16.8,24.81,1.48,2024-06-17
UMP-45,久经沙场,普通,835607,UMP-45 | 金铋辉煌,159,16.7,23.36,1.4,2024-06-17
UMP-45,久经沙场,普通,42117,UMP-45 | 合金绽放,45,15.68,20.02,1.28,2024-06-17
UMP-45,破损不堪,普通,835749,UMP-45 | 金铋辉煌,11,15.64,22.49,1.44,2024-06-17
UMP-45,战痕累累,普通,42115,UMP-45 | 合金绽放,19,14.97,20.31,1.36,2024-06-17
UMP-45,久经沙场,StatTrak™,39713,UMP-45（StatTrak™） | 支架,86,14.47,20.24,1.4,2024-06-17
UMP-45,战痕累累,普通,835427,UMP-45 | 金铋辉煌,22,14.36,19.15,1.33,2024-06-17
UMP-45,破损不堪,StatTrak™,921611,UMP-45（StatTrak™） | 野孩子,76,14.19,19.23,1.36,2024-06-17
UMP-45,战痕累累,StatTrak™,39711,UMP-45（StatTrak™） | 支架,11,13.9,17.77,1.28,2024-06-17
UMP-45,崭新出厂,普通,42087,UMP-45 | 迷幻,22,13.57,17.7,1.3,2024-06-17
UMP-45,久经沙场,普通,42126,UMP-45 | 野蛮剑齿虎,311,13.45,17.19,1.28,2024-06-17
UMP-45,破损不堪,普通,42128,UMP-45 | 野蛮剑齿虎,43,13.33,17.56,1.32,2024-06-17
UMP-45,略有磨损,StatTrak™,773651,UMP-45（StatTrak™） | 塑胶炸弹,64,13.09,17.48,1.34,2024-06-17
UMP-45,崭新出厂,StatTrak™,39679,UMP-45（StatTrak™） | 下士,20,11.89,15.67,1.32,2024-06-17
UMP-45,战痕累累,StatTrak™,921598,UMP-45（StatTrak™） | 野孩子,102,11.7,16.11,1.38,2024-06-17
UMP-45,久经沙场,普通,921536,UMP-45 | 野孩子,1108,11.34,15.96,1.41,2024-06-17
UMP-45,崭新出厂,普通,773747,UMP-45 | 塑胶炸弹,107,10.78,14.65,1.36,2024-06-17
UMP-45,略有磨损,StatTrak™,39689,UMP-45（StatTrak™） | 曝光,97,10.46,13.42,1.28,2024-06-17
UMP-45,略有磨损,StatTrak™,39685,UMP-45（StatTrak™） | 迷幻,88,10.31,13.42,1.3,2024-06-17
UMP-45,略有磨损,普通,42137,UMP-45 | 支架,164,10.3,13.86,1.35,2024-06-17
UMP-45,崭新出厂,普通,871248,UMP-45 | 逮捕者,77,10.1,14.15,1.4,2024-06-17
UMP-45,崭新出厂,StatTrak™,857678,UMP-45（StatTrak™） | 动摇,106,9.89,12.48,1.26,2024-06-17
UMP-45,略有磨损,普通,871256,UMP-45 | 逮捕者,22,9.03,11.17,1.24,2024-06-17
UMP-45,略有磨损,普通,42142,UMP-45 | 枯焦之色,19,8.55,8.85,1.04,2024-06-17
UMP-45,崭新出厂,StatTrak™,39707,UMP-45（StatTrak™） | 暴乱,96,8.47,11.17,1.32,2024-06-17
UMP-45,久经沙场,StatTrak™,39684,UMP-45（StatTrak™） | 迷幻,37,8.38,10.88,1.3,2024-06-17
UMP-45,破损不堪,普通,42138,UMP-45 | 支架,55,8.29,10.88,1.31,2024-06-17
UMP-45,久经沙场,普通,42136,UMP-45 | 支架,156,8.19,10.88,1.33,2024-06-17
UMP-45,崭新出厂,普通,42091,UMP-45 | 曝光,180,8.15,11.24,1.38,2024-06-17
UMP-45,战痕累累,普通,42124,UMP-45 | 野蛮剑齿虎,103,7.97,11.03,1.38,2024-06-17
UMP-45,战痕累累,普通,42134,UMP-45 | 支架,80,7.87,10.23,1.3,2024-06-17
UMP-45,破损不堪,普通,921571,UMP-45 | 野孩子,480,7.85,10.23,1.3,2024-06-17
UMP-45,战痕累累,普通,871252,UMP-45 | 逮捕者,8,7.85,9.72,1.24,2024-06-17
UMP-45,崭新出厂,StatTrak™,39674,UMP-45（StatTrak™） | 简报,80,7.59,9.65,1.27,2024-06-17
UMP-45,破损不堪,纪念品,38093,UMP-45（纪念品） | 紫青之色,53,7.51,10.59,1.41,2024-06-17
UMP-45,略有磨损,StatTrak™,45426,UMP-45（StatTrak™） | 白狼,278,7.43,10.23,1.38,2024-06-17
UMP-45,久经沙场,普通,871247,UMP-45 | 逮捕者,127,7.24,10.37,1.43,2024-06-17
UMP-45,崭新出厂,普通,45365,UMP-45 | 白狼,330,7.03,10.08,1.43,2024-06-17
UMP-45,破损不堪,普通,871257,UMP-45 | 逮捕者,13,6.99,9.0,1.29,2024-06-17
UMP-45,战痕累累,普通,921515,UMP-45 | 野孩子,269,6.91,8.85,1.28,2024-06-17
UMP-45,略有磨损,StatTrak™,769268,UMP-45（StatTrak™） | 城里的月光,188,6.74,9.36,1.39,2024-06-17
UMP-45,崭新出厂,普通,769130,UMP-45 | 城里的月光,1100,6.74,9.36,1.39,2024-06-17
UMP-45,久经沙场,StatTrak™,773718,UMP-45（StatTrak™） | 塑胶炸弹,108,6.69,8.85,1.32,2024-06-17
UMP-45,破损不堪,StatTrak™,773810,UMP-45（StatTrak™） | 塑胶炸弹,12,6.59,8.05,1.22,2024-06-17
UMP-45,战痕累累,纪念品,38089,UMP-45（纪念品） | 紫青之色,108,6.44,9.0,1.4,2024-06-17
UMP-45,崭新出厂,StatTrak™,956562,UMP-45（StatTrak™） | 机动化,96,6.23,8.56,1.37,2024-06-17
UMP-45,久经沙场,纪念品,38091,UMP-45（纪念品） | 紫青之色,528,6.14,8.92,1.45,2024-06-17
UMP-45,崭新出厂,普通,42083,UMP-45 | 下士,22,6.09,9.43,1.55,2024-06-17
UMP-45,破损不堪,StatTrak™,769510,UMP-45（StatTrak™） | 城里的月光,22,5.85,7.18,1.23,2024-06-17
UMP-45,略有磨损,普通,773636,UMP-45 | 塑胶炸弹,154,5.79,8.13,1.4,2024-06-17
UMP-45,略有磨损,StatTrak™,39681,UMP-45（StatTrak™） | 下士,82,5.54,7.47,1.35,2024-06-17
UMP-45,久经沙场,StatTrak™,39691,UMP-45（StatTrak™） | 车王,212,5.26,5.8,1.1,2024-06-17
UMP-45,战痕累累,StatTrak™,773629,UMP-45（StatTrak™） | 塑胶炸弹,26,5.15,6.17,1.2,2024-06-17
UMP-45,崭新出厂,StatTrak™,39692,UMP-45（StatTrak™） | 迷之宫,221,5.03,6.89,1.37,2024-06-17
UMP-45,破损不堪,StatTrak™,39690,UMP-45（StatTrak™） | 曝光,26,4.99,7.47,1.5,2024-06-17
UMP-45,久经沙场,StatTrak™,39688,UMP-45（StatTrak™） | 曝光,199,4.98,6.67,1.34,2024-06-17
UMP-45,久经沙场,普通,42141,UMP-45 | 枯焦之色,71,4.9,4.57,0.93,2024-06-17
UMP-45,崭新出厂,StatTrak™,900582,UMP-45（StatTrak™） | 路障,103,4.88,6.38,1.31,2024-06-17
UMP-45,崭新出厂,纪念品,761399,UMP-45（纪念品） | 泥地杀手,39,4.62,4.79,1.04,2024-06-17
UMP-45,破损不堪,StatTrak™,39682,UMP-45（StatTrak™） | 下士,16,4.61,4.64,1.01,2024-06-17
UMP-45,战痕累累,StatTrak™,39686,UMP-45（StatTrak™） | 曝光,20,4.6,5.95,1.29,2024-06-17
UMP-45,略有磨损,StatTrak™,857573,UMP-45（StatTrak™） | 动摇,120,4.49,6.24,1.39,2024-06-17
UMP-45,崭新出厂,纪念品,38095,UMP-45（纪念品） | 枯焦之色,58,4.32,4.5,1.04,2024-06-17
UMP-45,略有磨损,StatTrak™,39709,UMP-45（StatTrak™） | 暴乱,174,4.25,6.17,1.45,2024-06-17
UMP-45,久经沙场,普通,773638,UMP-45 | 塑胶炸弹,215,3.99,5.01,1.26,2024-06-17
UMP-45,略有磨损,普通,42093,UMP-45 | 曝光,288,3.99,5.8,1.45,2024-06-17
UMP-45,久经沙场,StatTrak™,39680,UMP-45（StatTrak™） | 下士,101,3.92,4.57,1.17,2024-06-17
UMP-45,破损不堪,普通,773722,UMP-45 | 塑胶炸弹,13,3.88,5.22,1.35,2024-06-17
UMP-45,战痕累累,普通,773755,UMP-45 | 塑胶炸弹,54,3.85,4.5,1.17,2024-06-17
UMP-45,战痕累累,普通,42139,UMP-45 | 枯焦之色,8,3.75,4.14,1.1,2024-06-17
UMP-45,战痕累累,纪念品,876977,UMP-45（纪念品） | 机械装置,23,3.74,5.01,1.34,2024-06-17
UMP-45,破损不堪,普通,42143,UMP-45 | 枯焦之色,8,3.74,4.21,1.13,2024-06-17
UMP-45,略有磨损,普通,45367,UMP-45 | 白狼,730,3.49,4.79,1.37,2024-06-17
UMP-45,战痕累累,StatTrak™,39678,UMP-45（StatTrak™） | 下士,19,3.48,3.99,1.15,2024-06-17
UMP-45,久经沙场,StatTrak™,39708,UMP-45（StatTrak™） | 暴乱,148,3.41,4.35,1.28,2024-06-17
UMP-45,略有磨损,普通,42089,UMP-45 | 迷幻,194,3.16,4.57,1.45,2024-06-17
UMP-45,略有磨损,普通,769135,UMP-45 | 城里的月光,635,3.14,4.57,1.46,2024-06-17
UMP-45,久经沙场,StatTrak™,769437,UMP-45（StatTrak™） | 城里的月光,210,3.13,4.14,1.32,2024-06-17
UMP-45,略有磨损,纪念品,38102,UMP-45（纪念品） | 都市 DDPAT,241,3.06,4.21,1.38,2024-06-17
UMP-45,破损不堪,普通,769476,UMP-45 | 城里的月光,15,2.94,3.92,1.33,2024-06-17
UMP-45,久经沙场,StatTrak™,45345,UMP-45（StatTrak™） | 白狼,431,2.93,3.63,1.24,2024-06-17
UMP-45,略有磨损,StatTrak™,39694,UMP-45（StatTrak™） | 迷之宫,162,2.91,3.77,1.3,2024-06-17
UMP-45,久经沙场,普通,42088,UMP-45 | 迷幻,69,2.88,3.92,1.36,2024-06-17
UMP-45,破损不堪,StatTrak™,45437,UMP-45（StatTrak™） | 白狼,30,2.87,3.34,1.16,2024-06-17
UMP-45,略有磨损,StatTrak™,956601,UMP-45（StatTrak™） | 机动化,224,2.69,3.63,1.35,2024-06-17
UMP-45,略有磨损,普通,42085,UMP-45 | 下士,67,2.64,3.48,1.32,2024-06-17
UMP-45,崭新出厂,普通,857566,UMP-45 | 动摇,383,2.58,3.34,1.29,2024-06-17
UMP-45,久经沙场,普通,42092,UMP-45 | 曝光,392,2.51,3.34,1.33,2024-06-17
UMP-45,崭新出厂,普通,42130,UMP-45 | 暴乱,206,2.39,2.9,1.21,2024-06-17
UMP-45,久经沙场,普通,42100,UMP-45 | 车王,315,2.32,3.12,1.34,2024-06-17
UMP-45,战痕累累,普通,42090,UMP-45 | 曝光,48,2.31,2.83,1.23,2024-06-17
UMP-45,破损不堪,普通,42094,UMP-45 | 曝光,85,2.3,3.05,1.33,2024-06-17
UMP-45,破损不堪,普通,42086,UMP-45 | 下士,33,2.29,3.05,1.33,2024-06-17
UMP-45,久经沙场,普通,42084,UMP-45 | 下士,95,2.28,2.9,1.27,2024-06-17
UMP-45,久经沙场,StatTrak™,857636,UMP-45（StatTrak™） | 动摇,183,2.26,2.76,1.22,2024-06-17
UMP-45,战痕累累,StatTrak™,45400,UMP-45（StatTrak™） | 白狼,49,2.17,3.48,1.6,2024-06-17
UMP-45,破损不堪,StatTrak™,39695,UMP-45（StatTrak™） | 迷之宫,16,1.97,1.89,0.96,2024-06-17
UMP-45,久经沙场,StatTrak™,39693,UMP-45（StatTrak™） | 迷之宫,140,1.97,2.47,1.25,2024-06-17
UMP-45,破损不堪,StatTrak™,39710,UMP-45（StatTrak™） | 暴乱,18,1.94,2.47,1.27,2024-06-17
UMP-45,崭新出厂,普通,42071,UMP-45 | 简报,174,1.88,2.25,1.2,2024-06-17
UMP-45,破损不堪,纪念品,38103,UMP-45（纪念品） | 都市 DDPAT,66,1.83,2.18,1.19,2024-06-17
UMP-45,久经沙场,StatTrak™,956518,UMP-45（StatTrak™） | 机动化,335,1.82,1.96,1.08,2024-06-17
UMP-45,破损不堪,StatTrak™,857674,UMP-45（StatTrak™） | 动摇,28,1.79,2.97,1.66,2024-06-17
UMP-45,战痕累累,StatTrak™,857621,UMP-45（StatTrak™） | 动摇,26,1.77,2.54,1.44,2024-06-17
UMP-45,战痕累累,普通,42082,UMP-45 | 下士,16,1.77,3.05,1.72,2024-06-17
UMP-45,久经沙场,普通,45366,UMP-45 | 白狼,1239,1.73,2.32,1.34,2024-06-17
UMP-45,崭新出厂,普通,956554,UMP-45 | 机动化,283,1.68,2.18,1.3,2024-06-17
UMP-45,久经沙场,普通,769185,UMP-45 | 城里的月光,416,1.62,2.47,1.52,2024-06-17
UMP-45,略有磨损,StatTrak™,900586,UMP-45（StatTrak™） | 路障,262,1.58,2.18,1.38,2024-06-17
UMP-45,破损不堪,普通,45403,UMP-45 | 白狼,98,1.58,2.25,1.42,2024-06-17
UMP-45,略有磨损,普通,42132,UMP-45 | 暴乱,136,1.52,1.89,1.24,2024-06-17
UMP-45,破损不堪,普通,42133,UMP-45 | 暴乱,14,1.49,2.47,1.66,2024-06-17
UMP-45,略有磨损,StatTrak™,39676,UMP-45（StatTrak™） | 简报,236,1.49,2.18,1.46,2024-06-17
UMP-45,崭新出厂,普通,900563,UMP-45 | 路障,258,1.46,1.81,1.24,2024-06-17
UMP-45,战痕累累,普通,42129,UMP-45 | 暴乱,16,1.43,1.96,1.37,2024-06-17
UMP-45,破损不堪,StatTrak™,956626,UMP-45（StatTrak™） | 机动化,17,1.41,1.89,1.34,2024-06-17
UMP-45,战痕累累,StatTrak™,39706,UMP-45（StatTrak™） | 暴乱,31,1.38,1.67,1.21,2024-06-17
UMP-45,战痕累累,StatTrak™,956577,UMP-45（StatTrak™） | 机动化,76,1.36,1.45,1.07,2024-06-17
UMP-45,战痕累累,普通,45364,UMP-45 | 白狼,75,1.35,1.96,1.45,2024-06-17
UMP-45,久经沙场,普通,42131,UMP-45 | 暴乱,50,1.35,2.1,1.56,2024-06-17
UMP-45,战痕累累,纪念品,38099,UMP-45（纪念品） | 都市 DDPAT,109,1.32,1.45,1.1,2024-06-17
UMP-45,略有磨损,普通,857579,UMP-45 | 动摇,359,1.28,1.74,1.36,2024-06-17
UMP-45,崭新出厂,普通,42111,UMP-45 | 迷之宫,252,1.28,1.81,1.41,2024-06-17
UMP-45,崭新出厂,普通,42102,UMP-45 | 硝烟,90,1.25,1.31,1.05,2024-06-17
UMP-45,久经沙场,纪念品,38101,UMP-45（纪念品） | 都市 DDPAT,510,1.23,1.74,1.41,2024-06-17
UMP-45,略有磨损,普通,42113,UMP-45 | 迷之宫,96,1.13,1.74,1.54,2024-06-17
UMP-45,破损不堪,纪念品,877056,UMP-45（纪念品） | 机械装置,47,1.04,1.23,1.18,2024-06-17
UMP-45,略有磨损,普通,956469,UMP-45 | 机动化,496,1.01,1.31,1.3,2024-06-17
UMP-45,破损不堪,普通,42114,UMP-45 | 迷之宫,16,0.92,1.23,1.34,2024-06-17
UMP-45,崭新出厂,纪念品,876924,UMP-45（纪念品） | 机械装置,180,0.89,1.38,1.55,2024-06-17
UMP-45,久经沙场,普通,857551,UMP-45 | 动摇,348,0.83,1.09,1.31,2024-06-17
UMP-45,战痕累累,StatTrak™,39673,UMP-45（StatTrak™） | 简报,58,0.78,0.8,1.03,2024-06-17
UMP-45,崭新出厂,普通,42080,UMP-45 | 碳素纤维,3002,0.76,1.09,1.43,2024-06-17
UMP-45,破损不堪,StatTrak™,900608,UMP-45（StatTrak™） | 路障,205,0.75,0.8,1.07,2024-06-17
UMP-45,破损不堪,普通,857638,UMP-45 | 动摇,47,0.74,1.02,1.38,2024-06-17
