G3SG1,战痕累累,纪念品,37658,G3SG1（纪念品） | 多变迷彩,3,4565.39,1815.01,0.4,2024-06-16
G3SG1,崭新出厂,纪念品,37649,G3SG1（纪念品） | 极地迷彩,14,154,217.57,1.41,2024-06-16
G3SG1,略有磨损,普通,871466,G3SG1 | 碧藤青翠,16,151.9,201.18,1.32,2024-06-16
G3SG1,久经沙场,纪念品,37660,G3SG1（纪念品） | 多变迷彩,3,150,213.94,1.43,2024-06-16
G3SG1,久经沙场,普通,871191,G3SG1 | 碧藤青翠,24,149.5,180.86,1.21,2024-06-16
G3SG1,崭新出厂,普通,34832,G3SG1 | 弗卢克斯,72,117.35,176.44,1.5,2024-06-16
G3SG1,久经沙场,StatTrak™,38614,G3SG1（StatTrak™） | 弗卢克斯,33,114.36,150.17,1.31,2024-06-16
G3SG1,崭新出厂,纪念品,37639,G3SG1（纪念品） | 沙漠风暴,9,109.49,99.83,0.91,2024-06-16
G3SG1,崭新出厂,普通,34822,G3SG1 | 丰饶女神,5,99.3,134.5,1.35,2024-06-16
G3SG1,略有磨损,普通,34807,G3SG1 | 极寒迷彩,1,97.81,108.97,1.11,2024-06-16
G3SG1,战痕累累,StatTrak™,38612,G3SG1（StatTrak™） | 弗卢克斯,7,95.82,102.44,1.07,2024-06-16
G3SG1,战痕累累,纪念品,37643,G3SG1（纪念品） | 丛林虚线,3,71.8,87.06,1.21,2024-06-16
G3SG1,略有磨损,普通,34834,G3SG1 | 弗卢克斯,102,70.9,95.62,1.35,2024-06-16
G3SG1,崭新出厂,普通,34817,G3SG1 | 雇佣兵,6,66.22,87.57,1.32,2024-06-16
G3SG1,略有磨损,StatTrak™,38610,G3SG1（StatTrak™） | 丰饶女神,16,61.05,75.6,1.24,2024-06-16
G3SG1,破损不堪,普通,34825,G3SG1 | 丰饶女神,17,56.32,72.4,1.29,2024-06-16
G3SG1,略有磨损,普通,34879,G3SG1 | 行刑者,24,55.9,71.17,1.27,2024-06-16
G3SG1,略有磨损,普通,34824,G3SG1 | 丰饶女神,33,55.54,82.78,1.49,2024-06-16
G3SG1,久经沙场,普通,34806,G3SG1 | 极寒迷彩,5,55.26,81.18,1.47,2024-06-16
G3SG1,略有磨损,纪念品,37646,G3SG1（纪念品） | 丛林虚线,12,55.01,75.23,1.37,2024-06-16
G3SG1,战痕累累,普通,34821,G3SG1 | 丰饶女神,28,54.72,72.26,1.32,2024-06-16
G3SG1,久经沙场,普通,34823,G3SG1 | 丰饶女神,53,54.39,69.65,1.28,2024-06-16
G3SG1,破损不堪,普通,34808,G3SG1 | 极寒迷彩,3,49.54,65.87,1.33,2024-06-16
G3SG1,久经沙场,普通,34833,G3SG1 | 弗卢克斯,47,49.42,61.96,1.25,2024-06-16
G3SG1,崭新出厂,纪念品,37654,G3SG1（纪念品） | 狩猎网格,25,48.9,76.97,1.57,2024-06-16
G3SG1,战痕累累,普通,34816,G3SG1 | 雇佣兵,14,48.7,34.46,0.71,2024-06-16
G3SG1,久经沙场,StatTrak™,38609,G3SG1（StatTrak™） | 丰饶女神,46,48.34,65.58,1.36,2024-06-16
G3SG1,崭新出厂,StatTrak™,38604,G3SG1（StatTrak™） | 碧蓝斑纹,34,48.21,60.51,1.26,2024-06-16
G3SG1,破损不堪,StatTrak™,38611,G3SG1（StatTrak™） | 丰饶女神,3,47.33,60.65,1.28,2024-06-16
G3SG1,久经沙场,StatTrak™,38605,G3SG1（StatTrak™） | 碧蓝斑纹,14,45.09,52.96,1.17,2024-06-16
G3SG1,破损不堪,普通,34835,G3SG1 | 弗卢克斯,10,44.66,53.9,1.21,2024-06-16
G3SG1,崭新出厂,普通,34868,G3SG1 | 狩猎网格,18,44.47,51.58,1.16,2024-06-16
G3SG1,略有磨损,StatTrak™,38606,G3SG1（StatTrak™） | 碧蓝斑纹,30,43.6,56.01,1.28,2024-06-16
G3SG1,崭新出厂,StatTrak™,759230,G3SG1（StatTrak™） | 公海,94,40,55.14,1.38,2024-06-16
G3SG1,久经沙场,纪念品,37645,G3SG1（纪念品） | 丛林虚线,22,38.6,52.23,1.35,2024-06-16
G3SG1,战痕累累,普通,34831,G3SG1 | 弗卢克斯,16,37.4,48.1,1.29,2024-06-16
G3SG1,略有磨损,普通,34870,G3SG1 | 狩猎网格,7,36.85,31.05,0.84,2024-06-16
G3SG1,战痕累累,StatTrak™,38607,G3SG1（StatTrak™） | 丰饶女神,10,36.53,58.11,1.59,2024-06-16
G3SG1,崭新出厂,普通,34858,G3SG1 | 日式橙色涂装,42,31.49,42.15,1.34,2024-06-16
G3SG1,战痕累累,普通,835678,G3SG1 | 远古仪式,8,27.57,33.95,1.23,2024-06-16
G3SG1,崭新出厂,普通,835755,G3SG1 | 远古仪式,21,25.03,37.14,1.48,2024-06-16
G3SG1,略有磨损,普通,835567,G3SG1 | 远古仪式,19,24.79,31.2,1.26,2024-06-16
G3SG1,破损不堪,普通,835724,G3SG1 | 远古仪式,3,24.49,30.03,1.23,2024-06-16
G3SG1,久经沙场,普通,835641,G3SG1 | 远古仪式,16,24.4,29.82,1.22,2024-06-16
G3SG1,破损不堪,普通,34820,G3SG1 | 雇佣兵,3,24.2,26.12,1.08,2024-06-16
G3SG1,略有磨损,StatTrak™,759296,G3SG1（StatTrak™） | 公海,53,23.77,32.28,1.36,2024-06-16
G3SG1,战痕累累,普通,34857,G3SG1 | 日式橙色涂装,10,22.51,26.33,1.17,2024-06-16
G3SG1,略有磨损,普通,34860,G3SG1 | 日式橙色涂装,23,22.08,27.93,1.26,2024-06-16
G3SG1,崭新出厂,StatTrak™,775486,G3SG1（StatTrak™） | 黑砂,25,21.69,30.91,1.43,2024-06-16
G3SG1,略有磨损,普通,34819,G3SG1 | 雇佣兵,2,21.43,31.05,1.45,2024-06-16
G3SG1,久经沙场,StatTrak™,38636,G3SG1（StatTrak™） | 行刑者,78,21.1,27.64,1.31,2024-06-16
G3SG1,久经沙场,普通,34859,G3SG1 | 日式橙色涂装,28,20.54,25.39,1.24,2024-06-16
G3SG1,崭新出厂,StatTrak™,871759,G3SG1（StatTrak™） | 特训地图,42,20.51,34.03,1.66,2024-06-16
G3SG1,破损不堪,普通,34861,G3SG1 | 日式橙色涂装,11,20.05,28.44,1.42,2024-06-16
G3SG1,崭新出厂,StatTrak™,763393,G3SG1（StatTrak™） | 净化者,35,19.69,30.18,1.53,2024-06-16
G3SG1,崭新出厂,普通,759253,G3SG1 | 公海,162,19.47,26.41,1.36,2024-06-16
G3SG1,战痕累累,StatTrak™,38635,G3SG1（StatTrak™） | 行刑者,26,19.34,27.35,1.41,2024-06-16
G3SG1,久经沙场,普通,34818,G3SG1 | 雇佣兵,3,19.33,26.77,1.38,2024-06-16
G3SG1,破损不堪,普通,34871,G3SG1 | 狩猎网格,45,19.08,29.82,1.56,2024-06-16
G3SG1,崭新出厂,StatTrak™,38631,G3SG1（StatTrak™） | 毒刺,67,18.8,27.57,1.47,2024-06-16
G3SG1,破损不堪,StatTrak™,43993,G3SG1（StatTrak™） | 行刑者,8,17.98,21.33,1.19,2024-06-16
G3SG1,崭新出厂,StatTrak™,38622,G3SG1（StatTrak™） | 黑暗豹纹,47,17.31,22.49,1.3,2024-06-16
G3SG1,战痕累累,普通,34867,G3SG1 | 狩猎网格,12,17.06,23.14,1.36,2024-06-16
G3SG1,久经沙场,普通,34869,G3SG1 | 狩猎网格,30,16.68,23.72,1.42,2024-06-16
G3SG1,崭新出厂,StatTrak™,887059,G3SG1（StatTrak™） | 梦之林地,103,16,23.94,1.5,2024-06-16
G3SG1,崭新出厂,StatTrak™,835690,G3SG1（StatTrak™） | 血腥迷彩,32,15.15,20.6,1.36,2024-06-16
G3SG1,略有磨损,StatTrak™,871688,G3SG1（StatTrak™） | 特训地图,27,14.33,19.37,1.35,2024-06-16
G3SG1,崭新出厂,普通,34809,G3SG1 | 碧蓝斑纹,34,14,17.77,1.27,2024-06-16
G3SG1,略有磨损,普通,34811,G3SG1 | 碧蓝斑纹,22,13.24,16.69,1.26,2024-06-16
G3SG1,略有磨损,StatTrak™,38624,G3SG1（StatTrak™） | 黑暗豹纹,9,12.5,15.38,1.23,2024-06-16
G3SG1,略有磨损,StatTrak™,775768,G3SG1（StatTrak™） | 黑砂,24,11.1,14.8,1.33,2024-06-16
G3SG1,久经沙场,普通,34810,G3SG1 | 碧蓝斑纹,16,11.03,16.11,1.46,2024-06-16
G3SG1,略有磨损,纪念品,37651,G3SG1（纪念品） | 极地迷彩,199,10.4,14.58,1.4,2024-06-16
G3SG1,破损不堪,StatTrak™,759370,G3SG1（StatTrak™） | 公海,8,9.97,13.71,1.38,2024-06-16
G3SG1,崭新出厂,普通,871576,G3SG1 | 特训地图,41,9.83,12.7,1.29,2024-06-16
G3SG1,略有磨损,普通,759255,G3SG1 | 公海,182,9.64,13.06,1.35,2024-06-16
G3SG1,崭新出厂,普通,763383,G3SG1 | 净化者,128,9.44,13.13,1.39,2024-06-16
G3SG1,久经沙场,StatTrak™,759295,G3SG1（StatTrak™） | 公海,93,9.29,12.12,1.3,2024-06-16
G3SG1,久经沙场,StatTrak™,38623,G3SG1（StatTrak™） | 黑暗豹纹,8,9.26,14.65,1.58,2024-06-16
G3SG1,略有磨损,StatTrak™,763361,G3SG1（StatTrak™） | 净化者,85,9.19,12.62,1.37,2024-06-16
G3SG1,战痕累累,StatTrak™,759562,G3SG1（StatTrak™） | 公海,24,8.9,11.17,1.26,2024-06-16
G3SG1,久经沙场,普通,34878,G3SG1 | 行刑者,221,8.79,11.24,1.28,2024-06-16
G3SG1,略有磨损,StatTrak™,38633,G3SG1（StatTrak™） | 毒刺,60,8.55,11.39,1.33,2024-06-16
G3SG1,崭新出厂,普通,775357,G3SG1 | 黑砂,37,8.45,13.64,1.61,2024-06-16
G3SG1,崭新出厂,普通,886675,G3SG1 | 梦之林地,216,8.32,9.43,1.13,2024-06-16
G3SG1,崭新出厂,普通,34873,G3SG1 | 毒刺,151,7.59,10.16,1.34,2024-06-16
G3SG1,略有磨损,StatTrak™,835788,G3SG1（StatTrak™） | 血腥迷彩,42,7.4,9.79,1.32,2024-06-16
G3SG1,崭新出厂,普通,835592,G3SG1 | 血腥迷彩,46,7.38,10.59,1.43,2024-06-16
G3SG1,久经沙场,StatTrak™,871392,G3SG1（StatTrak™） | 特训地图,53,7.37,9.21,1.25,2024-06-16
G3SG1,战痕累累,普通,34877,G3SG1 | 行刑者,21,6.98,8.85,1.27,2024-06-16
G3SG1,崭新出厂,StatTrak™,38618,G3SG1（StatTrak™） | 猎人,57,6.93,9.29,1.34,2024-06-16
G3SG1,破损不堪,普通,34880,G3SG1 | 行刑者,55,6.83,9.36,1.37,2024-06-16
G3SG1,破损不堪,普通,835736,G3SG1 | 血腥迷彩,23,6.81,7.25,1.06,2024-06-16
G3SG1,崭新出厂,StatTrak™,38626,G3SG1（StatTrak™） | 橙光冲击,90,6.16,7.54,1.22,2024-06-16
G3SG1,破损不堪,StatTrak™,776417,G3SG1（StatTrak™） | 黑砂,12,6.04,6.31,1.04,2024-06-16
G3SG1,略有磨损,普通,871370,G3SG1 | 特训地图,75,5.97,8.34,1.4,2024-06-16
G3SG1,久经沙场,普通,835398,G3SG1 | 血腥迷彩,80,5.86,8.34,1.42,2024-06-16
G3SG1,战痕累累,普通,835396,G3SG1 | 血腥迷彩,26,5.79,7.47,1.29,2024-06-16
G3SG1,破损不堪,纪念品,37652,G3SG1（纪念品） | 极地迷彩,55,5.78,8.78,1.52,2024-06-16
G3SG1,略有磨损,普通,835569,G3SG1 | 血腥迷彩,50,5.7,7.91,1.39,2024-06-16
G3SG1,破损不堪,普通,775272,G3SG1 | 黑砂,24,5.63,8.85,1.57,2024-06-16
G3SG1,略有磨损,StatTrak™,886983,G3SG1（StatTrak™） | 梦之林地,276,5.62,7.76,1.38,2024-06-16
G3SG1,久经沙场,StatTrak™,763384,G3SG1（StatTrak™） | 净化者,136,5.49,7.18,1.31,2024-06-16
G3SG1,崭新出厂,StatTrak™,38638,G3SG1（StatTrak™） | 通风机,109,5.32,7.62,1.43,2024-06-16
G3SG1,破损不堪,StatTrak™,763441,G3SG1（StatTrak™） | 净化者,16,5.28,7.25,1.37,2024-06-16
G3SG1,破损不堪,StatTrak™,871844,G3SG1（StatTrak™） | 特训地图,7,5.19,6.38,1.23,2024-06-16
G3SG1,久经沙场,StatTrak™,775906,G3SG1（StatTrak™） | 黑砂,43,5.1,6.89,1.35,2024-06-16
G3SG1,战痕累累,StatTrak™,774983,G3SG1（StatTrak™） | 黑砂,24,4.99,4.72,0.95,2024-06-16
G3SG1,久经沙场,StatTrak™,38632,G3SG1（StatTrak™） | 毒刺,55,4.66,5.8,1.24,2024-06-16
G3SG1,略有磨损,普通,763364,G3SG1 | 净化者,220,4.6,6.75,1.47,2024-06-16
G3SG1,久经沙场,普通,759254,G3SG1 | 公海,273,4.52,6.31,1.4,2024-06-16
G3SG1,战痕累累,StatTrak™,871416,G3SG1（StatTrak™） | 特训地图,7,4.49,4.35,0.97,2024-06-16
G3SG1,崭新出厂,普通,34849,G3SG1 | 黑暗豹纹,117,4.49,6.17,1.37,2024-06-16
G3SG1,破损不堪,普通,759256,G3SG1 | 公海,33,4.32,5.51,1.28,2024-06-16
G3SG1,久经沙场,普通,871269,G3SG1 | 特训地图,80,4.08,5.37,1.32,2024-06-16
G3SG1,战痕累累,StatTrak™,763471,G3SG1（StatTrak™） | 净化者,39,4.09,6.09,1.49,2024-06-16
G3SG1,战痕累累,StatTrak™,38630,G3SG1（StatTrak™） | 毒刺,12,3.99,5.95,1.49,2024-06-16
G3SG1,略有磨损,普通,34875,G3SG1 | 毒刺,211,3.96,5.15,1.3,2024-06-16
G3SG1,略有磨损,普通,774819,G3SG1 | 黑砂,100,3.95,7.11,1.8,2024-06-16
G3SG1,破损不堪,StatTrak™,38634,G3SG1（StatTrak™） | 毒刺,17,3.82,5.08,1.33,2024-06-16
G3SG1,战痕累累,普通,759204,G3SG1 | 公海,70,3.69,4.64,1.26,2024-06-16
G3SG1,略有磨损,普通,34851,G3SG1 | 黑暗豹纹,74,3.36,4.14,1.23,2024-06-16
G3SG1,破损不堪,StatTrak™,835604,G3SG1（StatTrak™） | 血腥迷彩,22,3.2,3.77,1.18,2024-06-16
G3SG1,久经沙场,StatTrak™,835630,G3SG1（StatTrak™） | 血腥迷彩,93,3.15,4.21,1.34,2024-06-16
G3SG1,久经沙场,普通,763331,G3SG1 | 净化者,275,3.11,4.14,1.33,2024-06-16
G3SG1,破损不堪,普通,871682,G3SG1 | 特训地图,13,2.99,4.57,1.53,2024-06-16
G3SG1,略有磨损,普通,886628,G3SG1 | 梦之林地,519,2.95,3.77,1.28,2024-06-16
G3SG1,久经沙场,普通,34850,G3SG1 | 黑暗豹纹,23,2.87,4.14,1.44,2024-06-16
G3SG1,略有磨损,StatTrak™,38628,G3SG1（StatTrak™） | 橙光冲击,77,2.84,4.5,1.58,2024-06-16
G3SG1,战痕累累,StatTrak™,835598,G3SG1（StatTrak™） | 血腥迷彩,24,2.82,3.99,1.41,2024-06-16
G3SG1,久经沙场,普通,774997,G3SG1 | 黑砂,87,2.79,3.7,1.33,2024-06-16
G3SG1,破损不堪,纪念品,877198,G3SG1（纪念品） | 碧藤青翠,28,2.78,1.96,0.71,2024-06-16
G3SG1,战痕累累,普通,763308,G3SG1 | 净化者,117,2.47,3.41,1.38,2024-06-16
G3SG1,破损不堪,普通,763351,G3SG1 | 净化者,43,2.46,3.48,1.41,2024-06-16
G3SG1,久经沙场,纪念品,37650,G3SG1（纪念品） | 极地迷彩,586,2.44,3.41,1.4,2024-06-16
G3SG1,久经沙场,StatTrak™,887032,G3SG1（StatTrak™） | 梦之林地,298,2.31,3.34,1.45,2024-06-16
G3SG1,战痕累累,普通,871347,G3SG1 | 特训地图,21,2.3,5.08,2.21,2024-06-16
G3SG1,略有磨损,纪念品,37641,G3SG1（纪念品） | 沙漠风暴,184,2.22,2.61,1.18,2024-06-16
G3SG1,战痕累累,普通,775245,G3SG1 | 黑砂,81,2.18,3.12,1.43,2024-06-16
G3SG1,破损不堪,StatTrak™,887038,G3SG1（StatTrak™） | 梦之林地,63,2.05,2.97,1.45,2024-06-16
G3SG1,战痕累累,StatTrak™,887047,G3SG1（StatTrak™） | 梦之林地,71,1.99,3.12,1.57,2024-06-16
G3SG1,战痕累累,普通,34872,G3SG1 | 毒刺,29,1.9,2.47,1.3,2024-06-16
G3SG1,崭新出厂,纪念品,877203,G3SG1（纪念品） | 碧藤青翠,175,1.86,2.61,1.4,2024-06-16
G3SG1,破损不堪,普通,34876,G3SG1 | 毒刺,20,1.83,2.54,1.39,2024-06-16
G3SG1,崭新出厂,纪念品,877050,G3SG1（纪念品） | 远古仪式,80,1.78,2.18,1.22,2024-06-16
G3SG1,破损不堪,纪念品,37642,G3SG1（纪念品） | 沙漠风暴,35,1.78,2.1,1.18,2024-06-16
G3SG1,久经沙场,普通,34874,G3SG1 | 毒刺,260,1.79,2.68,1.5,2024-06-16
G3SG1,略有磨损,StatTrak™,38640,G3SG1（StatTrak™） | 通风机,124,1.74,2.9,1.67,2024-06-16
G3SG1,略有磨损,StatTrak™,38620,G3SG1（StatTrak™） | 猎人,86,1.68,2.25,1.34,2024-06-16
G3SG1,崭新出厂,普通,34840,G3SG1 | 猎人,121,1.5,2.03,1.35,2024-06-16
G3SG1,略有磨损,纪念品,37656,G3SG1（纪念品） | 狩猎网格,207,1.44,2.1,1.46,2024-06-16
G3SG1,崭新出厂,普通,34853,G3SG1 | 橙光冲击,252,1.41,1.89,1.34,2024-06-16
G3SG1,久经沙场,普通,886679,G3SG1 | 梦之林地,1717,1.34,1.89,1.41,2024-06-16
G3SG1,战痕累累,普通,886988,G3SG1 | 梦之林地,248,1.19,1.67,1.4,2024-06-16
G3SG1,破损不堪,普通,886979,G3SG1 | 梦之林地,395,1.19,1.67,1.4,2024-06-16
G3SG1,破损不堪,StatTrak™,38629,G3SG1（StatTrak™） | 橙光冲击,13,1.19,1.23,1.03,2024-06-16
G3SG1,破损不堪,纪念品,37657,G3SG1（纪念品） | 狩猎网格,61,1.14,1.16,1.02,2024-06-16
G3SG1,战痕累累,纪念品,37653,G3SG1（纪念品） | 狩猎网格,95,1.13,1.45,1.28,2024-06-16
G3SG1,崭新出厂,普通,34886,G3SG1 | 通风机,195,1.12,1.81,1.62,2024-06-16
G3SG1,久经沙场,StatTrak™,38627,G3SG1（StatTrak™） | 橙光冲击,124,1.06,1.31,1.24,2024-06-16
G3SG1,战痕累累,纪念品,37638,G3SG1（纪念品） | 沙漠风暴,101,1,1.67,1.67,2024-06-16
G3SG1,战痕累累,StatTrak™,38625,G3SG1（StatTrak™） | 橙光冲击,23,0.92,1.23,1.34,2024-06-16
G3SG1,战痕累累,纪念品,37648,G3SG1（纪念品） | 极地迷彩,90,0.91,1.89,2.08,2024-06-16
G3SG1,略有磨损,纪念品,877178,G3SG1（纪念品） | 碧藤青翠,90,0.9,1.23,1.37,2024-06-16
G3SG1,崭新出厂,普通,34836,G3SG1 | 绿苹果,1452,0.8,1.02,1.27,2024-06-16
G3SG1,略有磨损,普通,34842,G3SG1 | 猎人,170,0.78,1.02,1.31,2024-06-16
G3SG1,崭新出厂,普通,34863,G3SG1 | 极地迷彩,208,0.76,1.02,1.34,2024-06-16
G3SG1,战痕累累,纪念品,877190,G3SG1（纪念品） | 碧藤青翠,34,0.74,1.02,1.38,2024-06-16
G3SG1,略有磨损,普通,34855,G3SG1 | 橙光冲击,285,0.74,0.94,1.27,2024-06-16
G3SG1,久经沙场,纪念品,37655,G3SG1（纪念品） | 狩猎网格,451,0.73,0.94,1.29,2024-06-16
G3SG1,久经沙场,StatTrak™,38639,G3SG1（StatTrak™） | 通风机,140,0.72,1.02,1.42,2024-06-16
G3SG1,久经沙场,StatTrak™,38619,G3SG1（StatTrak™） | 猎人,143,0.71,1.16,1.63,2024-06-16
G3SG1,破损不堪,纪念品,877034,G3SG1（纪念品） | 远古仪式,26,0.63,0.65,1.03,2024-06-16
G3SG1,久经沙场,纪念品,37640,G3SG1（纪念品） | 沙漠风暴,391,0.62,0.94,1.52,2024-06-16
G3SG1,破损不堪,StatTrak™,38621,G3SG1（StatTrak™） | 猎人,33,0.61,0.87,1.43,2024-06-16
G3SG1,战痕累累,StatTrak™,38617,G3SG1（StatTrak™） | 猎人,41,0.6,0.87,1.45,2024-06-16
G3SG1,崭新出厂,普通,34882,G3SG1 | 多变迷彩,211,0.59,0.8,1.36,2024-06-16
G3SG1,破损不堪,StatTrak™,38641,G3SG1（StatTrak™） | 通风机,16,0.57,1.02,1.79,2024-06-16
G3SG1,略有磨损,普通,34888,G3SG1 | 通风机,345,0.57,0.87,1.53,2024-06-16
G3SG1,略有磨损,普通,34838,G3SG1 | 绿苹果,855,0.57,0.8,1.4,2024-06-16
G3SG1,略有磨损,纪念品,877039,G3SG1（纪念品） | 远古仪式,154,0.54,0.51,0.94,2024-06-16
G3SG1,久经沙场,普通,34887,G3SG1 | 通风机,192,0.52,0.87,1.67,2024-06-16
G3SG1,崭新出厂,普通,34827,G3SG1 | 沙漠风暴,135,0.52,0.58,1.12,2024-06-16
G3SG1,战痕累累,普通,34852,G3SG1 | 橙光冲击,16,0.51,0.73,1.43,2024-06-16
G3SG1,崭新出厂,普通,34845,G3SG1 | 丛林虚线,87,0.47,0.58,1.23,2024-06-16
G3SG1,久经沙场,普通,34854,G3SG1 | 橙光冲击,157,0.46,0.8,1.74,2024-06-16
G3SG1,破损不堪,普通,34856,G3SG1 | 橙光冲击,30,0.42,1.23,2.93,2024-06-16
G3SG1,久经沙场,纪念品,877142,G3SG1（纪念品） | 碧藤青翠,186,0.41,0.8,1.95,2024-06-16
G3SG1,略有磨损,普通,34884,G3SG1 | 多变迷彩,232,0.41,0.58,1.41,2024-06-16
G3SG1,破损不堪,普通,34889,G3SG1 | 通风机,33,0.4,0.8,2.0,2024-06-16
G3SG1,久经沙场,普通,34837,G3SG1 | 绿苹果,297,0.39,0.65,1.67,2024-06-16
G3SG1,久经沙场,普通,34841,G3SG1 | 猎人,270,0.4,0.65,1.62,2024-06-16
G3SG1,久经沙场,普通,34883,G3SG1 | 多变迷彩,443,0.31,0.51,1.65,2024-06-16
G3SG1,破损不堪,普通,34885,G3SG1 | 多变迷彩,37,0.27,0.51,1.89,2024-06-16
G3SG1,战痕累累,普通,34839,G3SG1 | 猎人,88,0.27,0.51,1.89,2024-06-16
G3SG1,战痕累累,普通,34881,G3SG1 | 多变迷彩,46,0.25,0.51,2.04,2024-06-16
G3SG1,破损不堪,普通,34843,G3SG1 | 猎人,75,0.22,0.51,2.32,2024-06-16
G3SG1,久经沙场,纪念品,877027,G3SG1（纪念品） | 远古仪式,241,0.18,0.29,1.61,2024-06-16
G3SG1,略有磨损,普通,34865,G3SG1 | 极地迷彩,640,0.09,0.29,3.22,2024-06-16
G3SG1,战痕累累,纪念品,877010,G3SG1（纪念品） | 远古仪式,58,0.08,0.29,3.62,2024-06-16
G3SG1,破损不堪,普通,34866,G3SG1 | 极地迷彩,138,0.06,0.22,3.67,2024-06-16
G3SG1,久经沙场,普通,34864,G3SG1 | 极地迷彩,1026,0.06,0.22,3.67,2024-06-16
G3SG1,略有磨损,普通,34829,G3SG1 | 沙漠风暴,312,0.06,0.22,3.67,2024-06-16
G3SG1,战痕累累,普通,34862,G3SG1 | 极地迷彩,175,0.05,0.22,4.4,2024-06-16
G3SG1,破损不堪,普通,34830,G3SG1 | 沙漠风暴,113,0.04,0.22,5.5,2024-06-16
G3SG1,久经沙场,普通,34828,G3SG1 | 沙漠风暴,931,0.04,0.22,5.5,2024-06-16
G3SG1,战痕累累,普通,34826,G3SG1 | 沙漠风暴,173,0.04,0.22,5.5,2024-06-16
G3SG1,破损不堪,普通,34848,G3SG1 | 丛林虚线,285,0.03,0.22,7.33,2024-06-16
G3SG1,略有磨损,普通,34847,G3SG1 | 丛林虚线,715,0.03,0.22,7.33,2024-06-16
G3SG1,久经沙场,普通,34846,G3SG1 | 丛林虚线,1514,0.03,0.22,7.33,2024-06-16
G3SG1,战痕累累,普通,34844,G3SG1 | 丛林虚线,474,0.02,0.22,11.0,2024-06-16
G3SG1,战痕累累,StatTrak™,887047,G3SG1（StatTrak™） | 梦之林地,71,1.99,3.12,1.57,2024-06-16
G3SG1,战痕累累,普通,34872,G3SG1 | 毒刺,29,1.9,2.47,1.3,2024-06-16
G3SG1,崭新出厂,纪念品,877203,G3SG1（纪念品） | 碧藤青翠,175,1.86,2.61,1.4,2024-06-16
G3SG1,破损不堪,普通,34876,G3SG1 | 毒刺,20,1.83,2.54,1.39,2024-06-16
G3SG1,崭新出厂,纪念品,877050,G3SG1（纪念品） | 远古仪式,80,1.78,2.18,1.22,2024-06-16
G3SG1,破损不堪,纪念品,37642,G3SG1（纪念品） | 沙漠风暴,35,1.78,2.1,1.18,2024-06-16
G3SG1,久经沙场,普通,34874,G3SG1 | 毒刺,260,1.79,2.68,1.5,2024-06-16
G3SG1,略有磨损,StatTrak™,38640,G3SG1（StatTrak™） | 通风机,124,1.74,2.9,1.67,2024-06-16
G3SG1,略有磨损,StatTrak™,38620,G3SG1（StatTrak™） | 猎人,86,1.68,2.25,1.34,2024-06-16
