截短霰弹枪,崭新出厂,纪念品,43912,截短霰弹枪（纪念品） | 逮捕者,1,3999.5,3052.02,0.76,2024-06-17
截短霰弹枪,破损不堪,纪念品,38022,截短霰弹枪（纪念品） | 渐变琥珀,2,60.27,89.74,1.49,2024-06-17
截短霰弹枪,崭新出厂,普通,36661,截短霰弹枪 | 贤者涂装,6,58.81,141.47,2.41,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,900549,截短霰弹枪（StatTrak™） | 么么,160,56.4,77.41,1.37,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39575,截短霰弹枪（StatTrak™） | 路霸,9,54.88,64.86,1.18,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,759382,截短霰弹枪（StatTrak™） | 吞噬,41,53.8,66.74,1.24,2024-06-17
截短霰弹枪,破损不堪,普通,36678,截短霰弹枪 | 北海巨妖,8,51.5,71.53,1.39,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,759704,截短霰弹枪（StatTrak™） | 吞噬,6,46.67,70.44,1.51,2024-06-17
截短霰弹枪,略有磨损,普通,759276,截短霰弹枪 | 吞噬,120,44.93,63.48,1.41,2024-06-17
截短霰弹枪,略有磨损,普通,36643,截短霰弹枪 | 马赛克,4,44.79,53.4,1.19,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39599,截短霰弹枪（StatTrak™） | 祥和之翼,60,43.69,60.94,1.39,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,759381,截短霰弹枪（StatTrak™） | 吞噬,18,43.32,58.4,1.35,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39610,截短霰弹枪（StatTrak™） | 荒野公主,62,42.9,56.44,1.32,2024-06-17
截短霰弹枪,崭新出厂,普通,36680,截短霰弹枪 | 荒野公主,85,40.4,53.98,1.34,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,956635,截短霰弹枪（StatTrak™） | 模拟输入,101,38.24,49.84,1.3,2024-06-17
截短霰弹枪,破损不堪,普通,775209,截短霰弹枪 | 灌木丛,8,37.04,48.9,1.32,2024-06-17
截短霰弹枪,破损不堪,普通,36644,截短霰弹枪 | 马赛克,6,36.89,42.73,1.16,2024-06-17
截短霰弹枪,久经沙场,普通,36642,截短霰弹枪 | 马赛克,20,34.53,43.53,1.26,2024-06-17
截短霰弹枪,略有磨损,普通,36628,截短霰弹枪 | 辐照警报,10,33.9,48.9,1.44,2024-06-17
截短霰弹枪,破损不堪,纪念品,38035,截短霰弹枪（纪念品） | 外表生锈,15,33.7,53.98,1.6,2024-06-17
截短霰弹枪,崭新出厂,普通,775017,截短霰弹枪 | 灌木丛,64,31.97,44.69,1.4,2024-06-17
截短霰弹枪,崭新出厂,普通,36675,截短霰弹枪 | 北海巨妖,154,31.88,45.49,1.43,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39577,截短霰弹枪（StatTrak™） | 路霸,16,31.65,40.05,1.27,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39580,截短霰弹枪（StatTrak™） | 聚光灯,65,31.48,42.66,1.36,2024-06-17
截短霰弹枪,略有磨损,普通,900485,截短霰弹枪 | 么么,1112,30.8,41.79,1.36,2024-06-17
截短霰弹枪,崭新出厂,普通,36594,截短霰弹枪 | 竹影,53,30.05,38.45,1.28,2024-06-17
截短霰弹枪,略有磨损,普通,774679,截短霰弹枪 | 灌木丛,24,29.57,37.72,1.28,2024-06-17
截短霰弹枪,久经沙场,普通,759365,截短霰弹枪 | 吞噬,112,29.5,38.74,1.31,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39601,截短霰弹枪（StatTrak™） | 祥和之翼,19,29.34,45.12,1.54,2024-06-17
截短霰弹枪,久经沙场,普通,774784,截短霰弹枪 | 灌木丛,30,28.79,35.48,1.23,2024-06-17
截短霰弹枪,破损不堪,普通,759429,截短霰弹枪 | 吞噬,13,28.69,37.14,1.29,2024-06-17
截短霰弹枪,战痕累累,普通,775223,截短霰弹枪 | 灌木丛,11,28.63,38.09,1.33,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39611,截短霰弹枪（StatTrak™） | 荒野公主,6,28.59,25.61,0.9,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,900486,截短霰弹枪（StatTrak™） | 么么,266,28.2,37.29,1.32,2024-06-17
截短霰弹枪,破损不堪,普通,36597,截短霰弹枪 | 竹影,17,27.68,28.73,1.04,2024-06-17
截短霰弹枪,略有磨损,普通,36596,截短霰弹枪 | 竹影,15,25.89,31.34,1.21,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,779403,截短霰弹枪（StatTrak™） | 启示录,72,24.7,38.09,1.54,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,900639,截短霰弹枪（StatTrak™） | 么么,68,24.2,32.21,1.33,2024-06-17
截短霰弹枪,战痕累累,普通,759274,截短霰弹枪 | 吞噬,12,23.9,30.18,1.26,2024-06-17
截短霰弹枪,略有磨损,普通,36677,截短霰弹枪 | 北海巨妖,114,22.8,32.65,1.43,2024-06-17
截短霰弹枪,崭新出厂,纪念品,38032,截短霰弹枪（纪念品） | 外表生锈,57,22.72,33.73,1.48,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,900658,截短霰弹枪（StatTrak™） | 么么,47,22.64,27.35,1.21,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39602,截短霰弹枪（StatTrak™） | 祥和之翼,9,22.47,32.65,1.45,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39609,截短霰弹枪（StatTrak™） | 荒野公主,65,22.36,31.99,1.43,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39600,截短霰弹枪（StatTrak™） | 祥和之翼,18,22.28,28.58,1.28,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39607,截短霰弹枪（StatTrak™） | 荒野公主,7,21.79,29.45,1.35,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,956466,截短霰弹枪（StatTrak™） | 模拟输入,98,21.5,28.58,1.33,2024-06-17
截短霰弹枪,久经沙场,普通,36595,截短霰弹枪 | 竹影,56,21.2,26.7,1.26,2024-06-17
截短霰弹枪,战痕累累,普通,36593,截短霰弹枪 | 竹影,1,20.9,26.7,1.28,2024-06-17
截短霰弹枪,久经沙场,普通,36627,截短霰弹枪 | 辐照警报,36,20.83,30.47,1.46,2024-06-17
截短霰弹枪,崭新出厂,纪念品,38019,截短霰弹枪（纪念品） | 渐变琥珀,116,20.79,29.38,1.41,2024-06-17
截短霰弹枪,久经沙场,普通,36676,截短霰弹枪 | 北海巨妖,54,20.3,28.73,1.42,2024-06-17
截短霰弹枪,略有磨损,普通,36682,截短霰弹枪 | 荒野公主,134,20.18,31.2,1.55,2024-06-17
截短霰弹枪,破损不堪,普通,36629,截短霰弹枪 | 辐照警报,9,19.86,15.82,0.8,2024-06-17
截短霰弹枪,战痕累累,纪念品,38031,截短霰弹枪（纪念品） | 外表生锈,44,19.79,30.47,1.54,2024-06-17
截短霰弹枪,久经沙场,普通,900497,截短霰弹枪 | 么么,987,17.86,24.16,1.35,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39598,截短霰弹枪（StatTrak™） | 祥和之翼,4,17.52,26.84,1.53,2024-06-17
截短霰弹枪,崭新出厂,普通,36666,截短霰弹枪 | 祥和之翼,142,16.97,24.59,1.45,2024-06-17
截短霰弹枪,破损不堪,普通,900559,截短霰弹枪 | 么么,246,15.49,19.52,1.26,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39582,截短霰弹枪（StatTrak™） | 聚光灯,94,14.09,20.02,1.42,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,956494,截短霰弹枪（StatTrak™） | 模拟输入,153,13.9,18.06,1.3,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39578,截短霰弹枪（StatTrak™） | 路霸,7,13.78,15.24,1.11,2024-06-17
截短霰弹枪,崭新出厂,普通,956480,截短霰弹枪 | 模拟输入,378,13.7,17.48,1.28,2024-06-17
截短霰弹枪,战痕累累,普通,900596,截短霰弹枪 | 么么,274,13.6,17.56,1.29,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39576,截短霰弹枪（StatTrak™） | 路霸,17,13.52,17.7,1.31,2024-06-17
截短霰弹枪,崭新出厂,普通,36621,截短霰弹枪 | 路霸,37,13.5,17.7,1.31,2024-06-17
截短霰弹枪,战痕累累,普通,36625,截短霰弹枪 | 辐照警报,13,12.99,24.23,1.87,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39613,截短霰弹枪（StatTrak™） | 弄臣之颅,35,12.93,20.1,1.55,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,956623,截短霰弹枪（StatTrak™） | 模拟输入,12,12.8,15.53,1.21,2024-06-17
截短霰弹枪,略有磨损,普通,36668,截短霰弹枪 | 祥和之翼,73,12.48,16.18,1.3,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,956548,截短霰弹枪（StatTrak™） | 模拟输入,38,12.29,14.73,1.2,2024-06-17
截短霰弹枪,崭新出厂,普通,36631,截短霰弹枪 | 聚光灯,96,12.09,16.03,1.33,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39574,截短霰弹枪（StatTrak™） | 路霸,11,10.38,14.8,1.43,2024-06-17
截短霰弹枪,破损不堪,普通,36683,截短霰弹枪 | 荒野公主,14,10.2,13.78,1.35,2024-06-17
截短霰弹枪,崭新出厂,普通,779296,截短霰弹枪 | 启示录,187,9.33,12.99,1.39,2024-06-17
截短霰弹枪,战痕累累,普通,36679,截短霰弹枪 | 荒野公主,41,9.02,12.77,1.42,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,779312,截短霰弹枪（StatTrak™） | 启示录,128,9.19,13.42,1.46,2024-06-17
截短霰弹枪,略有磨损,纪念品,761398,截短霰弹枪（纪念品） | 刹车灯,17,8.99,9.21,1.02,2024-06-17
截短霰弹枪,略有磨损,纪念品,38021,截短霰弹枪（纪念品） | 渐变琥珀,100,8.9,14.36,1.61,2024-06-17
截短霰弹枪,久经沙场,普通,36681,截短霰弹枪 | 荒野公主,178,8.79,12.12,1.38,2024-06-17
截短霰弹枪,略有磨损,普通,956486,截短霰弹枪 | 模拟输入,381,8.34,11.1,1.33,2024-06-17
截短霰弹枪,久经沙场,普通,36667,截短霰弹枪 | 祥和之翼,70,8.26,10.81,1.31,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39618,截短霰弹枪（StatTrak™） | 梭鲈,25,7.91,14.15,1.79,2024-06-17
截短霰弹枪,破损不堪,普通,36669,截短霰弹枪 | 祥和之翼,6,7.87,9.58,1.22,2024-06-17
截短霰弹枪,战痕累累,普通,36665,截短霰弹枪 | 祥和之翼,7,7.33,10.3,1.41,2024-06-17
截短霰弹枪,略有磨损,普通,36623,截短霰弹枪 | 路霸,34,7.23,10.01,1.38,2024-06-17
截短霰弹枪,略有磨损,普通,36663,截短霰弹枪 | 贤者涂装,83,6.95,10.01,1.44,2024-06-17
截短霰弹枪,略有磨损,纪念品,38034,截短霰弹枪（纪念品） | 外表生锈,104,6.88,8.78,1.28,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39581,截短霰弹枪（StatTrak™） | 聚光灯,115,6.64,9.29,1.4,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39615,截短霰弹枪（StatTrak™） | 弄臣之颅,34,5.96,10.01,1.68,2024-06-17
截短霰弹枪,久经沙场,纪念品,38020,截短霰弹枪（纪念品） | 渐变琥珀,82,5.56,7.69,1.38,2024-06-17
截短霰弹枪,崭新出厂,普通,871158,截短霰弹枪 | 旱地之花,160,5.54,7.25,1.31,2024-06-17
截短霰弹枪,久经沙场,普通,956476,截短霰弹枪 | 模拟输入,635,5.49,6.96,1.27,2024-06-17
截短霰弹枪,久经沙场,普通,871067,截短霰弹枪 | 旱地之花,115,5.37,6.67,1.24,2024-06-17
截短霰弹枪,崭新出厂,普通,835562,截短霰弹枪 | 伏击者,184,5.27,6.67,1.27,2024-06-17
截短霰弹枪,破损不堪,普通,871065,截短霰弹枪 | 旱地之花,32,5.21,6.67,1.28,2024-06-17
截短霰弹枪,略有磨损,普通,871182,截短霰弹枪 | 旱地之花,118,5.2,6.46,1.24,2024-06-17
截短霰弹枪,战痕累累,普通,871278,截短霰弹枪 | 旱地之花,47,5.19,6.46,1.24,2024-06-17
截短霰弹枪,略有磨损,纪念品,38044,截短霰弹枪（纪念品） | 蝮蛇迷彩,71,5.1,7.47,1.46,2024-06-17
截短霰弹枪,破损不堪,普通,36664,截短霰弹枪 | 贤者涂装,7,5.09,4.72,0.93,2024-06-17
截短霰弹枪,破损不堪,普通,956582,截短霰弹枪 | 模拟输入,98,5,6.17,1.23,2024-06-17
截短霰弹枪,略有磨损,普通,36633,截短霰弹枪 | 聚光灯,195,4.89,6.82,1.39,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39594,截短霰弹枪（StatTrak™） | 千纸鹤,208,4.88,6.75,1.38,2024-06-17
截短霰弹枪,战痕累累,普通,956591,截短霰弹枪 | 模拟输入,184,4.84,5.8,1.2,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,763380,截短霰弹枪（StatTrak™） | 黑砂,65,4.78,6.38,1.33,2024-06-17
截短霰弹枪,略有磨损,普通,835539,截短霰弹枪 | 伏击者,43,4.77,5.59,1.17,2024-06-17
截短霰弹枪,崭新出厂,纪念品,38037,截短霰弹枪（纪念品） | 贤者涂装,83,4.69,6.38,1.36,2024-06-17
截短霰弹枪,略有磨损,纪念品,38029,截短霰弹枪（纪念品） | 辐照警报,130,4.69,6.89,1.47,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39583,截短霰弹枪（StatTrak™） | 聚光灯,40,4.57,6.24,1.37,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,779271,截短霰弹枪（StatTrak™） | 启示录,176,4.55,5.8,1.27,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,39585,截短霰弹枪（StatTrak™） | 夜百合,106,4.44,6.82,1.54,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39579,截短霰弹枪（StatTrak™） | 聚光灯,36,4.26,5.8,1.36,2024-06-17
截短霰弹枪,略有磨损,普通,779248,截短霰弹枪 | 启示录,474,4.24,5.66,1.33,2024-06-17
截短霰弹枪,崭新出厂,普通,762158,截短霰弹枪 | 刹车灯,1927,4.21,5.44,1.29,2024-06-17
截短霰弹枪,略有磨损,普通,762237,截短霰弹枪 | 刹车灯,92,4.13,5.22,1.26,2024-06-17
截短霰弹枪,久经沙场,纪念品,38033,截短霰弹枪（纪念品） | 外表生锈,172,4.08,5.88,1.44,2024-06-17
截短霰弹枪,崭新出厂,StatTrak™,887018,截短霰弹枪（StatTrak™） | 灵应牌,118,3.96,5.8,1.46,2024-06-17
截短霰弹枪,久经沙场,普通,36622,截短霰弹枪 | 路霸,49,3.95,5.66,1.43,2024-06-17
截短霰弹枪,战痕累累,普通,835625,截短霰弹枪 | 伏击者,12,3.93,4.57,1.16,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39620,截短霰弹枪（StatTrak™） | 梭鲈,25,3.93,5.3,1.35,2024-06-17
截短霰弹枪,破损不堪,普通,835538,截短霰弹枪 | 伏击者,14,3.89,4.72,1.21,2024-06-17
截短霰弹枪,久经沙场,普通,36662,截短霰弹枪 | 贤者涂装,71,3.89,4.64,1.19,2024-06-17
截短霰弹枪,战痕累累,普通,36660,截短霰弹枪 | 贤者涂装,4,3.87,4.35,1.12,2024-06-17
截短霰弹枪,破损不堪,普通,36624,截短霰弹枪 | 路霸,49,3.87,4.57,1.18,2024-06-17
截短霰弹枪,久经沙场,普通,835446,截短霰弹枪 | 伏击者,165,3.8,5.01,1.32,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,779390,截短霰弹枪（StatTrak™） | 启示录,68,3.8,5.08,1.34,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,779363,截短霰弹枪（StatTrak™） | 启示录,86,3.8,5.08,1.34,2024-06-17
截短霰弹枪,破损不堪,纪念品,38045,截短霰弹枪（纪念品） | 蝮蛇迷彩,12,3.77,4.5,1.19,2024-06-17
截短霰弹枪,破损不堪,纪念品,38030,截短霰弹枪（纪念品） | 辐照警报,35,3.48,3.12,0.9,2024-06-17
截短霰弹枪,战痕累累,纪念品,38041,截短霰弹枪（纪念品） | 蝮蛇迷彩,30,3.45,4.35,1.26,2024-06-17
截短霰弹枪,战痕累累,普通,36620,截短霰弹枪 | 路霸,22,3.26,4.64,1.42,2024-06-17
截短霰弹枪,崭新出厂,普通,36589,截短霰弹枪 | 渐变琥珀,712,3.21,4.28,1.33,2024-06-17
截短霰弹枪,崭新出厂,普通,36616,截短霰弹枪 | 逮捕者,297,3.2,4.28,1.34,2024-06-17
截短霰弹枪,久经沙场,普通,36632,截短霰弹枪 | 聚光灯,161,3.11,4.21,1.35,2024-06-17
截短霰弹枪,崭新出厂,纪念品,761360,截短霰弹枪（纪念品） | 刹车灯,372,2.97,3.34,1.12,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39596,截短霰弹枪（StatTrak™） | 千纸鹤,181,2.81,3.48,1.24,2024-06-17
截短霰弹枪,崭新出厂,普通,36685,截短霰弹枪 | 弄臣之颅,103,2.75,3.85,1.4,2024-06-17
截短霰弹枪,战痕累累,纪念品,38026,截短霰弹枪（纪念品） | 辐照警报,55,2.69,3.12,1.16,2024-06-17
截短霰弹枪,破损不堪,普通,36634,截短霰弹枪 | 聚光灯,27,2.66,3.34,1.26,2024-06-17
截短霰弹枪,崭新出厂,普通,36690,截短霰弹枪 | 梭鲈,28,2.39,3.77,1.58,2024-06-17
截短霰弹枪,战痕累累,普通,36630,截短霰弹枪 | 聚光灯,49,2.22,2.83,1.27,2024-06-17
截短霰弹枪,久经沙场,普通,779210,截短霰弹枪 | 启示录,726,2.11,2.97,1.41,2024-06-17
截短霰弹枪,破损不堪,普通,779262,截短霰弹枪 | 启示录,228,2.1,2.47,1.18,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39619,截短霰弹枪（StatTrak™） | 梭鲈,75,2.05,2.68,1.31,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39621,截短霰弹枪（StatTrak™） | 梭鲈,86,1.96,2.47,1.26,2024-06-17
截短霰弹枪,略有磨损,普通,36591,截短霰弹枪 | 渐变琥珀,557,1.95,2.47,1.27,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39614,截短霰弹枪（StatTrak™） | 弄臣之颅,42,1.91,2.32,1.21,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39617,截短霰弹枪（StatTrak™） | 梭鲈,29,1.9,2.18,1.15,2024-06-17
截短霰弹枪,略有磨损,普通,36618,截短霰弹枪 | 逮捕者,395,1.88,2.47,1.31,2024-06-17
截短霰弹枪,破损不堪,普通,36592,截短霰弹枪 | 渐变琥珀,34,1.88,1.67,0.89,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,763412,截短霰弹枪（StatTrak™） | 黑砂,107,1.86,2.47,1.33,2024-06-17
截短霰弹枪,崭新出厂,普通,36651,截短霰弹枪 | 千纸鹤,447,1.81,2.32,1.28,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39597,截短霰弹枪（StatTrak™） | 千纸鹤,37,1.77,2.54,1.44,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,43934,截短霰弹枪（StatTrak™） | 千纸鹤,24,1.76,2.76,1.57,2024-06-17
截短霰弹枪,战痕累累,普通,779253,截短霰弹枪 | 启示录,239,1.71,2.47,1.44,2024-06-17
截短霰弹枪,略有磨损,普通,36692,截短霰弹枪 | 梭鲈,58,1.68,2.32,1.38,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,39587,截短霰弹枪（StatTrak™） | 夜百合,156,1.63,2.25,1.38,2024-06-17
截短霰弹枪,崭新出厂,普通,36636,截短霰弹枪 | 夜百合,171,1.57,2.1,1.34,2024-06-17
截短霰弹枪,久经沙场,纪念品,38043,截短霰弹枪（纪念品） | 蝮蛇迷彩,145,1.49,2.1,1.41,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39573,截短霰弹枪（StatTrak™） | 破铜烂铁,22,1.48,1.89,1.28,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39595,截短霰弹枪（StatTrak™） | 千纸鹤,208,1.47,2.18,1.48,2024-06-17
截短霰弹枪,略有磨损,普通,36687,截短霰弹枪 | 弄臣之颅,155,1.36,1.67,1.23,2024-06-17
截短霰弹枪,久经沙场,普通,36590,截短霰弹枪 | 渐变琥珀,328,1.36,1.74,1.28,2024-06-17
截短霰弹枪,久经沙场,普通,36691,截短霰弹枪 | 梭鲈,65,1.33,1.81,1.36,2024-06-17
截短霰弹枪,久经沙场,普通,36617,截短霰弹枪 | 逮捕者,332,1.33,1.67,1.26,2024-06-17
截短霰弹枪,崭新出厂,普通,763317,截短霰弹枪 | 黑砂,95,1.32,1.81,1.37,2024-06-17
截短霰弹枪,久经沙场,纪念品,38028,截短霰弹枪（纪念品） | 辐照警报,308,1.32,2.03,1.54,2024-06-17
截短霰弹枪,战痕累累,普通,36615,截短霰弹枪 | 逮捕者,74,1.31,1.31,1.0,2024-06-17
截短霰弹枪,略有磨损,StatTrak™,886754,截短霰弹枪（StatTrak™） | 灵应牌,448,1.39,1.89,1.36,2024-06-17
截短霰弹枪,破损不堪,普通,36619,截短霰弹枪 | 逮捕者,57,1.22,1.45,1.19,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,39616,截短霰弹枪（StatTrak™） | 弄臣之颅,38,1.15,1.67,1.45,2024-06-17
截短霰弹枪,破损不堪,普通,36693,截短霰弹枪 | 梭鲈,65,1.12,1.52,1.36,2024-06-17
截短霰弹枪,崭新出厂,普通,887014,截短霰弹枪 | 灵应牌,256,1.09,1.67,1.53,2024-06-17
截短霰弹枪,战痕累累,普通,36689,截短霰弹枪 | 梭鲈,77,1.08,1.31,1.21,2024-06-17
截短霰弹枪,略有磨损,普通,36653,截短霰弹枪 | 千纸鹤,229,1.02,1.16,1.14,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,39612,截短霰弹枪（StatTrak™） | 弄臣之颅,58,0.95,1.45,1.53,2024-06-17
截短霰弹枪,破损不堪,StatTrak™,763415,截短霰弹枪（StatTrak™） | 黑砂,24,0.94,0.87,0.93,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,763352,截短霰弹枪（StatTrak™） | 黑砂,219,0.89,1.16,1.3,2024-06-17
截短霰弹枪,崭新出厂,普通,36671,截短霰弹枪 | 蝮蛇迷彩,53,0.87,1.09,1.25,2024-06-17
截短霰弹枪,略有磨损,普通,763292,截短霰弹枪 | 黑砂,304,0.76,1.02,1.34,2024-06-17
截短霰弹枪,久经沙场,StatTrak™,39586,截短霰弹枪（StatTrak™） | 夜百合,86,0.71,1.16,1.63,2024-06-17
截短霰弹枪,战痕累累,StatTrak™,887020,截短霰弹枪（StatTrak™） | 灵应牌,163,0.68,0.87,1.28,2024-06-17
