新星,久经沙场,普通,35795,新星 | 樱花之绚烂,67,41.9,55.93,1.33,2024-06-17
新星,久经沙场,普通,759213,新星 | 玩具士兵,196,4.75,6.31,1.33,2024-06-17
新星,战痕累累,StatTrak™,775803,新星（StatTrak™） | 风卷残云,11,4.66,5.37,1.15,2024-06-17
新星,久经沙场,纪念品,37859,新星（纪念品） | 胡桃木,1491,4.54,5.37,1.18,2024-06-17
新星,略有磨损,普通,35820,新星 | 毒蜥,166,4.5,5.37,1.19,2024-06-17
新星,崭新出厂,StatTrak™,763406,新星（StatTrak™） | 灼木,78,4.28,5.66,1.32,2024-06-17
新星,破损不堪,普通,759269,新星 | 玩具士兵,83,4.28,5.37,1.25,2024-06-17
新星,略有磨损,普通,835365,新星 | 军队之辉,66,4.18,5.01,1.2,2024-06-17
新星,久经沙场,纪念品,876974,新星（纪念品） | 致幻时刻,82,4.17,6.17,1.48,2024-06-17
新星,略有磨损,普通,775101,新星 | 风卷残云,74,4.13,6.24,1.51,2024-06-17
新星,略有磨损,纪念品,37845,新星（纪念品） | 极地网格,171,4.13,5.95,1.44,2024-06-17
新星,久经沙场,普通,835414,新星 | 军队之辉,14,4.1,5.51,1.34,2024-06-17
新星,久经沙场,普通,35832,新星 | 锦鲤,57,4.03,5.59,1.39,2024-06-17
新星,略有磨损,StatTrak™,39178,新星（StatTrak™） | 游侠,79,3.86,6.24,1.62,2024-06-17
新星,战痕累累,普通,759267,新星 | 玩具士兵,240,3.74,5.01,1.34,2024-06-17
新星,略有磨损,普通,45283,新星 | 狂野六号,202,3.39,4.72,1.39,2024-06-17
新星,崭新出厂,普通,35855,新星 | 游侠,37,3,4.35,1.45,2024-06-17
新星,破损不堪,StatTrak™,45329,新星（StatTrak™） | 狂野六号,26,2.84,4.43,1.56,2024-06-17
新星,略有磨损,StatTrak™,956537,新星（StatTrak™） | 黑暗徽记,188,2.83,3.77,1.33,2024-06-17
新星,略有磨损,StatTrak™,39157,新星（StatTrak™） | Exo,126,2.83,3.92,1.39,2024-06-17
新星,久经沙场,StatTrak™,45397,新星（StatTrak™） | 狂野六号,227,2.8,4.14,1.48,2024-06-17
新星,战痕累累,StatTrak™,45435,新星（StatTrak™） | 狂野六号,52,2.78,3.77,1.36,2024-06-17
新星,久经沙场,普通,775108,新星 | 风卷残云,82,2.6,3.63,1.4,2024-06-17
新星,崭新出厂,普通,857525,新星 | 随风,929,2.54,3.41,1.34,2024-06-17
新星,久经沙场,普通,35819,新星 | 毒蜥,63,2.3,2.76,1.2,2024-06-17
新星,战痕累累,普通,774798,新星 | 风卷残云,67,2.28,3.48,1.53,2024-06-17
新星,破损不堪,纪念品,37846,新星（纪念品） | 极地网格,27,2.27,2.47,1.09,2024-06-17
新星,略有磨损,纪念品,877186,新星（纪念品） | 流沙,96,2.24,3.34,1.49,2024-06-17
新星,久经沙场,StatTrak™,857645,新星（StatTrak™） | 随风,191,2.17,2.97,1.37,2024-06-17
新星,略有磨损,StatTrak™,763310,新星（StatTrak™） | 灼木,123,1.98,2.83,1.43,2024-06-17
新星,战痕累累,StatTrak™,857708,新星（StatTrak™） | 随风,19,1.96,3.7,1.89,2024-06-17
新星,破损不堪,纪念品,877232,新星（纪念品） | 流沙,32,1.88,1.67,0.89,2024-06-17
新星,久经沙场,StatTrak™,39177,新星（StatTrak™） | 游侠,57,1.88,2.61,1.39,2024-06-17
新星,破损不堪,普通,45284,新星 | 狂野六号,43,1.86,2.32,1.25,2024-06-17
新星,破损不堪,StatTrak™,857661,新星（StatTrak™） | 随风,31,1.82,2.68,1.47,2024-06-17
新星,略有磨损,纪念品,37850,新星（纪念品） | 捕食者,138,1.79,2.54,1.42,2024-06-17
新星,崭新出厂,普通,956509,新星 | 黑暗徽记,382,1.69,1.96,1.16,2024-06-17
新星,久经沙场,普通,45387,新星 | 狂野六号,733,1.69,2.32,1.37,2024-06-17
新星,战痕累累,StatTrak™,39154,新星（StatTrak™） | Exo,26,1.52,2.47,1.62,2024-06-17
新星,战痕累累,纪念品,877219,新星（纪念品） | 流沙,46,1.51,2.32,1.54,2024-06-17
新星,崭新出厂,普通,35805,新星 | Exo,395,1.49,2.1,1.41,2024-06-17
新星,战痕累累,纪念品,37842,新星（纪念品） | 极地网格,69,1.45,2.1,1.45,2024-06-17
新星,久经沙场,StatTrak™,956541,新星（StatTrak™） | 黑暗徽记,245,1.39,1.96,1.41,2024-06-17
新星,破损不堪,纪念品,37851,新星（纪念品） | 捕食者,53,1.38,1.81,1.31,2024-06-17
新星,战痕累累,普通,45281,新星 | 狂野六号,102,1.37,2.1,1.53,2024-06-17
新星,破损不堪,StatTrak™,39179,新星（StatTrak™） | 游侠,34,1.37,1.67,1.22,2024-06-17
新星,破损不堪,StatTrak™,956615,新星（StatTrak™） | 黑暗徽记,30,1.35,1.74,1.29,2024-06-17
新星,略有磨损,普通,857543,新星 | 随风,453,1.35,1.74,1.29,2024-06-17
新星,战痕累累,StatTrak™,956559,新星（StatTrak™） | 黑暗徽记,78,1.29,1.52,1.18,2024-06-17
新星,崭新出厂,普通,763385,新星 | 灼木,167,1.29,1.67,1.29,2024-06-17
新星,破损不堪,StatTrak™,39158,新星（StatTrak™） | Exo,19,1.29,2.1,1.63,2024-06-17
新星,久经沙场,StatTrak™,39156,新星（StatTrak™） | Exo,142,1.28,1.67,1.3,2024-06-17
新星,久经沙场,普通,35856,新星 | 游侠,32,1.25,1.96,1.57,2024-06-17
新星,略有磨损,普通,35857,新星 | 游侠,43,1.24,1.96,1.58,2024-06-17
新星,战痕累累,纪念品,37847,新星（纪念品） | 捕食者,65,1.2,1.89,1.57,2024-06-17
新星,战痕累累,普通,35854,新星 | 游侠,22,1.2,1.52,1.27,2024-06-17
新星,破损不堪,普通,35858,新星 | 游侠,64,1.15,1.74,1.51,2024-06-17
新星,战痕累累,StatTrak™,43928,新星（StatTrak™） | 游侠,37,1.14,1.67,1.46,2024-06-17
新星,战痕累累,普通,35804,新星 | Exo,14,1.07,1.81,1.69,2024-06-17
新星,久经沙场,纪念品,877188,新星（纪念品） | 流沙,178,1.06,0.94,0.89,2024-06-17
新星,破损不堪,StatTrak™,763431,新星（StatTrak™） | 灼木,14,1.02,1.52,1.49,2024-06-17
新星,略有磨损,普通,956471,新星 | 黑暗徽记,681,0.95,1.31,1.38,2024-06-17
新星,略有磨损,普通,35807,新星 | Exo,128,0.92,1.31,1.42,2024-06-17
新星,破损不堪,普通,857600,新星 | 随风,37,0.88,1.31,1.49,2024-06-17
新星,久经沙场,StatTrak™,763237,新星（StatTrak™） | 灼木,144,0.87,1.16,1.33,2024-06-17
新星,久经沙场,纪念品,37844,新星（纪念品） | 极地网格,336,0.86,1.31,1.52,2024-06-17
新星,破损不堪,普通,35808,新星 | Exo,9,0.86,1.38,1.6,2024-06-17
新星,久经沙场,普通,35806,新星 | Exo,87,0.82,1.16,1.41,2024-06-17
新星,久经沙场,普通,857542,新星 | 随风,334,0.8,1.16,1.45,2024-06-17
新星,久经沙场,纪念品,37849,新星（纪念品） | 捕食者,328,0.79,0.94,1.19,2024-06-17
新星,崭新出厂,普通,35798,新星 | 钢笼,2223,0.79,1.09,1.38,2024-06-17
新星,战痕累累,StatTrak™,763253,新星（StatTrak™） | 灼木,80,0.77,1.02,1.32,2024-06-17
新星,战痕累累,普通,857576,新星 | 随风,39,0.75,1.23,1.64,2024-06-17
新星,略有磨损,普通,763245,新星 | 灼木,316,0.72,1.02,1.42,2024-06-17
新星,崭新出厂,普通,35845,新星 | 极地网格,49,0.67,0.73,1.09,2024-06-17
新星,略有磨损,普通,35800,新星 | 钢笼,547,0.64,0.87,1.36,2024-06-17
新星,久经沙场,普通,956464,新星 | 黑暗徽记,459,0.55,0.8,1.45,2024-06-17
新星,崭新出厂,普通,35865,新星 | 沙丘之黄,239,0.55,0.8,1.45,2024-06-17
新星,破损不堪,普通,956545,新星 | 黑暗徽记,62,0.52,0.73,1.4,2024-06-17
新星,崭新出厂,普通,35801,新星 | 红苹果,2499,0.52,0.73,1.4,2024-06-17
新星,战痕累累,普通,956521,新星 | 黑暗徽记,129,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,763261,新星 | 灼木,203,0.48,0.73,1.52,2024-06-17
新星,崭新出厂,普通,35850,新星 | 捕食者,157,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,35799,新星 | 钢笼,80,0.47,0.73,1.55,2024-06-17
新星,破损不堪,普通,763379,新星 | 灼木,25,0.39,0.65,1.67,2024-06-17
新星,战痕累累,普通,763275,新星 | 灼木,54,0.35,0.58,1.66,2024-06-17
新星,略有磨损,普通,35803,新星 | 红苹果,918,0.34,0.58,1.71,2024-06-17
新星,久经沙场,普通,35802,新星 | 红苹果,220,0.3,0.51,1.7,2024-06-17
新星,崭新出厂,纪念品,761420,新星（纪念品） | 芯轴,444,0.29,0.51,1.76,2024-06-17
新星,崭新出厂,普通,762080,新星 | 芯轴,969,0.18,0.29,1.61,2024-06-17
新星,战痕累累,纪念品,761460,新星（纪念品） | 芯轴,49,0.15,0.36,2.4,2024-06-17
新星,破损不堪,纪念品,761461,新星（纪念品） | 芯轴,52,0.13,0.29,2.23,2024-06-17
新星,崭新出厂,纪念品,876991,新星（纪念品） | 军队之辉,741,0.09,0.29,3.22,2024-06-17
新星,略有磨损,纪念品,761486,新星（纪念品） | 芯轴,286,0.08,0.29,3.62,2024-06-17
新星,略有磨损,普通,35847,新星 | 极地网格,360,0.07,0.22,3.14,2024-06-17
新星,略有磨损,普通,762106,新星 | 芯轴,677,0.07,0.22,3.14,2024-06-17
新星,破损不堪,普通,762140,新星 | 芯轴,105,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,762139,新星 | 芯轴,38,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,761432,新星（纪念品） | 芯轴,760,0.05,0.22,4.4,2024-06-17
新星,略有磨损,普通,35852,新星 | 捕食者,496,0.06,0.22,3.67,2024-06-17
新星,破损不堪,普通,35848,新星 | 极地网格,141,0.05,0.22,4.4,2024-06-17
新星,久经沙场,普通,35846,新星 | 极地网格,1025,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,35844,新星 | 极地网格,178,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,877007,新星（纪念品） | 军队之辉,379,0.04,0.22,5.5,2024-06-17
新星,久经沙场,普通,762078,新星 | 芯轴,1799,0.04,0.22,5.5,2024-06-17
新星,略有磨损,普通,35866,新星 | 沙丘之黄,542,0.04,0.22,5.5,2024-06-17
新星,略有磨损,纪念品,877006,新星（纪念品） | 军队之辉,886,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35867,新星 | 沙丘之黄,270,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,35864,新星 | 沙丘之黄,499,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35853,新星 | 捕食者,126,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,35851,新星 | 捕食者,908,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,35849,新星 | 捕食者,255,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,33810,新星 | 沙丘之黄,1579,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,857576,新星 | 随风,39,0.75,1.23,1.64,2024-06-17
新星,略有磨损,普通,763245,新星 | 灼木,316,0.72,1.02,1.42,2024-06-17
新星,崭新出厂,普通,35845,新星 | 极地网格,49,0.67,0.73,1.09,2024-06-17
新星,略有磨损,普通,35800,新星 | 钢笼,547,0.64,0.87,1.36,2024-06-17
新星,久经沙场,普通,956464,新星 | 黑暗徽记,459,0.55,0.8,1.45,2024-06-17
新星,崭新出厂,普通,35865,新星 | 沙丘之黄,239,0.55,0.8,1.45,2024-06-17
新星,破损不堪,普通,956545,新星 | 黑暗徽记,62,0.52,0.73,1.4,2024-06-17
新星,崭新出厂,普通,35801,新星 | 红苹果,2499,0.52,0.73,1.4,2024-06-17
新星,战痕累累,普通,956521,新星 | 黑暗徽记,129,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,763261,新星 | 灼木,203,0.48,0.73,1.52,2024-06-17
新星,崭新出厂,普通,35850,新星 | 捕食者,157,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,35799,新星 | 钢笼,80,0.47,0.73,1.55,2024-06-17
新星,破损不堪,普通,763379,新星 | 灼木,25,0.39,0.65,1.67,2024-06-17
新星,战痕累累,普通,763275,新星 | 灼木,54,0.35,0.58,1.66,2024-06-17
新星,略有磨损,普通,35803,新星 | 红苹果,918,0.34,0.58,1.71,2024-06-17
新星,久经沙场,普通,35802,新星 | 红苹果,220,0.3,0.51,1.7,2024-06-17
新星,崭新出厂,纪念品,761420,新星（纪念品） | 芯轴,444,0.29,0.51,1.76,2024-06-17
新星,崭新出厂,普通,762080,新星 | 芯轴,969,0.18,0.29,1.61,2024-06-17
新星,战痕累累,纪念品,761460,新星（纪念品） | 芯轴,49,0.15,0.36,2.4,2024-06-17
新星,破损不堪,纪念品,761461,新星（纪念品） | 芯轴,52,0.13,0.29,2.23,2024-06-17
新星,崭新出厂,纪念品,876991,新星（纪念品） | 军队之辉,741,0.09,0.29,3.22,2024-06-17
新星,略有磨损,纪念品,761486,新星（纪念品） | 芯轴,286,0.08,0.29,3.62,2024-06-17
新星,略有磨损,普通,35847,新星 | 极地网格,360,0.07,0.22,3.14,2024-06-17
新星,略有磨损,普通,762106,新星 | 芯轴,677,0.07,0.22,3.14,2024-06-17
新星,破损不堪,普通,762140,新星 | 芯轴,105,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,762139,新星 | 芯轴,38,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,761432,新星（纪念品） | 芯轴,760,0.05,0.22,4.4,2024-06-17
新星,略有磨损,普通,35852,新星 | 捕食者,496,0.06,0.22,3.67,2024-06-17
新星,破损不堪,普通,35848,新星 | 极地网格,141,0.05,0.22,4.4,2024-06-17
新星,久经沙场,普通,35846,新星 | 极地网格,1025,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,35844,新星 | 极地网格,178,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,877007,新星（纪念品） | 军队之辉,379,0.04,0.22,5.5,2024-06-17
新星,久经沙场,普通,762078,新星 | 芯轴,1799,0.04,0.22,5.5,2024-06-17
新星,略有磨损,普通,35866,新星 | 沙丘之黄,542,0.04,0.22,5.5,2024-06-17
新星,略有磨损,纪念品,877006,新星（纪念品） | 军队之辉,886,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35867,新星 | 沙丘之黄,270,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,35864,新星 | 沙丘之黄,499,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35853,新星 | 捕食者,126,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,35851,新星 | 捕食者,908,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,35849,新星 | 捕食者,255,0.03,0.22,7.33,2024-06-17
新星,久经沙场,普通,33810,新星 | 沙丘之黄,1579,0.03,0.22,7.33,2024-06-17
新星,战痕累累,普通,857576,新星 | 随风,39,0.75,1.23,1.64,2024-06-17
新星,略有磨损,普通,763245,新星 | 灼木,316,0.72,1.02,1.42,2024-06-17
新星,崭新出厂,普通,35845,新星 | 极地网格,49,0.67,0.73,1.09,2024-06-17
新星,略有磨损,普通,35800,新星 | 钢笼,547,0.64,0.87,1.36,2024-06-17
新星,久经沙场,普通,956464,新星 | 黑暗徽记,459,0.55,0.8,1.45,2024-06-17
新星,崭新出厂,普通,35865,新星 | 沙丘之黄,239,0.55,0.8,1.45,2024-06-17
新星,破损不堪,普通,956545,新星 | 黑暗徽记,62,0.52,0.73,1.4,2024-06-17
新星,崭新出厂,普通,35801,新星 | 红苹果,2499,0.52,0.73,1.4,2024-06-17
新星,战痕累累,普通,956521,新星 | 黑暗徽记,129,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,763261,新星 | 灼木,203,0.48,0.73,1.52,2024-06-17
新星,崭新出厂,普通,35850,新星 | 捕食者,157,0.48,0.65,1.35,2024-06-17
新星,久经沙场,普通,35799,新星 | 钢笼,80,0.47,0.73,1.55,2024-06-17
新星,破损不堪,普通,763379,新星 | 灼木,25,0.39,0.65,1.67,2024-06-17
新星,战痕累累,普通,763275,新星 | 灼木,54,0.35,0.58,1.66,2024-06-17
新星,略有磨损,普通,35803,新星 | 红苹果,918,0.34,0.58,1.71,2024-06-17
新星,久经沙场,普通,35802,新星 | 红苹果,220,0.3,0.51,1.7,2024-06-17
新星,崭新出厂,纪念品,761420,新星（纪念品） | 芯轴,444,0.29,0.51,1.76,2024-06-17
新星,崭新出厂,普通,762080,新星 | 芯轴,969,0.18,0.29,1.61,2024-06-17
新星,战痕累累,纪念品,761460,新星（纪念品） | 芯轴,49,0.15,0.36,2.4,2024-06-17
新星,破损不堪,纪念品,761461,新星（纪念品） | 芯轴,52,0.13,0.29,2.23,2024-06-17
新星,崭新出厂,纪念品,876991,新星（纪念品） | 军队之辉,741,0.09,0.29,3.22,2024-06-17
新星,略有磨损,纪念品,761486,新星（纪念品） | 芯轴,286,0.08,0.29,3.62,2024-06-17
新星,略有磨损,普通,35847,新星 | 极地网格,360,0.07,0.22,3.14,2024-06-17
新星,略有磨损,普通,762106,新星 | 芯轴,677,0.07,0.22,3.14,2024-06-17
新星,破损不堪,普通,762140,新星 | 芯轴,105,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,762139,新星 | 芯轴,38,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,761432,新星（纪念品） | 芯轴,760,0.05,0.22,4.4,2024-06-17
新星,略有磨损,普通,35852,新星 | 捕食者,496,0.06,0.22,3.67,2024-06-17
新星,破损不堪,普通,35848,新星 | 极地网格,141,0.05,0.22,4.4,2024-06-17
新星,久经沙场,普通,35846,新星 | 极地网格,1025,0.05,0.22,4.4,2024-06-17
新星,战痕累累,普通,35844,新星 | 极地网格,178,0.05,0.22,4.4,2024-06-17
新星,久经沙场,纪念品,877007,新星（纪念品） | 军队之辉,379,0.04,0.22,5.5,2024-06-17
新星,久经沙场,普通,762078,新星 | 芯轴,1799,0.04,0.22,5.5,2024-06-17
新星,略有磨损,普通,35866,新星 | 沙丘之黄,542,0.04,0.22,5.5,2024-06-17
新星,略有磨损,纪念品,877006,新星（纪念品） | 军队之辉,886,0.03,0.22,7.33,2024-06-17
新星,破损不堪,普通,35867,新星 | 沙丘之黄,270,0.03,0.22,7.33,2024-06-17
