P90,崭新出厂,StatTrak™,39339,P90（StatTrak™） | 翡翠之龙,9,6999.5,6629.51,0.95,2024-06-17
P90,略有磨损,StatTrak™,39307,P90（StatTrak™） | 二西莫夫,130,337,453.64,1.35,2024-06-17
P90,略有磨损,普通,36136,P90 | 喵之萌杀,182,305.5,404.38,1.32,2024-06-17
P90,破损不堪,普通,776476,P90 | 巴洛克之红,1,229,275.46,1.2,2024-06-17
P90,崭新出厂,普通,36114,P90 | 二西莫夫,273,224,299.62,1.34,2024-06-17
P90,战痕累累,普通,775932,P90 | 日落百合,2,223.5,265.96,1.19,2024-06-17
P90,略有磨损,普通,36155,P90 | 辐射警告,5,199.49,243.04,1.22,2024-06-17
P90,崭新出厂,普通,36158,P90 | 冰川网格,12,199,217.28,1.09,2024-06-17
P90,崭新出厂,纪念品,929141,P90（纪念品） | 疾袭圣甲虫,16,196,431.08,2.2,2024-06-17
P90,久经沙场,普通,775591,P90 | 巴洛克之红,6,194,270.89,1.4,2024-06-17
P90,崭新出厂,普通,776024,P90 | 巴洛克之红,24,190.5,282.36,1.48,2024-06-17
P90,崭新出厂,普通,775332,P90 | 日落百合,23,189.5,248.77,1.31,2024-06-17
P90,略有磨损,普通,775115,P90 | 巴洛克之红,11,189.5,279.67,1.48,2024-06-17
P90,略有磨损,普通,775264,P90 | 日落百合,13,189.49,251.67,1.33,2024-06-17
P90,久经沙场,普通,775158,P90 | 日落百合,10,189.49,234.77,1.24,2024-06-17
P90,破损不堪,普通,776209,P90 | 日落百合,1,187.5,270.89,1.44,2024-06-17
P90,久经沙场,普通,36135,P90 | 喵之萌杀,73,186.5,258.85,1.39,2024-06-17
P90,崭新出厂,纪念品,37928,P90（纪念品） | 暴风呼啸,13,178.5,231.28,1.3,2024-06-17
P90,破损不堪,普通,835795,P90 | 困兽之斗,7,178,115.93,0.65,2024-06-17
P90,崭新出厂,StatTrak™,39357,P90（StatTrak™） | 精雕木刻,35,169.5,232.15,1.37,2024-06-17
P90,崭新出厂,StatTrak™,39322,P90（StatTrak™） | 死亡之握,14,168.98,252.54,1.49,2024-06-17
P90,崭新出厂,StatTrak™,773797,P90（StatTrak™） | 往日行动,47,147.38,220.69,1.5,2024-06-17
P90,略有磨损,纪念品,877112,P90（纪念品） | 豹走,37,143.5,227.37,1.58,2024-06-17
P90,久经沙场,StatTrak™,39306,P90（StatTrak™） | 二西莫夫,135,140.05,191.89,1.37,2024-06-17
P90,崭新出厂,StatTrak™,39366,P90（StatTrak™） | 病毒危机,17,139.48,247.46,1.77,2024-06-17
P90,崭新出厂,普通,36196,P90 | 暴风呼啸,10,119.5,179.99,1.51,2024-06-17
P90,略有磨损,StatTrak™,39324,P90（StatTrak™） | 死亡之握,15,117.5,159.75,1.36,2024-06-17
P90,崭新出厂,普通,36168,P90 | 棕色皮革,15,115.5,193.12,1.67,2024-06-17
P90,战痕累累,StatTrak™,39361,P90（StatTrak™） | 三角,28,110.5,151.04,1.37,2024-06-17
P90,崭新出厂,StatTrak™,39310,P90（StatTrak™） | 盲点,71,109.5,152.35,1.39,2024-06-17
P90,破损不堪,StatTrak™,39308,P90（StatTrak™） | 二西莫夫,8,106.34,144.3,1.36,2024-06-17
P90,略有磨损,StatTrak™,39363,P90（StatTrak™） | 三角,77,103.5,154.16,1.49,2024-06-17
P90,崭新出厂,StatTrak™,39352,P90（StatTrak™） | 浅坟,36,100.8,149.74,1.49,2024-06-17
P90,略有磨损,普通,871824,P90 | 解视图,10,98.33,129.43,1.32,2024-06-17
P90,崭新出厂,普通,835792,P90 | 困兽之斗,153,95.9,154.6,1.61,2024-06-17
P90,崭新出厂,普通,871754,P90 | 解视图,25,95.29,144.01,1.51,2024-06-17
P90,久经沙场,纪念品,877058,P90（纪念品） | 豹走,35,94.9,137.48,1.45,2024-06-17
P90,破损不堪,StatTrak™,39313,P90（StatTrak™） | 盲点,4,94.38,101.57,1.08,2024-06-17
P90,略有磨损,普通,36116,P90 | 二西莫夫,835,91.8,127.83,1.39,2024-06-17
P90,久经沙场,普通,871780,P90 | 解视图,3,91.66,144.95,1.58,2024-06-17
P90,略有磨损,StatTrak™,39312,P90（StatTrak™） | 盲点,59,89.98,115.42,1.28,2024-06-17
P90,破损不堪,StatTrak™,39364,P90（StatTrak™） | 三角,13,89.3,125.29,1.4,2024-06-17
P90,战痕累累,普通,36152,P90 | 辐射警告,7,88.27,58.4,0.66,2024-06-17
P90,战痕累累,StatTrak™,39309,P90（StatTrak™） | 盲点,4,88.1,128.77,1.46,2024-06-17
P90,久经沙场,普通,835612,P90 | 困兽之斗,29,87.18,121.45,1.39,2024-06-17
P90,略有磨损,普通,835720,P90 | 困兽之斗,42,85.9,124.49,1.45,2024-06-17
P90,战痕累累,StatTrak™,39304,P90（StatTrak™） | 二西莫夫,32,85.5,117.38,1.37,2024-06-17
P90,战痕累累,普通,835968,P90 | 困兽之斗,1,84.9,149.74,1.76,2024-06-17
P90,崭新出厂,StatTrak™,39329,P90（StatTrak™） | 沙漠战争,16,83.44,125.58,1.51,2024-06-17
P90,久经沙场,StatTrak™,39362,P90（StatTrak™） | 三角,55,82.38,133.49,1.62,2024-06-17
P90,久经沙场,StatTrak™,39323,P90（StatTrak™） | 死亡之握,11,79.7,109.4,1.37,2024-06-17
P90,破损不堪,普通,36122,P90 | 盲点,8,76.98,87.06,1.13,2024-06-17
P90,久经沙场,StatTrak™,39311,P90（StatTrak™） | 盲点,50,76.18,95.33,1.25,2024-06-17
P90,略有磨损,StatTrak™,773778,P90（StatTrak™） | 往日行动,58,76.09,106.94,1.41,2024-06-17
P90,崭新出厂,普通,36181,P90 | 枯焦之色,3,74.7,138.49,1.85,2024-06-17
P90,战痕累累,普通,36118,P90 | 盲点,7,73.3,84.37,1.15,2024-06-17
P90,战痕累累,普通,36157,P90 | 冰川网格,4,71.97,56.44,0.78,2024-06-17
P90,战痕累累,纪念品,877079,P90（纪念品） | 豹走,29,69.9,105.77,1.51,2024-06-17
P90,破损不堪,普通,36208,P90 | 三角,4,69.9,80.75,1.16,2024-06-17
P90,破损不堪,StatTrak™,39325,P90（StatTrak™） | 死亡之握,18,69.3,87.35,1.26,2024-06-17
P90,崭新出厂,普通,36119,P90 | 盲点,69,68.9,92.79,1.35,2024-06-17
P90,略有磨损,普通,36170,P90 | 棕色皮革,17,68.22,92.86,1.36,2024-06-17
P90,略有磨损,普通,36121,P90 | 盲点,24,67.57,86.11,1.27,2024-06-17
P90,崭新出厂,普通,927389,P90 | 疾袭圣甲虫,171,66.6,105.92,1.59,2024-06-17
P90,略有磨损,普通,36207,P90 | 三角,114,66.12,96.27,1.46,2024-06-17
P90,破损不堪,纪念品,877103,P90（纪念品） | 豹走,12,64.9,111.43,1.72,2024-06-17
P90,战痕累累,普通,36205,P90 | 三角,50,64.6,89.52,1.39,2024-06-17
P90,久经沙场,普通,36154,P90 | 辐射警告,20,64.02,80.89,1.26,2024-06-17
P90,崭新出厂,普通,36131,P90 | 死亡之握,47,62.9,96.92,1.54,2024-06-17
P90,崭新出厂,普通,773706,P90 | 往日行动,100,61.59,86.11,1.4,2024-06-17
P90,久经沙场,普通,36169,P90 | 棕色皮革,16,61.5,83.21,1.35,2024-06-17
P90,略有磨损,StatTrak™,39359,P90（StatTrak™） | 精雕木刻,55,59.54,94.75,1.59,2024-06-17
P90,久经沙场,普通,36120,P90 | 盲点,42,59.19,75.09,1.27,2024-06-17
P90,久经沙场,普通,36206,P90 | 三角,71,57.9,80.89,1.4,2024-06-17
P90,战痕累累,普通,36167,P90 | 棕色皮革,7,57.89,91.19,1.58,2024-06-17
P90,战痕累累,StatTrak™,39321,P90（StatTrak™） | 死亡之握,57,56.83,85.17,1.5,2024-06-17
P90,破损不堪,普通,36171,P90 | 棕色皮革,5,55.38,89.81,1.62,2024-06-17
P90,略有磨损,纪念品,37915,P90（纪念品） | 辐射警告,59,54.15,74.72,1.38,2024-06-17
P90,崭新出厂,普通,36191,P90 | 精雕木刻,119,53.87,72.77,1.35,2024-06-17
P90,略有磨损,纪念品,929052,P90（纪念品） | 疾袭圣甲虫,33,53.28,79.59,1.49,2024-06-17
P90,战痕累累,StatTrak™,773773,P90（StatTrak™） | 往日行动,7,52.39,48.75,0.93,2024-06-17
P90,略有磨损,普通,927364,P90 | 疾袭圣甲虫,122,51.89,70.88,1.37,2024-06-17
P90,略有磨损,普通,36133,P90 | 死亡之握,28,51.79,65.29,1.26,2024-06-17
P90,破损不堪,StatTrak™,773750,P90（StatTrak™） | 往日行动,4,49.77,70.66,1.42,2024-06-17
P90,久经沙场,StatTrak™,773766,P90（StatTrak™） | 往日行动,57,49.4,69.5,1.41,2024-06-17
P90,略有磨损,StatTrak™,39354,P90（StatTrak™） | 浅坟,48,45.18,67.54,1.49,2024-06-17
P90,略有磨损,纪念品,772923,P90（纪念品） | 冰川网格,30,43.4,65.87,1.52,2024-06-17
P90,久经沙场,普通,36132,P90 | 死亡之握,17,42.66,57.53,1.35,2024-06-17
P90,破损不堪,普通,36134,P90 | 死亡之握,12,41.78,56.51,1.35,2024-06-17
P90,略有磨损,普通,773697,P90 | 往日行动,88,41.7,56.95,1.37,2024-06-17
P90,久经沙场,普通,36115,P90 | 二西莫夫,1179,41.7,57.53,1.38,2024-06-17
P90,略有磨损,普通,36160,P90 | 冰川网格,25,41.55,53.9,1.3,2024-06-17
P90,崭新出厂,普通,36186,P90 | 浅坟,83,39.9,59.71,1.5,2024-06-17
P90,久经沙场,普通,36159,P90 | 冰川网格,25,38.72,53.9,1.39,2024-06-17
P90,久经沙场,普通,773646,P90 | 往日行动,45,37.9,48.1,1.27,2024-06-17
P90,破损不堪,普通,773790,P90 | 往日行动,7,36.27,42.88,1.18,2024-06-17
P90,战痕累累,普通,36130,P90 | 死亡之握,125,36.2,51.87,1.43,2024-06-17
P90,破损不堪,普通,36117,P90 | 二西莫夫,90,35.08,46.94,1.34,2024-06-17
P90,破损不堪,StatTrak™,39355,P90（StatTrak™） | 浅坟,6,34.9,33.73,0.97,2024-06-17
P90,崭新出厂,纪念品,37918,P90（纪念品） | 沙漠涂装,19,34.9,47.66,1.37,2024-06-17
P90,久经沙场,普通,927383,P90 | 疾袭圣甲虫,100,34.8,40.92,1.18,2024-06-17
P90,崭新出厂,纪念品,37923,P90（纪念品） | 枯焦之色,30,32.9,55.14,1.68,2024-06-17
P90,略有磨损,普通,36183,P90 | 枯焦之色,18,32.27,30.91,0.96,2024-06-17
P90,战痕累累,普通,773799,P90 | 往日行动,23,32.05,35.69,1.11,2024-06-17
P90,崭新出厂,StatTrak™,39315,P90（StatTrak™） | 夺命器,97,30.8,41.72,1.35,2024-06-17
P90,战痕累累,StatTrak™,39328,P90（StatTrak™） | 沙漠战争,4,30.69,55.14,1.8,2024-06-17
P90,破损不堪,普通,36184,P90 | 枯焦之色,8,30.09,25.97,0.86,2024-06-17
P90,崭新出厂,StatTrak™,39334,P90（StatTrak™） | 精英之作,117,29.9,45.34,1.52,2024-06-17
P90,战痕累累,普通,871627,P90 | 碧绿升藤,5,28.86,37.87,1.31,2024-06-17
P90,略有磨损,StatTrak™,39368,P90（StatTrak™） | 病毒危机,35,28.79,38.45,1.34,2024-06-17
P90,战痕累累,普通,36113,P90 | 二西莫夫,113,28.24,36.93,1.31,2024-06-17
P90,破损不堪,普通,927371,P90 | 疾袭圣甲虫,40,27.9,33.73,1.21,2024-06-17
P90,崭新出厂,普通,871228,P90 | 碧绿升藤,94,27.9,35.48,1.27,2024-06-17
P90,略有磨损,普通,871216,P90 | 碧绿升藤,49,27.4,35.55,1.3,2024-06-17
P90,久经沙场,普通,871203,P90 | 碧绿升藤,31,27.4,33.73,1.23,2024-06-17
P90,久经沙场,纪念品,929090,P90（纪念品） | 疾袭圣甲虫,45,26.9,35.69,1.33,2024-06-17
P90,破损不堪,普通,871310,P90 | 碧绿升藤,8,26.86,42.66,1.59,2024-06-17
P90,略有磨损,StatTrak™,39331,P90（StatTrak™） | 沙漠战争,7,26.1,34.03,1.3,2024-06-17
P90,崭新出厂,普通,36138,P90 | 沙漠战争,28,26.08,43.46,1.67,2024-06-17
P90,略有磨损,普通,36198,P90 | 暴风呼啸,43,25.88,33.88,1.31,2024-06-17
P90,久经沙场,StatTrak™,39367,P90（StatTrak™） | 病毒危机,32,24.85,27.13,1.09,2024-06-17
P90,崭新出厂,StatTrak™,900620,P90（StatTrak™） | 给爷冲,111,24.7,33.44,1.35,2024-06-17
P90,崭新出厂,StatTrak™,759379,P90（StatTrak™） | 牵引力,62,24.59,36.35,1.48,2024-06-17
P90,战痕累累,普通,36137,P90 | 沙漠战争,3,24.05,40.34,1.68,2024-06-17
P90,战痕累累,StatTrak™,39365,P90（StatTrak™） | 病毒危机,9,23.9,29.67,1.24,2024-06-17
P90,破损不堪,纪念品,37916,P90（纪念品） | 辐射警告,27,23.84,30.91,1.3,2024-06-17
P90,战痕累累,纪念品,877071,P90（纪念品） | 解视图,20,23.49,9.87,0.42,2024-06-17
P90,久经沙场,普通,36197,P90 | 暴风呼啸,19,22.85,28.44,1.24,2024-06-17
P90,战痕累累,StatTrak™,39356,P90（StatTrak™） | 精雕木刻,20,22.7,23.51,1.04,2024-06-17
P90,崭新出厂,纪念品,37908,P90（纪念品） | 白蜡木,118,22.7,37.94,1.67,2024-06-17
P90,久经沙场,StatTrak™,39358,P90（StatTrak™） | 精雕木刻,76,22.66,30.03,1.33,2024-06-17
P90,久经沙场,StatTrak™,39353,P90（StatTrak™） | 浅坟,110,22.48,28.73,1.28,2024-06-17
P90,战痕累累,普通,927377,P90 | 疾袭圣甲虫,94,22.45,31.12,1.39,2024-06-17
P90,久经沙场,纪念品,37914,P90（纪念品） | 辐射警告,120,22.45,35.04,1.56,2024-06-17
P90,破损不堪,普通,36199,P90 | 暴风呼啸,20,21.82,28.73,1.32,2024-06-17
P90,崭新出厂,纪念品,876959,P90（纪念品） | 解视图,75,21.8,25.1,1.15,2024-06-17
P90,战痕累累,普通,36195,P90 | 暴风呼啸,16,21.12,28.44,1.35,2024-06-17
P90,略有磨损,普通,36193,P90 | 精雕木刻,110,21.08,29.02,1.38,2024-06-17
P90,崭新出厂,StatTrak™,921454,P90（StatTrak™） | 元女王,240,20.8,28.15,1.35,2024-06-17
P90,破损不堪,StatTrak™,39332,P90（StatTrak™） | 沙漠战争,2,20.64,26.04,1.26,2024-06-17
P90,破损不堪,纪念品,929062,P90（纪念品） | 疾袭圣甲虫,43,20.55,30.47,1.48,2024-06-17
P90,破损不堪,StatTrak™,39369,P90（StatTrak™） | 病毒危机,7,20.25,32.21,1.59,2024-06-17
P90,破损不堪,StatTrak™,39360,P90（StatTrak™） | 精雕木刻,28,19.87,24.16,1.22,2024-06-17
P90,崭新出厂,普通,36210,P90 | 病毒危机,34,19.85,27.21,1.37,2024-06-17
P90,略有磨损,普通,36188,P90 | 浅坟,113,19.7,27.06,1.37,2024-06-17
P90,战痕累累,纪念品,929046,P90（纪念品） | 疾袭圣甲虫,39,19.59,27.35,1.4,2024-06-17
P90,崭新出厂,StatTrak™,39348,P90（StatTrak™） | 深蓝组件,293,19.56,29.74,1.52,2024-06-17
P90,战痕累累,StatTrak™,39351,P90（StatTrak™） | 浅坟,22,19.12,25.54,1.34,2024-06-17
P90,崭新出厂,普通,36172,P90 | 深蓝组件,339,18.59,22.63,1.22,2024-06-17
P90,略有磨损,普通,36140,P90 | 沙漠战争,24,18.47,26.33,1.43,2024-06-17
P90,战痕累累,纪念品,37912,P90（纪念品） | 辐射警告,21,18.32,26.99,1.47,2024-06-17
P90,久经沙场,普通,36182,P90 | 枯焦之色,34,18.23,24.67,1.35,2024-06-17
P90,战痕累累,普通,36180,P90 | 枯焦之色,9,17.25,26.7,1.55,2024-06-17
P90,略有磨损,纪念品,37930,P90（纪念品） | 暴风呼啸,272,16.8,24.74,1.47,2024-06-17
P90,久经沙场,普通,36139,P90 | 沙漠战争,6,16.11,21.4,1.33,2024-06-17
P90,破损不堪,普通,36213,P90 | 病毒危机,8,16.07,16.4,1.02,2024-06-17
P90,略有磨损,普通,36174,P90 | 深蓝组件,198,16.02,20.6,1.29,2024-06-17
P90,崭新出厂,StatTrak™,835673,P90（StatTrak™） | 大怪兽 RUSH,205,15.17,21.33,1.41,2024-06-17
P90,久经沙场,普通,36173,P90 | 深蓝组件,94,15.09,19.66,1.3,2024-06-17
P90,破损不堪,纪念品,772926,P90（纪念品） | 冰川网格,11,14.96,22.27,1.49,2024-06-17
P90,略有磨损,StatTrak™,39350,P90（StatTrak™） | 深蓝组件,302,14.8,20.24,1.37,2024-06-17
P90,久经沙场,StatTrak™,39349,P90（StatTrak™） | 深蓝组件,130,13.92,18.43,1.32,2024-06-17
P90,略有磨损,StatTrak™,39317,P90（StatTrak™） | 夺命器,193,13.88,20.31,1.46,2024-06-17
P90,久经沙场,StatTrak™,39330,P90（StatTrak™） | 沙漠战争,36,13.58,20.02,1.47,2024-06-17
P90,崭新出厂,StatTrak™,39344,P90（StatTrak™） | 冷血无情,180,13.24,18.86,1.42,2024-06-17
P90,崭新出厂,StatTrak™,769277,P90（StatTrak™） | 异星世界,61,13.08,17.12,1.31,2024-06-17
P90,战痕累累,普通,36209,P90 | 病毒危机,7,12.76,15.96,1.25,2024-06-17
P90,略有磨损,普通,36212,P90 | 病毒危机,62,12.29,17.77,1.45,2024-06-17
P90,破损不堪,纪念品,37911,P90（纪念品） | 白蜡木,25,12.22,18.06,1.48,2024-06-17
P90,略有磨损,纪念品,37910,P90（纪念品） | 白蜡木,96,11.39,15.96,1.4,2024-06-17
P90,略有磨损,StatTrak™,900606,P90（StatTrak™） | 给爷冲,194,11.5,16.83,1.46,2024-06-17
P90,战痕累累,纪念品,761965,P90（纪念品） | 设施系列·底片图,26,11.28,16.98,1.51,2024-06-17
P90,久经沙场,普通,36211,P90 | 病毒危机,23,11.02,14.44,1.31,2024-06-17
P90,崭新出厂,普通,36124,P90 | 夺命器,215,10.1,15.24,1.51,2024-06-17
P90,久经沙场,纪念品,772914,P90（纪念品） | 冰川网格,57,9.88,14.73,1.49,2024-06-17
P90,破损不堪,StatTrak™,39318,P90（StatTrak™） | 夺命器,17,9.54,14.58,1.53,2024-06-17
P90,略有磨损,纪念品,876966,P90（纪念品） | 解视图,50,9.45,13.42,1.42,2024-06-17
P90,战痕累累,纪念品,772918,P90（纪念品） | 冰川网格,35,9.38,15.53,1.66,2024-06-17
P90,破损不堪,纪念品,877041,P90（纪念品） | 解视图,20,9.34,13.71,1.47,2024-06-17
P90,崭新出厂,普通,900470,P90 | 给爷冲,479,8.99,12.84,1.43,2024-06-17
P90,久经沙场,普通,36187,P90 | 浅坟,264,8.93,11.24,1.26,2024-06-17
P90,略有磨损,StatTrak™,769182,P90（StatTrak™） | 异星世界,84,8.8,11.68,1.33,2024-06-17
P90,破损不堪,普通,36189,P90 | 浅坟,13,8.79,12.91,1.47,2024-06-17
P90,战痕累累,StatTrak™,921570,P90（StatTrak™） | 元女王,297,8.72,12.55,1.44,2024-06-17
P90,久经沙场,普通,36192,P90 | 精雕木刻,334,8.72,11.24,1.29,2024-06-17
P90,略有磨损,StatTrak™,921575,P90（StatTrak™） | 元女王,307,8.64,12.12,1.4,2024-06-17
P90,破损不堪,纪念品,37931,P90（纪念品） | 暴风呼啸,69,8.62,12.84,1.49,2024-06-17
P90,崭新出厂,纪念品,761512,P90（纪念品） | 设施系列·底片图,111,8.27,11.68,1.41,2024-06-17
P90,略有磨损,StatTrak™,835584,P90（StatTrak™） | 大怪兽 RUSH,151,8.08,11.17,1.38,2024-06-17
P90,战痕累累,普通,36185,P90 | 浅坟,52,7.95,10.45,1.31,2024-06-17
P90,久经沙场,StatTrak™,39316,P90（StatTrak™） | 夺命器,247,7.91,10.88,1.38,2024-06-17
P90,崭新出厂,普通,921481,P90 | 元女王,992,7.87,11.17,1.42,2024-06-17
P90,破损不堪,普通,36194,P90 | 精雕木刻,82,7.48,9.58,1.28,2024-06-17
P90,战痕累累,StatTrak™,39314,P90（StatTrak™） | 夺命器,39,7.47,10.66,1.43,2024-06-17
P90,战痕累累,普通,36190,P90 | 精雕木刻,100,7.33,9.58,1.31,2024-06-17
P90,破损不堪,纪念品,761560,P90（纪念品） | 设施系列·底片图,27,7.02,12.12,1.73,2024-06-17
P90,崭新出厂,普通,759270,P90 | 牵引力,87,6.93,9.65,1.39,2024-06-17
P90,崭新出厂,普通,835579,P90 | 大怪兽 RUSH,515,6.91,9.14,1.32,2024-06-17
P90,破损不堪,普通,835681,P90 | 大怪兽 RUSH,14,6.77,7.47,1.1,2024-06-17
P90,破损不堪,StatTrak™,921560,P90（StatTrak™） | 元女王,52,6.45,9.29,1.44,2024-06-17
P90,久经沙场,普通,835381,P90 | 大怪兽 RUSH,167,6.15,7.98,1.3,2024-06-17
P90,战痕累累,普通,835617,P90 | 大怪兽 RUSH,11,5.99,8.49,1.42,2024-06-17
P90,略有磨损,普通,835403,P90 | 大怪兽 RUSH,194,5.97,8.05,1.35,2024-06-17
P90,崭新出厂,普通,871193,P90 | 沙漠 DDPAT,215,5.59,7.33,1.31,2024-06-17
P90,崭新出厂,普通,36143,P90 | 精英之作,293,5.55,7.62,1.37,2024-06-17
P90,战痕累累,普通,871336,P90 | 沙漠 DDPAT,13,5.43,6.67,1.23,2024-06-17
P90,略有磨损,普通,36126,P90 | 夺命器,316,5.38,7.25,1.35,2024-06-17
P90,破损不堪,普通,871297,P90 | 沙漠 DDPAT,23,5.24,6.31,1.2,2024-06-17
P90,略有磨损,普通,871087,P90 | 沙漠 DDPAT,161,5.24,6.75,1.29,2024-06-17
P90,久经沙场,普通,871066,P90 | 沙漠 DDPAT,105,5.16,6.89,1.34,2024-06-17
P90,略有磨损,普通,900491,P90 | 给爷冲,871,5.13,7.18,1.4,2024-06-17
P90,崭新出厂,普通,835535,P90 | 古老星球,119,4.98,6.89,1.38,2024-06-17
P90,久经沙场,StatTrak™,900533,P90（StatTrak™） | 给爷冲,380,4.81,6.82,1.42,2024-06-17
P90,破损不堪,普通,835437,P90 | 古老星球,9,4.74,5.37,1.13,2024-06-17
P90,战痕累累,普通,835739,P90 | 古老星球,17,4.73,5.59,1.18,2024-06-17
P90,破损不堪,StatTrak™,900660,P90（StatTrak™） | 给爷冲,27,4.69,6.09,1.3,2024-06-17
P90,久经沙场,纪念品,37929,P90（纪念品） | 暴风呼啸,626,4.43,6.38,1.44,2024-06-17
P90,略有磨损,StatTrak™,759310,P90（StatTrak™） | 牵引力,170,4.4,6.67,1.52,2024-06-17
P90,略有磨损,普通,835628,P90 | 古老星球,37,4.39,5.59,1.27,2024-06-17
P90,久经沙场,纪念品,37909,P90（纪念品） | 白蜡木,163,4.31,6.75,1.57,2024-06-17
P90,略有磨损,StatTrak™,39336,P90（StatTrak™） | 精英之作,462,4.28,6.02,1.41,2024-06-17
P90,略有磨损,普通,921416,P90 | 元女王,1501,4.19,5.8,1.38,2024-06-17
P90,战痕累累,StatTrak™,900499,P90（StatTrak™） | 给爷冲,106,4.16,5.44,1.31,2024-06-17
P90,久经沙场,普通,835543,P90 | 古老星球,92,4.16,5.37,1.29,2024-06-17
P90,崭新出厂,StatTrak™,781623,P90（StatTrak™） | 集装箱,133,4.16,6.38,1.53,2024-06-17
P90,战痕累累,StatTrak™,835767,P90（StatTrak™） | 大怪兽 RUSH,15,3.96,3.63,0.92,2024-06-17
P90,破损不堪,StatTrak™,39347,P90（StatTrak™） | 冷血无情,31,3.86,5.88,1.52,2024-06-17
P90,久经沙场,StatTrak™,835537,P90（StatTrak™） | 大怪兽 RUSH,149,3.78,5.08,1.34,2024-06-17
P90,久经沙场,StatTrak™,921490,P90（StatTrak™） | 元女王,718,3.66,5.01,1.37,2024-06-17
P90,略有磨损,纪念品,761543,P90（纪念品） | 设施系列·底片图,101,3.51,5.95,1.7,2024-06-17
P90,破损不堪,StatTrak™,835655,P90（StatTrak™） | 大怪兽 RUSH,12,3.48,3.92,1.13,2024-06-17
P90,久经沙场,纪念品,876978,P90（纪念品） | 解视图,88,3.31,4.57,1.38,2024-06-17
P90,崭新出厂,普通,769168,P90 | 异星世界,165,3.23,4.35,1.35,2024-06-17
