内格夫,崭新出厂,普通,776532,内格夫 | 雷神之锤,36,15787.5,14871.61,0.94,2024-06-17
内格夫,崭新出厂,StatTrak™,39128,内格夫（StatTrak™） | 沙漠精英,115,5.14,6.67,1.3,2024-06-17
内格夫,破损不堪,普通,35780,内格夫 | 动力装载机,83,4.94,6.24,1.26,2024-06-17
内格夫,久经沙场,StatTrak™,39143,内格夫（StatTrak™） | 青绿地形,98,4.73,5.88,1.24,2024-06-17
内格夫,久经沙场,普通,35762,内格夫 | 大嘴巴,238,4.29,5.15,1.2,2024-06-17
内格夫,久经沙场,纪念品,37829,内格夫（纪念品） | 加州迷彩,181,4.26,5.51,1.29,2024-06-17
内格夫,破损不堪,普通,35764,内格夫 | 大嘴巴,19,4.09,4.79,1.17,2024-06-17
内格夫,略有磨损,普通,35754,内格夫 | 眩目,173,4.07,5.88,1.44,2024-06-17
内格夫,战痕累累,普通,35776,内格夫 | 动力装载机,87,3.99,4.64,1.16,2024-06-17
内格夫,久经沙场,纪念品,761458,内格夫（纪念品） | 舱壁,413,3.93,3.85,0.98,2024-06-17
内格夫,战痕累累,纪念品,761456,内格夫（纪念品） | 舱壁,24,3.93,4.72,1.2,2024-06-17
内格夫,崭新出厂,普通,35781,内格夫 | 青绿地形,149,3.93,5.15,1.31,2024-06-17
内格夫,崭新出厂,StatTrak™,781634,内格夫（StatTrak™） | 飞羽,305,3.69,5.01,1.36,2024-06-17
内格夫,破损不堪,纪念品,761459,内格夫（纪念品） | 舱壁,31,3.68,5.3,1.44,2024-06-17
内格夫,战痕累累,普通,35761,内格夫 | 大嘴巴,19,3.68,5.44,1.48,2024-06-17
内格夫,战痕累累,StatTrak™,45322,内格夫（StatTrak™） | 狮子鱼,29,3.53,5.8,1.64,2024-06-17
内格夫,久经沙场,纪念品,876890,内格夫（纪念品） | 基础建设,59,3.43,5.01,1.46,2024-06-17
内格夫,破损不堪,StatTrak™,45326,内格夫（StatTrak™） | 狮子鱼,27,3.34,5.15,1.54,2024-06-17
内格夫,略有磨损,普通,857536,内格夫 | 橙灰之名,387,3.33,4.72,1.42,2024-06-17
内格夫,略有磨损,普通,45279,内格夫 | 狮子鱼,383,3.29,4.5,1.37,2024-06-17
内格夫,久经沙场,StatTrak™,45324,内格夫（StatTrak™） | 狮子鱼,202,3.24,4.64,1.43,2024-06-17
内格夫,略有磨损,StatTrak™,39130,内格夫（StatTrak™） | 沙漠精英,66,3.12,3.85,1.23,2024-06-17
内格夫,略有磨损,普通,35783,内格夫 | 青绿地形,54,3.04,4.21,1.38,2024-06-17
内格夫,久经沙场,StatTrak™,857538,内格夫（StatTrak™） | 橙灰之名,219,3.02,3.77,1.25,2024-06-17
内格夫,破损不堪,StatTrak™,857719,内格夫（StatTrak™） | 橙灰之名,19,2.95,3.85,1.31,2024-06-17
内格夫,破损不堪,StatTrak™,39126,内格夫（StatTrak™） | 眩目,23,2.95,3.99,1.35,2024-06-17
内格夫,久经沙场,普通,35782,内格夫 | 青绿地形,92,2.62,3.05,1.16,2024-06-17
内格夫,略有磨损,StatTrak™,779264,内格夫（StatTrak™） | 原型机,247,2.6,3.48,1.34,2024-06-17
内格夫,略有磨损,StatTrak™,39136,内格夫（StatTrak™） | 无畏战神,594,2.38,3.55,1.49,2024-06-17
内格夫,战痕累累,StatTrak™,857687,内格夫（StatTrak™） | 橙灰之名,33,2.37,3.48,1.47,2024-06-17
内格夫,战痕累累,StatTrak™,39127,内格夫（StatTrak™） | 沙漠精英,5,2.36,1.96,0.83,2024-06-17
内格夫,破损不堪,普通,35784,内格夫 | 青绿地形,26,1.99,2.76,1.39,2024-06-17
内格夫,久经沙场,StatTrak™,39135,内格夫（StatTrak™） | 无畏战神,116,1.89,2.54,1.34,2024-06-17
内格夫,破损不堪,StatTrak™,39131,内格夫（StatTrak™） | 沙漠精英,24,1.79,2.97,1.66,2024-06-17
内格夫,久经沙场,StatTrak™,39129,内格夫（StatTrak™） | 沙漠精英,78,1.77,2.25,1.27,2024-06-17
内格夫,久经沙场,普通,45278,内格夫 | 狮子鱼,532,1.73,2.47,1.43,2024-06-17
内格夫,战痕累累,普通,45276,内格夫 | 狮子鱼,54,1.73,2.18,1.26,2024-06-17
内格夫,久经沙场,StatTrak™,39124,内格夫（StatTrak™） | 眩目,371,1.66,2.03,1.22,2024-06-17
内格夫,略有磨损,StatTrak™,900574,内格夫（StatTrak™） | 丢把枪,209,1.63,2.18,1.34,2024-06-17
内格夫,战痕累累,普通,857626,内格夫 | 橙灰之名,81,1.62,1.96,1.21,2024-06-17
内格夫,破损不堪,普通,857689,内格夫 | 橙灰之名,135,1.61,2.03,1.26,2024-06-17
内格夫,破损不堪,普通,45280,内格夫 | 狮子鱼,53,1.58,2.32,1.47,2024-06-17
内格夫,崭新出厂,普通,779268,内格夫 | 原型机,279,1.51,2.18,1.44,2024-06-17
内格夫,久经沙场,普通,857537,内格夫 | 橙灰之名,1213,1.49,2.1,1.41,2024-06-17
内格夫,崭新出厂,普通,900575,内格夫 | 丢把枪,237,1.46,1.81,1.24,2024-06-17
内格夫,崭新出厂,普通,35757,内格夫 | 沙漠精英,161,1.34,1.89,1.41,2024-06-17
内格夫,略有磨损,StatTrak™,781613,内格夫（StatTrak™） | 飞羽,501,1.33,1.81,1.36,2024-06-17
内格夫,战痕累累,StatTrak™,39123,内格夫（StatTrak™） | 眩目,47,1.08,1.52,1.41,2024-06-17
内格夫,崭新出厂,普通,781626,内格夫 | 飞羽,720,1.09,1.45,1.33,2024-06-17
内格夫,略有磨损,普通,35759,内格夫 | 沙漠精英,66,0.96,1.16,1.21,2024-06-17
内格夫,久经沙场,普通,35765,内格夫 | 无畏战神,119,0.82,1.02,1.24,2024-06-17
内格夫,略有磨损,普通,35766,内格夫 | 无畏战神,592,0.8,1.09,1.36,2024-06-17
内格夫,久经沙场,StatTrak™,779235,内格夫（StatTrak™） | 原型机,288,0.78,1.09,1.4,2024-06-17
内格夫,破损不堪,StatTrak™,779380,内格夫（StatTrak™） | 原型机,22,0.76,1.23,1.62,2024-06-17
内格夫,久经沙场,StatTrak™,900581,内格夫（StatTrak™） | 丢把枪,278,0.69,1.02,1.48,2024-06-17
内格夫,战痕累累,StatTrak™,779301,内格夫（StatTrak™） | 原型机,28,0.64,1.02,1.59,2024-06-17
内格夫,略有磨损,普通,779204,内格夫 | 原型机,279,0.62,0.87,1.4,2024-06-17
内格夫,破损不堪,普通,35755,内格夫 | 眩目,24,0.62,0.8,1.29,2024-06-17
内格夫,崭新出厂,普通,762137,内格夫 | 舱壁,2241,0.57,0.8,1.4,2024-06-17
内格夫,久经沙场,普通,35753,内格夫 | 眩目,517,0.56,0.87,1.55,2024-06-17
内格夫,略有磨损,普通,900487,内格夫 | 丢把枪,752,0.56,0.87,1.55,2024-06-17
内格夫,久经沙场,StatTrak™,781574,内格夫（StatTrak™） | 飞羽,563,0.55,0.8,1.45,2024-06-17
内格夫,战痕累累,普通,35756,内格夫 | 沙漠精英,11,0.55,0.94,1.71,2024-06-17
内格夫,破损不堪,普通,35760,内格夫 | 沙漠精英,17,0.53,0.87,1.64,2024-06-17
内格夫,久经沙场,普通,35758,内格夫 | 沙漠精英,120,0.53,0.73,1.38,2024-06-17
内格夫,破损不堪,StatTrak™,900543,内格夫（StatTrak™） | 丢把枪,143,0.54,0.8,1.48,2024-06-17
内格夫,破损不堪,StatTrak™,781641,内格夫（StatTrak™） | 飞羽,62,0.51,0.87,1.71,2024-06-17
内格夫,战痕累累,StatTrak™,900593,内格夫（StatTrak™） | 丢把枪,145,0.51,0.87,1.71,2024-06-17
内格夫,略有磨损,普通,781579,内格夫 | 飞羽,877,0.48,0.73,1.52,2024-06-17
内格夫,战痕累累,StatTrak™,781617,内格夫（StatTrak™） | 飞羽,171,0.47,0.8,1.7,2024-06-17
内格夫,略有磨损,普通,762076,内格夫 | 舱壁,1017,0.34,0.58,1.71,2024-06-17
内格夫,久经沙场,普通,779207,内格夫 | 原型机,449,0.34,0.58,1.71,2024-06-17
内格夫,久经沙场,普通,900536,内格夫 | 丢把枪,706,0.33,0.58,1.76,2024-06-17
内格夫,破损不堪,普通,900524,内格夫 | 丢把枪,321,0.31,0.51,1.65,2024-06-17
内格夫,战痕累累,普通,900539,内格夫 | 丢把枪,273,0.29,0.44,1.52,2024-06-17
内格夫,战痕累累,普通,35752,内格夫 | 眩目,22,0.29,0.65,2.24,2024-06-17
内格夫,战痕累累,普通,779220,内格夫 | 原型机,48,0.28,0.51,1.82,2024-06-17
内格夫,战痕累累,普通,781565,内格夫 | 飞羽,246,0.27,0.51,1.89,2024-06-17
内格夫,久经沙场,普通,781543,内格夫 | 飞羽,1328,0.25,0.51,2.04,2024-06-17
内格夫,破损不堪,普通,779218,内格夫 | 原型机,25,0.23,0.58,2.52,2024-06-17
内格夫,久经沙场,普通,762060,内格夫 | 舱壁,1321,0.23,0.44,1.91,2024-06-17
