M4A1 消音版,破损不堪,普通,872132,M4A1 消音型 | 紧迫危机,1,41110.6,3906.49,0.1,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38826,M4A1 消音型（StatTrak™） | 守护者,116,384.5,578.35,1.5,2024-06-17
M4A1 消音版,久经沙场,普通,35208,M4A1 消音型 | 金蛇缠绕,456,382.5,517.27,1.35,2024-06-17
M4A1 消音版,略有磨损,普通,35240,M4A1 消音型 | 机械工业,741,376,505.37,1.34,2024-06-17
M4A1 消音版,略有磨损,普通,35221,M4A1 消音型 | 暴怒野兽,261,369.5,495.0,1.34,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38798,M4A1 消音型（StatTrak™） | 澄澈之水,174,364.5,528.08,1.45,2024-06-17
M4A1 消音版,略有磨损,普通,779233,M4A1 消音型 | 二号玩家,802,364.3,483.31,1.33,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38804,M4A1 消音型（StatTrak™） | 次时代,7,347.5,489.55,1.41,2024-06-17
M4A1 消音版,略有磨损,普通,35162,M4A1 消音型 | 原子合金,390,342.5,461.04,1.35,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38797,M4A1 消音型（StatTrak™） | 澄澈之水,38,329.5,470.98,1.43,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38801,M4A1 消音型（StatTrak™） | 女火神之炽焰,92,328.96,479.4,1.46,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38830,M4A1 消音型（StatTrak™） | 暴怒野兽,99,326,447.26,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38840,M4A1 消音型（StatTrak™） | 机械工业,150,323.2,450.6,1.39,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38782,M4A1 消音型（StatTrak™） | 原子合金,47,319.79,439.42,1.37,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,779439,M4A1 消音型（StatTrak™） | 二号玩家,1,318.4,409.46,1.29,2024-06-17
M4A1 消音版,崭新出厂,纪念品,37724,M4A1 消音型（纪念品） | 多变迷彩,63,309.5,519.37,1.68,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38827,M4A1 消音型（StatTrak™） | 守护者,8,309,563.7,1.82,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38780,M4A1 消音型（StatTrak™） | 原子合金,6,305.5,326.47,1.07,2024-06-17
M4A1 消音版,崭新出厂,普通,762249,M4A1 消音型 | 控制台,254,304.5,412.44,1.35,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,43921,M4A1 消音型（StatTrak™） | 次时代,96,299.34,398.8,1.33,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38784,M4A1 消音型（StatTrak™） | 原子合金,11,297.99,355.99,1.19,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,43922,M4A1 消音型（StatTrak™） | 守护者,98,297.2,397.71,1.34,2024-06-17
M4A1 消音版,略有磨损,普通,774940,M4A1 消音型 | 苔藓石英,52,295.48,384.58,1.3,2024-06-17
M4A1 消音版,战痕累累,纪念品,761598,M4A1 消音型（纪念品） | 控制台,15,290.49,368.4,1.27,2024-06-17
M4A1 消音版,崭新出厂,普通,759260,M4A1 消音型 | 梦魇,267,288.85,379.57,1.31,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38838,M4A1 消音型（StatTrak™） | 机械工业,15,284,353.38,1.24,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,759435,M4A1 消音型（StatTrak™） | 梦魇,120,283.39,387.19,1.37,2024-06-17
M4A1 消音版,破损不堪,纪念品,761934,M4A1 消音型（纪念品） | 控制台,19,278,367.53,1.32,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,779329,M4A1 消音型（StatTrak™） | 二号玩家,154,265.66,356.07,1.34,2024-06-17
M4A1 消音版,破损不堪,普通,35210,M4A1 消音型 | 金蛇缠绕,112,264.5,342.57,1.3,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38812,M4A1 消音型（StatTrak™） | 毁灭者 2000,178,258.9,373.19,1.44,2024-06-17
M4A1 消音版,久经沙场,普通,35161,M4A1 消音型 | 原子合金,187,256.49,348.38,1.36,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38832,M4A1 消音型（StatTrak™） | 暴怒野兽,24,241.5,311.52,1.29,2024-06-17
M4A1 消音版,崭新出厂,普通,35190,M4A1 消音型 | 次时代,688,237.95,322.62,1.36,2024-06-17
M4A1 消音版,崭新出厂,普通,35197,M4A1 消音型 | 毁灭者 2000,445,237.15,311.59,1.31,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38803,M4A1 消音型（StatTrak™） | 女火神之炽焰,27,232.5,293.96,1.26,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38786,M4A1 消音型（StatTrak™） | 翼蜥,112,231.4,338.0,1.46,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,956621,M4A1 消音型（StatTrak™） | 黑莲花,109,229.49,317.47,1.38,2024-06-17
M4A1 消音版,战痕累累,普通,35159,M4A1 消音型 | 原子合金,11,224,242.6,1.08,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38793,M4A1 消音型（StatTrak™） | 简报,41,223,295.34,1.32,2024-06-17
M4A1 消音版,战痕累累,普通,35206,M4A1 消音型 | 金蛇缠绕,70,208.08,283.08,1.36,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38799,M4A1 消音型（StatTrak™） | 女火神之炽焰,19,206.84,276.99,1.34,2024-06-17
M4A1 消音版,破损不堪,普通,35163,M4A1 消音型 | 原子合金,23,202.83,268.79,1.33,2024-06-17
M4A1 消音版,久经沙场,普通,774957,M4A1 消音型 | 苔藓石英,37,202.5,294.62,1.45,2024-06-17
M4A1 消音版,破损不堪,普通,776023,M4A1 消音型 | 苔藓石英,3,189.5,250.73,1.32,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,956597,M4A1 消音型（StatTrak™） | 黑莲花,70,188,241.51,1.28,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38834,M4A1 消音型（StatTrak™） | 破碎铅秋,116,184.99,250.73,1.36,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38813,M4A1 消音型（StatTrak™） | 毁灭者 2000,7,178,254.72,1.43,2024-06-17
M4A1 消音版,略有磨损,普通,35183,M4A1 消音型 | 澄澈之水,637,176.5,239.41,1.36,2024-06-17
M4A1 消音版,略有磨损,纪念品,37726,M4A1 消音型（纪念品） | 多变迷彩,94,174,267.63,1.54,2024-06-17
M4A1 消音版,久经沙场,普通,35239,M4A1 消音型 | 机械工业,1576,171.5,229.69,1.34,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38828,M4A1 消音型（StatTrak™） | 暴怒野兽,43,169,238.68,1.41,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,779400,M4A1 消音型（StatTrak™） | 二号玩家,17,168.88,234.55,1.39,2024-06-17
M4A1 消音版,崭新出厂,普通,956525,M4A1 消音型 | 黑莲花,492,168.5,220.76,1.31,2024-06-17
M4A1 消音版,久经沙场,普通,35182,M4A1 消音型 | 澄澈之水,112,168.48,215.9,1.28,2024-06-17
M4A1 消音版,崭新出厂,普通,35212,M4A1 消音型 | 守护者,801,168,233.6,1.39,2024-06-17
M4A1 消音版,战痕累累,普通,35211,M4A1 消音型 | 守护者,13,163.99,173.32,1.06,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,956633,M4A1 消音型（StatTrak™） | 黑莲花,174,163.5,229.69,1.4,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,956697,M4A1 消音型（StatTrak™） | 黑莲花,22,163,225.26,1.38,2024-06-17
M4A1 消音版,久经沙场,普通,35186,M4A1 消音型 | 女火神之炽焰,893,162.1,219.6,1.35,2024-06-17
M4A1 消音版,略有磨损,普通,35192,M4A1 消音型 | 次时代,770,160,218.59,1.37,2024-06-17
M4A1 消音版,破损不堪,普通,35241,M4A1 消音型 | 机械工业,21,156.3,208.58,1.33,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38811,M4A1 消音型（StatTrak™） | 毁灭者 2000,253,147,215.76,1.47,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38789,M4A1 消音型（StatTrak™） | 翼蜥,14,144.99,170.42,1.18,2024-06-17
M4A1 消音版,久经沙场,普通,779198,M4A1 消音型 | 二号玩家,2131,137,185.8,1.36,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38809,M4A1 消音型（StatTrak™） | 毁灭者 2000,23,136.39,184.2,1.35,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38788,M4A1 消音型（StatTrak™） | 翼蜥,153,131,170.42,1.3,2024-06-17
M4A1 消音版,略有磨损,普通,35214,M4A1 消音型 | 守护者,782,125.98,178.83,1.42,2024-06-17
M4A1 消音版,久经沙场,普通,35220,M4A1 消音型 | 暴怒野兽,854,123.49,166.64,1.35,2024-06-17
M4A1 消音版,破损不堪,纪念品,37727,M4A1 消音型（纪念品） | 多变迷彩,11,123.48,250.29,2.03,2024-06-17
M4A1 消音版,破损不堪,普通,779353,M4A1 消音型 | 二号玩家,35,121.9,174.77,1.43,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,759300,M4A1 消音型（StatTrak™） | 梦魇,176,121.34,165.77,1.37,2024-06-17
M4A1 消音版,破损不堪,普通,35215,M4A1 消音型 | 守护者,22,117,169.91,1.45,2024-06-17
M4A1 消音版,略有磨损,普通,759261,M4A1 消音型 | 梦魇,1079,114,147.05,1.29,2024-06-17
M4A1 消音版,久经沙场,普通,35213,M4A1 消音型 | 守护者,347,112.5,152.93,1.36,2024-06-17
M4A1 消音版,战痕累累,纪念品,37723,M4A1 消音型（纪念品） | 多变迷彩,15,109.11,187.75,1.72,2024-06-17
M4A1 消音版,略有磨损,普通,35199,M4A1 消音型 | 毁灭者 2000,1524,108,149.16,1.38,2024-06-17
M4A1 消音版,战痕累累,普通,35189,M4A1 消音型 | 次时代,23,104.5,135.23,1.29,2024-06-17
M4A1 消音版,久经沙场,纪念品,37725,M4A1 消音型（纪念品） | 多变迷彩,114,104.49,152.79,1.46,2024-06-17
M4A1 消音版,破损不堪,普通,35188,M4A1 消音型 | 女火神之炽焰,170,104.48,137.84,1.32,2024-06-17
M4A1 消音版,久经沙场,普通,35191,M4A1 消音型 | 次时代,749,102.5,140.53,1.37,2024-06-17
M4A1 消音版,略有磨损,普通,956574,M4A1 消音型 | 黑莲花,812,101.5,137.7,1.36,2024-06-17
M4A1 消音版,战痕累累,普通,35237,M4A1 消音型 | 机械工业,107,101.36,134.29,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35193,M4A1 消音型 | 次时代,21,99.51,137.48,1.38,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38785,M4A1 消音型（StatTrak™） | 翼蜥,45,99.36,145.6,1.47,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38836,M4A1 消音型（StatTrak™） | 破碎铅秋,157,94.89,137.84,1.45,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38787,M4A1 消音型（StatTrak™） | 翼蜥,206,92.89,142.85,1.54,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38795,M4A1 消音型（StatTrak™） | 简报,76,89.37,123.91,1.39,2024-06-17
M4A1 消音版,战痕累累,普通,35184,M4A1 消音型 | 女火神之炽焰,100,86.28,112.96,1.31,2024-06-17
M4A1 消音版,破损不堪,普通,35222,M4A1 消音型 | 暴怒野兽,119,85.9,114.84,1.34,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38815,M4A1 消音型（StatTrak™） | 闪回,71,85.89,121.08,1.41,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,38790,M4A1 消音型（StatTrak™） | 血虎,166,84.9,116.15,1.37,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,759301,M4A1 消音型（StatTrak™） | 梦魇,40,84.3,130.59,1.55,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38796,M4A1 消音型（StatTrak™） | 简报,5,82.75,98.96,1.2,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,759299,M4A1 消音型（StatTrak™） | 梦魇,26,77.5,105.12,1.36,2024-06-17
M4A1 消音版,破损不堪,普通,35200,M4A1 消音型 | 毁灭者 2000,25,75.9,111.14,1.46,2024-06-17
M4A1 消音版,战痕累累,普通,956599,M4A1 消音型 | 黑莲花,388,74.46,102.66,1.38,2024-06-17
M4A1 消音版,略有磨损,普通,762231,M4A1 消音型 | 控制台,588,74.45,103.45,1.39,2024-06-17
M4A1 消音版,破损不堪,普通,956641,M4A1 消音型 | 黑莲花,88,72.4,105.19,1.45,2024-06-17
M4A1 消音版,战痕累累,普通,779325,M4A1 消音型 | 二号玩家,158,71.79,97.21,1.35,2024-06-17
M4A1 消音版,久经沙场,普通,956508,M4A1 消音型 | 黑莲花,1490,71.4,96.05,1.35,2024-06-17
M4A1 消音版,战痕累累,普通,35218,M4A1 消音型 | 暴怒野兽,160,69.9,97.07,1.39,2024-06-17
M4A1 消音版,破损不堪,StatTrak™,38837,M4A1 消音型（StatTrak™） | 破碎铅秋,25,67.7,96.92,1.43,2024-06-17
M4A1 消音版,崭新出厂,普通,35165,M4A1 消音型 | 翼蜥,354,66.57,88.94,1.34,2024-06-17
M4A1 消音版,崭新出厂,普通,35228,M4A1 消音型 | 破碎铅秋,645,66.5,91.85,1.38,2024-06-17
M4A1 消音版,崭新出厂,普通,35178,M4A1 消音型 | 简报,167,66.37,94.31,1.42,2024-06-17
M4A1 消音版,久经沙场,普通,35198,M4A1 消音型 | 毁灭者 2000,2533,64.9,88.87,1.37,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38791,M4A1 消音型（StatTrak™） | 血虎,39,64.66,95.47,1.48,2024-06-17
M4A1 消音版,略有磨损,StatTrak™,38792,M4A1 消音型（StatTrak™） | 血虎,122,64.55,88.94,1.38,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38835,M4A1 消音型（StatTrak™） | 破碎铅秋,370,60.18,79.73,1.32,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,38833,M4A1 消音型（StatTrak™） | 破碎铅秋,45,56.6,79.08,1.4,2024-06-17
M4A1 消音版,久经沙场,普通,759220,M4A1 消音型 | 梦魇,1907,51.9,72.84,1.4,2024-06-17
M4A1 消音版,战痕累累,普通,35196,M4A1 消音型 | 毁灭者 2000,133,51.68,68.56,1.33,2024-06-17
M4A1 消音版,崭新出厂,StatTrak™,921594,M4A1 消音型（StatTrak™） | 隐伏帝王龙,317,50.27,71.75,1.43,2024-06-17
M4A1 消音版,久经沙场,StatTrak™,38794,M4A1 消音型（StatTrak™） | 简报,91,49.9,65.73,1.32,2024-06-17
M4A1 消音版,破损不堪,普通,35168,M4A1 消音型 | 翼蜥,19,42.87,59.56,1.39,2024-06-17
M4A1 消音版,战痕累累,StatTrak™,43994,M4A1 消音型（StatTrak™） | 简报,19,40.36,58.4,1.45,2024-06-17
M4A1 消音版,崭新出厂,纪念品,929091,M4A1 消音型（纪念品） | 泥斑迷彩,143,39.9,60.65,1.52,2024-06-17
M4A1 消音版,破损不堪,普通,759262,M4A1 消音型 | 梦魇,254,39.4,55.06,1.4,2024-06-17
M4A1 消音版,崭新出厂,普通,35169,M4A1 消音型 | 血虎,469,39.05,50.13,1.28,2024-06-17
M4A1 消音版,破损不堪,普通,35181,M4A1 消音型 | 简报,6,38.68,36.27,0.94,2024-06-17
M4A1 消音版,久经沙场,普通,762120,M4A1 消音型 | 控制台,760,38.19,52.67,1.38,2024-06-17
