P250,崭新出厂,普通,36047,P250 | 现代猎手,2,3499.5,4255.3,1.22,2024-06-17
P250,略有磨损,StatTrak™,39293,P250（StatTrak™） | 暗潮,14,324.4,373.91,1.15,2024-06-17
P250,久经沙场,普通,871820,P250 | 数字架构师,9,318.62,359.11,1.13,2024-06-17
P250,崭新出厂,普通,871918,P250 | 数字架构师,23,309.5,452.48,1.46,2024-06-17
P250,久经沙场,StatTrak™,39282,P250（StatTrak™） | 狂野飞溅,8,302.15,534.1,1.77,2024-06-17
P250,略有磨损,普通,871821,P250 | 数字架构师,7,299,647.06,2.16,2024-06-17
P250,略有磨损,StatTrak™,39283,P250（StatTrak™） | 狂野飞溅,67,297.5,429.48,1.44,2024-06-17
P250,崭新出厂,纪念品,37893,P250（纪念品） | 硝烟,11,296.5,500.58,1.69,2024-06-17
P250,崭新出厂,普通,36022,P250 | 硝烟,12,289.5,279.67,0.97,2024-06-17
P250,破损不堪,纪念品,37886,P250（纪念品） | 北方森林,3,279,97.87,0.35,2024-06-17
P250,破损不堪,普通,871860,P250 | 数字架构师,3,273.5,485.27,1.77,2024-06-17
P250,战痕累累,普通,36099,P250 | 银装素裹,7,271,269.88,1.0,2024-06-17
P250,略有磨损,纪念品,929082,P250（纪念品） | 阿佩普之咒,25,265.5,389.58,1.47,2024-06-17
P250,崭新出厂,普通,36013,P250 | 多面体,4,259.5,98.96,0.38,2024-06-17
P250,久经沙场,StatTrak™,39292,P250（StatTrak™） | 暗潮,4,250.24,380.01,1.52,2024-06-17
P250,略有磨损,普通,36102,P250 | 银装素裹,193,243.5,319.72,1.31,2024-06-17
P250,崭新出厂,StatTrak™,39277,P250（StatTrak™） | 生化短吻鳄,88,230.49,317.4,1.38,2024-06-17
P250,崭新出厂,纪念品,37904,P250（纪念品） | 沙丘之黄,8,227.5,834.3,3.67,2024-06-17
P250,略有磨损,StatTrak™,39260,P250（StatTrak™） | 曼海蒂,36,219.9,290.12,1.32,2024-06-17
P250,崭新出厂,普通,36081,P250 | 狂野飞溅,21,214.5,333.07,1.55,2024-06-17
P250,久经沙场,普通,927360,P250 | 阿佩普之咒,97,214.3,292.88,1.37,2024-06-17
P250,破损不堪,普通,36103,P250 | 银装素裹,4,209.5,266.98,1.27,2024-06-17
P250,略有磨损,普通,36049,P250 | 现代猎手,10,209.5,253.34,1.21,2024-06-17
P250,战痕累累,普通,36046,P250 | 现代猎手,1,199.5,72.69,0.36,2024-06-17
P250,破损不堪,普通,36011,P250 | 日式深红涂装,2,199.5,229.76,1.15,2024-06-17
P250,久经沙场,普通,36101,P250 | 银装素裹,47,198.7,260.08,1.31,2024-06-17
P250,略有磨损,普通,36093,P250 | 暗潮,28,193.7,290.12,1.5,2024-06-17
P250,久经沙场,StatTrak™,39250,P250（StatTrak™） | 红巢,12,190.63,59.27,0.31,2024-06-17
P250,久经沙场,普通,36082,P250 | 狂野飞溅,15,189,212.35,1.12,2024-06-17
P250,崭新出厂,普通,36008,P250 | 日式深红涂装,39,184.5,243.91,1.32,2024-06-17
P250,久经沙场,StatTrak™,39259,P250（StatTrak™） | 曼海蒂,29,183.5,224.39,1.22,2024-06-17
P250,久经沙场,普通,36092,P250 | 暗潮,12,177,243.76,1.38,2024-06-17
P250,破损不堪,普通,927289,P250 | 阿佩普之咒,43,174,248.98,1.43,2024-06-17
P250,久经沙场,普通,36058,P250 | 核子威慑,15,171.44,243.83,1.42,2024-06-17
P250,战痕累累,普通,871387,P250 | 潜藏者,2,169.5,271.76,1.6,2024-06-17
P250,久经沙场,纪念品,929117,P250（纪念品） | 阿佩普之咒,16,169.38,229.69,1.36,2024-06-17
P250,破损不堪,普通,871623,P250 | 潜藏者,5,164,232.81,1.42,2024-06-17
P250,战痕累累,普通,36056,P250 | 核子威慑,2,163.74,266.98,1.63,2024-06-17
P250,战痕累累,普通,927386,P250 | 阿佩普之咒,45,159.99,204.73,1.28,2024-06-17
P250,崭新出厂,普通,871522,P250 | 潜藏者,43,159.5,204.73,1.28,2024-06-17
P250,久经沙场,普通,871359,P250 | 潜藏者,19,158,199.72,1.26,2024-06-17
P250,略有磨损,StatTrak™,39247,P250（StatTrak™） | 卡特尔,35,156.2,194.36,1.24,2024-06-17
P250,略有磨损,普通,36010,P250 | 日式深红涂装,11,155.4,193.56,1.25,2024-06-17
P250,略有磨损,普通,871451,P250 | 潜藏者,16,153.89,203.13,1.32,2024-06-17
P250,崭新出厂,StatTrak™,39263,P250（StatTrak™） | 死亡轮回,101,153.5,201.25,1.31,2024-06-17
P250,崭新出厂,普通,836076,P250 | 孟加拉猛虎,34,150.98,241.95,1.6,2024-06-17
P250,久经沙场,普通,36009,P250 | 日式深红涂装,6,150.29,192.98,1.28,2024-06-17
P250,战痕累累,普通,36007,P250 | 日式深红涂装,11,148.98,198.2,1.33,2024-06-17
P250,破损不堪,StatTrak™,39261,P250（StatTrak™） | 曼海蒂,17,147.5,179.05,1.21,2024-06-17
P250,略有磨损,纪念品,37885,P250（纪念品） | 北方森林,5,147,179.77,1.22,2024-06-17
P250,略有磨损,StatTrak™,39269,P250（StatTrak™） | 红岩,2,143.5,133.56,0.93,2024-06-17
P250,战痕累累,StatTrak™,39257,P250（StatTrak™） | 曼海蒂,7,141.99,178.76,1.26,2024-06-17
P250,破损不堪,纪念品,929128,P250（纪念品） | 阿佩普之咒,24,138.5,196.61,1.42,2024-06-17
P250,崭新出厂,StatTrak™,39268,P250（StatTrak™） | 红岩,9,134.23,178.18,1.33,2024-06-17
P250,战痕累累,纪念品,929107,P250（纪念品） | 阿佩普之咒,10,133.9,208.87,1.56,2024-06-17
P250,崭新出厂,StatTrak™,900633,P250（StatTrak™） | 迷人幻象,104,132.4,175.2,1.32,2024-06-17
P250,崭新出厂,普通,36035,P250 | 曼海蒂,65,116.49,153.51,1.32,2024-06-17
P250,略有磨损,普通,36083,P250 | 狂野飞溅,52,115.9,173.53,1.5,2024-06-17
P250,崭新出厂,纪念品,876985,P250（纪念品） | 数字架构师,57,114.49,164.76,1.44,2024-06-17
P250,崭新出厂,普通,35989,P250 | 骸骨外罩,3,99.5,76.97,0.77,2024-06-17
P250,战痕累累,纪念品,877242,P250（纪念品） | 数字架构师,9,96.79,132.76,1.37,2024-06-17
P250,略有磨损,普通,35986,P250 | 二西莫夫,207,94.7,125.15,1.32,2024-06-17
P250,略有磨损,StatTrak™,39279,P250（StatTrak™） | 生化短吻鳄,137,94.41,129.79,1.37,2024-06-17
P250,破损不堪,StatTrak™,39248,P250（StatTrak™） | 卡特尔,2,90.9,149.45,1.64,2024-06-17
P250,略有磨损,纪念品,761468,P250（纪念品） | 葡萄酒,42,88.98,134.79,1.51,2024-06-17
P250,破损不堪,StatTrak™,39266,P250（StatTrak™） | 死亡轮回,6,88.55,95.47,1.08,2024-06-17
P250,略有磨损,普通,835823,P250 | 孟加拉猛虎,81,87.68,116.44,1.33,2024-06-17
P250,略有磨损,普通,36037,P250 | 曼海蒂,78,87.67,114.77,1.31,2024-06-17
P250,破损不堪,普通,835862,P250 | 孟加拉猛虎,5,86.9,124.49,1.43,2024-06-17
P250,久经沙场,普通,835481,P250 | 孟加拉猛虎,40,85.9,112.88,1.31,2024-06-17
P250,久经沙场,普通,36036,P250 | 曼海蒂,21,85.5,106.79,1.25,2024-06-17
P250,战痕累累,StatTrak™,39244,P250（StatTrak™） | 卡特尔,8,82.84,105.19,1.27,2024-06-17
P250,略有磨损,StatTrak™,39265,P250（StatTrak™） | 死亡轮回,82,82.44,108.53,1.32,2024-06-17
P250,战痕累累,纪念品,37883,P250（纪念品） | 北方森林,5,79.92,105.92,1.33,2024-06-17
P250,久经沙场,StatTrak™,43930,P250（StatTrak™） | 红岩,9,79.88,108.89,1.36,2024-06-17
P250,崭新出厂,普通,35998,P250 | 卡特尔,74,79.4,113.1,1.42,2024-06-17
P250,战痕累累,普通,835712,P250 | 孟加拉猛虎,10,78.9,128.56,1.63,2024-06-17
P250,战痕累累,StatTrak™,39267,P250（StatTrak™） | 红岩,3,78.38,75.23,0.96,2024-06-17
P250,破损不堪,StatTrak™,39280,P250（StatTrak™） | 生化短吻鳄,7,77.68,99.46,1.28,2024-06-17
P250,略有磨损,纪念品,877075,P250（纪念品） | 数字架构师,26,75.9,92.93,1.22,2024-06-17
P250,久经沙场,StatTrak™,39246,P250（StatTrak™） | 卡特尔,59,75.5,110.49,1.46,2024-06-17
P250,久经沙场,StatTrak™,39264,P250（StatTrak™） | 死亡轮回,64,73.93,96.92,1.31,2024-06-17
P250,破损不堪,StatTrak™,39270,P250（StatTrak™） | 红岩,3,70.6,100.62,1.43,2024-06-17
P250,久经沙场,普通,36048,P250 | 现代猎手,8,70.01,114.77,1.64,2024-06-17
P250,战痕累累,普通,36034,P250 | 曼海蒂,6,65.77,82.41,1.25,2024-06-17
P250,崭新出厂,普通,36062,P250 | 红岩,31,65.6,99.54,1.52,2024-06-17
P250,崭新出厂,StatTrak™,39249,P250（StatTrak™） | 红巢,74,64.28,83.43,1.3,2024-06-17
P250,战痕累累,StatTrak™,39262,P250（StatTrak™） | 死亡轮回,14,64.17,88.94,1.39,2024-06-17
P250,破损不堪,普通,36038,P250 | 曼海蒂,10,62.18,80.46,1.29,2024-06-17
P250,久经沙场,普通,775078,P250 | 暗之镂刻,18,61.9,80.89,1.31,2024-06-17
P250,崭新出厂,StatTrak™,39300,P250（StatTrak™） | 翼击,77,61.56,80.89,1.31,2024-06-17
P250,略有磨损,纪念品,37898,P250（纪念品） | 金属 DDPAT,12,59.8,63.41,1.06,2024-06-17
P250,久经沙场,StatTrak™,39241,P250（StatTrak™） | 二西莫夫,238,58.8,76.1,1.29,2024-06-17
P250,略有磨损,普通,36064,P250 | 红岩,8,58.78,68.56,1.17,2024-06-17
P250,久经沙场,纪念品,37884,P250（纪念品） | 北方森林,21,58.46,79.51,1.36,2024-06-17
P250,略有磨损,普通,775116,P250 | 暗之镂刻,8,56.9,75.3,1.32,2024-06-17
P250,略有磨损,StatTrak™,900626,P250（StatTrak™） | 迷人幻象,132,56.9,78.57,1.38,2024-06-17
P250,崭新出厂,普通,900492,P250 | 迷人幻象,333,54.8,75.52,1.38,2024-06-17
P250,崭新出厂,普通,774716,P250 | 暗之镂刻,65,54.71,73.85,1.35,2024-06-17
P250,崭新出厂,普通,36077,P250 | 生化短吻鳄,362,53.9,71.46,1.33,2024-06-17
P250,略有磨损,StatTrak™,39251,P250（StatTrak™） | 红巢,59,51.32,65.29,1.27,2024-06-17
P250,崭新出厂,普通,36052,P250 | 死亡轮回,237,50.59,72.26,1.43,2024-06-17
P250,崭新出厂,StatTrak™,39284,P250（StatTrak™） | 钢铁禁锢,131,49.38,61.52,1.25,2024-06-17
P250,略有磨损,普通,36015,P250 | 多面体,10,49.34,63.41,1.29,2024-06-17
P250,略有磨损,StatTrak™,39286,P250（StatTrak™） | 钢铁禁锢,62,47.9,61.38,1.28,2024-06-17
P250,久经沙场,普通,36063,P250 | 红岩,8,47.9,55.28,1.15,2024-06-17
P250,久经沙场,StatTrak™,39285,P250（StatTrak™） | 钢铁禁锢,19,47.54,56.73,1.19,2024-06-17
P250,破损不堪,普通,775585,P250 | 暗之镂刻,1,45.9,63.84,1.39,2024-06-17
P250,久经沙场,纪念品,761392,P250（纪念品） | 葡萄酒,47,43.61,67.76,1.55,2024-06-17
P250,战痕累累,普通,775345,P250 | 暗之镂刻,5,43.23,57.39,1.33,2024-06-17
P250,破损不堪,StatTrak™,39243,P250（StatTrak™） | 二西莫夫,25,43.1,55.72,1.29,2024-06-17
P250,破损不堪,普通,36065,P250 | 红岩,5,42.75,55.06,1.29,2024-06-17
P250,破损不堪,纪念品,877391,P250（纪念品） | 数字架构师,12,40.95,60.14,1.47,2024-06-17
P250,战痕累累,普通,36061,P250 | 红岩,10,40.6,55.93,1.38,2024-06-17
P250,久经沙场,StatTrak™,39278,P250（StatTrak™） | 生化短吻鳄,176,40.56,55.72,1.37,2024-06-17
P250,崭新出厂,普通,36026,P250 | 红巢,73,39.09,48.97,1.25,2024-06-17
P250,战痕累累,StatTrak™,39276,P250（StatTrak™） | 生化短吻鳄,11,38.9,50.28,1.29,2024-06-17
P250,崭新出厂,普通,762145,P250 | 葡萄酒,407,38.37,54.7,1.43,2024-06-17
P250,略有磨损,普通,36000,P250 | 卡特尔,82,37.65,50.49,1.34,2024-06-17
P250,久经沙场,纪念品,877057,P250（纪念品） | 数字架构师,39,37.39,58.91,1.58,2024-06-17
P250,略有磨损,纪念品,37895,P250（纪念品） | 硝烟,246,37.16,49.04,1.32,2024-06-17
P250,略有磨损,普通,36028,P250 | 红巢,55,35.61,44.76,1.26,2024-06-17
P250,略有磨损,StatTrak™,39302,P250（StatTrak™） | 翼击,94,34.89,48.17,1.38,2024-06-17
P250,崭新出厂,纪念品,37888,P250（纪念品） | 核子污染,109,34.88,57.1,1.64,2024-06-17
P250,久经沙场,普通,36027,P250 | 红巢,43,33.46,42.08,1.26,2024-06-17
P250,破损不堪,纪念品,761393,P250（纪念品） | 葡萄酒,42,32.9,48.53,1.48,2024-06-17
P250,略有磨损,普通,36054,P250 | 死亡轮回,244,32.66,44.18,1.35,2024-06-17
P250,久经沙场,普通,36014,P250 | 多面体,17,32.36,43.17,1.33,2024-06-17
P250,战痕累累,普通,36012,P250 | 多面体,4,30.31,41.28,1.36,2024-06-17
P250,略有磨损,普通,900576,P250 | 迷人幻象,708,30.8,41.93,1.36,2024-06-17
P250,崭新出厂,普通,36042,P250 | 日式薄荷涂装,119,29.9,42.66,1.43,2024-06-17
P250,崭新出厂,纪念品,37879,P250（纪念品） | 骸骨外罩,35,29.54,47.37,1.6,2024-06-17
P250,久经沙场,StatTrak™,900519,P250（StatTrak™） | 迷人幻象,187,28.79,39.39,1.37,2024-06-17
P250,战痕累累,纪念品,761391,P250（纪念品） | 葡萄酒,22,28.4,42.8,1.51,2024-06-17
P250,战痕累累,普通,36051,P250 | 死亡轮回,18,28.01,36.35,1.3,2024-06-17
P250,久经沙场,普通,36053,P250 | 死亡轮回,112,27.39,36.93,1.35,2024-06-17
P250,崭新出厂,StatTrak™,39287,P250（StatTrak™） | 超新星,336,26.68,34.68,1.3,2024-06-17
P250,崭新出厂,普通,36105,P250 | 翼击,130,26.49,35.84,1.35,2024-06-17
P250,破损不堪,普通,36055,P250 | 死亡轮回,12,26.26,36.35,1.38,2024-06-17
P250,破损不堪,普通,36001,P250 | 卡特尔,2,26.05,36.93,1.42,2024-06-17
P250,略有磨损,普通,36024,P250 | 硝烟,45,25.88,35.04,1.35,2024-06-17
P250,略有磨损,普通,36079,P250 | 生化短吻鳄,948,25.79,37.0,1.43,2024-06-17
P250,战痕累累,普通,35997,P250 | 卡特尔,32,25.69,33.95,1.32,2024-06-17
P250,破损不堪,StatTrak™,900666,P250（StatTrak™） | 迷人幻象,35,25.67,33.59,1.31,2024-06-17
P250,崭新出厂,StatTrak™,773758,P250（StatTrak™） | 炼狱小镇,60,25.07,32.72,1.31,2024-06-17
P250,久经沙场,普通,35999,P250 | 卡特尔,109,23.77,35.62,1.5,2024-06-17
P250,破损不堪,普通,36045,P250 | 日式薄荷涂装,7,22.9,28.37,1.24,2024-06-17
P250,战痕累累,StatTrak™,39240,P250（StatTrak™） | 二西莫夫,59,22.74,29.16,1.28,2024-06-17
P250,略有磨损,普通,36044,P250 | 日式薄荷涂装,58,22.21,28.95,1.3,2024-06-17
P250,破损不堪,普通,35992,P250 | 骸骨外罩,11,21.84,23.07,1.06,2024-06-17
P250,崭新出厂,StatTrak™,763349,P250（StatTrak™） | 影魔,236,21.67,28.66,1.32,2024-06-17
P250,略有磨损,普通,762212,P250 | 葡萄酒,304,21.9,29.67,1.35,2024-06-17
P250,战痕累累,StatTrak™,900657,P250（StatTrak™） | 迷人幻象,38,21.39,31.12,1.45,2024-06-17
P250,久经沙场,普通,36043,P250 | 日式薄荷涂装,28,21.02,26.12,1.24,2024-06-17
P250,崭新出厂,普通,36003,P250 | 核子污染,19,20.89,32.36,1.55,2024-06-17
P250,破损不堪,普通,36006,P250 | 核子污染,28,20.79,34.17,1.64,2024-06-17
P250,崭新出厂,StatTrak™,857654,P250（StatTrak™） | 赛博先锋,47,20.66,28.37,1.37,2024-06-17
P250,破损不堪,普通,36080,P250 | 生化短吻鳄,14,20.48,26.77,1.31,2024-06-17
P250,战痕累累,普通,36041,P250 | 日式薄荷涂装,10,19.9,27.35,1.37,2024-06-17
P250,略有磨损,纪念品,37906,P250（纪念品） | 沙丘之黄,95,19.29,26.19,1.36,2024-06-17
P250,崭新出厂,纪念品,37897,P250（纪念品） | 金属 DDPAT,500,19.18,25.25,1.32,2024-06-17
P250,略有磨损,普通,35991,P250 | 骸骨外罩,4,18.95,25.68,1.36,2024-06-17
P250,破损不堪,StatTrak™,39303,P250（StatTrak™） | 翼击,25,18.74,24.52,1.31,2024-06-17
P250,久经沙场,StatTrak™,39301,P250（StatTrak™） | 翼击,140,18.69,25.17,1.35,2024-06-17
P250,久经沙场,普通,36023,P250 | 硝烟,22,18.47,25.32,1.37,2024-06-17
P250,破损不堪,普通,36025,P250 | 硝烟,21,18.41,26.7,1.45,2024-06-17
P250,破损不堪,StatTrak™,763490,P250（StatTrak™） | 影魔,17,18.03,28.0,1.55,2024-06-17
P250,久经沙场,普通,900518,P250 | 迷人幻象,1054,17.45,24.23,1.39,2024-06-17
P250,略有磨损,StatTrak™,39289,P250（StatTrak™） | 超新星,282,17.38,23.94,1.38,2024-06-17
P250,久经沙场,普通,35985,P250 | 二西莫夫,1843,17.38,22.71,1.31,2024-06-17
P250,略有磨损,普通,36107,P250 | 翼击,184,17.27,22.49,1.3,2024-06-17
P250,久经沙场,普通,35990,P250 | 骸骨外罩,13,17.25,23.14,1.34,2024-06-17
P250,破损不堪,普通,900643,P250 | 迷人幻象,54,16.41,22.56,1.37,2024-06-17
P250,战痕累累,纪念品,761462,P250（纪念品） | 交换机,36,16.28,17.12,1.05,2024-06-17
P250,略有磨损,普通,36005,P250 | 核子污染,23,16.24,21.76,1.34,2024-06-17
P250,破损不堪,StatTrak™,39290,P250（StatTrak™） | 超新星,9,16.12,24.23,1.5,2024-06-17
P250,久经沙场,StatTrak™,39288,P250（StatTrak™） | 超新星,141,16.08,22.13,1.38,2024-06-17
P250,崭新出厂,StatTrak™,773433,P250（StatTrak™） | X 射线,189,15.68,21.69,1.38,2024-06-17
P250,久经沙场,普通,36085,P250 | 钢铁禁锢,17,15.37,21.4,1.39,2024-06-17
P250,战痕累累,普通,35988,P250 | 骸骨外罩,30,15.33,24.23,1.58,2024-06-17
P250,战痕累累,普通,900520,P250 | 迷人幻象,88,14.77,19.66,1.33,2024-06-17
P250,久经沙场,普通,36004,P250 | 核子污染,17,14.77,18.5,1.25,2024-06-17
P250,久经沙场,普通,36078,P250 | 生化短吻鳄,1532,14.74,19.3,1.31,2024-06-17
P250,崭新出厂,StatTrak™,835581,P250（StatTrak™） | 污染物,54,14.7,19.44,1.32,2024-06-17
P250,战痕累累,普通,36021,P250 | 硝烟,10,14.12,23.07,1.63,2024-06-17
P250,崭新出厂,StatTrak™,39295,P250（StatTrak™） | 元素轮廓,199,14.06,19.44,1.38,2024-06-17
P250,略有磨损,StatTrak™,773754,P250（StatTrak™） | 炼狱小镇,70,13.55,18.35,1.35,2024-06-17
P250,破损不堪,普通,35987,P250 | 二西莫夫,120,13.39,17.77,1.33,2024-06-17
P250,战痕累累,普通,36076,P250 | 生化短吻鳄,101,13.16,18.57,1.41,2024-06-17
P250,崭新出厂,普通,36084,P250 | 钢铁禁锢,77,12.94,19.3,1.49,2024-06-17
P250,战痕累累,StatTrak™,39299,P250（StatTrak™） | 翼击,60,12.85,17.85,1.39,2024-06-17
P250,略有磨损,普通,36086,P250 | 钢铁禁锢,22,12.42,16.32,1.31,2024-06-17
P250,破损不堪,纪念品,37891,P250（纪念品） | 核子污染,28,12.33,19.01,1.54,2024-06-17
P250,崭新出厂,StatTrak™,39253,P250（StatTrak™） | 铠甲,26,12.9,17.77,1.38,2024-06-17
P250,崭新出厂,普通,835859,P250 | 暮色森林,43,11.84,18.43,1.56,2024-06-17
P250,战痕累累,普通,36002,P250 | 核子污染,9,11.46,16.47,1.44,2024-06-17
P250,破损不堪,纪念品,761559,P250（纪念品） | 交换机,26,10.58,23.65,2.24,2024-06-17
P250,崭新出厂,StatTrak™,769235,P250（StatTrak™） | 铜绿,55,10.2,14.15,1.39,2024-06-17
P250,略有磨损,StatTrak™,763405,P250（StatTrak™） | 影魔,220,9.97,13.42,1.35,2024-06-17
P250,破损不堪,纪念品,37896,P250（纪念品） | 硝烟,64,9.89,14.29,1.44,2024-06-17
P250,略有磨损,StatTrak™,769232,P250（StatTrak™） | 铜绿,61,9.38,11.24,1.2,2024-06-17
P250,崭新出厂,普通,773710,P250 | 炼狱小镇,210,9.32,12.84,1.38,2024-06-17
P250,略有磨损,纪念品,37890,P250（纪念品） | 核子污染,410,9.22,14.22,1.54,2024-06-17
P250,战痕累累,普通,35984,P250 | 二西莫夫,235,9.13,11.9,1.3,2024-06-17
P250,崭新出厂,普通,763273,P250 | 影魔,1053,8.91,11.9,1.34,2024-06-17
P250,久经沙场,普通,36106,P250 | 翼击,249,8.86,11.39,1.29,2024-06-17
P250,崭新出厂,纪念品,761463,P250（纪念品） | 交换机,100,8.85,10.23,1.16,2024-06-17
P250,久经沙场,StatTrak™,773431,P250（StatTrak™） | X 射线,57,8.77,10.37,1.18,2024-06-17
P250,崭新出厂,普通,36087,P250 | 超新星,762,8.58,11.68,1.36,2024-06-17
P250,略有磨损,StatTrak™,773443,P250（StatTrak™） | X 射线,154,8.39,12.04,1.44,2024-06-17
P250,崭新出厂,普通,36017,P250 | 富兰克林,1097,8.17,10.3,1.26,2024-06-17
P250,久经沙场,纪念品,37894,P250（纪念品） | 硝烟,641,7.9,10.16,1.29,2024-06-17
P250,略有磨损,StatTrak™,857648,P250（StatTrak™） | 赛博先锋,150,7.78,10.37,1.33,2024-06-17
P250,略有磨损,StatTrak™,835623,P250（StatTrak™） | 污染物,65,7.77,10.16,1.31,2024-06-17
P250,破损不堪,普通,36108,P250 | 翼击,78,7.75,10.23,1.32,2024-06-17
P250,崭新出厂,普通,835397,P250 | 污染物,78,7.67,9.65,1.26,2024-06-17
P250,破损不堪,StatTrak™,835844,P250（StatTrak™） | 污染物,12,7.56,9.58,1.27,2024-06-17
P250,久经沙场,普通,762146,P250 | 葡萄酒,370,7.39,10.01,1.35,2024-06-17
P250,破损不堪,纪念品,37907,P250（纪念品） | 沙丘之黄,49,7.15,10.59,1.48,2024-06-17
P250,久经沙场,StatTrak™,763387,P250（StatTrak™） | 影魔,177,6.97,9.36,1.34,2024-06-17
P250,破损不堪,StatTrak™,773813,P250（StatTrak™） | 炼狱小镇,12,6.95,10.59,1.52,2024-06-17
P250,破损不堪,普通,36020,P250 | 富兰克林,27,6.94,9.79,1.41,2024-06-17
P250,崭新出厂,普通,857544,P250 | 赛博先锋,249,6.88,9.79,1.42,2024-06-17
P250,破损不堪,普通,36090,P250 | 超新星,23,6.84,9.21,1.35,2024-06-17
P250,战痕累累,StatTrak™,773749,P250（StatTrak™） | 炼狱小镇,29,6.81,8.78,1.29,2024-06-17
P250,久经沙场,StatTrak™,773711,P250（StatTrak™） | 炼狱小镇,98,6.81,9.58,1.41,2024-06-17
P250,战痕累累,纪念品,37892,P250（纪念品） | 硝烟,93,6.57,10.81,1.65,2024-06-17
P250,战痕累累,普通,36104,P250 | 翼击,88,6.51,8.56,1.31,2024-06-17
P250,略有磨损,普通,773669,P250 | 炼狱小镇,144,6.41,7.98,1.24,2024-06-17
P250,略有磨损,普通,835385,P250 | 暮色森林,52,6.22,7.69,1.24,2024-06-17
P250,久经沙场,普通,835380,P250 | 污染物,82,6.15,7.98,1.3,2024-06-17
P250,久经沙场,普通,835342,P250 | 暮色森林,124,5.89,7.33,1.24,2024-06-17
P250,战痕累累,普通,835353,P250 | 暮色森林,12,5.87,7.11,1.21,2024-06-17
P250,破损不堪,普通,835574,P250 | 污染物,10,5.84,7.33,1.26,2024-06-17
P250,崭新出厂,StatTrak™,39272,P250（StatTrak™） | 涟漪,155,5.84,7.69,1.32,2024-06-17
P250,破损不堪,普通,835415,P250 | 暮色森林,17,5.81,6.96,1.2,2024-06-17
P250,略有磨损,普通,835561,P250 | 污染物,32,5.78,7.54,1.3,2024-06-17
P250,崭新出厂,StatTrak™,921565,P250（StatTrak™） | 重构,138,5.67,7.76,1.37,2024-06-17
P250,破损不堪,普通,762213,P250 | 葡萄酒,69,5.38,6.09,1.13,2024-06-17
P250,略有磨损,普通,36019,P250 | 富兰克林,745,5.03,6.75,1.34,2024-06-17
P250,战痕累累,普通,835433,P250 | 污染物,24,4.96,7.11,1.43,2024-06-17
P250,略有磨损,普通,36089,P250 | 超新星,583,4.96,6.67,1.34,2024-06-17
P250,破损不堪,普通,763416,P250 | 影魔,25,4.88,5.44,1.11,2024-06-17
P250,略有磨损,普通,763240,P250 | 影魔,827,4.69,6.46,1.38,2024-06-17
P250,崭新出厂,普通,871138,P250 | 天旱,317,4.47,6.24,1.4,2024-06-17
P250,破损不堪,普通,773745,P250 | 炼狱小镇,19,4.34,4.14,0.95,2024-06-17
P250,略有磨损,StatTrak™,39297,P250（StatTrak™） | 元素轮廓,512,4.19,5.95,1.42,2024-06-17
P250,久经沙场,纪念品,37889,P250（纪念品） | 核子污染,688,4.16,6.02,1.45,2024-06-17
P250,略有磨损,普通,871143,P250 | 天旱,146,4.13,5.3,1.28,2024-06-17
P250,破损不堪,普通,871136,P250 | 天旱,52,4.1,5.01,1.22,2024-06-17
