加利尔 AR,崭新出厂,纪念品,37664,加利尔 AR（纪念品） | 地狱看门犬,24,2999,13785.43,4.6,2024-06-16
加利尔 AR,战痕累累,普通,34962,加利尔 AR | ~甜甜的~,5,298.88,371.23,1.24,2024-06-16
加利尔 AR,破损不堪,普通,871912,加利尔 AR | 警告！,2,298,421.72,1.42,2024-06-16
加利尔 AR,崭新出厂,纪念品,876983,加利尔 AR（纪念品） | 警告！,42,274.5,379.43,1.38,2024-06-16
加利尔 AR,久经沙场,普通,835707,加利尔 AR | 凤凰冥灯,70,274.18,387.41,1.41,2024-06-16
加利尔 AR,略有磨损,普通,34904,加利尔 AR | 地狱看门犬,105,270.99,363.9,1.34,2024-06-16
加利尔 AR,久经沙场,普通,34964,加利尔 AR | ~甜甜的~,28,260.5,376.09,1.44,2024-06-16
加利尔 AR,破损不堪,普通,34966,加利尔 AR | ~甜甜的~,6,255.94,321.75,1.26,2024-06-16
加利尔 AR,崭新出厂,普通,34934,加利尔 AR | 橙黄 DDPAT,17,250.5,394.88,1.58,2024-06-16
加利尔 AR,战痕累累,普通,871950,加利尔 AR | 警告！,2,249.5,533.74,2.14,2024-06-16
加利尔 AR,久经沙场,纪念品,37665,加利尔 AR（纪念品） | 地狱看门犬,130,248.38,347.72,1.4,2024-06-16
加利尔 AR,略有磨损,StatTrak™,38673,加利尔 AR（StatTrak™） | 橙黄 DDPAT,12,244.5,339.67,1.39,2024-06-16
加利尔 AR,略有磨损,普通,34916,加利尔 AR | 经济,244,218.5,284.68,1.3,2024-06-16
加利尔 AR,破损不堪,普通,871295,加利尔 AR | 渐变琥珀,2,199.5,225.48,1.13,2024-06-16
加利尔 AR,破损不堪,纪念品,37667,加利尔 AR（纪念品） | 地狱看门犬,28,199.5,258.63,1.3,2024-06-16
加利尔 AR,破损不堪,普通,34937,加利尔 AR | 橙黄 DDPAT,1,187.5,115.71,0.62,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38670,加利尔 AR（StatTrak™） | 橙黄 DDPAT,3,179.5,168.89,0.94,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38648,加利尔 AR（StatTrak™） | 喧闹骷髅,44,168.25,220.69,1.31,2024-06-16
加利尔 AR,略有磨损,纪念品,876951,加利尔 AR（纪念品） | 警告！,17,167.88,260.66,1.55,2024-06-16
加利尔 AR,略有磨损,普通,34985,加利尔 AR | 冬之森林,18,162.99,217.57,1.33,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,857711,加利尔 AR（StatTrak™） | 迷人眼,74,159.5,219.46,1.38,2024-06-16
加利尔 AR,崭新出厂,普通,871408,加利尔 AR | 渐变琥珀,109,154.5,194.07,1.26,2024-06-16
加利尔 AR,久经沙场,普通,871161,加利尔 AR | 渐变琥珀,20,152.99,211.19,1.38,2024-06-16
加利尔 AR,略有磨损,普通,871333,加利尔 AR | 渐变琥珀,28,151.5,192.25,1.27,2024-06-16
加利尔 AR,破损不堪,普通,835915,加利尔 AR | 废墟黄昏,6,149.5,231.43,1.55,2024-06-16
加利尔 AR,战痕累累,纪念品,37663,加利尔 AR（纪念品） | 地狱看门犬,40,145,224.54,1.55,2024-06-16
加利尔 AR,崭新出厂,普通,34973,加利尔 AR | 都市瓦砾,17,144.3,174.12,1.21,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38672,加利尔 AR（StatTrak™） | 橙黄 DDPAT,25,139.5,195.81,1.4,2024-06-16
加利尔 AR,崭新出厂,普通,34953,加利尔 AR | 支离破碎,12,124.5,181.3,1.46,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,38690,加利尔 AR（StatTrak™） | 冷石,86,122.5,184.78,1.51,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38674,加利尔 AR（StatTrak™） | 橙黄 DDPAT,3,118.5,150.17,1.27,2024-06-16
加利尔 AR,战痕累累,普通,34972,加利尔 AR | 都市瓦砾,3,116.88,88.8,0.76,2024-06-16
加利尔 AR,略有磨损,普通,34936,加利尔 AR | 橙黄 DDPAT,27,115.27,177.96,1.54,2024-06-16
加利尔 AR,久经沙场,普通,34903,加利尔 AR | 地狱看门犬,129,114.9,154.96,1.35,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,38676,加利尔 AR（StatTrak™） | 火箭冰棒,103,113.5,152.64,1.34,2024-06-16
加利尔 AR,崭新出厂,普通,835759,加利尔 AR | 废墟黄昏,40,109.5,159.32,1.45,2024-06-16
加利尔 AR,崭新出厂,普通,776179,加利尔 AR | 狂哮飓风,17,108.99,172.3,1.58,2024-06-16
加利尔 AR,略有磨损,纪念品,37676,加利尔 AR（纪念品） | 贤者涂装,17,106,174.12,1.64,2024-06-16
加利尔 AR,略有磨损,普通,835651,加利尔 AR | 废墟黄昏,7,99.6,147.13,1.48,2024-06-16
加利尔 AR,久经沙场,普通,835676,加利尔 AR | 废墟黄昏,12,95.1,149.59,1.57,2024-06-16
加利尔 AR,久经沙场,普通,34935,加利尔 AR | 橙黄 DDPAT,18,94.18,116.08,1.23,2024-06-16
加利尔 AR,战痕累累,普通,835967,加利尔 AR | 废墟黄昏,3,91.9,149.52,1.63,2024-06-16
加利尔 AR,破损不堪,普通,34908,加利尔 AR | 喧闹骷髅,155,88.68,114.77,1.29,2024-06-16
加利尔 AR,破损不堪,普通,34905,加利尔 AR | 地狱看门犬,28,87.9,117.89,1.34,2024-06-16
加利尔 AR,战痕累累,普通,34933,加利尔 AR | 橙黄 DDPAT,2,86.56,116.08,1.34,2024-06-16
加利尔 AR,略有磨损,普通,34975,加利尔 AR | 都市瓦砾,7,83.7,109.84,1.31,2024-06-16
加利尔 AR,战痕累累,纪念品,877067,加利尔 AR（纪念品） | 警告！,10,79.78,107.88,1.35,2024-06-16
加利尔 AR,略有磨损,StatTrak™,38687,加利尔 AR（StatTrak™） | 支离破碎,40,76.84,100.62,1.31,2024-06-16
加利尔 AR,破损不堪,普通,34976,加利尔 AR | 都市瓦砾,4,76.78,98.88,1.29,2024-06-16
加利尔 AR,破损不堪,纪念品,877254,加利尔 AR（纪念品） | 警告！,4,75.9,102.44,1.35,2024-06-16
加利尔 AR,战痕累累,普通,34901,加利尔 AR | 地狱看门犬,21,73.89,99.83,1.35,2024-06-16
加利尔 AR,久经沙场,纪念品,876984,加利尔 AR（纪念品） | 警告！,39,72.79,108.46,1.49,2024-06-16
加利尔 AR,崭新出厂,普通,34919,加利尔 AR | 火线冲锋,108,12.6,18.94,1.5,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38683,加利尔 AR（StatTrak™） | 沙尘暴,12,12.41,15.16,1.22,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,769247,加利尔 AR（StatTrak™） | 战吼斑纹,86,11.74,15.82,1.35,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38669,加利尔 AR（StatTrak™） | 神祗,15,11.73,17.12,1.46,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38665,加利尔 AR（StatTrak™） | 神祗,24,11.59,16.25,1.4,2024-06-16
加利尔 AR,略有磨损,StatTrak™,763386,加利尔 AR（StatTrak™） | 信号灯,143,11.49,16.76,1.46,2024-06-16
加利尔 AR,久经沙场,普通,857530,加利尔 AR | 迷人眼,1197,10.7,14.36,1.34,2024-06-16
加利尔 AR,战痕累累,纪念品,37668,加利尔 AR（纪念品） | 隐蔽猎手,99,10.8,17.05,1.58,2024-06-16
加利尔 AR,崭新出厂,普通,835835,加利尔 AR | 破坏者,55,10.4,14.44,1.39,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38677,加利尔 AR（StatTrak™） | 火箭冰棒,174,9.89,13.71,1.39,2024-06-16
加利尔 AR,略有磨损,StatTrak™,781600,加利尔 AR（StatTrak™） | 凤凰商号,197,9.69,12.55,1.3,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38681,加利尔 AR（StatTrak™） | 沙尘暴,294,9.66,12.55,1.3,2024-06-16
加利尔 AR,久经沙场,普通,34959,加利尔 AR | 冷石,485,9.27,12.12,1.31,2024-06-16
加利尔 AR,破损不堪,StatTrak™,763485,加利尔 AR（StatTrak™） | 信号灯,22,8.96,11.39,1.27,2024-06-16
加利尔 AR,破损不堪,普通,34961,加利尔 AR | 冷石,66,8.96,10.95,1.22,2024-06-16
加利尔 AR,略有磨损,纪念品,761445,加利尔 AR（纪念品） | 冰核聚变,273,8.93,11.68,1.31,2024-06-16
加利尔 AR,破损不堪,普通,34913,加利尔 AR | 深红海啸,29,8.75,12.62,1.44,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38680,加利尔 AR（StatTrak™） | 沙尘暴,39,8.73,12.77,1.46,2024-06-16
加利尔 AR,破损不堪,纪念品,37672,加利尔 AR（纪念品） | 隐蔽猎手,59,8.71,11.68,1.34,2024-06-16
加利尔 AR,崭新出厂,普通,763277,加利尔 AR | 信号灯,439,8.65,11.68,1.35,2024-06-16
加利尔 AR,久经沙场,普通,34911,加利尔 AR | 深红海啸,201,8.55,11.68,1.37,2024-06-16
加利尔 AR,破损不堪,普通,34951,加利尔 AR | 沙尘暴,18,8.19,10.37,1.27,2024-06-16
加利尔 AR,略有磨损,纪念品,37671,加利尔 AR（纪念品） | 隐蔽猎手,563,8.09,12.12,1.5,2024-06-16
加利尔 AR,略有磨损,StatTrak™,835682,加利尔 AR（StatTrak™） | 破坏者,75,7.97,11.39,1.43,2024-06-16
加利尔 AR,破损不堪,普通,857632,加利尔 AR | 迷人眼,204,7.94,10.08,1.27,2024-06-16
加利尔 AR,战痕累累,普通,34909,加利尔 AR | 深红海啸,19,7.9,10.3,1.3,2024-06-16
加利尔 AR,崭新出厂,普通,781596,加利尔 AR | 凤凰商号,367,7.79,10.88,1.4,2024-06-16
加利尔 AR,崭新出厂,普通,34968,加利尔 AR | 燕尾,2947,7.49,10.66,1.42,2024-06-16
加利尔 AR,战痕累累,普通,857613,加利尔 AR | 迷人眼,269,7.08,10.37,1.46,2024-06-16
加利尔 AR,久经沙场,普通,34949,加利尔 AR | 沙尘暴,343,6.94,8.78,1.27,2024-06-16
加利尔 AR,战痕累累,普通,34948,加利尔 AR | 沙尘暴,29,6.63,10.16,1.53,2024-06-16
加利尔 AR,破损不堪,普通,835394,加利尔 AR | 破坏者,18,6.48,6.96,1.07,2024-06-16
加利尔 AR,久经沙场,普通,835546,加利尔 AR | 破坏者,81,6.38,8.34,1.31,2024-06-16
加利尔 AR,久经沙场,StatTrak™,763362,加利尔 AR（StatTrak™） | 信号灯,181,6.37,8.92,1.4,2024-06-16
加利尔 AR,略有磨损,StatTrak™,769279,加利尔 AR（StatTrak™） | 战吼斑纹,76,6.09,7.98,1.31,2024-06-16
加利尔 AR,久经沙场,普通,34940,加利尔 AR | 火箭冰棒,589,6.07,7.76,1.28,2024-06-16
加利尔 AR,破损不堪,纪念品,761504,加利尔 AR（纪念品） | 冰核聚变,31,5.91,8.56,1.45,2024-06-16
加利尔 AR,战痕累累,普通,34957,加利尔 AR | 冷石,59,5.99,8.49,1.42,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38679,加利尔 AR（StatTrak™） | 火箭冰棒,108,5.83,8.71,1.49,2024-06-16
加利尔 AR,略有磨损,普通,835425,加利尔 AR | 破坏者,51,5.73,8.78,1.53,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38662,加利尔 AR（StatTrak™） | 火线冲锋,143,5.49,7.91,1.44,2024-06-16
加利尔 AR,战痕累累,普通,835608,加利尔 AR | 破坏者,35,5.11,6.67,1.31,2024-06-16
加利尔 AR,略有磨损,普通,34970,加利尔 AR | 燕尾,1410,4.99,6.46,1.29,2024-06-16
加利尔 AR,略有磨损,普通,34921,加利尔 AR | 火线冲锋,183,4.92,6.89,1.4,2024-06-16
加利尔 AR,略有磨损,普通,763281,加利尔 AR | 信号灯,564,4.89,6.89,1.41,2024-06-16
加利尔 AR,战痕累累,StatTrak™,763489,加利尔 AR（StatTrak™） | 信号灯,27,4.75,6.89,1.45,2024-06-16
加利尔 AR,久经沙场,纪念品,37670,加利尔 AR（纪念品） | 隐蔽猎手,749,4.59,6.46,1.41,2024-06-16
加利尔 AR,破损不堪,StatTrak™,769263,加利尔 AR（StatTrak™） | 战吼斑纹,32,4.49,5.95,1.33,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38664,加利尔 AR（StatTrak™） | 火线冲锋,19,4.46,5.66,1.27,2024-06-16
加利尔 AR,崭新出厂,StatTrak™,900587,加利尔 AR（StatTrak™） | 毁灭者,331,4.22,5.8,1.37,2024-06-16
加利尔 AR,久经沙场,StatTrak™,835807,加利尔 AR（StatTrak™） | 破坏者,122,4.18,6.09,1.46,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38675,加利尔 AR（StatTrak™） | 火箭冰棒,107,4.16,6.09,1.46,2024-06-16
加利尔 AR,略有磨损,普通,781612,加利尔 AR | 凤凰商号,1122,4.08,5.66,1.39,2024-06-16
加利尔 AR,崭新出厂,普通,34896,加利尔 AR | 黑砂,115,3.97,4.57,1.15,2024-06-16
加利尔 AR,久经沙场,StatTrak™,781665,加利尔 AR（StatTrak™） | 凤凰商号,350,3.81,5.01,1.31,2024-06-16
加利尔 AR,破损不堪,StatTrak™,781698,加利尔 AR（StatTrak™） | 凤凰商号,32,3.7,5.3,1.43,2024-06-16
加利尔 AR,崭新出厂,普通,769184,加利尔 AR | 战吼斑纹,136,3.58,4.43,1.24,2024-06-16
加利尔 AR,略有磨损,StatTrak™,38645,加利尔 AR（StatTrak™） | 黑砂,158,3.45,5.15,1.49,2024-06-16
加利尔 AR,久经沙场,普通,763298,加利尔 AR | 信号灯,515,3.32,4.35,1.31,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38660,加利尔 AR（StatTrak™） | 火线冲锋,30,3.24,5.44,1.68,2024-06-16
加利尔 AR,破损不堪,普通,34942,加利尔 AR | 火箭冰棒,287,3.21,4.21,1.31,2024-06-16
加利尔 AR,战痕累累,StatTrak™,781652,加利尔 AR（StatTrak™） | 凤凰商号,82,3,4.5,1.5,2024-06-16
加利尔 AR,破损不堪,普通,763295,加利尔 AR | 信号灯,59,2.99,4.35,1.45,2024-06-16
加利尔 AR,久经沙场,纪念品,761519,加利尔 AR（纪念品） | 冰核聚变,438,2.98,4.64,1.56,2024-06-16
加利尔 AR,战痕累累,纪念品,761503,加利尔 AR（纪念品） | 冰核聚变,90,2.95,4.21,1.43,2024-06-16
加利尔 AR,战痕累累,StatTrak™,835855,加利尔 AR（StatTrak™） | 破坏者,52,2.94,4.57,1.55,2024-06-16
加利尔 AR,破损不堪,StatTrak™,835559,加利尔 AR（StatTrak™） | 破坏者,21,2.93,4.5,1.54,2024-06-16
加利尔 AR,久经沙场,普通,34969,加利尔 AR | 燕尾,776,2.72,3.34,1.23,2024-06-16
加利尔 AR,战痕累累,普通,763356,加利尔 AR | 信号灯,46,2.66,3.85,1.45,2024-06-16
加利尔 AR,战痕累累,普通,34938,加利尔 AR | 火箭冰棒,228,2.18,2.83,1.3,2024-06-16
加利尔 AR,久经沙场,普通,781577,加利尔 AR | 凤凰商号,2789,2.16,3.05,1.41,2024-06-16
加利尔 AR,破损不堪,普通,34971,加利尔 AR | 燕尾,48,2.1,2.83,1.35,2024-06-16
加利尔 AR,略有磨损,StatTrak™,900573,加利尔 AR（StatTrak™） | 毁灭者,362,2.06,2.68,1.3,2024-06-16
加利尔 AR,久经沙场,普通,34920,加利尔 AR | 火线冲锋,267,2.06,2.9,1.41,2024-06-16
加利尔 AR,久经沙场,StatTrak™,769229,加利尔 AR（StatTrak™） | 战吼斑纹,186,1.99,2.76,1.39,2024-06-16
加利尔 AR,破损不堪,普通,781687,加利尔 AR | 凤凰商号,168,1.98,2.76,1.39,2024-06-16
加利尔 AR,久经沙场,StatTrak™,38644,加利尔 AR（StatTrak™） | 黑砂,145,1.95,2.54,1.3,2024-06-16
加利尔 AR,略有磨损,普通,769127,加利尔 AR | 战吼斑纹,237,1.89,2.47,1.31,2024-06-16
加利尔 AR,战痕累累,普通,34967,加利尔 AR | 燕尾,145,1.89,2.32,1.23,2024-06-16
加利尔 AR,战痕累累,普通,34918,加利尔 AR | 火线冲锋,128,1.8,2.54,1.41,2024-06-16
加利尔 AR,破损不堪,普通,34922,加利尔 AR | 火线冲锋,100,1.77,2.68,1.51,2024-06-16
加利尔 AR,战痕累累,普通,781633,加利尔 AR | 凤凰商号,231,1.69,2.18,1.29,2024-06-16
加利尔 AR,战痕累累,StatTrak™,769281,加利尔 AR（StatTrak™） | 战吼斑纹,49,1.54,2.32,1.51,2024-06-16
加利尔 AR,破损不堪,普通,769220,加利尔 AR | 战吼斑纹,14,1.49,1.96,1.32,2024-06-16
加利尔 AR,战痕累累,StatTrak™,38642,加利尔 AR（StatTrak™） | 黑砂,50,1.41,2.03,1.44,2024-06-16
加利尔 AR,崭新出厂,普通,762116,加利尔 AR | 冰核聚变,1289,1.29,1.89,1.47,2024-06-16
加利尔 AR,破损不堪,StatTrak™,38646,加利尔 AR（StatTrak™） | 黑砂,65,1.2,1.67,1.39,2024-06-16
加利尔 AR,崭新出厂,普通,900511,加利尔 AR | 毁灭者,753,1.19,1.67,1.4,2024-06-16
加利尔 AR,久经沙场,普通,769172,加利尔 AR | 战吼斑纹,435,1.01,1.16,1.15,2024-06-16
加利尔 AR,破损不堪,普通,34899,加利尔 AR | 黑砂,43,0.97,0.8,0.82,2024-06-16
加利尔 AR,略有磨损,普通,34898,加利尔 AR | 黑砂,176,0.93,1.16,1.25,2024-06-16
加利尔 AR,破损不堪,StatTrak™,900625,加利尔 AR（StatTrak™） | 毁灭者,24,0.91,1.38,1.52,2024-06-16
加利尔 AR,久经沙场,StatTrak™,900583,加利尔 AR（StatTrak™） | 毁灭者,520,0.82,1.02,1.24,2024-06-16
加利尔 AR,战痕累累,普通,769223,加利尔 AR | 战吼斑纹,38,0.77,1.16,1.51,2024-06-16
加利尔 AR,崭新出厂,普通,34944,加利尔 AR | 贤者涂装,196,0.77,0.87,1.13,2024-06-16
加利尔 AR,久经沙场,普通,34897,加利尔 AR | 黑砂,147,0.66,0.94,1.42,2024-06-16
加利尔 AR,战痕累累,StatTrak™,900547,加利尔 AR（StatTrak™） | 毁灭者,79,0.6,1.02,1.7,2024-06-16
加利尔 AR,崭新出厂,普通,34978,加利尔 AR | 多变迷彩,435,0.6,0.8,1.33,2024-06-16
加利尔 AR,略有磨损,普通,900472,加利尔 AR | 毁灭者,919,0.57,0.94,1.65,2024-06-16
加利尔 AR,略有磨损,普通,762090,加利尔 AR | 冰核聚变,1427,0.45,0.58,1.29,2024-06-16
加利尔 AR,略有磨损,普通,34980,加利尔 AR | 多变迷彩,355,0.4,0.58,1.45,2024-06-16
加利尔 AR,战痕累累,普通,34895,加利尔 AR | 黑砂,50,0.39,0.8,2.05,2024-06-16
加利尔 AR,久经沙场,普通,900479,加利尔 AR | 毁灭者,1284,0.33,0.58,1.76,2024-06-16
加利尔 AR,久经沙场,普通,34979,加利尔 AR | 多变迷彩,421,0.3,0.51,1.7,2024-06-16
加利尔 AR,战痕累累,普通,34977,加利尔 AR | 多变迷彩,48,0.29,0.44,1.52,2024-06-16
加利尔 AR,破损不堪,普通,34981,加利尔 AR | 多变迷彩,34,0.28,0.51,1.82,2024-06-16
加利尔 AR,战痕累累,普通,900548,加利尔 AR | 毁灭者,167,0.27,0.44,1.63,2024-06-16
加利尔 AR,破损不堪,普通,900578,加利尔 AR | 毁灭者,114,0.25,0.51,2.04,2024-06-16
加利尔 AR,破损不堪,普通,762200,加利尔 AR | 冰核聚变,44,0.22,0.44,2.0,2024-06-16
加利尔 AR,久经沙场,普通,762117,加利尔 AR | 冰核聚变,2032,0.19,0.44,2.32,2024-06-16
加利尔 AR,战痕累累,普通,762115,加利尔 AR | 冰核聚变,159,0.19,0.44,2.32,2024-06-16
加利尔 AR,略有磨损,普通,34946,加利尔 AR | 贤者涂装,1137,0.06,0.22,3.67,2024-06-16
加利尔 AR,破损不堪,普通,34947,加利尔 AR | 贤者涂装,168,0.02,0.22,11.0,2024-06-16
加利尔 AR,久经沙场,普通,34945,加利尔 AR | 贤者涂装,1989,0.03,0.22,7.33,2024-06-16
加利尔 AR,战痕累累,普通,34943,加利尔 AR | 贤者涂装,224,0.02,0.22,11.0,2024-06-16
加利尔 AR,破损不堪,普通,34922,加利尔 AR | 火线冲锋,100,1.77,2.68,1.51,2024-06-17
加利尔 AR,战痕累累,普通,781633,加利尔 AR | 凤凰商号,231,1.69,2.18,1.29,2024-06-17
加利尔 AR,战痕累累,StatTrak™,769281,加利尔 AR（StatTrak™） | 战吼斑纹,49,1.54,2.32,1.51,2024-06-17
加利尔 AR,破损不堪,普通,769220,加利尔 AR | 战吼斑纹,14,1.49,1.96,1.32,2024-06-17
加利尔 AR,战痕累累,StatTrak™,38642,加利尔 AR（StatTrak™） | 黑砂,50,1.41,2.03,1.44,2024-06-17
加利尔 AR,崭新出厂,普通,762116,加利尔 AR | 冰核聚变,1289,1.29,1.89,1.47,2024-06-17
加利尔 AR,破损不堪,StatTrak™,38646,加利尔 AR（StatTrak™） | 黑砂,65,1.2,1.67,1.39,2024-06-17
加利尔 AR,崭新出厂,普通,900511,加利尔 AR | 毁灭者,753,1.19,1.67,1.4,2024-06-17
加利尔 AR,久经沙场,普通,769172,加利尔 AR | 战吼斑纹,435,1.01,1.16,1.15,2024-06-17
加利尔 AR,破损不堪,普通,34899,加利尔 AR | 黑砂,43,0.97,0.8,0.82,2024-06-17
加利尔 AR,略有磨损,普通,34898,加利尔 AR | 黑砂,176,0.93,1.16,1.25,2024-06-17
加利尔 AR,破损不堪,StatTrak™,900625,加利尔 AR（StatTrak™） | 毁灭者,24,0.91,1.38,1.52,2024-06-17
加利尔 AR,久经沙场,StatTrak™,900583,加利尔 AR（StatTrak™） | 毁灭者,520,0.82,1.02,1.24,2024-06-17
加利尔 AR,战痕累累,普通,769223,加利尔 AR | 战吼斑纹,38,0.77,1.16,1.51,2024-06-17
加利尔 AR,崭新出厂,普通,34944,加利尔 AR | 贤者涂装,196,0.77,0.87,1.13,2024-06-17
加利尔 AR,久经沙场,普通,34897,加利尔 AR | 黑砂,147,0.66,0.94,1.42,2024-06-17
加利尔 AR,战痕累累,StatTrak™,900547,加利尔 AR（StatTrak™） | 毁灭者,79,0.6,1.02,1.7,2024-06-17
加利尔 AR,崭新出厂,普通,34978,加利尔 AR | 多变迷彩,435,0.6,0.8,1.33,2024-06-17
加利尔 AR,略有磨损,普通,900472,加利尔 AR | 毁灭者,919,0.57,0.94,1.65,2024-06-17
加利尔 AR,略有磨损,普通,762090,加利尔 AR | 冰核聚变,1427,0.45,0.58,1.29,2024-06-17
加利尔 AR,略有磨损,普通,34980,加利尔 AR | 多变迷彩,355,0.4,0.58,1.45,2024-06-17
加利尔 AR,战痕累累,普通,34895,加利尔 AR | 黑砂,50,0.39,0.8,2.05,2024-06-17
加利尔 AR,久经沙场,普通,900479,加利尔 AR | 毁灭者,1284,0.33,0.58,1.76,2024-06-17
加利尔 AR,久经沙场,普通,34979,加利尔 AR | 多变迷彩,421,0.3,0.51,1.7,2024-06-17
加利尔 AR,战痕累累,普通,34977,加利尔 AR | 多变迷彩,48,0.29,0.44,1.52,2024-06-17
加利尔 AR,破损不堪,普通,34981,加利尔 AR | 多变迷彩,34,0.28,0.51,1.82,2024-06-17
加利尔 AR,战痕累累,普通,900548,加利尔 AR | 毁灭者,167,0.27,0.44,1.63,2024-06-17
加利尔 AR,破损不堪,普通,900578,加利尔 AR | 毁灭者,114,0.25,0.51,2.04,2024-06-17
加利尔 AR,破损不堪,普通,762200,加利尔 AR | 冰核聚变,44,0.22,0.44,2.0,2024-06-17
加利尔 AR,久经沙场,普通,762117,加利尔 AR | 冰核聚变,2032,0.19,0.44,2.32,2024-06-17
加利尔 AR,战痕累累,普通,762115,加利尔 AR | 冰核聚变,159,0.19,0.44,2.32,2024-06-17
加利尔 AR,略有磨损,普通,34946,加利尔 AR | 贤者涂装,1137,0.06,0.22,3.67,2024-06-17
加利尔 AR,破损不堪,普通,34947,加利尔 AR | 贤者涂装,168,0.02,0.22,11.0,2024-06-17
