Tec-9,破损不堪,纪念品,38063,Tec-9（纪念品） | 核子威慑,1,28887.5,652.79,0.02,2024-06-17
Tec-9,破损不堪,纪念品,38059,Tec-9（纪念品） | 地下水,11,243.2,169.83,0.7,2024-06-17
Tec-9,久经沙场,普通,42021,Tec-9 | 核子威慑,21,218.2,332.85,1.53,2024-06-17
Tec-9,略有磨损,纪念品,761599,Tec-9（纪念品） | 遥控,24,210.5,343.51,1.63,2024-06-17
Tec-9,破损不堪,普通,776020,Tec-9 | 锈叶,3,199.5,362.23,1.82,2024-06-17
Tec-9,战痕累累,普通,42001,Tec-9 | 哈迪斯,5,198.5,157.43,0.79,2024-06-17
Tec-9,久经沙场,普通,775042,Tec-9 | 锈叶,11,194,255.44,1.32,2024-06-17
Tec-9,略有磨损,普通,774945,Tec-9 | 锈叶,11,189,239.7,1.27,2024-06-17
Tec-9,崭新出厂,普通,774742,Tec-9 | 锈叶,19,188.5,245.65,1.3,2024-06-17
Tec-9,略有磨损,纪念品,38054,Tec-9（纪念品） | 黄铜,61,188.5,245.72,1.3,2024-06-17
Tec-9,战痕累累,StatTrak™,776762,Tec-9（StatTrak™） | 屠杀者,9,174,171.29,0.98,2024-06-17
Tec-9,崭新出厂,StatTrak™,39650,Tec-9（StatTrak™） | 艾萨克,61,169.5,248.04,1.46,2024-06-17
Tec-9,崭新出厂,纪念品,38064,Tec-9（纪念品） | 晶红石英,48,164.5,273.43,1.66,2024-06-17
Tec-9,崭新出厂,StatTrak™,39635,Tec-9（StatTrak™） | 剪纸,18,156.7,217.57,1.39,2024-06-17
Tec-9,破损不堪,StatTrak™,776900,Tec-9（StatTrak™） | 屠杀者,10,156,198.13,1.27,2024-06-17
Tec-9,略有磨损,普通,775532,Tec-9 | 屠杀者,100,146.5,213.58,1.46,2024-06-17
Tec-9,崭新出厂,普通,42002,Tec-9 | 哈迪斯,35,146,231.43,1.59,2024-06-17
Tec-9,久经沙场,StatTrak™,775810,Tec-9（StatTrak™） | 屠杀者,44,141.8,203.13,1.43,2024-06-17
Tec-9,略有磨损,普通,42004,Tec-9 | 哈迪斯,7,133.48,193.63,1.45,2024-06-17
Tec-9,久经沙场,纪念品,761544,Tec-9（纪念品） | 遥控,23,127.5,161.56,1.27,2024-06-17
Tec-9,久经沙场,普通,42003,Tec-9 | 哈迪斯,4,127,154.74,1.22,2024-06-17
Tec-9,崭新出厂,纪念品,38047,Tec-9（纪念品） | 陆军网格,16,124.5,187.97,1.51,2024-06-17
Tec-9,略有磨损,纪念品,38071,Tec-9（纪念品） | 核子剧毒,169,117.5,161.85,1.38,2024-06-17
Tec-9,破损不堪,普通,42005,Tec-9 | 哈迪斯,7,113.97,160.19,1.41,2024-06-17
Tec-9,崭新出厂,StatTrak™,39667,Tec-9（StatTrak™） | 钛片,30,111.46,162.22,1.46,2024-06-17
Tec-9,久经沙场,纪念品,38048,Tec-9（纪念品） | 陆军网格,21,104.5,146.04,1.4,2024-06-17
Tec-9,略有磨损,普通,835743,Tec-9 | 上古图腾,12,104.37,148.8,1.43,2024-06-17
Tec-9,崭新出厂,普通,835689,Tec-9 | 上古图腾,19,99.5,169.76,1.71,2024-06-17
Tec-9,久经沙场,普通,835657,Tec-9 | 上古图腾,5,99.5,124.78,1.25,2024-06-17
Tec-9,破损不堪,普通,835863,Tec-9 | 上古图腾,1,95.9,160.98,1.68,2024-06-17
Tec-9,战痕累累,普通,835815,Tec-9 | 上古图腾,3,92.9,145.82,1.57,2024-06-17
Tec-9,久经沙场,纪念品,38053,Tec-9（纪念品） | 黄铜,94,89.9,134.94,1.5,2024-06-17
Tec-9,崭新出厂,普通,41992,Tec-9 | 燃料喷射器,161,89.89,125.15,1.39,2024-06-17
Tec-9,战痕累累,纪念品,761966,Tec-9（纪念品） | 遥控,15,86.52,126.09,1.46,2024-06-17
Tec-9,崭新出厂,StatTrak™,39624,Tec-9（StatTrak™） | 坍雪寒裘,68,83.9,128.99,1.54,2024-06-17
Tec-9,略有磨损,StatTrak™,39642,Tec-9（StatTrak™） | 燃料喷射器,127,83.66,124.35,1.49,2024-06-17
Tec-9,破损不堪,普通,775485,Tec-9 | 屠杀者,3,78.68,118.25,1.5,2024-06-17
Tec-9,略有磨损,纪念品,38066,Tec-9（纪念品） | 晶红石英,65,77.12,113.17,1.47,2024-06-17
Tec-9,略有磨损,StatTrak™,39669,Tec-9（StatTrak™） | 钛片,21,73.9,99.25,1.34,2024-06-17
Tec-9,久经沙场,StatTrak™,39668,Tec-9（StatTrak™） | 钛片,8,68.9,93.22,1.35,2024-06-17
Tec-9,破损不堪,纪念品,761967,Tec-9（纪念品） | 遥控,14,65.9,115.79,1.76,2024-06-17
Tec-9,战痕累累,纪念品,38056,Tec-9（纪念品） | 地下水,8,65.88,81.91,1.24,2024-06-17
Tec-9,崭新出厂,普通,42011,Tec-9 | 艾萨克,82,64.88,101.06,1.56,2024-06-17
Tec-9,略有磨损,普通,41979,Tec-9 | 黄铜,40,64.71,88.51,1.37,2024-06-17
Tec-9,久经沙场,普通,775056,Tec-9 | 屠杀者,231,64.49,88.15,1.37,2024-06-17
Tec-9,战痕累累,纪念品,38051,Tec-9（纪念品） | 黄铜,38,62.13,101.93,1.64,2024-06-17
Tec-9,破损不堪,纪念品,38055,Tec-9（纪念品） | 黄铜,74,60.75,99.83,1.64,2024-06-17
Tec-9,崭新出厂,StatTrak™,39628,Tec-9（StatTrak™） | 蓝钛,101,57.8,79.0,1.37,2024-06-17
Tec-9,破损不堪,纪念品,38072,Tec-9（纪念品） | 核子剧毒,14,54.25,84.52,1.56,2024-06-17
Tec-9,崭新出厂,普通,41987,Tec-9 | 剪纸,30,53.86,74.72,1.39,2024-06-17
Tec-9,崭新出厂,普通,42050,Tec-9 | 核子剧毒,111,52.9,78.06,1.48,2024-06-17
Tec-9,崭新出厂,普通,775559,Tec-9 | 穆拉诺之橙,22,49.94,74.8,1.5,2024-06-17
Tec-9,略有磨损,普通,775221,Tec-9 | 穆拉诺之橙,6,49.8,63.41,1.27,2024-06-17
Tec-9,久经沙场,纪念品,38065,Tec-9（纪念品） | 晶红石英,74,49.62,75.3,1.52,2024-06-17
Tec-9,战痕累累,纪念品,38068,Tec-9（纪念品） | 核子剧毒,33,47.9,77.84,1.63,2024-06-17
Tec-9,久经沙场,纪念品,38070,Tec-9（纪念品） | 核子剧毒,241,47.62,70.66,1.48,2024-06-17
Tec-9,久经沙场,普通,41967,Tec-9 | 坍雪寒裘,324,8.43,11.75,1.39,2024-06-17
Tec-9,略有磨损,普通,42035,Tec-9 | 沙尘暴,208,8.42,12.26,1.46,2024-06-17
Tec-9,略有磨损,StatTrak™,781635,Tec-9（StatTrak™） | 兄弟连,125,8.41,11.1,1.32,2024-06-17
Tec-9,久经沙场,普通,762238,Tec-9 | 遥控,314,8.07,10.95,1.36,2024-06-17
Tec-9,崭新出厂,普通,781616,Tec-9 | 兄弟连,201,7.99,10.52,1.32,2024-06-17
Tec-9,崭新出厂,普通,42024,Tec-9 | 骨化之色,180,7.94,10.3,1.3,2024-06-17
Tec-9,略有磨损,纪念品,929047,Tec-9（纪念品） | 腐朽木乃伊,48,7.76,10.66,1.37,2024-06-17
Tec-9,崭新出厂,普通,42026,Tec-9 | 战火重燃,347,7.76,11.46,1.48,2024-06-17
Tec-9,崭新出厂,普通,42015,Tec-9 | 贾姆比亚,53,7.63,10.95,1.44,2024-06-17
Tec-9,破损不堪,普通,871271,Tec-9 | 安全网,30,7.32,9.21,1.26,2024-06-17
Tec-9,崭新出厂,纪念品,877043,Tec-9（纪念品） | 上古图腾,62,7.18,10.52,1.47,2024-06-17
Tec-9,略有磨损,StatTrak™,39657,Tec-9（StatTrak™） | 贾姆比亚,60,7.13,9.36,1.31,2024-06-17
Tec-9,崭新出厂,StatTrak™,956637,Tec-9（StatTrak™） | 渣渣,51,6.99,8.63,1.23,2024-06-17
Tec-9,崭新出厂,StatTrak™,773760,Tec-9（StatTrak™） | 闪光舞步,79,6.94,10.52,1.52,2024-06-17
Tec-9,破损不堪,StatTrak™,769436,Tec-9（StatTrak™） | 青竹伪装,15,6.82,9.0,1.32,2024-06-17
Tec-9,久经沙场,普通,871249,Tec-9 | 安全网,138,6.79,9.65,1.42,2024-06-17
Tec-9,战痕累累,普通,871261,Tec-9 | 安全网,29,6.66,8.05,1.21,2024-06-17
Tec-9,破损不堪,StatTrak™,39662,Tec-9（StatTrak™） | 战火重燃,17,6.55,8.34,1.27,2024-06-17
Tec-9,久经沙场,普通,927329,Tec-9 | 腐朽木乃伊,310,6.19,8.78,1.42,2024-06-17
Tec-9,崭新出厂,普通,835457,Tec-9 | 凤凰涂鸦,58,5.66,7.98,1.41,2024-06-17
Tec-9,崭新出厂,普通,759321,Tec-9 | 蛇-9,60,5.35,6.89,1.29,2024-06-17
Tec-9,破损不堪,普通,41969,Tec-9 | 坍雪寒裘,87,5.21,6.67,1.28,2024-06-17
Tec-9,崭新出厂,StatTrak™,921577,Tec-9（StatTrak™） | 叛逆,117,5.17,7.98,1.54,2024-06-17
Tec-9,略有磨损,StatTrak™,39647,Tec-9（StatTrak™） | 冰冠,226,5.16,6.96,1.35,2024-06-17
Tec-9,略有磨损,普通,763437,Tec-9 | 破铜烂铁,67,5.07,6.75,1.33,2024-06-17
Tec-9,略有磨损,普通,769224,Tec-9 | 青竹伪装,380,4.98,6.38,1.28,2024-06-17
Tec-9,破损不堪,普通,762222,Tec-9 | 遥控,111,4.95,6.82,1.38,2024-06-17
Tec-9,略有磨损,普通,42017,Tec-9 | 贾姆比亚,71,4.93,6.02,1.22,2024-06-17
Tec-9,久经沙场,普通,42016,Tec-9 | 贾姆比亚,54,4.91,6.31,1.29,2024-06-17
Tec-9,久经沙场,StatTrak™,39660,Tec-9（StatTrak™） | 战火重燃,95,4.88,6.17,1.26,2024-06-17
Tec-9,久经沙场,纪念品,929089,Tec-9（纪念品） | 腐朽木乃伊,39,4.79,5.66,1.18,2024-06-17
Tec-9,战痕累累,普通,42014,Tec-9 | 贾姆比亚,22,4.78,4.72,0.99,2024-06-17
Tec-9,破损不堪,普通,927353,Tec-9 | 腐朽木乃伊,174,4.69,6.17,1.32,2024-06-17
Tec-9,破损不堪,普通,42018,Tec-9 | 贾姆比亚,22,4.68,5.01,1.07,2024-06-17
Tec-9,久经沙场,StatTrak™,769435,Tec-9（StatTrak™） | 青竹伪装,252,4.61,6.17,1.34,2024-06-17
Tec-9,战痕累累,StatTrak™,769265,Tec-9（StatTrak™） | 青竹伪装,36,4.59,5.15,1.12,2024-06-17
Tec-9,略有磨损,纪念品,877062,Tec-9（纪念品） | 上古图腾,55,4.38,3.85,0.88,2024-06-17
Tec-9,战痕累累,普通,762219,Tec-9 | 遥控,169,4.37,6.31,1.44,2024-06-17
Tec-9,久经沙场,StatTrak™,39656,Tec-9（StatTrak™） | 贾姆比亚,74,4.2,5.37,1.28,2024-06-17
Tec-9,略有磨损,StatTrak™,759318,Tec-9（StatTrak™） | 蛇-9,65,4.14,6.17,1.49,2024-06-17
Tec-9,久经沙场,StatTrak™,39664,Tec-9（StatTrak™） | 沙尘暴,543,4.11,5.01,1.22,2024-06-17
Tec-9,战痕累累,普通,41965,Tec-9 | 坍雪寒裘,104,4.04,5.3,1.31,2024-06-17
Tec-9,略有磨损,普通,835366,Tec-9 | 凤凰涂鸦,73,4.01,5.44,1.36,2024-06-17
Tec-9,战痕累累,普通,927338,Tec-9 | 腐朽木乃伊,113,3.99,5.88,1.47,2024-06-17
Tec-9,略有磨损,普通,781605,Tec-9 | 兄弟连,723,3.99,5.51,1.38,2024-06-17
Tec-9,久经沙场,StatTrak™,781582,Tec-9（StatTrak™） | 兄弟连,166,3.97,5.15,1.3,2024-06-17
Tec-9,战痕累累,StatTrak™,39654,Tec-9（StatTrak™） | 贾姆比亚,44,3.96,4.35,1.1,2024-06-17
Tec-9,破损不堪,普通,835773,Tec-9 | 凤凰涂鸦,9,3.84,5.44,1.42,2024-06-17
Tec-9,久经沙场,普通,835331,Tec-9 | 凤凰涂鸦,117,3.83,4.79,1.25,2024-06-17
Tec-9,战痕累累,普通,835629,Tec-9 | 凤凰涂鸦,13,3.82,4.72,1.24,2024-06-17
Tec-9,略有磨损,普通,42028,Tec-9 | 战火重燃,346,3.57,5.22,1.46,2024-06-17
Tec-9,破损不堪,纪念品,877104,Tec-9（纪念品） | 上古图腾,17,3.37,5.37,1.59,2024-06-17
Tec-9,破损不堪,StatTrak™,781535,Tec-9（StatTrak™） | 兄弟连,41,3.37,5.01,1.49,2024-06-17
Tec-9,破损不堪,StatTrak™,39658,Tec-9（StatTrak™） | 贾姆比亚,46,3.17,4.57,1.44,2024-06-17
Tec-9,崭新出厂,普通,41982,Tec-9 | 碎蛋白石,209,3,4.21,1.4,2024-06-17
Tec-9,战痕累累,StatTrak™,39663,Tec-9（StatTrak™） | 沙尘暴,76,2.98,4.5,1.51,2024-06-17
Tec-9,崭新出厂,普通,33815,Tec-9 | 冰冠,1737,2.99,4.14,1.38,2024-06-17
Tec-9,破损不堪,普通,43953,Tec-9 | 沙尘暴,29,2.95,3.12,1.06,2024-06-17
Tec-9,战痕累累,纪念品,929084,Tec-9（纪念品） | 腐朽木乃伊,60,2.92,4.14,1.42,2024-06-17
Tec-9,战痕累累,StatTrak™,781684,Tec-9（StatTrak™） | 兄弟连,113,2.89,4.5,1.56,2024-06-17
Tec-9,略有磨损,StatTrak™,956539,Tec-9（StatTrak™） | 渣渣,178,2.68,3.63,1.35,2024-06-17
Tec-9,略有磨损,StatTrak™,773680,Tec-9（StatTrak™） | 闪光舞步,174,2.62,3.48,1.33,2024-06-17
Tec-9,略有磨损,StatTrak™,39632,Tec-9（StatTrak™） | 碎蛋白石,232,2.57,3.48,1.35,2024-06-17
Tec-9,破损不堪,StatTrak™,773812,Tec-9（StatTrak™） | 闪光舞步,10,2.46,3.34,1.36,2024-06-17
Tec-9,破损不堪,纪念品,929036,Tec-9（纪念品） | 腐朽木乃伊,28,2.44,3.85,1.58,2024-06-17
Tec-9,久经沙场,普通,42034,Tec-9 | 沙尘暴,491,2.38,3.05,1.28,2024-06-17
Tec-9,久经沙场,普通,42027,Tec-9 | 战火重燃,256,2.21,3.34,1.51,2024-06-17
Tec-9,久经沙场,普通,781567,Tec-9 | 兄弟连,2018,2.19,3.05,1.39,2024-06-17
Tec-9,破损不堪,普通,42029,Tec-9 | 战火重燃,18,2.18,3.05,1.4,2024-06-17
Tec-9,久经沙场,普通,769180,Tec-9 | 青竹伪装,855,2.14,2.83,1.32,2024-06-17
Tec-9,战痕累累,普通,769251,Tec-9 | 青竹伪装,136,2.03,2.54,1.25,2024-06-17
Tec-9,破损不堪,普通,769442,Tec-9 | 青竹伪装,46,1.99,2.68,1.35,2024-06-17
Tec-9,战痕累累,StatTrak™,39644,Tec-9（StatTrak™） | 冰冠,12,1.99,2.32,1.17,2024-06-17
Tec-9,久经沙场,StatTrak™,759317,Tec-9（StatTrak™） | 蛇-9,81,1.97,2.68,1.36,2024-06-17
Tec-9,破损不堪,普通,781620,Tec-9 | 兄弟连,382,1.92,2.47,1.29,2024-06-17
Tec-9,略有磨损,StatTrak™,921556,Tec-9（StatTrak™） | 叛逆,202,1.88,2.54,1.35,2024-06-17
Tec-9,久经沙场,纪念品,877035,Tec-9（纪念品） | 上古图腾,91,1.88,2.54,1.35,2024-06-17
Tec-9,崭新出厂,普通,773685,Tec-9 | 闪光舞步,138,1.87,2.47,1.32,2024-06-17
Tec-9,战痕累累,纪念品,877059,Tec-9（纪念品） | 上古图腾,33,1.85,2.54,1.37,2024-06-17
Tec-9,战痕累累,普通,42033,Tec-9 | 沙尘暴,46,1.84,2.83,1.54,2024-06-17
Tec-9,崭新出厂,普通,956533,Tec-9 | 渣渣,210,1.79,2.32,1.3,2024-06-17
Tec-9,破损不堪,StatTrak™,39648,Tec-9（StatTrak™） | 冰冠,18,1.74,2.1,1.21,2024-06-17
Tec-9,战痕累累,普通,781563,Tec-9 | 兄弟连,401,1.65,2.1,1.27,2024-06-17
Tec-9,略有磨损,普通,42008,Tec-9 | 冰冠,1012,1.57,2.1,1.34,2024-06-17
Tec-9,略有磨损,普通,759196,Tec-9 | 蛇-9,140,1.49,2.1,1.41,2024-06-17
Tec-9,久经沙场,StatTrak™,956504,Tec-9（StatTrak™） | 渣渣,231,1.47,1.96,1.33,2024-06-17
Tec-9,久经沙场,StatTrak™,39646,Tec-9（StatTrak™） | 冰冠,458,1.43,2.18,1.52,2024-06-17
Tec-9,破损不堪,StatTrak™,759319,Tec-9（StatTrak™） | 蛇-9,30,1.33,2.03,1.53,2024-06-17
Tec-9,破损不堪,StatTrak™,956542,Tec-9（StatTrak™） | 渣渣,89,1.39,1.67,1.2,2024-06-17
Tec-9,崭新出厂,普通,921492,Tec-9 | 叛逆,343,1.29,1.89,1.47,2024-06-17
Tec-9,战痕累累,StatTrak™,773725,Tec-9（StatTrak™） | 闪光舞步,20,1.29,1.38,1.07,2024-06-17
Tec-9,破损不堪,普通,42009,Tec-9 | 冰冠,12,1.29,1.45,1.12,2024-06-17
Tec-9,久经沙场,StatTrak™,773630,Tec-9（StatTrak™） | 闪光舞步,152,1.25,1.67,1.34,2024-06-17
Tec-9,战痕累累,StatTrak™,956503,Tec-9（StatTrak™） | 渣渣,95,1.21,1.52,1.26,2024-06-17
Tec-9,破损不堪,普通,43952,Tec-9 | 晶红石英,87,1.19,1.45,1.22,2024-06-17
Tec-9,崭新出厂,普通,41997,Tec-9 | 地下水,594,1.19,1.38,1.16,2024-06-17
Tec-9,久经沙场,普通,759173,Tec-9 | 蛇-9,102,1.13,1.67,1.48,2024-06-17
Tec-9,战痕累累,StatTrak™,759315,Tec-9（StatTrak™） | 蛇-9,53,1.12,1.89,1.69,2024-06-17
Tec-9,久经沙场,StatTrak™,39631,Tec-9（StatTrak™） | 碎蛋白石,198,1.06,1.52,1.43,2024-06-17
Tec-9,略有磨损,普通,773666,Tec-9 | 闪光舞步,190,0.96,1.31,1.36,2024-06-17
Tec-9,破损不堪,普通,759215,Tec-9 | 蛇-9,53,0.94,1.16,1.23,2024-06-17
Tec-9,略有磨损,普通,956483,Tec-9 | 渣渣,360,0.93,1.31,1.41,2024-06-17
Tec-9,战痕累累,普通,759320,Tec-9 | 蛇-9,39,0.92,1.09,1.18,2024-06-17
Tec-9,破损不堪,普通,773756,Tec-9 | 闪光舞步,13,0.9,1.16,1.29,2024-06-17
Tec-9,战痕累累,普通,773674,Tec-9 | 闪光舞步,17,0.88,0.87,0.99,2024-06-17
Tec-9,久经沙场,普通,773535,Tec-9 | 闪光舞步,100,0.87,1.09,1.25,2024-06-17
Tec-9,战痕累累,StatTrak™,39629,Tec-9（StatTrak™） | 碎蛋白石,40,0.87,1.02,1.17,2024-06-17
Tec-9,久经沙场,StatTrak™,763316,Tec-9（StatTrak™） | 破铜烂铁,322,0.86,1.16,1.35,2024-06-17
Tec-9,久经沙场,普通,42007,Tec-9 | 冰冠,561,0.86,1.38,1.6,2024-06-17
Tec-9,崭新出厂,普通,42055,Tec-9 | 都市 DDPAT,156,0.85,1.16,1.36,2024-06-17
Tec-9,崭新出厂,普通,42060,Tec-9 | 多变迷彩,591,0.84,1.09,1.3,2024-06-17
Tec-9,破损不堪,StatTrak™,39633,Tec-9（StatTrak™） | 碎蛋白石,79,0.78,1.02,1.31,2024-06-17
Tec-9,破损不堪,StatTrak™,763398,Tec-9（StatTrak™） | 破铜烂铁,89,0.72,0.87,1.21,2024-06-17
Tec-9,久经沙场,StatTrak™,921522,Tec-9（StatTrak™） | 叛逆,253,0.7,1.09,1.56,2024-06-17
Tec-9,战痕累累,普通,42006,Tec-9 | 冰冠,33,0.67,1.31,1.96,2024-06-17
Tec-9,略有磨损,普通,41984,Tec-9 | 碎蛋白石,194,0.67,1.02,1.52,2024-06-17
Tec-9,战痕累累,StatTrak™,921514,Tec-9（StatTrak™） | 叛逆,148,0.62,0.87,1.4,2024-06-17
Tec-9,略有磨损,普通,42062,Tec-9 | 多变迷彩,387,0.61,0.87,1.43,2024-06-17
Tec-9,久经沙场,普通,956465,Tec-9 | 渣渣,422,0.58,0.8,1.38,2024-06-17
Tec-9,略有磨损,普通,921448,Tec-9 | 叛逆,591,0.58,1.02,1.76,2024-06-17
Tec-9,破损不堪,StatTrak™,921477,Tec-9（StatTrak™） | 叛逆,95,0.56,0.87,1.55,2024-06-17
Tec-9,崭新出厂,普通,42030,Tec-9 | 晶红石英,1880,0.54,0.65,1.2,2024-06-17
Tec-9,战痕累累,StatTrak™,763368,Tec-9（StatTrak™） | 破铜烂铁,388,0.54,0.87,1.61,2024-06-17
Tec-9,破损不堪,普通,956564,Tec-9 | 渣渣,107,0.52,0.73,1.4,2024-06-17
Tec-9,战痕累累,普通,956515,Tec-9 | 渣渣,142,0.51,0.65,1.27,2024-06-17
Tec-9,久经沙场,普通,42031,Tec-9 | 晶红石英,640,0.44,0.65,1.48,2024-06-17
Tec-9,久经沙场,普通,921427,Tec-9 | 叛逆,879,0.42,0.51,1.21,2024-06-17
Tec-9,久经沙场,普通,763244,Tec-9 | 破铜烂铁,708,0.43,0.73,1.7,2024-06-17
Tec-9,略有磨损,普通,42032,Tec-9 | 晶红石英,1025,0.42,0.65,1.55,2024-06-17
Tec-9,久经沙场,普通,41983,Tec-9 | 碎蛋白石,413,0.44,0.58,1.32,2024-06-17
Tec-9,久经沙场,普通,42061,Tec-9 | 多变迷彩,412,0.41,0.65,1.59,2024-06-17
Tec-9,破损不堪,普通,763268,Tec-9 | 破铜烂铁,69,0.36,0.58,1.61,2024-06-17
Tec-9,战痕累累,普通,42059,Tec-9 | 多变迷彩,54,0.35,0.44,1.26,2024-06-17
Tec-9,战痕累累,普通,41981,Tec-9 | 碎蛋白石,80,0.34,0.65,1.91,2024-06-17
Tec-9,破损不堪,普通,42063,Tec-9 | 多变迷彩,48,0.33,0.58,1.76,2024-06-17
Tec-9,战痕累累,普通,763249,Tec-9 | 破铜烂铁,322,0.3,0.51,1.7,2024-06-17
Tec-9,战痕累累,普通,921473,Tec-9 | 叛逆,209,0.29,0.44,1.52,2024-06-17
Tec-9,破损不堪,普通,41985,Tec-9 | 碎蛋白石,153,0.28,0.51,1.82,2024-06-17
Tec-9,略有磨损,普通,42057,Tec-9 | 都市 DDPAT,408,0.19,0.29,1.53,2024-06-17
Tec-9,破损不堪,普通,921441,Tec-9 | 叛逆,480,0.19,0.51,2.68,2024-06-17
Tec-9,崭新出厂,普通,41961,Tec-9 | 陆军网格,1117,0.12,0.29,2.42,2024-06-17
Tec-9,略有磨损,普通,41999,Tec-9 | 地下水,1343,0.09,0.22,2.44,2024-06-17
Tec-9,久经沙场,普通,42056,Tec-9 | 都市 DDPAT,842,0.06,0.22,3.67,2024-06-17
Tec-9,略有磨损,普通,41963,Tec-9 | 陆军网格,575,0.05,0.22,4.4,2024-06-17
Tec-9,破损不堪,普通,42058,Tec-9 | 都市 DDPAT,118,0.05,0.22,4.4,2024-06-17
Tec-9,战痕累累,普通,42054,Tec-9 | 都市 DDPAT,138,0.04,0.22,5.5,2024-06-17
Tec-9,破损不堪,普通,42000,Tec-9 | 地下水,233,0.03,0.22,7.33,2024-06-17
Tec-9,破损不堪,普通,41964,Tec-9 | 陆军网格,57,0.03,0.22,7.33,2024-06-17
Tec-9,久经沙场,普通,41998,Tec-9 | 地下水,3833,0.03,0.22,7.33,2024-06-17
Tec-9,久经沙场,普通,41962,Tec-9 | 陆军网格,1323,0.03,0.22,7.33,2024-06-17
Tec-9,战痕累累,普通,41960,Tec-9 | 陆军网格,174,0.03,0.22,7.33,2024-06-17
Tec-9,战痕累累,普通,41996,Tec-9 | 地下水,280,0.02,0.22,11.0,2024-06-17
Tec-9,崭新出厂,普通,956533,Tec-9 | 渣渣,210,1.79,2.32,1.3,2024-06-17
Tec-9,破损不堪,StatTrak™,39648,Tec-9（StatTrak™） | 冰冠,18,1.74,2.1,1.21,2024-06-17
Tec-9,战痕累累,普通,781563,Tec-9 | 兄弟连,401,1.65,2.1,1.27,2024-06-17
Tec-9,略有磨损,普通,42008,Tec-9 | 冰冠,1012,1.57,2.1,1.34,2024-06-17
Tec-9,略有磨损,普通,759196,Tec-9 | 蛇-9,140,1.49,2.1,1.41,2024-06-17
Tec-9,久经沙场,StatTrak™,956504,Tec-9（StatTrak™） | 渣渣,231,1.47,1.96,1.33,2024-06-17
Tec-9,久经沙场,StatTrak™,39646,Tec-9（StatTrak™） | 冰冠,458,1.43,2.18,1.52,2024-06-17
Tec-9,破损不堪,StatTrak™,759319,Tec-9（StatTrak™） | 蛇-9,30,1.33,2.03,1.53,2024-06-17
Tec-9,破损不堪,StatTrak™,956542,Tec-9（StatTrak™） | 渣渣,89,1.39,1.67,1.2,2024-06-17
Tec-9,崭新出厂,普通,921492,Tec-9 | 叛逆,343,1.29,1.89,1.47,2024-06-17
