XM1014,破损不堪,纪念品,38137,XM1014（纪念品） | 加州迷彩,1,3499.5,3003.41,0.86,2024-06-17
XM1014,久经沙场,纪念品,38130,XM1014（纪念品） | 碾骨机,204,25.25,36.06,1.43,2024-06-17
XM1014,战痕累累,普通,42330,XM1014 | 都市穿孔,19,25.09,25.97,1.04,2024-06-17
XM1014,略有磨损,StatTrak™,39791,XM1014（StatTrak™） | 血红巨蟒,16,22.79,31.49,1.38,2024-06-17
XM1014,略有磨损,StatTrak™,39811,XM1014（StatTrak™） | 特克卢喷射者,49,21.69,30.98,1.43,2024-06-17
XM1014,久经沙场,纪念品,38140,XM1014（纪念品） | 辐射警告,92,21.69,37.14,1.71,2024-06-17
XM1014,略有磨损,StatTrak™,39801,XM1014（StatTrak™） | 四季,122,21.6,30.83,1.43,2024-06-17
XM1014,略有磨损,普通,42279,XM1014 | 工业牧草,20,20.96,30.91,1.47,2024-06-17
XM1014,崭新出厂,纪念品,772924,XM1014（纪念品） | 都市穿孔,25,20.73,30.03,1.45,2024-06-17
XM1014,崭新出厂,纪念品,877036,XM1014（纪念品） | 太古传说,99,20.47,29.16,1.42,2024-06-17
XM1014,破损不堪,StatTrak™,769492,XM1014（StatTrak™） | 焚烬之鳄,7,20.22,25.1,1.24,2024-06-17
XM1014,略有磨损,普通,857642,XM1014 | 要抱抱,670,20.15,28.73,1.43,2024-06-17
XM1014,战痕累累,纪念品,877093,XM1014（纪念品） | 太古传说,13,20.09,31.99,1.59,2024-06-17
XM1014,崭新出厂,StatTrak™,39819,XM1014（StatTrak™） | 五彩斑驳,79,19.89,28.87,1.45,2024-06-17
XM1014,久经沙场,StatTrak™,769192,XM1014（StatTrak™） | 焚烬之鳄,144,19.87,29.31,1.48,2024-06-17
XM1014,略有磨损,StatTrak™,39777,XM1014（StatTrak™） | 西装革履,142,19.39,29.67,1.53,2024-06-17
XM1014,战痕累累,纪念品,38138,XM1014（纪念品） | 辐射警告,35,18.9,27.93,1.48,2024-06-17
XM1014,久经沙场,StatTrak™,857649,XM1014（StatTrak™） | 要抱抱,224,18.88,26.12,1.38,2024-06-17
XM1014,战痕累累,StatTrak™,39798,XM1014（StatTrak™） | 四季,10,18.63,21.4,1.15,2024-06-17
XM1014,战痕累累,StatTrak™,857694,XM1014（StatTrak™） | 要抱抱,33,18.45,23.94,1.3,2024-06-17
XM1014,崭新出厂,普通,42311,XM1014 | 四季,403,18.39,25.1,1.36,2024-06-17
XM1014,略有磨损,普通,42333,XM1014 | 都市穿孔,18,17.76,27.5,1.55,2024-06-17
XM1014,破损不堪,StatTrak™,857675,XM1014（StatTrak™） | 要抱抱,41,17.53,24.23,1.38,2024-06-17
XM1014,久经沙场,普通,781604,XM1014 | 埋葬之影,974,17.13,23.87,1.39,2024-06-17
XM1014,破损不堪,普通,781669,XM1014 | 埋葬之影,29,16.38,21.04,1.28,2024-06-17
XM1014,战痕累累,StatTrak™,769533,XM1014（StatTrak™） | 焚烬之鳄,26,16.31,24.01,1.47,2024-06-17
XM1014,略有磨损,普通,42303,XM1014 | 血红巨蟒,24,16.26,20.82,1.28,2024-06-17
XM1014,破损不堪,StatTrak™,39802,XM1014（StatTrak™） | 四季,16,15.9,25.39,1.6,2024-06-17
XM1014,久经沙场,StatTrak™,39800,XM1014（StatTrak™） | 四季,110,15.9,22.85,1.44,2024-06-17
XM1014,久经沙场,普通,42332,XM1014 | 都市穿孔,33,15.88,23.07,1.45,2024-06-17
XM1014,战痕累累,普通,781678,XM1014 | 埋葬之影,47,15.9,21.04,1.32,2024-06-17
XM1014,久经沙场,StatTrak™,39790,XM1014（StatTrak™） | 血红巨蟒,24,15.33,19.52,1.27,2024-06-17
XM1014,破损不堪,普通,42334,XM1014 | 都市穿孔,1,14.7,16.83,1.14,2024-06-17
XM1014,崭新出厂,StatTrak™,886996,XM1014（StatTrak™） | 行尸攻势,463,14.6,19.59,1.34,2024-06-17
XM1014,破损不堪,StatTrak™,39812,XM1014（StatTrak™） | 特克卢喷射者,11,14.48,17.12,1.18,2024-06-17
XM1014,崭新出厂,普通,42242,XM1014 | 西装革履,222,14.2,17.48,1.23,2024-06-17
XM1014,崭新出厂,StatTrak™,39794,XM1014（StatTrak™） | 斯康里娅,35,13.95,22.2,1.59,2024-06-17
XM1014,久经沙场,StatTrak™,871659,XM1014（StatTrak™） | 狻猊,65,13.8,19.73,1.43,2024-06-17
XM1014,战痕累累,普通,42301,XM1014 | 血红巨蟒,14,13.74,19.3,1.4,2024-06-17
XM1014,崭新出厂,普通,42321,XM1014 | 特克卢喷射者,135,13.7,17.77,1.3,2024-06-17
XM1014,久经沙场,普通,42288,XM1014 | 狂野丛林,46,13.19,18.57,1.41,2024-06-17
XM1014,久经沙场,普通,42278,XM1014 | 工业牧草,20,12.86,16.98,1.32,2024-06-17
XM1014,破损不堪,纪念品,877115,XM1014（纪念品） | 太古传说,5,11.84,16.47,1.39,2024-06-17
XM1014,破损不堪,普通,42280,XM1014 | 工业牧草,25,11.46,11.68,1.02,2024-06-17
XM1014,战痕累累,StatTrak™,39808,XM1014（StatTrak™） | 特克卢喷射者,22,11.26,16.03,1.42,2024-06-17
XM1014,战痕累累,普通,42286,XM1014 | 狂野丛林,9,11.2,20.1,1.79,2024-06-17
XM1014,战痕累累,普通,42276,XM1014 | 工业牧草,15,11.19,11.68,1.04,2024-06-17
XM1014,战痕累累,StatTrak™,39789,XM1014（StatTrak™） | 血红巨蟒,6,10.89,16.76,1.54,2024-06-17
XM1014,略有磨损,StatTrak™,39821,XM1014（StatTrak™） | 五彩斑驳,131,10.7,14.29,1.34,2024-06-17
XM1014,崭新出厂,纪念品,38144,XM1014（纪念品） | 蔚蓝多变迷彩,97,10.59,14.44,1.36,2024-06-17
XM1014,略有磨损,普通,42313,XM1014 | 四季,438,10.52,14.8,1.41,2024-06-17
XM1014,久经沙场,普通,42302,XM1014 | 血红巨蟒,19,10.26,14.15,1.38,2024-06-17
XM1014,略有磨损,普通,871397,XM1014 | 狻猊,185,10.1,13.42,1.33,2024-06-17
XM1014,略有磨损,纪念品,877078,XM1014（纪念品） | 太古传说,43,10,14.65,1.47,2024-06-17
XM1014,久经沙场,StatTrak™,39810,XM1014（StatTrak™） | 特克卢喷射者,90,9.86,15.09,1.53,2024-06-17
XM1014,破损不堪,普通,42314,XM1014 | 四季,18,9,12.7,1.41,2024-06-17
XM1014,崭新出厂,StatTrak™,39785,XM1014（StatTrak™） | 剧毒水银,47,9,12.77,1.42,2024-06-17
XM1014,久经沙场,普通,769173,XM1014 | 焚烬之鳄,494,8.94,11.9,1.33,2024-06-17
XM1014,崭新出厂,纪念品,876911,XM1014（纪念品） | 雅藤如嫣,217,8.92,14.44,1.62,2024-06-17
XM1014,崭新出厂,普通,42341,XM1014 | 五彩斑驳,179,8.71,11.39,1.31,2024-06-17
XM1014,破损不堪,普通,769493,XM1014 | 焚烬之鳄,23,8.53,12.12,1.42,2024-06-17
XM1014,久经沙场,普通,857548,XM1014 | 要抱抱,1382,8.51,10.95,1.29,2024-06-17
XM1014,战痕累累,StatTrak™,871614,XM1014（StatTrak™） | 狻猊,47,8.5,12.19,1.43,2024-06-17
XM1014,破损不堪,StatTrak™,871423,XM1014（StatTrak™） | 狻猊,21,8.39,12.04,1.44,2024-06-17
XM1014,久经沙场,普通,42312,XM1014 | 四季,377,8.39,10.95,1.31,2024-06-17
XM1014,崭新出厂,StatTrak™,39804,XM1014（StatTrak™） | 滑流,184,8.26,11.39,1.38,2024-06-17
XM1014,战痕累累,普通,42310,XM1014 | 四季,35,7.96,10.59,1.33,2024-06-17
XM1014,战痕累累,普通,769129,XM1014 | 焚烬之鳄,35,7.76,9.29,1.2,2024-06-17
XM1014,破损不堪,普通,871771,XM1014 | 蓝色轮胎,9,7.75,6.75,0.87,2024-06-17
XM1014,略有磨损,普通,42323,XM1014 | 特克卢喷射者,188,7.65,10.59,1.38,2024-06-17
XM1014,破损不堪,普通,857659,XM1014 | 要抱抱,140,7.32,10.37,1.42,2024-06-17
XM1014,战痕累累,普通,857615,XM1014 | 要抱抱,169,6.97,8.56,1.23,2024-06-17
XM1014,崭新出厂,StatTrak™,956598,XM1014（StatTrak™） | 刺青,152,6.89,10.52,1.53,2024-06-17
XM1014,崭新出厂,普通,871503,XM1014 | 蓝色轮胎,52,6.65,9.29,1.4,2024-06-17
XM1014,久经沙场,普通,871393,XM1014 | 狻猊,145,6.54,8.56,1.31,2024-06-17
XM1014,崭新出厂,普通,835383,XM1014 | 旧宪章,88,6.37,9.14,1.43,2024-06-17
XM1014,久经沙场,纪念品,877044,XM1014（纪念品） | 太古传说,60,6.35,8.13,1.28,2024-06-17
XM1014,略有磨损,普通,42244,XM1014 | 西装革履,281,6.32,7.98,1.26,2024-06-17
XM1014,破损不堪,普通,835369,XM1014 | 旧宪章,57,6.01,7.04,1.17,2024-06-17
XM1014,略有磨损,普通,835355,XM1014 | 旧宪章,145,6.01,7.76,1.29,2024-06-17
XM1014,崭新出厂,普通,886660,XM1014 | 行尸攻势,604,5.99,8.56,1.43,2024-06-17
XM1014,久经沙场,StatTrak™,39776,XM1014（StatTrak™） | 西装革履,224,5.96,7.47,1.25,2024-06-17
XM1014,久经沙场,普通,835357,XM1014 | 旧宪章,70,5.88,7.33,1.25,2024-06-17
XM1014,破损不堪,StatTrak™,39778,XM1014（StatTrak™） | 西装革履,20,5.82,8.85,1.52,2024-06-17
XM1014,战痕累累,普通,835338,XM1014 | 旧宪章,58,5.79,6.96,1.2,2024-06-17
XM1014,破损不堪,StatTrak™,39788,XM1014（StatTrak™） | 剧毒水银,13,5.79,7.47,1.29,2024-06-17
XM1014,略有磨损,纪念品,38146,XM1014（纪念品） | 蔚蓝多变迷彩,105,5.64,7.62,1.35,2024-06-17
XM1014,略有磨损,StatTrak™,887025,XM1014（StatTrak™） | 行尸攻势,235,5.52,7.47,1.35,2024-06-17
XM1014,战痕累累,普通,871737,XM1014 | 蓝色轮胎,12,5.34,6.24,1.17,2024-06-17
XM1014,破损不堪,纪念品,38147,XM1014（纪念品） | 蔚蓝多变迷彩,30,5.11,7.98,1.56,2024-06-17
XM1014,略有磨损,StatTrak™,39787,XM1014（StatTrak™） | 剧毒水银,66,5.08,7.47,1.47,2024-06-17
XM1014,略有磨损,普通,871357,XM1014 | 蓝色轮胎,73,4.96,6.89,1.39,2024-06-17
XM1014,略有磨损,StatTrak™,39796,XM1014（StatTrak™） | 斯康里娅,58,4.89,7.18,1.47,2024-06-17
XM1014,破损不堪,StatTrak™,39822,XM1014（StatTrak™） | 五彩斑驳,27,4.86,7.98,1.64,2024-06-17
XM1014,久经沙场,普通,871088,XM1014 | 蓝色轮胎,32,4.84,6.67,1.38,2024-06-17
XM1014,久经沙场,StatTrak™,39820,XM1014（StatTrak™） | 五彩斑驳,150,4.83,6.75,1.4,2024-06-17
XM1014,破损不堪,普通,42324,XM1014 | 特克卢喷射者,15,4.69,6.82,1.45,2024-06-17
XM1014,战痕累累,纪念品,38143,XM1014（纪念品） | 蔚蓝多变迷彩,19,4.45,6.24,1.4,2024-06-17
XM1014,略有磨损,普通,42343,XM1014 | 五彩斑驳,298,4.29,5.8,1.35,2024-06-17
XM1014,略有磨损,StatTrak™,39806,XM1014（StatTrak™） | 滑流,210,4.25,5.66,1.33,2024-06-17
XM1014,战痕累累,StatTrak™,39818,XM1014（StatTrak™） | 五彩斑驳,47,4.19,6.46,1.54,2024-06-17
XM1014,战痕累累,普通,42320,XM1014 | 特克卢喷射者,58,4.17,5.37,1.29,2024-06-17
XM1014,久经沙场,普通,42322,XM1014 | 特克卢喷射者,160,4.14,5.66,1.37,2024-06-17
XM1014,战痕累累,普通,871439,XM1014 | 狻猊,77,4.09,5.37,1.31,2024-06-17
XM1014,破损不堪,普通,871411,XM1014 | 狻猊,81,4,5.22,1.3,2024-06-17
XM1014,崭新出厂,普通,42306,XM1014 | 斯康里娅,108,3.98,5.95,1.49,2024-06-17
XM1014,略有磨损,纪念品,876900,XM1014（纪念品） | 雅藤如嫣,249,3.85,5.01,1.3,2024-06-17
XM1014,战痕累累,StatTrak™,39774,XM1014（StatTrak™） | 西装革履,49,3.84,4.21,1.1,2024-06-17
XM1014,崭新出厂,StatTrak™,45348,XM1014（StatTrak™） | 锈蚀烈焰,144,3.79,5.37,1.42,2024-06-17
XM1014,久经沙场,StatTrak™,39786,XM1014（StatTrak™） | 剧毒水银,73,3.49,4.43,1.27,2024-06-17
XM1014,略有磨损,StatTrak™,956602,XM1014（StatTrak™） | 刺青,196,2.98,4.35,1.46,2024-06-17
XM1014,战痕累累,StatTrak™,39784,XM1014（StatTrak™） | 剧毒水银,20,2.98,4.72,1.58,2024-06-17
XM1014,略有磨损,普通,886652,XM1014 | 行尸攻势,708,2.83,3.92,1.39,2024-06-17
XM1014,崭新出厂,纪念品,929071,XM1014（纪念品） | 象形文字,100,2.75,4.57,1.66,2024-06-17
XM1014,久经沙场,纪念品,876876,XM1014（纪念品） | 雅藤如嫣,196,2.71,3.55,1.31,2024-06-17
XM1014,破损不堪,普通,42344,XM1014 | 五彩斑驳,30,2.55,3.05,1.2,2024-06-17
XM1014,久经沙场,StatTrak™,886665,XM1014（StatTrak™） | 行尸攻势,317,2.54,3.48,1.37,2024-06-17
XM1014,久经沙场,普通,42342,XM1014 | 五彩斑驳,446,2.48,3.41,1.38,2024-06-17
XM1014,久经沙场,纪念品,38145,XM1014（纪念品） | 蔚蓝多变迷彩,160,2.47,2.76,1.12,2024-06-17
XM1014,崭新出厂,普通,42292,XM1014 | 剧毒水银,111,2.42,3.34,1.38,2024-06-17
XM1014,破损不堪,StatTrak™,887051,XM1014（StatTrak™） | 行尸攻势,26,2.21,3.41,1.54,2024-06-17
XM1014,略有磨损,普通,42308,XM1014 | 斯康里娅,110,2.14,2.68,1.25,2024-06-17
XM1014,久经沙场,普通,42243,XM1014 | 西装革履,488,2.12,2.76,1.3,2024-06-17
XM1014,战痕累累,StatTrak™,887079,XM1014（StatTrak™） | 行尸攻势,32,2.1,3.41,1.62,2024-06-17
XM1014,久经沙场,StatTrak™,39795,XM1014（StatTrak™） | 斯康里娅,94,2.1,2.83,1.35,2024-06-17
XM1014,战痕累累,普通,42340,XM1014 | 五彩斑驳,69,2.06,2.9,1.41,2024-06-17
XM1014,破损不堪,普通,42245,XM1014 | 西装革履,23,2.06,2.9,1.41,2024-06-17
XM1014,破损不堪,StatTrak™,39797,XM1014（StatTrak™） | 斯康里娅,28,2.04,2.25,1.1,2024-06-17
XM1014,崭新出厂,普通,42316,XM1014 | 滑流,483,2.01,2.68,1.33,2024-06-17
XM1014,略有磨损,普通,42294,XM1014 | 剧毒水银,126,1.89,2.54,1.34,2024-06-17
XM1014,战痕累累,StatTrak™,39793,XM1014（StatTrak™） | 斯康里娅,51,1.85,2.54,1.37,2024-06-17
XM1014,崭新出厂,普通,956513,XM1014 | 刺青,339,1.81,2.18,1.2,2024-06-17
XM1014,久经沙场,普通,42307,XM1014 | 斯康里娅,51,1.79,2.18,1.22,2024-06-17
XM1014,战痕累累,普通,42241,XM1014 | 西装革履,96,1.74,2.18,1.25,2024-06-17
XM1014,破损不堪,StatTrak™,39807,XM1014（StatTrak™） | 滑流,18,1.74,2.47,1.42,2024-06-17
XM1014,战痕累累,普通,42291,XM1014 | 剧毒水银,16,1.7,2.9,1.71,2024-06-17
XM1014,略有磨损,StatTrak™,45350,XM1014（StatTrak™） | 锈蚀烈焰,262,1.47,2.25,1.53,2024-06-17
XM1014,破损不堪,普通,42295,XM1014 | 剧毒水银,28,1.45,2.32,1.6,2024-06-17
XM1014,久经沙场,StatTrak™,956458,XM1014（StatTrak™） | 刺青,185,1.41,1.89,1.34,2024-06-17
XM1014,久经沙场,普通,886673,XM1014 | 行尸攻势,1737,1.38,1.89,1.37,2024-06-17
XM1014,破损不堪,StatTrak™,956595,XM1014（StatTrak™） | 刺青,49,1.36,2.1,1.54,2024-06-17
XM1014,战痕累累,StatTrak™,39803,XM1014（StatTrak™） | 滑流,17,1.35,1.81,1.34,2024-06-17
XM1014,久经沙场,StatTrak™,39805,XM1014（StatTrak™） | 滑流,322,1.3,1.81,1.39,2024-06-17
