M249,崭新出厂,纪念品,37707,M249（纪念品） | 鳄鱼网格,7,1199.5,3057.68,2.55,2024-06-17
M249,略有磨损,普通,857583,M249 | O.S.I.P.R.,283,1.23,1.81,1.47,2024-06-17
M249,破损不堪,普通,35158,M249 | 系统锁定,18,1.17,1.81,1.55,2024-06-17
M249,久经沙场,普通,33843,M249 | 系统锁定,107,1.14,1.52,1.33,2024-06-17
M249,战痕累累,StatTrak™,38770,M249（StatTrak™） | 鬼影,16,1.01,1.31,1.3,2024-06-17
M249,破损不堪,StatTrak™,38774,M249（StatTrak™） | 鬼影,18,0.96,1.31,1.36,2024-06-17
M249,久经沙场,StatTrak™,38772,M249（StatTrak™） | 鬼影,297,0.94,1.31,1.39,2024-06-17
M249,崭新出厂,普通,927348,M249 | 淹没,132,0.87,1.09,1.25,2024-06-17
M249,战痕累累,普通,35155,M249 | 系统锁定,41,0.84,1.31,1.56,2024-06-17
M249,崭新出厂,纪念品,876928,M249（纪念品） | 雪茄盒,312,0.76,1.02,1.34,2024-06-17
M249,破损不堪,普通,857664,M249 | O.S.I.P.R.,33,0.76,1.16,1.53,2024-06-17
M249,战痕累累,普通,857523,M249 | O.S.I.P.R.,57,0.74,1.02,1.38,2024-06-17
M249,久经沙场,普通,857517,M249 | O.S.I.P.R.,383,0.71,1.09,1.54,2024-06-17
M249,略有磨损,普通,35153,M249 | 鬼影,286,0.69,0.87,1.26,2024-06-17
M249,崭新出厂,纪念品,929078,M249（纪念品） | 淹没,116,0.64,1.02,1.59,2024-06-17
M249,崭新出厂,普通,35121,M249 | 鳄鱼网格,365,0.63,0.8,1.27,2024-06-17
M249,久经沙场,普通,35152,M249 | 鬼影,409,0.47,0.8,1.7,2024-06-17
M249,略有磨损,普通,35123,M249 | 鳄鱼网格,503,0.4,0.58,1.45,2024-06-17
M249,破损不堪,普通,35154,M249 | 鬼影,39,0.39,0.65,1.67,2024-06-17
M249,略有磨损,纪念品,876948,M249（纪念品） | 雪茄盒,165,0.37,0.73,1.97,2024-06-17
M249,破损不堪,纪念品,876975,M249（纪念品） | 雪茄盒,48,0.36,0.51,1.42,2024-06-17
M249,战痕累累,普通,35150,M249 | 鬼影,23,0.33,0.65,1.97,2024-06-17
M249,久经沙场,普通,35122,M249 | 鳄鱼网格,459,0.31,0.51,1.65,2024-06-17
M249,战痕累累,普通,35120,M249 | 鳄鱼网格,44,0.31,0.44,1.42,2024-06-17
M249,略有磨损,普通,927315,M249 | 淹没,285,0.32,0.51,1.59,2024-06-17
M249,破损不堪,普通,35124,M249 | 鳄鱼网格,48,0.29,0.51,1.76,2024-06-17
M249,略有磨损,纪念品,37704,M249（纪念品） | 对比涂装,381,0.27,0.36,1.33,2024-06-17
M249,战痕累累,纪念品,876964,M249（纪念品） | 雪茄盒,51,0.26,0.58,2.23,2024-06-17
M249,破损不堪,普通,927332,M249 | 淹没,74,0.21,0.51,2.43,2024-06-17
M249,久经沙场,普通,927285,M249 | 淹没,934,0.22,0.44,2.0,2024-06-17
M249,久经沙场,纪念品,876923,M249（纪念品） | 雪茄盒,446,0.21,0.44,2.1,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,754,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,战痕累累,普通,927325,M249 | 淹没,114,0.19,0.36,1.89,2024-06-17
M249,破损不堪,纪念品,929050,M249（纪念品） | 淹没,33,0.18,0.36,2.0,2024-06-17
M249,战痕累累,纪念品,877202,M249（纪念品） | 夜半棕榈,64,0.16,0.44,2.75,2024-06-17
M249,崭新出厂,纪念品,877138,M249（纪念品） | 夜半棕榈,230,0.14,0.44,3.14,2024-06-17
M249,破损不堪,纪念品,877180,M249（纪念品） | 夜半棕榈,31,0.13,0.36,2.77,2024-06-17
M249,略有磨损,纪念品,877161,M249（纪念品） | 夜半棕榈,163,0.07,0.29,4.14,2024-06-17
M249,久经沙场,纪念品,877159,M249（纪念品） | 夜半棕榈,753,0.06,0.29,4.83,2024-06-17
M249,略有磨损,纪念品,929040,M249（纪念品） | 淹没,231,0.05,0.22,4.4,2024-06-17
M249,破损不堪,纪念品,37705,M249（纪念品） | 对比涂装,168,0.04,0.22,5.5,2024-06-17
M249,战痕累累,纪念品,37701,M249（纪念品） | 对比涂装,232,0.04,0.22,5.5,2024-06-17
M249,久经沙场,纪念品,929025,M249（纪念品） | 淹没,553,0.03,0.22,7.33,2024-06-17
M249,久经沙场,纪念品,37703,M249（纪念品） | 对比涂装,1207,0.03,0.22,7.33,2024-06-17
M249,战痕累累,纪念品,929027,M249（纪念品） | 淹没,129,0.02,0.22,11.0,2024-06-17
M249,崭新出厂,纪念品,37707,M249（纪念品） | 鳄鱼网格,6,1199.5,3079.1,2.57,2024-06-20
M249,崭新出厂,普通,35107,M249 | 暴雪大理石纹,4,997,1613.54,1.62,2024-06-20
M249,略有磨损,纪念品,37709,M249（纪念品） | 鳄鱼网格,2,349.5,283.04,0.81,2024-06-20
M249,久经沙场,纪念品,37708,M249（纪念品） | 鳄鱼网格,4,279.5,269.25,0.96,2024-06-20
M249,战痕累累,普通,871605,M249 | 雪茄盒,6,190,233.33,1.23,2024-06-20
M249,崭新出厂,普通,35146,M249 | 海滨预测者,26,147.17,232.24,1.58,2024-06-20
M249,破损不堪,普通,871593,M249 | 雪茄盒,3,136.5,172.94,1.27,2024-06-20
M249,破损不堪,普通,35149,M249 | 海滨预测者,1,136.5,172.36,1.26,2024-06-20
M249,略有磨损,普通,35148,M249 | 海滨预测者,5,133.5,162.78,1.22,2024-06-20
M249,久经沙场,普通,35147,M249 | 海滨预测者,6,124.5,152.41,1.22,2024-06-20
M249,久经沙场,普通,871463,M249 | 雪茄盒,14,118.5,155.89,1.32,2024-06-20
M249,崭新出厂,普通,871221,M249 | 雪茄盒,45,117.48,158.94,1.35,2024-06-20
M249,略有磨损,普通,871232,M249 | 雪茄盒,17,116.5,157.34,1.35,2024-06-20
M249,崭新出厂,普通,35131,M249 | 丛林 DDPAT,4,95.19,174.11,1.83,2024-06-20
M249,略有磨损,普通,35109,M249 | 暴雪大理石纹,8,91.01,148.7,1.63,2024-06-20
M249,崭新出厂,StatTrak™,38766,M249（StatTrak™） | 星云十字军,50,65.98,95.8,1.45,2024-06-20
M249,久经沙场,普通,35108,M249 | 暴雪大理石纹,5,50.6,58.42,1.15,2024-06-20
M249,战痕累累,普通,35106,M249 | 暴雪大理石纹,7,44.77,53.63,1.2,2024-06-20
M249,崭新出厂,StatTrak™,38756,M249（StatTrak™） | 翠绿箭毒蛙,40,40.6,50.58,1.25,2024-06-20
M249,崭新出厂,普通,35112,M249 | 对比涂装,1,39.5,57.84,1.46,2024-06-20
M249,战痕累累,普通,871538,M249 | 夜半棕榈,5,39.46,44.27,1.12,2024-06-20
M249,破损不堪,普通,871150,M249 | 夜半棕榈,14,36.69,43.47,1.18,2024-06-20
M249,崭新出厂,普通,871169,M249 | 夜半棕榈,73,35.7,45.87,1.28,2024-06-20
M249,略有磨损,普通,871194,M249 | 夜半棕榈,43,35.54,45.36,1.28,2024-06-20
M249,久经沙场,普通,871070,M249 | 夜半棕榈,47,34.9,45.72,1.31,2024-06-20
M249,崭新出厂,普通,35126,M249 | 冲击钻,34,33.44,41.8,1.25,2024-06-20
M249,崭新出厂,普通,776114,M249 | 狂野丛林,88,32.86,36.29,1.1,2024-06-20
M249,略有磨损,StatTrak™,38768,M249（StatTrak™） | 星云十字军,53,31.69,41.0,1.29,2024-06-20
M249,略有磨损,普通,774911,M249 | 狂野丛林,45,28.51,36.8,1.29,2024-06-20
M249,破损不堪,普通,774975,M249 | 狂野丛林,16,28.39,32.08,1.13,2024-06-20
M249,久经沙场,普通,774954,M249 | 狂野丛林,60,27.87,34.76,1.25,2024-06-20
M249,战痕累累,普通,774824,M249 | 狂野丛林,26,27.8,32.3,1.16,2024-06-20
M249,崭新出厂,StatTrak™,773676,M249（StatTrak™） | 阿兹特克,43,27.01,37.59,1.39,2024-06-20
M249,崭新出厂,普通,35141,M249 | 星云十字军,143,26.19,35.27,1.35,2024-06-20
M249,破损不堪,普通,35134,M249 | 丛林 DDPAT,3,24.87,21.19,0.85,2024-06-20
M249,崭新出厂,StatTrak™,900577,M249（StatTrak™） | 闹市区,172,24.68,31.93,1.29,2024-06-20
M249,崭新出厂,StatTrak™,776722,M249（StatTrak™） | 战隼,11,22.97,27.22,1.19,2024-06-20
M249,略有磨损,普通,35128,M249 | 冲击钻,35,20.65,21.77,1.05,2024-06-20
M249,略有磨损,StatTrak™,38758,M249（StatTrak™） | 翠绿箭毒蛙,35,19.9,25.91,1.3,2024-06-20
M249,破损不堪,StatTrak™,38759,M249（StatTrak™） | 翠绿箭毒蛙,6,19.51,26.92,1.38,2024-06-20
M249,久经沙场,StatTrak™,38767,M249（StatTrak™） | 星云十字军,56,19.5,24.68,1.27,2024-06-20
M249,久经沙场,普通,35127,M249 | 冲击钻,13,19.19,18.36,0.96,2024-06-20
M249,略有磨损,普通,35133,M249 | 丛林 DDPAT,9,18.85,31.13,1.65,2024-06-20
M249,崭新出厂,普通,35116,M249 | 翠绿箭毒蛙,127,18.3,22.79,1.25,2024-06-20
M249,久经沙场,StatTrak™,38757,M249（StatTrak™） | 翠绿箭毒蛙,33,17.9,22.86,1.28,2024-06-20
M249,破损不堪,普通,35129,M249 | 冲击钻,15,17.27,17.93,1.04,2024-06-20
M249,战痕累累,普通,35130,M249 | 丛林 DDPAT,5,16.19,20.61,1.27,2024-06-20
M249,崭新出厂,StatTrak™,38761,M249（StatTrak™） | 岩浆,20,15.64,22.93,1.47,2024-06-20
M249,战痕累累,普通,35125,M249 | 冲击钻,10,15.47,16.76,1.08,2024-06-20
M249,破损不堪,StatTrak™,38769,M249（StatTrak™） | 星云十字军,23,15.34,23.51,1.53,2024-06-20
M249,崭新出厂,StatTrak™,835738,M249（StatTrak™） | 等高线,22,15.17,23.95,1.58,2024-06-20
M249,略有磨损,普通,35143,M249 | 星云十字军,160,14.84,19.3,1.3,2024-06-20
M249,战痕累累,StatTrak™,38765,M249（StatTrak™） | 星云十字军,21,13.29,20.1,1.51,2024-06-20
M249,略有磨损,StatTrak™,773746,M249（StatTrak™） | 阿兹特克,57,13.09,17.49,1.34,2024-06-20
