R8 左轮手枪,崭新出厂,纪念品,43911,R8 左轮手枪（纪念品） | 渐变琥珀,10,919.5,2878.41,3.13,2024-06-17
R8 左轮手枪,崭新出厂,普通,835458,R8 左轮手枪 | 凤凰手迹,102,24.6,34.17,1.39,2024-06-17
R8 左轮手枪,略有磨损,普通,835432,R8 左轮手枪 | 凤凰手迹,65,23.9,29.74,1.24,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,39433,R8 左轮手枪（StatTrak™） | 美洲驼炮,23,23.76,33.66,1.42,2024-06-17
R8 左轮手枪,久经沙场,普通,835389,R8 左轮手枪 | 凤凰手迹,26,21.99,27.5,1.25,2024-06-17
R8 左轮手枪,战痕累累,普通,835371,R8 左轮手枪 | 凤凰手迹,5,20.86,33.95,1.63,2024-06-17
R8 左轮手枪,破损不堪,普通,835796,R8 左轮手枪 | 凤凰手迹,6,20.5,26.99,1.32,2024-06-17
R8 左轮手枪,崭新出厂,普通,36350,R8 左轮手枪 | 重新启动,253,19.7,27.57,1.4,2024-06-17
R8 左轮手枪,久经沙场,普通,36346,R8 左轮手枪 | 美洲驼炮,151,18.01,23.43,1.3,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,769195,R8 左轮手枪（StatTrak™） | 头骨粉碎者,65,17.07,24.81,1.45,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,769434,R8 左轮手枪（StatTrak™） | 头骨粉碎者,18,16.58,22.13,1.33,2024-06-17
R8 左轮手枪,破损不堪,普通,36348,R8 左轮手枪 | 美洲驼炮,13,16.04,20.89,1.3,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,776025,R8 左轮手枪（StatTrak™） | 记忆碎片,100,13.05,17.77,1.36,2024-06-17
R8 左轮手枪,略有磨损,普通,774959,R8 左轮手枪 | 水都泛波,29,12.48,17.19,1.38,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,769264,R8 左轮手枪（StatTrak™） | 头骨粉碎者,11,12.44,16.25,1.31,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,857699,R8 左轮手枪（StatTrak™） | 废物王,62,12,17.92,1.49,2024-06-17
R8 左轮手枪,战痕累累,普通,36344,R8 左轮手枪 | 美洲驼炮,49,11.6,16.69,1.44,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,900570,R8 左轮手枪（StatTrak™） | 疯狂老八,183,11.57,16.25,1.4,2024-06-17
R8 左轮手枪,崭新出厂,普通,775179,R8 左轮手枪 | 记忆碎片,45,11.41,15.82,1.39,2024-06-17
R8 左轮手枪,崭新出厂,普通,900616,R8 左轮手枪 | 疯狂老八,274,11.04,15.89,1.44,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,39440,R8 左轮手枪（StatTrak™） | 重新启动,257,10.8,15.82,1.46,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,39427,R8 左轮手枪（StatTrak™） | 深红之网,271,9.89,13.13,1.33,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,776105,R8 左轮手枪（StatTrak™） | 记忆碎片,3,9.77,12.77,1.31,2024-06-17
R8 左轮手枪,崭新出厂,普通,921533,R8 左轮手枪 | 蕉农炮,246,9.76,14.36,1.47,2024-06-17
R8 左轮手枪,略有磨损,普通,871645,R8 左轮手枪 | 炽烈之炎,147,9.76,13.35,1.37,2024-06-17
R8 左轮手枪,崭新出厂,普通,871112,R8 左轮手枪 | 炽烈之炎,2147,9.6,13.13,1.37,2024-06-17
R8 左轮手枪,久经沙场,普通,774874,R8 左轮手枪 | 水都泛波,57,9.6,13.06,1.36,2024-06-17
R8 左轮手枪,久经沙场,普通,769197,R8 左轮手枪 | 头骨粉碎者,130,9.34,12.33,1.32,2024-06-17
R8 左轮手枪,破损不堪,普通,775512,R8 左轮手枪 | 水都泛波,3,8.99,13.06,1.45,2024-06-17
R8 左轮手枪,战痕累累,普通,775275,R8 左轮手枪 | 水都泛波,11,8.89,11.39,1.28,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,921585,R8 左轮手枪（StatTrak™） | 蕉农炮,210,8.2,11.1,1.35,2024-06-17
R8 左轮手枪,略有磨损,普通,36352,R8 左轮手枪 | 重新启动,332,7.87,10.23,1.3,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,759312,R8 左轮手枪（StatTrak™） | 生存主义者,52,7.72,10.81,1.4,2024-06-17
R8 左轮手枪,破损不堪,普通,769421,R8 左轮手枪 | 头骨粉碎者,64,7.63,10.16,1.33,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,45338,R8 左轮手枪（StatTrak™） | 稳,122,7.26,10.66,1.47,2024-06-17
R8 左轮手枪,崭新出厂,纪念品,877073,R8 左轮手枪（纪念品） | 噩梦之夜,48,6.59,10.81,1.64,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,39442,R8 左轮手枪（StatTrak™） | 重新启动,73,6.39,9.58,1.5,2024-06-17
R8 左轮手枪,战痕累累,普通,769142,R8 左轮手枪 | 头骨粉碎者,200,6.26,8.34,1.33,2024-06-17
R8 左轮手枪,破损不堪,普通,36329,R8 左轮手枪 | 渐变琥珀,30,5.93,7.69,1.3,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,775831,R8 左轮手枪（StatTrak™） | 记忆碎片,30,5.88,8.05,1.37,2024-06-17
R8 左轮手枪,破损不堪,普通,871301,R8 左轮手枪 | 沙漠伪装,19,5.75,6.67,1.16,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,774992,R8 左轮手枪（StatTrak™） | 记忆碎片,64,5.7,7.47,1.31,2024-06-17
R8 左轮手枪,崭新出厂,普通,871082,R8 左轮手枪 | 沙漠伪装,270,5.58,7.25,1.3,2024-06-17
R8 左轮手枪,战痕累累,普通,871280,R8 左轮手枪 | 沙漠伪装,19,5.45,6.46,1.19,2024-06-17
R8 左轮手枪,略有磨损,普通,871078,R8 左轮手枪 | 沙漠伪装,122,5.19,6.67,1.29,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,900605,R8 左轮手枪（StatTrak™） | 疯狂老八,333,5.16,7.04,1.36,2024-06-17
R8 左轮手枪,久经沙场,普通,871068,R8 左轮手枪 | 沙漠伪装,142,5.16,6.67,1.29,2024-06-17
R8 左轮手枪,略有磨损,普通,900527,R8 左轮手枪 | 疯狂老八,980,5.04,7.11,1.41,2024-06-17
R8 左轮手枪,略有磨损,普通,775099,R8 左轮手枪 | 记忆碎片,82,4.78,7.04,1.47,2024-06-17
R8 左轮手枪,破损不堪,普通,775997,R8 左轮手枪 | 记忆碎片,21,4.71,7.11,1.51,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,39438,R8 左轮手枪（StatTrak™） | 重新启动,88,4.71,7.62,1.62,2024-06-17
R8 左轮手枪,崭新出厂,StatTrak™,779234,R8 左轮手枪（StatTrak™） | 骸骨锻造,111,4.59,6.67,1.45,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,900602,R8 左轮手枪（StatTrak™） | 疯狂老八,135,4.58,6.02,1.31,2024-06-17
R8 左轮手枪,战痕累累,普通,835566,R8 左轮手枪 | 噩梦之夜,23,4.47,4.64,1.04,2024-06-17
R8 左轮手枪,略有磨损,普通,835652,R8 左轮手枪 | 噩梦之夜,84,4.34,5.44,1.25,2024-06-17
R8 左轮手枪,破损不堪,普通,835392,R8 左轮手枪 | 噩梦之夜,12,4.32,5.08,1.18,2024-06-17
R8 左轮手枪,崭新出厂,普通,36326,R8 左轮手枪 | 渐变琥珀,1807,4.26,5.95,1.4,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,759427,R8 左轮手枪（StatTrak™） | 生存主义者,110,4.1,5.44,1.33,2024-06-17
R8 左轮手枪,略有磨损,普通,921423,R8 左轮手枪 | 蕉农炮,679,4.09,5.8,1.42,2024-06-17
R8 左轮手枪,久经沙场,普通,835363,R8 左轮手枪 | 噩梦之夜,79,4.07,5.01,1.23,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,900624,R8 左轮手枪（StatTrak™） | 疯狂老八,137,4.06,5.51,1.36,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,857563,R8 左轮手枪（StatTrak™） | 废物王,143,4.05,5.8,1.43,2024-06-17
R8 左轮手枪,久经沙场,普通,36351,R8 左轮手枪 | 重新启动,357,3.78,5.15,1.36,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,921590,R8 左轮手枪（StatTrak™） | 蕉农炮,250,3.36,4.21,1.25,2024-06-17
R8 左轮手枪,略有磨损,普通,36328,R8 左轮手枪 | 渐变琥珀,911,3.03,3.85,1.27,2024-06-17
R8 左轮手枪,久经沙场,普通,774988,R8 左轮手枪 | 记忆碎片,110,3.02,3.85,1.27,2024-06-17
R8 左轮手枪,久经沙场,普通,36327,R8 左轮手枪 | 渐变琥珀,556,3,3.92,1.31,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,921599,R8 左轮手枪（StatTrak™） | 蕉农炮,100,2.86,3.85,1.35,2024-06-17
R8 左轮手枪,久经沙场,普通,900534,R8 左轮手枪 | 疯狂老八,2033,2.79,3.99,1.43,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,921595,R8 左轮手枪（StatTrak™） | 蕉农炮,159,2.76,3.85,1.39,2024-06-17
R8 左轮手枪,战痕累累,普通,775900,R8 左轮手枪 | 记忆碎片,58,2.7,3.92,1.45,2024-06-17
R8 左轮手枪,崭新出厂,普通,857669,R8 左轮手枪 | 废物王,221,2.65,3.7,1.4,2024-06-17
R8 左轮手枪,破损不堪,普通,36353,R8 左轮手枪 | 重新启动,109,2.6,3.41,1.31,2024-06-17
R8 左轮手枪,破损不堪,普通,900571,R8 左轮手枪 | 疯狂老八,381,2.55,3.34,1.31,2024-06-17
R8 左轮手枪,崭新出厂,普通,759272,R8 左轮手枪 | 生存主义者,102,2.54,3.48,1.37,2024-06-17
R8 左轮手枪,战痕累累,普通,36349,R8 左轮手枪 | 重新启动,81,2.28,3.12,1.37,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,857633,R8 左轮手枪（StatTrak™） | 废物王,198,2.17,3.05,1.41,2024-06-17
R8 左轮手枪,战痕累累,普通,900498,R8 左轮手枪 | 疯狂老八,445,2.05,2.83,1.38,2024-06-17
R8 左轮手枪,略有磨损,纪念品,761344,R8 左轮手枪（纪念品） | 氮化处理,174,2.04,2.97,1.46,2024-06-17
R8 左轮手枪,略有磨损,普通,36338,R8 左轮手枪 | 深红之网,982,2.03,2.76,1.36,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,39428,R8 左轮手枪（StatTrak™） | 深红之网,22,1.96,2.68,1.37,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,779304,R8 左轮手枪（StatTrak™） | 骸骨锻造,108,1.93,2.61,1.35,2024-06-17
R8 左轮手枪,久经沙场,普通,921511,R8 左轮手枪 | 蕉农炮,1239,1.89,2.54,1.34,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,759313,R8 左轮手枪（StatTrak™） | 生存主义者,118,1.81,2.18,1.2,2024-06-17
R8 左轮手枪,崭新出厂,普通,45296,R8 左轮手枪 | 稳,278,1.81,2.47,1.36,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,39426,R8 左轮手枪（StatTrak™） | 深红之网,244,1.79,2.47,1.38,2024-06-17
R8 左轮手枪,破损不堪,普通,921516,R8 左轮手枪 | 蕉农炮,505,1.74,2.1,1.21,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,759380,R8 左轮手枪（StatTrak™） | 生存主义者,18,1.69,1.89,1.12,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,857596,R8 左轮手枪（StatTrak™） | 废物王,158,1.67,2.47,1.48,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,857597,R8 左轮手枪（StatTrak™） | 废物王,151,1.65,2.47,1.5,2024-06-17
R8 左轮手枪,略有磨损,StatTrak™,45340,R8 左轮手枪（StatTrak™） | 稳,248,1.58,2.18,1.38,2024-06-17
R8 左轮手枪,略有磨损,普通,759193,R8 左轮手枪 | 生存主义者,146,1.5,1.96,1.31,2024-06-17
R8 左轮手枪,崭新出厂,纪念品,929030,R8 左轮手枪（纪念品） | 镶嵌装饰,161,1.48,2.18,1.47,2024-06-17
R8 左轮手枪,崭新出厂,普通,762236,R8 左轮手枪 | 氮化处理,153,1.48,1.89,1.28,2024-06-17
R8 左轮手枪,崭新出厂,普通,779252,R8 左轮手枪 | 骸骨锻造,160,1.47,1.74,1.18,2024-06-17
R8 左轮手枪,战痕累累,普通,921509,R8 左轮手枪 | 蕉农炮,384,1.33,1.96,1.47,2024-06-17
R8 左轮手枪,略有磨损,普通,857582,R8 左轮手枪 | 废物王,357,1.22,1.81,1.48,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,759222,R8 左轮手枪（StatTrak™） | 生存主义者,35,1.2,1.81,1.51,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,39424,R8 左轮手枪（StatTrak™） | 深红之网,112,1.2,1.81,1.51,2024-06-17
R8 左轮手枪,久经沙场,普通,759273,R8 左轮手枪 | 生存主义者,90,1.17,1.67,1.43,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,779361,R8 左轮手枪（StatTrak™） | 骸骨锻造,24,1.15,1.45,1.26,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,779320,R8 左轮手枪（StatTrak™） | 骸骨锻造,96,1.01,1.38,1.37,2024-06-17
R8 左轮手枪,破损不堪,普通,759362,R8 左轮手枪 | 生存主义者,33,1.09,1.52,1.39,2024-06-17
R8 左轮手枪,战痕累累,普通,759271,R8 左轮手枪 | 生存主义者,40,0.96,1.09,1.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,761376,R8 左轮手枪（纪念品） | 氮化处理,55,0.89,1.23,1.38,2024-06-17
R8 左轮手枪,崭新出厂,普通,927314,R8 左轮手枪 | 镶嵌装饰,365,0.84,1.16,1.38,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,779238,R8 左轮手枪（StatTrak™） | 骸骨锻造,185,0.82,1.02,1.24,2024-06-17
R8 左轮手枪,久经沙场,普通,857541,R8 左轮手枪 | 废物王,258,0.77,1.23,1.6,2024-06-17
R8 左轮手枪,久经沙场,纪念品,761357,R8 左轮手枪（纪念品） | 氮化处理,342,0.71,0.58,0.82,2024-06-17
R8 左轮手枪,破损不堪,普通,857539,R8 左轮手枪 | 废物王,232,0.69,1.02,1.48,2024-06-17
R8 左轮手枪,战痕累累,普通,857644,R8 左轮手枪 | 废物王,277,0.62,1.02,1.65,2024-06-17
R8 左轮手枪,久经沙场,StatTrak™,45339,R8 左轮手枪（StatTrak™） | 稳,331,0.61,1.02,1.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36337,R8 左轮手枪 | 深红之网,487,0.61,0.87,1.43,2024-06-17
R8 左轮手枪,略有磨损,普通,45298,R8 左轮手枪 | 稳,342,0.58,0.94,1.62,2024-06-17
R8 左轮手枪,略有磨损,普通,779190,R8 左轮手枪 | 骸骨锻造,188,0.53,0.8,1.51,2024-06-17
R8 左轮手枪,破损不堪,普通,779284,R8 左轮手枪 | 骸骨锻造,25,0.52,0.94,1.81,2024-06-17
R8 左轮手枪,破损不堪,StatTrak™,45341,R8 左轮手枪（StatTrak™） | 稳,95,0.5,0.87,1.74,2024-06-17
R8 左轮手枪,战痕累累,StatTrak™,45337,R8 左轮手枪（StatTrak™） | 稳,105,0.49,0.87,1.78,2024-06-17
R8 左轮手枪,破损不堪,普通,36339,R8 左轮手枪 | 深红之网,57,0.48,0.73,1.52,2024-06-17
R8 左轮手枪,略有磨损,普通,762056,R8 左轮手枪 | 氮化处理,516,0.45,0.65,1.44,2024-06-17
R8 左轮手枪,战痕累累,普通,36335,R8 左轮手枪 | 深红之网,173,0.4,0.65,1.62,2024-06-17
R8 左轮手枪,战痕累累,纪念品,761394,R8 左轮手枪（纪念品） | 氮化处理,127,0.37,0.51,1.38,2024-06-17
R8 左轮手枪,久经沙场,普通,779184,R8 左轮手枪 | 骸骨锻造,367,0.35,0.51,1.46,2024-06-17
R8 左轮手枪,略有磨损,普通,927313,R8 左轮手枪 | 镶嵌装饰,411,0.33,0.58,1.76,2024-06-17
R8 左轮手枪,崭新出厂,纪念品,877139,R8 左轮手枪（纪念品） | 沙漠伪装,814,0.32,0.51,1.59,2024-06-17
R8 左轮手枪,战痕累累,普通,779191,R8 左轮手枪 | 骸骨锻造,105,0.31,0.51,1.65,2024-06-17
R8 左轮手枪,久经沙场,普通,762087,R8 左轮手枪 | 氮化处理,899,0.3,0.51,1.7,2024-06-17
R8 左轮手枪,久经沙场,普通,45297,R8 左轮手枪 | 稳,555,0.32,0.58,1.81,2024-06-17
R8 左轮手枪,战痕累累,普通,45295,R8 左轮手枪 | 稳,181,0.29,0.51,1.76,2024-06-17
R8 左轮手枪,破损不堪,普通,762151,R8 左轮手枪 | 氮化处理,376,0.28,0.44,1.57,2024-06-17
R8 左轮手枪,崭新出厂,普通,36331,R8 左轮手枪 | 骸骨外罩,203,0.26,0.51,1.96,2024-06-17
R8 左轮手枪,破损不堪,纪念品,929058,R8 左轮手枪（纪念品） | 镶嵌装饰,25,0.25,0.58,2.32,2024-06-17
R8 左轮手枪,战痕累累,普通,762150,R8 左轮手枪 | 氮化处理,246,0.24,0.44,1.83,2024-06-17
R8 左轮手枪,破损不堪,普通,927330,R8 左轮手枪 | 镶嵌装饰,35,0.21,0.51,2.43,2024-06-17
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,180,0.21,0.44,2.1,2024-06-17
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,850,0.22,0.44,2.0,2024-06-17
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,331,0.18,0.36,2.0,2024-06-17
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,179,0.18,0.44,2.44,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,430,0.11,0.29,2.64,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,214,0.1,0.22,2.2,2024-06-17
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,557,0.09,0.29,3.22,2024-06-17
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,214,0.07,0.29,4.14,2024-06-17
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,197,0.07,0.22,3.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,94,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,626,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1080,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,102,0.04,0.29,7.25,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,180,0.21,0.44,2.1,2024-06-17
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,850,0.22,0.44,2.0,2024-06-17
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,331,0.18,0.36,2.0,2024-06-17
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,179,0.18,0.44,2.44,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,430,0.11,0.29,2.64,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,214,0.1,0.22,2.2,2024-06-17
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,557,0.09,0.29,3.22,2024-06-17
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,214,0.07,0.29,4.14,2024-06-17
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,197,0.07,0.22,3.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,94,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,626,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1080,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,102,0.04,0.29,7.25,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877009,R8 左轮手枪（纪念品） | 噩梦之夜,911,0.04,0.22,5.5,2024-06-17
R8 左轮手枪,破损不堪,普通,36334,R8 左轮手枪 | 骸骨外罩,101,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,久经沙场,纪念品,877121,R8 左轮手枪（纪念品） | 沙漠伪装,1783,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877028,R8 左轮手枪（纪念品） | 噩梦之夜,103,0.03,0.22,7.33,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877045,R8 左轮手枪（纪念品） | 噩梦之夜,226,0.02,0.22,11.0,2024-06-17
R8 左轮手枪,破损不堪,普通,45299,R8 左轮手枪 | 稳,180,0.21,0.44,2.1,2024-06-17
R8 左轮手枪,久经沙场,普通,927309,R8 左轮手枪 | 镶嵌装饰,850,0.22,0.44,2.0,2024-06-17
R8 左轮手枪,略有磨损,纪念品,929028,R8 左轮手枪（纪念品） | 镶嵌装饰,331,0.18,0.36,2.0,2024-06-17
R8 左轮手枪,战痕累累,普通,927293,R8 左轮手枪 | 镶嵌装饰,179,0.18,0.44,2.44,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877021,R8 左轮手枪（纪念品） | 噩梦之夜,430,0.11,0.29,2.64,2024-06-17
R8 左轮手枪,战痕累累,纪念品,877148,R8 左轮手枪（纪念品） | 沙漠伪装,214,0.1,0.22,2.2,2024-06-17
R8 左轮手枪,久经沙场,纪念品,929015,R8 左轮手枪（纪念品） | 镶嵌装饰,557,0.09,0.29,3.22,2024-06-17
R8 左轮手枪,略有磨损,普通,36333,R8 左轮手枪 | 骸骨外罩,214,0.07,0.29,4.14,2024-06-17
R8 左轮手枪,战痕累累,普通,36330,R8 左轮手枪 | 骸骨外罩,197,0.07,0.22,3.14,2024-06-17
R8 左轮手枪,破损不堪,纪念品,877156,R8 左轮手枪（纪念品） | 沙漠伪装,94,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,久经沙场,普通,36332,R8 左轮手枪 | 骸骨外罩,626,0.06,0.22,3.67,2024-06-17
R8 左轮手枪,略有磨损,纪念品,877134,R8 左轮手枪（纪念品） | 沙漠伪装,1080,0.05,0.22,4.4,2024-06-17
R8 左轮手枪,战痕累累,纪念品,929038,R8 左轮手枪（纪念品） | 镶嵌装饰,102,0.04,0.29,7.25,2024-06-17
