
AK-47,崭新出厂,普通,776874,AK-47 | 野荷,198,87998.5,89759.0,1.02,2024-06-16
AK-47,崭新出厂,普通,33979,AK-47 | 荒野反叛,23,1497.5,2360.86,1.58,2024-06-16
AK-47,破损不堪,StatTrak™,38232,AK-47（StatTrak™） | 火神,23,1497.4,2176.44,1.45,2024-06-16
AK-47,略有磨损,StatTrak™,38221,AK-47（StatTrak™） | 红线,364,1445,2097.65,1.45,2024-06-16
AK-47,久经沙场,普通,33975,AK-47 | 火神,1518,1436.8,2069.94,1.44,2024-06-16
AK-47,略有磨损,普通,33912,AK-47 | 燃料喷射器,908,1418.5,2009.58,1.42,2024-06-16
AK-47,略有磨损,StatTrak™,38159,AK-47（StatTrak™） | 血腥运动,229,1409.5,1896.55,1.35,2024-06-16
AK-47,略有磨损,StatTrak™,38197,AK-47（StatTrak™） | 美洲猛虎,14,1400.78,2157.14,1.54,2024-06-16
AK-47,破损不堪,StatTrak™,38193,AK-47（StatTrak™） | 燃料喷射器,39,1295.83,2027.93,1.56,2024-06-16
AK-47,略有磨损,StatTrak™,38217,AK-47（StatTrak™） | 红色层压板,60,1269.5,2067.62,1.63,2024-06-16
AK-47,崭新出厂,普通,33920,AK-47 | 美洲猛虎,40,1269.5,1886.18,1.49,2024-06-16
AK-47,略有磨损,纪念品,877076,AK-47（纪念品） | 美洲豹,51,1231.5,2002.4,1.63,2024-06-16
AK-47,破损不堪,普通,33884,AK-47 | 表面淬火,462,1219.5,1697.84,1.39,2024-06-16
AK-47,久经沙场,普通,835982,AK-47 | 美洲豹,30,1212,1674.48,1.38,2024-06-16
AK-47,崭新出厂,普通,763469,AK-47 | 二西莫夫,299,1204,1618.69,1.34,2024-06-16
AK-47,崭新出厂,纪念品,37514,AK-47（纪念品） | 狩猎网格,10,1199.5,1813.55,1.51,2024-06-16
AK-47,久经沙场,StatTrak™,38158,AK-47（StatTrak™） | 血腥运动,205,1194.5,1672.3,1.4,2024-06-16
AK-47,略有磨损,StatTrak™,956663,AK-47（StatTrak™） | 传承,74,1176.5,1552.45,1.32,2024-06-16
AK-47,战痕累累,StatTrak™,38189,AK-47（StatTrak™） | 燃料喷射器,30,1099.5,1741.66,1.58,2024-06-16
AK-47,战痕累累,普通,33880,AK-47 | 表面淬火,212,1092.5,1565.73,1.43,2024-06-16
AK-47,崭新出厂,普通,956571,AK-47 | 传承,273,1079.5,1378.41,1.28,2024-06-16
AK-47,破损不堪,StatTrak™,38160,AK-47（StatTrak™） | 血腥运动,7,1068.9,1668.6,1.56,2024-06-16
AK-47,崭新出厂,普通,33900,AK-47 | 至高皮革,29,1029,1745.94,1.7,2024-06-16
AK-47,久经沙场,普通,33911,AK-47 | 燃料喷射器,1265,1009.5,1424.26,1.41,2024-06-16
AK-47,崭新出厂,普通,33864,AK-47 | 黑色层压板,22,994.5,1935.15,1.95,2024-06-16
AK-47,崭新出厂,StatTrak™,38200,AK-47（StatTrak™） | 霓虹革命,70,988.8,1407.43,1.42,2024-06-16
AK-47,破损不堪,StatTrak™,956665,AK-47（StatTrak™） | 传承,3,987.5,1286.57,1.3,2024-06-16
AK-47,崭新出厂,StatTrak™,871853,AK-47（StatTrak™） | 抽象派 1337,79,938,1435.87,1.53,2024-06-16
AK-47,破损不堪,普通,835945,AK-47 | 美洲豹,10,934.9,1596.06,1.71,2024-06-16
AK-47,破损不堪,StatTrak™,38237,AK-47（StatTrak™） | 荒野反叛,1,915.38,693.85,0.76,2024-06-16
AK-47,久经沙场,纪念品,877004,AK-47（纪念品） | 美洲豹,43,909.5,1358.82,1.49,2024-06-16
AK-47,略有磨损,StatTrak™,759430,AK-47（StatTrak™） | 霓虹骑士,144,897.5,1354.69,1.51,2024-06-16
AK-47,略有磨损,StatTrak™,38155,AK-47（StatTrak™） | 深海复仇,71,885.5,1325.38,1.5,2024-06-16
AK-47,战痕累累,StatTrak™,38228,AK-47（StatTrak™） | 火神,39,879.5,1334.52,1.52,2024-06-16
AK-47,略有磨损,StatTrak™,38236,AK-47（StatTrak™） | 荒野反叛,58,869.49,1281.63,1.47,2024-06-16
AK-47,战痕累累,普通,835875,AK-47 | 美洲豹,12,851.4,1487.81,1.75,2024-06-16
AK-47,略有磨损,普通,33902,AK-47 | 至高皮革,13,829.5,986.65,1.19,2024-06-16
AK-47,崭新出厂,普通,33930,AK-47 | 丛林涂装,13,825,1233.9,1.5,2024-06-16
AK-47,久经沙场,StatTrak™,38196,AK-47（StatTrak™） | 美洲猛虎,26,822.5,1414.18,1.72,2024-06-16
AK-47,崭新出厂,普通,33868,AK-47 | 血腥运动,2051,822,1148.65,1.4,2024-06-16
AK-47,破损不堪,普通,33977,AK-47 | 火神,113,819.5,1113.61,1.36,2024-06-16
AK-47,崭新出厂,StatTrak™,887090,AK-47（StatTrak™） | 夜愿,199,813,1273.51,1.57,2024-06-16
AK-47,崭新出厂,普通,33969,AK-47 | 皇后,475,807.5,1066.75,1.32,2024-06-16
AK-47,崭新出厂,普通,759363,AK-47 | 霓虹骑士,488,789.5,1084.23,1.37,2024-06-16
AK-47,崭新出厂,StatTrak™,921605,AK-47（StatTrak™） | 一发入魂,105,787.5,1274.81,1.62,2024-06-16
AK-47,崭新出厂,StatTrak™,38185,AK-47（StatTrak™） | 前线迷雾,60,779.98,1165.48,1.49,2024-06-16
AK-47,略有磨损,StatTrak™,38226,AK-47（StatTrak™） | 皇后,299,770.5,1109.04,1.44,2024-06-16
AK-47,战痕累累,StatTrak™,38214,AK-47（StatTrak™） | 红色层压板,24,751.96,979.11,1.3,2024-06-16
AK-47,破损不堪,StatTrak™,38218,AK-47（StatTrak™） | 红色层压板,15,737.95,1407.43,1.91,2024-06-16
AK-47,破损不堪,普通,33913,AK-47 | 燃料喷射器,375,719.5,967.57,1.34,2024-06-16
AK-47,久经沙场,StatTrak™,38216,AK-47（StatTrak™） | 红色层压板,87,708.1,1065.59,1.5,2024-06-16
AK-47,略有磨损,普通,33870,AK-47 | 血腥运动,1939,688,924.7,1.34,2024-06-16
AK-47,久经沙场,StatTrak™,956617,AK-47（StatTrak™） | 传承,110,683.9,1056.3,1.54,2024-06-16
AK-47,破损不堪,纪念品,877074,AK-47（纪念品） | 美洲豹,21,673.47,1163.82,1.73,2024-06-16
AK-47,略有磨损,普通,956596,AK-47 | 传承,448,648.5,820.08,1.26,2024-06-16
AK-47,略有磨损,StatTrak™,763476,AK-47（StatTrak™） | 二西莫夫,454,646.8,906.34,1.4,2024-06-16
AK-47,战痕累累,纪念品,877080,AK-47（纪念品） | 美洲豹,25,627.3,1030.18,1.64,2024-06-16
AK-47,久经沙场,普通,33869,AK-47 | 血腥运动,1358,623.5,828.21,1.33,2024-06-16
AK-47,破损不堪,普通,33871,AK-47 | 血腥运动,54,604.5,830.09,1.37,2024-06-16
AK-47,久经沙场,普通,33901,AK-47 | 至高皮革,21,599.5,803.9,1.34,2024-06-16
AK-47,略有磨损,普通,33961,AK-47 | 红线,1721,594.5,782.07,1.32,2024-06-16
AK-47,战痕累累,普通,33909,AK-47 | 燃料喷射器,216,588,808.62,1.38,2024-06-16
AK-47,崭新出厂,普通,33859,AK-47 | 深海复仇,382,576.5,828.06,1.44,2024-06-16
AK-47,破损不堪,StatTrak™,38198,AK-47（StatTrak™） | 美洲猛虎,5,539.5,813.41,1.51,2024-06-16
AK-47,战痕累累,StatTrak™,38233,AK-47（StatTrak™） | 荒野反叛,5,536.5,688.26,1.28,2024-06-16
AK-47,战痕累累,普通,33973,AK-47 | 火神,166,535.8,735.13,1.37,2024-06-16
AK-47,战痕累累,StatTrak™,956694,AK-47（StatTrak™） | 传承,24,528,762.77,1.44,2024-06-16
AK-47,久经沙场,StatTrak™,38235,AK-47（StatTrak™） | 荒野反叛,90,528,762.84,1.44,2024-06-16
AK-47,略有磨损,StatTrak™,871879,AK-47（StatTrak™） | 抽象派 1337,111,519.5,759.21,1.46,2024-06-16
AK-47,战痕累累,StatTrak™,38194,AK-47（StatTrak™） | 美洲猛虎,11,513.96,937.25,1.82,2024-06-16
AK-47,略有磨损,普通,33922,AK-47 | 美洲猛虎,128,506.95,688.26,1.36,2024-06-16
AK-47,崭新出厂,StatTrak™,38210,AK-47（StatTrak™） | 混沌点阵,209,498.88,735.35,1.47,2024-06-16
AK-47,久经沙场,StatTrak™,38225,AK-47（StatTrak™） | 皇后,298,486.4,681.23,1.4,2024-06-16
AK-47,破损不堪,StatTrak™,872002,AK-47（StatTrak™） | 抽象派 1337,4,476.5,519.3,1.09,2024-06-16
AK-47,久经沙场,StatTrak™,38154,AK-47（StatTrak™） | 深海复仇,99,473.75,665.34,1.4,2024-06-16
AK-47,崭新出厂,StatTrak™,38166,AK-47（StatTrak™） | 卡特尔,207,472,688.12,1.46,2024-06-16
AK-47,略有磨损,普通,759234,AK-47 | 霓虹骑士,809,469.5,634.58,1.35,2024-06-16
AK-47,崭新出厂,普通,871340,AK-47 | 抽象派 1337,282,449.5,609.84,1.36,2024-06-16
AK-47,久经沙场,StatTrak™,759367,AK-47（StatTrak™） | 霓虹骑士,153,447.86,608.82,1.36,2024-06-16
AK-47,略有磨损,普通,33971,AK-47 | 皇后,925,447.48,586.77,1.31,2024-06-16
AK-47,崭新出厂,普通,33935,AK-47 | 霓虹革命,289,445.5,589.31,1.32,2024-06-16
AK-47,战痕累累,普通,33899,AK-47 | 至高皮革,6,429.4,761.68,1.77,2024-06-16
AK-47,破损不堪,普通,33903,AK-47 | 至高皮革,12,429,590.11,1.38,2024-06-16
AK-47,崭新出厂,普通,921576,AK-47 | 一发入魂,535,423.49,574.36,1.36,2024-06-16
AK-47,崭新出厂,普通,33905,AK-47 | 前线迷雾,261,422,572.98,1.36,2024-06-16
AK-47,破损不堪,StatTrak™,759499,AK-47（StatTrak™） | 霓虹骑士,2,419.5,549.33,1.31,2024-06-16
AK-47,略有磨损,普通,33861,AK-47 | 深海复仇,481,417.49,565.15,1.35,2024-06-16
AK-47,略有磨损,StatTrak™,38202,AK-47（StatTrak™） | 霓虹革命,148,414.4,579.37,1.4,2024-06-16
AK-47,久经沙场,普通,956540,AK-47 | 传承,753,407.5,526.41,1.29,2024-06-16
AK-47,崭新出厂,普通,887070,AK-47 | 夜愿,714,404.48,544.11,1.35,2024-06-16
AK-47,略有磨损,普通,763311,AK-47 | 二西莫夫,2290,403.5,539.39,1.34,2024-06-16
AK-47,久经沙场,普通,33921,AK-47 | 美洲猛虎,135,403.5,528.51,1.31,2024-06-16
AK-47,略有磨损,普通,33957,AK-47 | 红色层压板,193,397.7,616.66,1.55,2024-06-16
AK-47,崭新出厂,StatTrak™,38205,AK-47（StatTrak™） | 轨道 Mk01,85,388.5,558.98,1.44,2024-06-16
AK-47,破损不堪,普通,956643,AK-47 | 传承,35,388.38,495.29,1.28,2024-06-16
AK-47,破损不堪,StatTrak™,38227,AK-47（StatTrak™） | 皇后,73,384.49,528.15,1.37,2024-06-16
AK-47,崭新出厂,普通,33950,AK-47 | 捕食者,19,365.5,614.7,1.68,2024-06-16
AK-47,久经沙场,StatTrak™,763355,AK-47（StatTrak™） | 二西莫夫,373,363.49,497.46,1.37,2024-06-16
AK-47,战痕累累,StatTrak™,759366,AK-47（StatTrak™） | 霓虹骑士,14,361.49,459.66,1.27,2024-06-16
AK-47,略有磨损,StatTrak™,38187,AK-47（StatTrak™） | 前线迷雾,172,357.5,500.58,1.4,2024-06-16
AK-47,略有磨损,StatTrak™,921597,AK-47（StatTrak™） | 一发入魂,222,349.5,472.29,1.35,2024-06-16
AK-47,破损不堪,StatTrak™,763487,AK-47（StatTrak™） | 二西莫夫,10,349,505.37,1.45,2024-06-16
AK-47,崭新出厂,纪念品,761380,AK-47（纪念品） | 安全网,68,348.38,541.86,1.56,2024-06-16
AK-47,略有磨损,普通,33981,AK-47 | 荒野反叛,175,328.8,449.0,1.37,2024-06-16
AK-47,战痕累累,StatTrak™,38223,AK-47（StatTrak™） | 皇后,61,327,474.39,1.45,2024-06-16
AK-47,战痕累累,普通,956532,AK-47 | 传承,106,326.5,439.42,1.35,2024-06-16
AK-47,破损不堪,StatTrak™,38156,AK-47（StatTrak™） | 深海复仇,17,323.5,428.47,1.32,2024-06-16
AK-47,久经沙场,StatTrak™,871812,AK-47（StatTrak™） | 抽象派 1337,130,310,440.29,1.42,2024-06-16
AK-47,崭新出厂,StatTrak™,781683,AK-47（StatTrak™） | 阿努比斯军团,265,309.5,419.4,1.36,2024-06-16
AK-47,崭新出厂,StatTrak™,900650,AK-47（StatTrak™） | 可燃冰,510,309.49,414.47,1.34,2024-06-16
AK-47,战痕累累,StatTrak™,763505,AK-47（StatTrak™） | 二西莫夫,33,306.4,399.59,1.3,2024-06-16
AK-47,略有磨损,StatTrak™,887058,AK-47（StatTrak™） | 夜愿,385,302,412.94,1.37,2024-06-16
AK-47,久经沙场,普通,759341,AK-47 | 霓虹骑士,811,299.5,409.24,1.37,2024-06-16
AK-47,破损不堪,StatTrak™,38164,AK-47（StatTrak™） | 蓝色层压板,13,299.49,364.12,1.22,2024-06-16
AK-47,战痕累累,StatTrak™,871974,AK-47（StatTrak™） | 抽象派 1337,17,296.7,445.15,1.5,2024-06-16
AK-47,战痕累累,普通,33954,AK-47 | 红色层压板,35,293.5,412.51,1.41,2024-06-16
AK-47,略有磨损,纪念品,772919,AK-47（纪念品） | 黑色层压板,62,289.29,371.81,1.29,2024-06-16
AK-47,破损不堪,StatTrak™,38203,AK-47（StatTrak™） | 霓虹革命,8,288.96,417.15,1.44,2024-06-16
AK-47,破损不堪,StatTrak™,38208,AK-47（StatTrak™） | 轨道 Mk01,4,288.5,387.12,1.34,2024-06-16
AK-47,破损不堪,普通,33958,AK-47 | 红色层压板,34,284.5,434.49,1.53,2024-06-16
AK-47,久经沙场,StatTrak™,38220,AK-47（StatTrak™） | 红线,2222,284.49,377.61,1.33,2024-06-16
AK-47,略有磨损,StatTrak™,38168,AK-47（StatTrak™） | 卡特尔,313,284.39,392.12,1.38,2024-06-16
AK-47,战痕累累,StatTrak™,38152,AK-47（StatTrak™） | 深海复仇,24,271.9,365.21,1.34,2024-06-16
AK-47,略有磨损,StatTrak™,38207,AK-47（StatTrak™） | 轨道 Mk01,106,270.2,376.74,1.39,2024-06-16
AK-47,久经沙场,普通,33956,AK-47 | 红色层压板,449,269.5,362.38,1.34,2024-06-16
AK-47,略有磨损,StatTrak™,38212,AK-47（StatTrak™） | 混沌点阵,244,268.4,351.5,1.31,2024-06-16
AK-47,崭新出厂,StatTrak™,38161,AK-47（StatTrak™） | 蓝色层压板,465,259.38,349.61,1.35,2024-06-16
AK-47,破损不堪,普通,759498,AK-47 | 霓虹骑士,27,257.47,367.53,1.43,2024-06-16
AK-47,破损不堪,普通,872041,AK-47 | 绿色层压板,7,249,348.16,1.4,2024-06-16
AK-47,久经沙场,普通,33860,AK-47 | 深海复仇,673,243.99,329.66,1.35,2024-06-16
AK-47,破损不堪,StatTrak™,38169,AK-47（StatTrak™） | 卡特尔,7,243.5,334.59,1.37,2024-06-16
AK-47,破损不堪,普通,33923,AK-47 | 美洲猛虎,29,243.49,326.47,1.34,2024-06-16
AK-47,破损不堪,StatTrak™,38222,AK-47（StatTrak™） | 红线,29,239.38,299.26,1.25,2024-06-16
AK-47,战痕累累,StatTrak™,38204,AK-47（StatTrak™） | 轨道 Mk01,11,237.99,302.45,1.27,2024-06-16
AK-47,略有磨损,普通,871099,AK-47 | 抽象派 1337,537,231.46,319.65,1.38,2024-06-16
AK-47,崭新出厂,StatTrak™,857682,AK-47（StatTrak™） | 墨岩,820,228.49,316.82,1.39,2024-06-16
AK-47,久经沙场,StatTrak™,38201,AK-47（StatTrak™） | 霓虹革命,165,226,312.03,1.38,2024-06-16
AK-47,战痕累累,普通,33919,AK-47 | 美洲猛虎,21,225.5,332.85,1.48,2024-06-16
AK-47,久经沙场,普通,33970,AK-47 | 皇后,2289,217.5,293.38,1.35,2024-06-16
AK-47,略有磨损,普通,33937,AK-47 | 霓虹革命,703,213.99,291.21,1.36,2024-06-16
AK-47,略有磨损,普通,33866,AK-47 | 黑色层压板,295,208.5,284.03,1.36,2024-06-16
AK-47,崭新出厂,StatTrak™,776479,AK-47（StatTrak™） | 复古浪潮,43,204.9,289.68,1.41,2024-06-16
AK-47,久经沙场,StatTrak™,38206,AK-47（StatTrak™） | 轨道 Mk01,120,204.5,272.64,1.33,2024-06-16
AK-47,久经沙场,StatTrak™,38167,AK-47（StatTrak™） | 卡特尔,332,199.3,253.92,1.27,2024-06-16
AK-47,战痕累累,StatTrak™,38165,AK-47（StatTrak™） | 卡特尔,72,197.38,304.05,1.54,2024-06-16
AK-47,久经沙场,普通,763250,AK-47 | 二西莫夫,4112,196.5,260.88,1.33,2024-06-16
AK-47,崭新出厂,StatTrak™,779364,AK-47（StatTrak™） | 幻影破坏者,163,193.9,252.83,1.3,2024-06-16
AK-47,战痕累累,StatTrak™,38199,AK-47（StatTrak™） | 霓虹革命,31,190.9,279.67,1.47,2024-06-16
AK-47,崭新出厂,普通,33945,AK-47 | 混沌点阵,643,189.97,264.66,1.39,2024-06-16
AK-47,破损不堪,普通,33982,AK-47 | 荒野反叛,8,189.4,258.05,1.36,2024-06-16
AK-47,破损不堪,纪念品,877064,AK-47（纪念品） | 绿色层压板,15,185.39,192.25,1.04,2024-06-16
AK-47,破损不堪,普通,763504,AK-47 | 二西莫夫,58,177.5,241.08,1.36,2024-06-16
AK-47,破损不堪,纪念品,772921,AK-47（纪念品） | 黑色层压板,26,175.79,193.63,1.1,2024-06-16
AK-47,破损不堪,普通,33867,AK-47 | 黑色层压板,26,175,228.38,1.31,2024-06-16
AK-47,久经沙场,纪念品,772915,AK-47（纪念品） | 黑色层压板,187,171.5,217.57,1.27,2024-06-16
AK-47,破损不堪,普通,33972,AK-47 | 皇后,288,168.5,213.94,1.27,2024-06-16
AK-47,崭新出厂,普通,33877,AK-47 | 卡特尔,661,166.8,218.95,1.31,2024-06-16
AK-47,久经沙场,StatTrak™,38186,AK-47（StatTrak™） | 前线迷雾,230,166.28,225.26,1.35,2024-06-16
AK-47,战痕累累,普通,33863,AK-47 | 黑色层压板,43,166.05,238.76,1.44,2024-06-16
AK-47,久经沙场,普通,33865,AK-47 | 黑色层压板,233,165.69,224.68,1.36,2024-06-16
AK-47,略有磨损,StatTrak™,781682,AK-47（StatTrak™） | 阿努比斯军团,321,165.5,220.04,1.33,2024-06-16
AK-47,战痕累累,普通,33978,AK-47 | 荒野反叛,25,164.2,208.58,1.27,2024-06-16
AK-47,久经沙场,普通,33980,AK-47 | 荒野反叛,347,163.81,214.74,1.31,2024-06-16
AK-47,略有磨损,StatTrak™,38163,AK-47（StatTrak™） | 蓝色层压板,480,163.2,229.69,1.41,2024-06-16
AK-47,崭新出厂,StatTrak™,38176,AK-47（StatTrak™） | 精英之作,424,155.05,214.74,1.38,2024-06-16
AK-47,久经沙场,StatTrak™,921600,AK-47（StatTrak™） | 一发入魂,282,154.88,220.76,1.43,2024-06-16
AK-47,略有磨损,普通,921456,AK-47 | 一发入魂,1494,154.38,203.64,1.32,2024-06-16
AK-47,破损不堪,StatTrak™,38188,AK-47（StatTrak™） | 前线迷雾,21,154,212.13,1.38,2024-06-16
AK-47,略有磨损,普通,33907,AK-47 | 前线迷雾,1107,153.98,209.01,1.36,2024-06-16
AK-47,久经沙场,StatTrak™,38162,AK-47（StatTrak™） | 蓝色层压板,484,148.98,197.04,1.32,2024-06-16
AK-47,战痕累累,纪念品,772917,AK-47（纪念品） | 黑色层压板,43,144.5,219.75,1.52,2024-06-16
