PP-野牛,崭新出厂,纪念品,37952,PP-野牛（纪念品） | 午夜行动,3,1587.5,1585.17,1.0,2024-06-16
PP-野牛,略有磨损,StatTrak™,871660,PP-野牛（StatTrak™） | 战术手电,43,14.39,20.1,1.4,2024-06-16
PP-野牛,破损不堪,普通,36240,PP-野牛 | 化工之绿,24,14.04,20.24,1.44,2024-06-16
PP-野牛,崭新出厂,普通,36316,PP-野牛 | 水纹之印,50,13.75,17.56,1.28,2024-06-16
PP-野牛,破损不堪,普通,36249,PP-野牛 | 森林之叶,13,13.7,20.89,1.52,2024-06-16
PP-野牛,崭新出厂,普通,36251,PP-野牛 | 核燃料棒,346,13.59,18.72,1.38,2024-06-16
PP-野牛,战痕累累,普通,36224,PP-野牛 | 水蓝条纹,8,13.02,16.03,1.23,2024-06-16
PP-野牛,破损不堪,普通,36319,PP-野牛 | 水纹之印,14,12.71,19.66,1.55,2024-06-16
PP-野牛,战痕累累,普通,36236,PP-野牛 | 化工之绿,8,12.42,16.69,1.34,2024-06-16
PP-野牛,久经沙场,普通,36226,PP-野牛 | 水蓝条纹,37,12.4,16.32,1.32,2024-06-16
PP-野牛,久经沙场,StatTrak™,39411,PP-野牛（StatTrak™） | 死亡主宰者,55,11.99,15.67,1.31,2024-06-16
PP-野牛,略有磨损,普通,36318,PP-野牛 | 水纹之印,27,11.92,17.48,1.47,2024-06-16
PP-野牛,久经沙场,普通,36317,PP-野牛 | 水纹之印,19,11.81,15.02,1.27,2024-06-16
PP-野牛,崭新出厂,普通,36241,PP-野牛 | 钻蓝半调,53,11.77,15.89,1.35,2024-06-16
PP-野牛,战痕累累,StatTrak™,39409,PP-野牛（StatTrak™） | 死亡主宰者,26,11.72,14.44,1.23,2024-06-16
PP-野牛,战痕累累,普通,36315,PP-野牛 | 水纹之印,4,11.72,18.72,1.6,2024-06-16
PP-野牛,崭新出厂,普通,871422,PP-野牛 | 战术手电,111,11.03,14.73,1.34,2024-06-16
PP-野牛,崭新出厂,纪念品,761353,PP-野牛（纪念品） | 红苹果,575,10.9,13.13,1.2,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39390,PP-野牛（StatTrak™） | 收割机,17,10.87,16.47,1.52,2024-06-16
PP-野牛,略有磨损,StatTrak™,39382,PP-野牛（StatTrak™） | 钻蓝半调,100,10.68,15.02,1.41,2024-06-16
PP-野牛,战痕累累,普通,36260,PP-野牛 | 买定离手,44,10.47,14.65,1.4,2024-06-16
PP-野牛,久经沙场,普通,775284,PP-野牛 | 路霸,50,10.2,13.93,1.37,2024-06-16
PP-野牛,崭新出厂,普通,36230,PP-野牛 | 黄铜,770,9.95,12.26,1.23,2024-06-16
PP-野牛,久经沙场,StatTrak™,39386,PP-野牛（StatTrak™） | 核燃料棒,138,9.8,13.35,1.36,2024-06-16
PP-野牛,破损不堪,普通,775288,PP-野牛 | 路霸,15,9.74,13.35,1.37,2024-06-16
PP-野牛,崭新出厂,普通,36296,PP-野牛 | 透光区,201,9.7,13.35,1.38,2024-06-16
PP-野牛,破损不堪,StatTrak™,39383,PP-野牛（StatTrak™） | 钻蓝半调,15,9.53,12.55,1.32,2024-06-16
PP-野牛,久经沙场,StatTrak™,39381,PP-野牛（StatTrak™） | 钻蓝半调,44,9.52,12.77,1.34,2024-06-16
PP-野牛,略有磨损,StatTrak™,39417,PP-野牛（StatTrak™） | 透光区,183,8.85,11.32,1.28,2024-06-16
PP-野牛,战痕累累,普通,775225,PP-野牛 | 路霸,50,8.79,11.46,1.3,2024-06-16
PP-野牛,崭新出厂,普通,36291,PP-野牛 | 死亡主宰者,432,8.76,12.12,1.38,2024-06-16
PP-野牛,破损不堪,StatTrak™,39413,PP-野牛（StatTrak™） | 死亡主宰者,21,8.74,11.75,1.34,2024-06-16
PP-野牛,久经沙场,纪念品,37944,PP-野牛（纪念品） | 化工之绿,414,8.71,11.32,1.3,2024-06-16
PP-野牛,略有磨损,纪念品,37949,PP-野牛（纪念品） | 辐照警报,154,8.4,12.04,1.43,2024-06-16
PP-野牛,破损不堪,纪念品,37946,PP-野牛（纪念品） | 化工之绿,101,8.34,10.88,1.3,2024-06-16
PP-野牛,略有磨损,普通,871234,PP-野牛 | 战术手电,63,8.06,9.72,1.21,2024-06-16
PP-野牛,崭新出厂,纪念品,761427,PP-野牛（纪念品） | 设施系列·速写图,739,7.67,9.21,1.2,2024-06-16
PP-野牛,略有磨损,普通,36243,PP-野牛 | 钻蓝半调,88,7.48,10.01,1.34,2024-06-16
PP-野牛,略有磨损,StatTrak™,886976,PP-野牛（StatTrak™） | 太空猫,533,7.27,9.43,1.3,2024-06-16
PP-野牛,略有磨损,普通,36253,PP-野牛 | 核燃料棒,345,7.21,10.08,1.4,2024-06-16
PP-野牛,破损不堪,StatTrak™,871773,PP-野牛（StatTrak™） | 战术手电,8,7.19,7.76,1.08,2024-06-16
PP-野牛,破损不堪,StatTrak™,39388,PP-野牛（StatTrak™） | 核燃料棒,44,7.18,9.21,1.28,2024-06-16
PP-野牛,战痕累累,StatTrak™,39384,PP-野牛（StatTrak™） | 核燃料棒,66,7.07,9.43,1.33,2024-06-16
PP-野牛,崭新出厂,StatTrak™,781688,PP-野牛（StatTrak™） | 神秘碑文,165,7.02,9.29,1.32,2024-06-16
PP-野牛,久经沙场,StatTrak™,871381,PP-野牛（StatTrak™） | 战术手电,76,6.96,10.95,1.57,2024-06-16
PP-野牛,破损不堪,普通,36244,PP-野牛 | 钻蓝半调,23,6.73,8.49,1.26,2024-06-16
PP-野牛,崭新出厂,普通,886999,PP-野牛 | 太空猫,875,6.69,9.14,1.37,2024-06-16
PP-野牛,久经沙场,普通,36242,PP-野牛 | 钻蓝半调,44,6.32,8.71,1.38,2024-06-16
PP-野牛,略有磨损,普通,36232,PP-野牛 | 黄铜,622,6.32,8.34,1.32,2024-06-16
PP-野牛,崭新出厂,StatTrak™,39405,PP-野牛（StatTrak™） | 丛林滑流,44,5.53,7.76,1.4,2024-06-16
PP-野牛,略有磨损,普通,36293,PP-野牛 | 死亡主宰者,329,5.01,7.11,1.42,2024-06-16
PP-野牛,战痕累累,纪念品,37942,PP-野牛（纪念品） | 化工之绿,120,4.98,8.05,1.62,2024-06-16
PP-野牛,略有磨损,普通,36298,PP-野牛 | 透光区,234,4.97,6.17,1.24,2024-06-16
PP-野牛,战痕累累,StatTrak™,871637,PP-野牛（StatTrak™） | 战术手电,27,4.94,5.66,1.15,2024-06-16
PP-野牛,久经沙场,普通,36297,PP-野牛 | 透光区,38,4.79,6.31,1.32,2024-06-16
PP-野牛,战痕累累,普通,36295,PP-野牛 | 透光区,25,4.79,6.02,1.26,2024-06-16
PP-野牛,略有磨损,纪念品,761359,PP-野牛（纪念品） | 红苹果,558,4.72,5.95,1.26,2024-06-16
PP-野牛,久经沙场,普通,871245,PP-野牛 | 战术手电,56,4.67,5.01,1.07,2024-06-16
PP-野牛,略有磨损,普通,835468,PP-野牛 | 夺命撼响,302,4.57,6.75,1.48,2024-06-16
PP-野牛,崭新出厂,普通,871109,PP-野牛 | 安乐蜥,197,4.49,6.09,1.36,2024-06-16
PP-野牛,崭新出厂,StatTrak™,45335,PP-野牛（StatTrak™） | 黑夜暴乱,127,4.48,5.88,1.31,2024-06-16
PP-野牛,破损不堪,纪念品,37950,PP-野牛（纪念品） | 辐照警报,44,4.45,7.91,1.78,2024-06-16
PP-野牛,破损不堪,普通,36299,PP-野牛 | 透光区,38,4.42,5.88,1.33,2024-06-16
PP-野牛,略有磨损,StatTrak™,39392,PP-野牛（StatTrak™） | 收割机,29,4.38,3.99,0.91,2024-06-16
PP-野牛,破损不堪,普通,871307,PP-野牛 | 安乐蜥,42,4.28,5.01,1.17,2024-06-16
PP-野牛,略有磨损,普通,871139,PP-野牛 | 安乐蜥,84,4.19,5.37,1.28,2024-06-16
PP-野牛,略有磨损,纪念品,761470,PP-野牛（纪念品） | 设施系列·速写图,574,4.19,5.15,1.23,2024-06-16
PP-野牛,战痕累累,普通,871346,PP-野牛 | 安乐蜥,16,4.18,5.15,1.23,2024-06-16
PP-野牛,久经沙场,StatTrak™,39416,PP-野牛（StatTrak™） | 透光区,154,4.14,5.22,1.26,2024-06-16
PP-野牛,久经沙场,普通,871093,PP-野牛 | 安乐蜥,187,4.12,5.37,1.3,2024-06-16
PP-野牛,战痕累累,普通,835401,PP-野牛 | 夺命撼响,11,4.04,5.44,1.35,2024-06-16
PP-野牛,久经沙场,纪念品,761377,PP-野牛（纪念品） | 红苹果,137,4.01,5.51,1.37,2024-06-16
PP-野牛,久经沙场,普通,36292,PP-野牛 | 死亡主宰者,134,3.98,5.3,1.33,2024-06-16
PP-野牛,略有磨损,纪念品,37964,PP-野牛（纪念品） | 都市虚线,250,3.96,5.15,1.3,2024-06-16
PP-野牛,破损不堪,普通,835406,PP-野牛 | 夺命撼响,38,3.91,4.79,1.23,2024-06-16
PP-野牛,久经沙场,普通,835340,PP-野牛 | 夺命撼响,96,3.79,4.79,1.26,2024-06-16
PP-野牛,久经沙场,普通,36231,PP-野牛 | 黄铜,613,3.79,4.79,1.26,2024-06-16
PP-野牛,久经沙场,普通,36252,PP-野牛 | 核燃料棒,315,3.78,5.22,1.38,2024-06-16
PP-野牛,略有磨损,StatTrak™,39407,PP-野牛（StatTrak™） | 丛林滑流,120,3.65,5.08,1.39,2024-06-16
PP-野牛,战痕累累,普通,36290,PP-野牛 | 死亡主宰者,20,3.38,4.64,1.37,2024-06-16
PP-野牛,破损不堪,普通,36294,PP-野牛 | 死亡主宰者,32,3.36,5.22,1.55,2024-06-16
PP-野牛,战痕累累,StatTrak™,39414,PP-野牛（StatTrak™） | 透光区,39,3.29,3.7,1.12,2024-06-16
PP-野牛,战痕累累,普通,36250,PP-野牛 | 核燃料棒,117,3.29,3.99,1.21,2024-06-16
PP-野牛,破损不堪,StatTrak™,39418,PP-野牛（StatTrak™） | 透光区,119,3.22,4.28,1.33,2024-06-16
PP-野牛,破损不堪,普通,36254,PP-野牛 | 核燃料棒,124,3.22,4.28,1.33,2024-06-16
PP-野牛,略有磨损,普通,886670,PP-野牛 | 太空猫,1951,3.13,4.43,1.42,2024-06-16
PP-野牛,破损不堪,纪念品,37965,PP-野牛（纪念品） | 都市虚线,66,2.98,5.22,1.75,2024-06-16
PP-野牛,战痕累累,纪念品,37947,PP-野牛（纪念品） | 辐照警报,75,2.97,3.48,1.17,2024-06-16
PP-野牛,崭新出厂,普通,36256,PP-野牛 | 收割机,37,2.97,4.35,1.46,2024-06-16
PP-野牛,崭新出厂,纪念品,772902,PP-野牛（纪念品） | 碳素纤维,452,2.96,3.92,1.32,2024-06-16
PP-野牛,破损不堪,普通,871679,PP-野牛 | 战术手电,14,2.93,3.99,1.36,2024-06-16
PP-野牛,久经沙场,StatTrak™,886608,PP-野牛（StatTrak™） | 太空猫,886,2.83,3.7,1.31,2024-06-16
PP-野牛,破损不堪,普通,36233,PP-野牛 | 黄铜,223,2.58,3.12,1.21,2024-06-16
PP-野牛,略有磨损,纪念品,772905,PP-野牛（纪念品） | 碳素纤维,64,2.49,4.14,1.66,2024-06-16
PP-野牛,久经沙场,纪念品,37948,PP-野牛（纪念品） | 辐照警报,398,2.44,3.34,1.37,2024-06-16
PP-野牛,崭新出厂,普通,36276,PP-野牛 | 丛林滑流,146,2.39,2.97,1.24,2024-06-16
PP-野牛,破损不堪,StatTrak™,886995,PP-野牛（StatTrak™） | 太空猫,51,2.36,3.41,1.44,2024-06-16
PP-野牛,战痕累累,普通,871324,PP-野牛 | 战术手电,10,2.15,3.77,1.75,2024-06-16
PP-野牛,战痕累累,StatTrak™,39404,PP-野牛（StatTrak™） | 丛林滑流,8,2.15,2.54,1.18,2024-06-16
PP-野牛,久经沙场,StatTrak™,39406,PP-野牛（StatTrak™） | 丛林滑流,83,2.13,2.76,1.3,2024-06-16
PP-野牛,破损不堪,纪念品,876947,PP-野牛（纪念品） | 开关箱,76,2.1,3.12,1.49,2024-06-16
PP-野牛,战痕累累,StatTrak™,887046,PP-野牛（StatTrak™） | 太空猫,72,2.07,3.05,1.47,2024-06-16
PP-野牛,破损不堪,StatTrak™,39408,PP-野牛（StatTrak™） | 丛林滑流,13,2.07,2.61,1.26,2024-06-16
PP-野牛,战痕累累,普通,36229,PP-野牛 | 黄铜,276,2.02,2.47,1.22,2024-06-16
PP-野牛,略有磨损,普通,36278,PP-野牛 | 丛林滑流,187,1.66,2.1,1.27,2024-06-16
PP-野牛,略有磨损,StatTrak™,45398,PP-野牛（StatTrak™） | 黑夜暴乱,263,1.59,1.96,1.23,2024-06-16
PP-野牛,崭新出厂,纪念品,876941,PP-野牛（纪念品） | 开关箱,252,1.55,2.54,1.64,2024-06-16
PP-野牛,久经沙场,普通,886666,PP-野牛 | 太空猫,2844,1.43,1.89,1.32,2024-06-16
PP-野牛,破损不堪,普通,887011,PP-野牛 | 太空猫,146,1.41,1.89,1.34,2024-06-16
PP-野牛,略有磨损,StatTrak™,781595,PP-野牛（StatTrak™） | 神秘碑文,547,1.37,1.81,1.32,2024-06-16
PP-野牛,久经沙场,StatTrak™,39391,PP-野牛（StatTrak™） | 收割机,24,1.3,2.03,1.56,2024-06-16
PP-野牛,久经沙场,普通,36277,PP-野牛 | 丛林滑流,150,1.29,1.74,1.35,2024-06-16
PP-野牛,战痕累累,纪念品,37961,PP-野牛（纪念品） | 都市虚线,124,1.27,2.25,1.77,2024-06-16
PP-野牛,久经沙场,普通,36257,PP-野牛 | 收割机,84,1.27,1.45,1.14,2024-06-16
PP-野牛,战痕累累,普通,886993,PP-野牛 | 太空猫,208,1.26,1.74,1.38,2024-06-16
PP-野牛,崭新出厂,普通,781601,PP-野牛 | 神秘碑文,475,1.26,1.81,1.44,2024-06-16
PP-野牛,崭新出厂,普通,45291,PP-野牛 | 黑夜暴乱,279,1.19,1.52,1.28,2024-06-16
PP-野牛,破损不堪,普通,36279,PP-野牛 | 丛林滑流,50,1.18,2.03,1.72,2024-06-16
PP-野牛,久经沙场,纪念品,37963,PP-野牛（纪念品） | 都市虚线,615,1.19,1.67,1.4,2024-06-16
PP-野牛,战痕累累,StatTrak™,39389,PP-野牛（StatTrak™） | 收割机,33,1.11,1.74,1.57,2024-06-16
PP-野牛,战痕累累,普通,36275,PP-野牛 | 丛林滑流,21,1.08,2.1,1.94,2024-06-16
PP-野牛,破损不堪,StatTrak™,39393,PP-野牛（StatTrak™） | 收割机,32,1.01,1.67,1.65,2024-06-16
PP-野牛,略有磨损,纪念品,876933,PP-野牛（纪念品） | 开关箱,280,0.78,1.16,1.49,2024-06-16
