MP9,崭新出厂,普通,776185,MP9 | 野百合,42,16499.5,15810.02,0.96,2024-06-17
MP9,略有磨损,普通,871344,MP9 | 八音盒,21,117,158.59,1.36,2024-06-17
MP9,久经沙场,普通,871317,MP9 | 八音盒,41,115.9,154.45,1.33,2024-06-17
MP9,战痕累累,普通,871512,MP9 | 八音盒,5,115.5,161.85,1.4,2024-06-17
MP9,略有磨损,StatTrak™,887066,MP9（StatTrak™） | 星使,231,108.96,154.74,1.42,2024-06-17
MP9,略有磨损,StatTrak™,773803,MP9（StatTrak™） | 九头蛇,41,107.98,143.14,1.33,2024-06-17
MP9,崭新出厂,普通,887008,MP9 | 星使,651,101.7,135.81,1.34,2024-06-17
MP9,崭新出厂,普通,773771,MP9 | 九头蛇,73,101.5,152.35,1.5,2024-06-17
MP9,略有磨损,纪念品,37820,MP9（纪念品） | 落日,160,97.4,124.42,1.28,2024-06-17
MP9,崭新出厂,纪念品,37803,MP9（纪念品） | 黑暗时代,170,96.35,131.24,1.36,2024-06-17
MP9,崭新出厂,StatTrak™,39071,MP9（StatTrak™） | 铁血玫瑰,148,94.6,139.8,1.48,2024-06-17
MP9,略有磨损,普通,35670,MP9 | 蛊惑之色,20,84.8,107.66,1.27,2024-06-17
MP9,略有磨损,StatTrak™,871661,MP9（StatTrak™） | 富士山,144,78.38,114.77,1.46,2024-06-17
MP9,略有磨损,StatTrak™,39073,MP9（StatTrak™） | 铁血玫瑰,54,72.1,94.31,1.31,2024-06-17
MP9,久经沙场,StatTrak™,39072,MP9（StatTrak™） | 铁血玫瑰,23,69.5,98.16,1.41,2024-06-17
MP9,崭新出厂,普通,35627,MP9 | 气密,177,66.6,91.85,1.38,2024-06-17
MP9,崭新出厂,纪念品,37823,MP9（纪念品） | 暴风呼啸,58,65.87,99.1,1.5,2024-06-17
MP9,略有磨损,纪念品,37805,MP9（纪念品） | 黑暗时代,136,65.5,95.26,1.45,2024-06-17
MP9,略有磨损,StatTrak™,39047,MP9（StatTrak™） | 气密,108,65.47,98.01,1.5,2024-06-17
MP9,崭新出厂,普通,35696,MP9 | 落日,58,61.88,87.06,1.41,2024-06-17
MP9,崭新出厂,普通,871496,MP9 | 富士山,870,61.59,84.74,1.38,2024-06-17
MP9,久经沙场,StatTrak™,773789,MP9（StatTrak™） | 九头蛇,71,58.7,76.18,1.3,2024-06-17
MP9,崭新出厂,普通,35669,MP9 | 蛊惑之色,391,57.58,79.22,1.38,2024-06-17
MP9,崭新出厂,普通,857628,MP9 | 爆裂食物链,198,53.74,71.9,1.34,2024-06-17
MP9,略有磨损,StatTrak™,857607,MP9（StatTrak™） | 爆裂食物链,101,52.9,79.0,1.49,2024-06-17
MP9,久经沙场,纪念品,37804,MP9（纪念品） | 黑暗时代,37,52.9,100.26,1.9,2024-06-17
MP9,略有磨损,普通,773650,MP9 | 九头蛇,133,49.68,69.65,1.4,2024-06-17
MP9,破损不堪,StatTrak™,773801,MP9（StatTrak™） | 九头蛇,17,48.76,65.37,1.34,2024-06-17
MP9,破损不堪,StatTrak™,887128,MP9（StatTrak™） | 星使,22,48.07,69.36,1.44,2024-06-17
MP9,战痕累累,StatTrak™,773769,MP9（StatTrak™） | 九头蛇,13,47.7,60.58,1.27,2024-06-17
MP9,略有磨损,普通,35698,MP9 | 落日,39,45.56,61.3,1.35,2024-06-17
MP9,崭新出厂,普通,35679,MP9 | 铁血玫瑰,302,44.28,59.78,1.35,2024-06-17
MP9,崭新出厂,纪念品,37813,MP9（纪念品） | 沙漠虚线,10,43.18,83.43,1.93,2024-06-17
MP9,久经沙场,StatTrak™,887060,MP9（StatTrak™） | 星使,324,41.99,56.95,1.36,2024-06-17
MP9,略有磨损,普通,887043,MP9 | 星使,1944,40.77,53.98,1.32,2024-06-17
MP9,略有磨损,普通,871495,MP9 | 富士山,659,40.5,52.67,1.3,2024-06-17
MP9,久经沙场,StatTrak™,871558,MP9（StatTrak™） | 富士山,146,38.9,51.94,1.34,2024-06-17
MP9,久经沙场,纪念品,37819,MP9（纪念品） | 落日,185,38.19,49.41,1.29,2024-06-17
MP9,久经沙场,普通,35697,MP9 | 落日,10,37.9,53.4,1.41,2024-06-17
MP9,略有磨损,普通,35681,MP9 | 铁血玫瑰,144,37.16,49.84,1.34,2024-06-17
MP9,崭新出厂,普通,871272,MP9 | 残花败藤,105,36.1,50.93,1.41,2024-06-17
MP9,久经沙场,普通,871274,MP9 | 残花败藤,20,35.6,44.83,1.26,2024-06-17
MP9,略有磨损,普通,871075,MP9 | 残花败藤,31,35.59,52.6,1.48,2024-06-17
MP9,久经沙场,普通,773687,MP9 | 九头蛇,133,35.19,47.88,1.36,2024-06-17
MP9,破损不堪,StatTrak™,871915,MP9（StatTrak™） | 富士山,7,34.9,52.89,1.52,2024-06-17
MP9,破损不堪,普通,871171,MP9 | 残花败藤,15,34.9,44.47,1.27,2024-06-17
MP9,崭新出厂,StatTrak™,39060,MP9（StatTrak™） | 致命毒药,55,34.9,46.07,1.32,2024-06-17
MP9,崭新出厂,StatTrak™,39075,MP9（StatTrak™） | 红宝石毒镖,135,34.87,47.88,1.37,2024-06-17
MP9,战痕累累,普通,871513,MP9 | 残花败藤,26,34.6,44.83,1.3,2024-06-17
MP9,破损不堪,普通,35699,MP9 | 落日,13,33.77,44.83,1.33,2024-06-17
MP9,久经沙场,普通,35680,MP9 | 铁血玫瑰,42,33.52,47.88,1.43,2024-06-17
MP9,破损不堪,普通,773637,MP9 | 九头蛇,17,32.78,40.84,1.25,2024-06-17
MP9,崭新出厂,普通,35663,MP9 | 绿色格纹,15,31.37,44.83,1.43,2024-06-17
MP9,略有磨损,普通,35665,MP9 | 绿色格纹,26,30.04,42.66,1.42,2024-06-17
MP9,战痕累累,StatTrak™,887121,MP9（StatTrak™） | 星使,72,29.66,39.25,1.32,2024-06-17
MP9,略有磨损,普通,35629,MP9 | 气密,308,29.65,38.74,1.31,2024-06-17
MP9,久经沙场,StatTrak™,39046,MP9（StatTrak™） | 气密,95,27.28,36.85,1.35,2024-06-17
MP9,久经沙场,StatTrak™,857651,MP9（StatTrak™） | 爆裂食物链,159,26.8,34.39,1.28,2024-06-17
MP9,战痕累累,普通,773684,MP9 | 九头蛇,24,26.06,32.07,1.23,2024-06-17
MP9,战痕累累,普通,35695,MP9 | 落日,9,25.09,34.03,1.36,2024-06-17
MP9,战痕累累,StatTrak™,871908,MP9（StatTrak™） | 富士山,27,23.88,30.4,1.27,2024-06-17
MP9,久经沙场,普通,871442,MP9 | 富士山,486,23.68,29.74,1.26,2024-06-17
MP9,崭新出厂,StatTrak™,39065,MP9（StatTrak™） | 焦油缠绕,128,23.58,36.42,1.54,2024-06-17
MP9,略有磨损,普通,35703,MP9 | 暴风呼啸,100,23.28,33.95,1.46,2024-06-17
MP9,破损不堪,纪念品,37821,MP9（纪念品） | 落日,78,22.5,37.29,1.66,2024-06-17
MP9,略有磨损,普通,857529,MP9 | 爆裂食物链,631,22.22,30.25,1.36,2024-06-17
MP9,略有磨损,普通,35655,MP9 | 干旱季节,7,21.27,27.21,1.28,2024-06-17
MP9,破损不堪,普通,871493,MP9 | 富士山,15,20.9,26.33,1.26,2024-06-17
MP9,战痕累累,普通,35662,MP9 | 绿色格纹,4,20.54,29.02,1.41,2024-06-17
MP9,战痕累累,纪念品,37817,MP9（纪念品） | 落日,72,20.11,26.12,1.3,2024-06-17
MP9,略有磨损,StatTrak™,39077,MP9（StatTrak™） | 红宝石毒镖,117,19.84,29.24,1.47,2024-06-17
MP9,破损不堪,StatTrak™,857692,MP9（StatTrak™） | 爆裂食物链,38,18.86,26.77,1.42,2024-06-17
MP9,久经沙场,普通,886657,MP9 | 星使,3209,18.7,24.38,1.3,2024-06-17
MP9,久经沙场,普通,35664,MP9 | 绿色格纹,10,18.9,28.37,1.5,2024-06-17
MP9,战痕累累,普通,871690,MP9 | 富士山,54,17.63,22.63,1.28,2024-06-17
MP9,破损不堪,StatTrak™,39048,MP9（StatTrak™） | 气密,14,16.9,23.43,1.39,2024-06-17
MP9,崭新出厂,StatTrak™,39055,MP9（StatTrak™） | 飞驰,80,16.49,23.94,1.45,2024-06-17
MP9,战痕累累,StatTrak™,39044,MP9（StatTrak™） | 气密,18,15.47,20.6,1.33,2024-06-17
MP9,战痕累累,StatTrak™,39054,MP9（StatTrak™） | 飞驰,12,15.46,38.45,2.49,2024-06-17
MP9,破损不堪,普通,887075,MP9 | 星使,83,15.4,23.07,1.5,2024-06-17
MP9,战痕累累,StatTrak™,857691,MP9（StatTrak™） | 爆裂食物链,39,13.9,21.33,1.53,2024-06-17
MP9,破损不堪,StatTrak™,39078,MP9（StatTrak™） | 红宝石毒镖,9,13.9,17.56,1.26,2024-06-17
MP9,久经沙场,StatTrak™,39076,MP9（StatTrak™） | 红宝石毒镖,82,13.9,18.5,1.33,2024-06-17
MP9,久经沙场,普通,35628,MP9 | 气密,271,13.36,17.05,1.28,2024-06-17
MP9,崭新出厂,普通,35648,MP9 | 致命毒药,76,13.2,16.69,1.26,2024-06-17
MP9,战痕累累,普通,35652,MP9 | 干旱季节,6,13.15,19.44,1.48,2024-06-17
MP9,战痕累累,StatTrak™,39074,MP9（StatTrak™） | 红宝石毒镖,15,12.4,17.56,1.42,2024-06-17
MP9,破损不堪,普通,35656,MP9 | 干旱季节,16,12.39,19.15,1.55,2024-06-17
MP9,战痕累累,普通,887053,MP9 | 星使,353,11.9,15.53,1.31,2024-06-17
MP9,略有磨损,StatTrak™,39067,MP9（StatTrak™） | 焦油缠绕,122,11.89,15.16,1.28,2024-06-17
MP9,略有磨损,纪念品,37825,MP9（纪念品） | 暴风呼啸,731,11.8,15.31,1.3,2024-06-17
MP9,崭新出厂,StatTrak™,759375,MP9（StatTrak™） | 毛细血管,72,11.79,18.86,1.6,2024-06-17
MP9,久经沙场,普通,35654,MP9 | 干旱季节,34,11.67,17.05,1.46,2024-06-17
MP9,久经沙场,普通,857521,MP9 | 爆裂食物链,1184,11.65,15.67,1.35,2024-06-17
MP9,崭新出厂,普通,35683,MP9 | 红宝石毒镖,323,11,15.89,1.44,2024-06-17
MP9,略有磨损,StatTrak™,39057,MP9（StatTrak™） | 飞驰,42,11,17.56,1.6,2024-06-17
MP9,略有磨损,StatTrak™,39062,MP9（StatTrak™） | 致命毒药,115,9.82,12.77,1.3,2024-06-17
MP9,破损不堪,普通,35630,MP9 | 气密,64,9.42,13.35,1.42,2024-06-17
MP9,久经沙场,StatTrak™,39056,MP9（StatTrak™） | 飞驰,28,8.44,12.12,1.44,2024-06-17
MP9,崭新出厂,普通,35658,MP9 | 焦油缠绕,245,8.31,12.12,1.46,2024-06-17
MP9,崭新出厂,纪念品,761390,MP9（纪念品） | 滑移,37,8.19,12.91,1.58,2024-06-17
MP9,破损不堪,普通,857639,MP9 | 爆裂食物链,298,8.11,11.9,1.47,2024-06-17
MP9,战痕累累,普通,857617,MP9 | 爆裂食物链,313,7.95,10.59,1.33,2024-06-17
MP9,崭新出厂,StatTrak™,921540,MP9（StatTrak™） | 羽量级,134,7.94,10.37,1.31,2024-06-17
MP9,战痕累累,普通,35626,MP9 | 气密,76,7.83,10.3,1.32,2024-06-17
MP9,略有磨损,普通,35685,MP9 | 红宝石毒镖,305,7.68,10.01,1.3,2024-06-17
MP9,破损不堪,StatTrak™,39058,MP9（StatTrak™） | 飞驰,11,7.37,11.1,1.51,2024-06-17
MP9,崭新出厂,StatTrak™,39050,MP9（StatTrak™） | 生化泄漏,244,6.95,10.45,1.5,2024-06-17
MP9,崭新出厂,普通,835347,MP9 | 军队之辉,146,6.43,8.63,1.34,2024-06-17
MP9,久经沙场,普通,35702,MP9 | 暴风呼啸,129,6.3,8.42,1.34,2024-06-17
MP9,久经沙场,普通,835373,MP9 | 军队之辉,91,6.25,7.47,1.2,2024-06-17
MP9,破损不堪,普通,35704,MP9 | 暴风呼啸,8,6.1,7.04,1.15,2024-06-17
MP9,略有磨损,普通,835346,MP9 | 军队之辉,208,6.09,7.69,1.26,2024-06-17
MP9,略有磨损,StatTrak™,759305,MP9（StatTrak™） | 毛细血管,164,6.04,8.92,1.48,2024-06-17
MP9,破损不堪,StatTrak™,39068,MP9（StatTrak™） | 焦油缠绕,14,6,9.14,1.52,2024-06-17
MP9,崭新出厂,StatTrak™,39079,MP9（StatTrak™） | 砂垢,78,5.85,8.56,1.46,2024-06-17
MP9,崭新出厂,StatTrak™,45395,MP9（StatTrak™） | 黑砂,101,5.81,9.14,1.57,2024-06-17
MP9,久经沙场,StatTrak™,39066,MP9（StatTrak™） | 焦油缠绕,261,5.58,8.05,1.44,2024-06-17
MP9,久经沙场,StatTrak™,39061,MP9（StatTrak™） | 致命毒药,123,5.25,7.33,1.4,2024-06-17
MP9,崭新出厂,StatTrak™,763414,MP9（StatTrak™） | 中度威胁,234,5.14,7.98,1.55,2024-06-17
MP9,战痕累累,StatTrak™,39064,MP9（StatTrak™） | 焦油缠绕,30,5.1,6.89,1.35,2024-06-17
MP9,战痕累累,普通,35642,MP9 | 飞驰,16,4.98,5.66,1.14,2024-06-17
MP9,破损不堪,StatTrak™,39063,MP9（StatTrak™） | 致命毒药,27,4.96,4.79,0.97,2024-06-17
MP9,战痕累累,普通,35682,MP9 | 红宝石毒镖,21,4.95,5.88,1.19,2024-06-17
MP9,崭新出厂,普通,759184,MP9 | 毛细血管,181,4.88,5.44,1.11,2024-06-17
MP9,破损不堪,普通,35686,MP9 | 红宝石毒镖,18,4.78,6.24,1.31,2024-06-17
MP9,崭新出厂,普通,35643,MP9 | 飞驰,151,4.43,5.88,1.33,2024-06-17
MP9,略有磨损,普通,35660,MP9 | 焦油缠绕,240,4.42,6.46,1.46,2024-06-17
MP9,战痕累累,普通,35700,MP9 | 暴风呼啸,12,4.41,5.22,1.18,2024-06-17
MP9,破损不堪,StatTrak™,759376,MP9（StatTrak™） | 毛细血管,8,4.37,6.96,1.59,2024-06-17
MP9,久经沙场,普通,35684,MP9 | 红宝石毒镖,295,4.28,6.38,1.49,2024-06-17
MP9,崭新出厂,纪念品,876867,MP9（纪念品） | 八音盒,335,4.25,6.31,1.48,2024-06-17
MP9,略有磨损,普通,35650,MP9 | 致命毒药,189,4.15,5.66,1.36,2024-06-17
MP9,略有磨损,StatTrak™,39052,MP9（StatTrak™） | 生化泄漏,233,4.08,6.02,1.48,2024-06-17
MP9,略有磨损,纪念品,37815,MP9（纪念品） | 沙漠虚线,205,3.78,5.88,1.56,2024-06-17
MP9,略有磨损,普通,35645,MP9 | 飞驰,76,3.4,5.01,1.47,2024-06-17
MP9,战痕累累,StatTrak™,39059,MP9（StatTrak™） | 致命毒药,39,3.19,5.3,1.66,2024-06-17
MP9,破损不堪,普通,35646,MP9 | 飞驰,19,2.92,4.21,1.44,2024-06-17
MP9,略有磨损,StatTrak™,39080,MP9（StatTrak™） | 砂垢,56,2.82,4.21,1.49,2024-06-17
MP9,战痕累累,纪念品,37812,MP9（纪念品） | 沙漠虚线,99,2.76,3.99,1.45,2024-06-17
MP9,久经沙场,普通,35644,MP9 | 飞驰,94,2.76,3.77,1.37,2024-06-17
MP9,久经沙场,普通,35659,MP9 | 焦油缠绕,512,2.62,3.48,1.33,2024-06-17
MP9,破损不堪,普通,35661,MP9 | 焦油缠绕,64,2.52,3.63,1.44,2024-06-17
MP9,破损不堪,纪念品,37816,MP9（纪念品） | 沙漠虚线,72,2.51,2.97,1.18,2024-06-17
MP9,久经沙场,StatTrak™,759304,MP9（StatTrak™） | 毛细血管,159,2.49,3.12,1.25,2024-06-17
MP9,破损不堪,StatTrak™,39053,MP9（StatTrak™） | 生化泄漏,29,2.47,2.76,1.12,2024-06-17
MP9,战痕累累,普通,35657,MP9 | 焦油缠绕,90,2.34,3.05,1.3,2024-06-17
MP9,略有磨损,普通,759208,MP9 | 毛细血管,200,2.28,2.97,1.3,2024-06-17
MP9,久经沙场,纪念品,37824,MP9（纪念品） | 暴风呼啸,2321,2.28,2.68,1.18,2024-06-17
MP9,略有磨损,StatTrak™,763324,MP9（StatTrak™） | 中度威胁,389,2.25,2.97,1.32,2024-06-17
MP9,破损不堪,StatTrak™,39081,MP9（StatTrak™） | 砂垢,20,2.13,3.7,1.74,2024-06-17
MP9,久经沙场,普通,35649,MP9 | 致命毒药,282,2.12,3.12,1.47,2024-06-17
MP9,战痕累累,StatTrak™,759374,MP9（StatTrak™） | 毛细血管,21,2.01,2.47,1.23,2024-06-17
MP9,略有磨损,纪念品,876861,MP9（纪念品） | 八音盒,295,1.97,2.9,1.47,2024-06-17
MP9,崭新出厂,普通,35672,MP9 | 橘皮涂装,104,1.93,2.47,1.28,2024-06-17
MP9,破损不堪,纪念品,37826,MP9（纪念品） | 暴风呼啸,266,1.88,2.54,1.35,2024-06-17
MP9,略有磨损,StatTrak™,921526,MP9（StatTrak™） | 羽量级,242,1.82,2.47,1.36,2024-06-17
MP9,久经沙场,StatTrak™,43926,MP9（StatTrak™） | 砂垢,63,1.8,2.68,1.49,2024-06-17
MP9,战痕累累,普通,35647,MP9 | 致命毒药,19,1.77,1.74,0.98,2024-06-17
MP9,崭新出厂,纪念品,877151,MP9（纪念品） | 残花败藤,285,1.68,2.18,1.3,2024-06-17
MP9,略有磨损,StatTrak™,45320,MP9（StatTrak™） | 黑砂,187,1.57,2.03,1.29,2024-06-17
MP9,崭新出厂,普通,35692,MP9 | 砂垢,231,1.51,1.96,1.3,2024-06-17
MP9,破损不堪,普通,759266,MP9 | 毛细血管,17,1.49,1.96,1.32,2024-06-17
MP9,久经沙场,StatTrak™,39051,MP9（StatTrak™） | 生化泄漏,435,1.47,1.96,1.33,2024-06-17
MP9,崭新出厂,普通,921552,MP9 | 羽量级,383,1.46,2.18,1.49,2024-06-17
MP9,崭新出厂,普通,33823,MP9 | 生化泄漏,750,1.46,1.96,1.34,2024-06-17
MP9,破损不堪,普通,35651,MP9 | 致命毒药,69,1.44,1.81,1.26,2024-06-17
MP9,崭新出厂,普通,763381,MP9 | 中度威胁,407,1.38,1.89,1.37,2024-06-17
MP9,战痕累累,StatTrak™,39049,MP9（StatTrak™） | 生化泄漏,32,1.34,2.03,1.51,2024-06-17
MP9,破损不堪,StatTrak™,763407,MP9（StatTrak™） | 中度威胁,32,1.33,2.18,1.64,2024-06-17
MP9,崭新出厂,普通,45272,MP9 | 黑砂,198,1.25,1.67,1.34,2024-06-17
MP9,久经沙场,普通,759221,MP9 | 毛细血管,161,1.23,1.52,1.24,2024-06-17
MP9,略有磨损,纪念品,877189,MP9（纪念品） | 残花败藤,233,1.13,1.02,0.9,2024-06-17
MP9,战痕累累,普通,759265,MP9 | 毛细血管,29,1.09,1.09,1.0,2024-06-17
MP9,破损不堪,纪念品,876973,MP9（纪念品） | 八音盒,29,1.06,1.74,1.64,2024-06-17
MP9,久经沙场,StatTrak™,763251,MP9（StatTrak™） | 中度威胁,362,0.92,1.16,1.26,2024-06-17
MP9,破损不堪,纪念品,877196,MP9（纪念品） | 残花败藤,39,0.85,0.87,1.02,2024-06-17
MP9,久经沙场,纪念品,37814,MP9（纪念品） | 沙漠虚线,465,0.85,1.09,1.28,2024-06-17
MP9,略有磨损,普通,35633,MP9 | 生化泄漏,463,0.86,1.23,1.43,2024-06-17
MP9,战痕累累,纪念品,37822,MP9（纪念品） | 暴风呼啸,366,0.79,1.02,1.29,2024-06-17
MP9,战痕累累,纪念品,876943,MP9（纪念品） | 八音盒,49,0.78,0.73,0.94,2024-06-17
MP9,略有磨损,普通,33845,MP9 | 砂垢,112,0.78,1.09,1.4,2024-06-17
MP9,略有磨损,普通,763300,MP9 | 中度威胁,407,0.77,1.02,1.32,2024-06-17
MP9,久经沙场,StatTrak™,921535,MP9（StatTrak™） | 羽量级,343,0.77,1.09,1.42,2024-06-17
MP9,战痕累累,StatTrak™,763347,MP9（StatTrak™） | 中度威胁,76,0.72,1.16,1.61,2024-06-17
MP9,略有磨损,纪念品,761355,MP9（纪念品） | 滑移,424,0.72,0.8,1.11,2024-06-17
MP9,破损不堪,StatTrak™,921541,MP9（StatTrak™） | 羽量级,184,0.65,0.87,1.34,2024-06-17
MP9,略有磨损,普通,921428,MP9 | 羽量级,656,0.6,0.87,1.45,2024-06-17
MP9,久经沙场,普通,35693,MP9 | 砂垢,158,0.58,0.94,1.62,2024-06-17
MP9,战痕累累,StatTrak™,921453,MP9（StatTrak™） | 羽量级,108,0.57,0.87,1.53,2024-06-17
MP9,久经沙场,普通,35632,MP9 | 生化泄漏,538,0.55,0.73,1.33,2024-06-17
MP9,战痕累累,StatTrak™,45319,MP9（StatTrak™） | 黑砂,108,0.53,0.87,1.64,2024-06-17
MP9,崭新出厂,普通,762173,MP9 | 滑移,145,0.52,0.58,1.12,2024-06-17
MP9,久经沙场,纪念品,876878,MP9（纪念品） | 八音盒,396,0.51,0.73,1.43,2024-06-17
MP9,破损不堪,普通,763328,MP9 | 中度威胁,22,0.49,0.58,1.18,2024-06-17
MP9,久经沙场,StatTrak™,45396,MP9（StatTrak™） | 黑砂,283,0.53,0.94,1.77,2024-06-17
MP9,破损不堪,StatTrak™,45321,MP9（StatTrak™） | 黑砂,105,0.49,0.87,1.78,2024-06-17
MP9,略有磨损,普通,45274,MP9 | 黑砂,399,0.5,0.73,1.46,2024-06-17
MP9,战痕累累,纪念品,877210,MP9（纪念品） | 残花败藤,49,0.48,1.52,3.17,2024-06-17
MP9,崭新出厂,普通,35688,MP9 | 沙漠虚线,77,0.47,0.65,1.38,2024-06-17
MP9,破损不堪,普通,35694,MP9 | 砂垢,32,0.46,0.87,1.89,2024-06-17
MP9,战痕累累,普通,35631,MP9 | 生化泄漏,38,0.46,0.58,1.26,2024-06-17
MP9,久经沙场,纪念品,877122,MP9（纪念品） | 残花败藤,667,0.43,0.58,1.35,2024-06-17
MP9,久经沙场,普通,763274,MP9 | 中度威胁,422,0.44,0.73,1.66,2024-06-17
MP9,略有磨损,普通,35674,MP9 | 橘皮涂装,315,0.42,0.58,1.38,2024-06-17
MP9,破损不堪,普通,35634,MP9 | 生化泄漏,18,0.41,0.65,1.59,2024-06-17
MP9,战痕累累,普通,763305,MP9 | 中度威胁,65,0.38,0.51,1.34,2024-06-17
MP9,久经沙场,普通,45273,MP9 | 黑砂,644,0.32,0.58,1.81,2024-06-17
MP9,久经沙场,普通,35673,MP9 | 橘皮涂装,443,0.31,0.51,1.65,2024-06-17
MP9,破损不堪,普通,35675,MP9 | 橘皮涂装,54,0.3,0.51,1.7,2024-06-17
MP9,久经沙场,普通,921420,MP9 | 羽量级,969,0.29,0.51,1.76,2024-06-17
MP9,战痕累累,普通,45271,MP9 | 黑砂,152,0.28,0.51,1.82,2024-06-17
MP9,战痕累累,普通,35671,MP9 | 橘皮涂装,83,0.27,0.44,1.63,2024-06-17
MP9,久经沙场,纪念品,761328,MP9（纪念品） | 滑移,1183,0.25,0.36,1.44,2024-06-17
MP9,破损不堪,纪念品,761352,MP9（纪念品） | 滑移,151,0.24,0.51,2.12,2024-06-17
MP9,破损不堪,普通,45275,MP9 | 黑砂,181,0.23,0.44,1.91,2024-06-17
MP9,战痕累累,普通,921438,MP9 | 羽量级,369,0.2,0.44,2.2,2024-06-17
MP9,破损不堪,普通,921419,MP9 | 羽量级,535,0.2,0.44,2.2,2024-06-17
MP9,战痕累累,纪念品,761338,MP9（纪念品） | 滑移,219,0.13,0.44,3.38,2024-06-17
MP9,略有磨损,普通,762100,MP9 | 滑移,683,0.07,0.22,3.14,2024-06-17
MP9,略有磨损,普通,35690,MP9 | 沙漠虚线,290,0.06,0.22,3.67,2024-06-17
MP9,破损不堪,普通,762103,MP9 | 滑移,125,0.04,0.22,5.5,2024-06-17
MP9,久经沙场,普通,762070,MP9 | 滑移,984,0.05,0.22,4.4,2024-06-17
MP9,战痕累累,普通,762053,MP9 | 滑移,205,0.04,0.22,5.5,2024-06-17
MP9,破损不堪,普通,35691,MP9 | 沙漠虚线,55,0.03,0.22,7.33,2024-06-17
MP9,久经沙场,普通,35689,MP9 | 沙漠虚线,684,0.03,0.22,7.33,2024-06-17
MP9,战痕累累,普通,35687,MP9 | 沙漠虚线,251,0.02,0.22,11.0,2024-06-17
