法玛斯,崭新出厂,普通,34679,法玛斯 | 喷焰者,4,1549.5,1813.55,1.17,2024-06-16
法玛斯,崭新出厂,普通,871289,法玛斯 | 熔化,82,247.87,342.06,1.38,2024-06-16
法玛斯,略有磨损,普通,871449,法玛斯 | 熔化,30,227.48,298.1,1.31,2024-06-16
法玛斯,久经沙场,普通,927367,法玛斯 | 奈芙蒂斯之河,148,219.65,309.71,1.41,2024-06-16
法玛斯,久经沙场,纪念品,929065,法玛斯（纪念品） | 奈芙蒂斯之河,56,218.8,331.62,1.52,2024-06-16
法玛斯,战痕累累,纪念品,929060,法玛斯（纪念品） | 奈芙蒂斯之河,6,210.99,274.88,1.3,2024-06-16
法玛斯,破损不堪,普通,927392,法玛斯 | 奈芙蒂斯之河,19,208.26,257.91,1.24,2024-06-16
法玛斯,战痕累累,StatTrak™,773870,法玛斯（StatTrak™） | 纪念碑,4,205.49,216.92,1.06,2024-06-16
法玛斯,崭新出厂,StatTrak™,38495,法玛斯（StatTrak™） | 残影,38,206.5,284.1,1.38,2024-06-16
法玛斯,久经沙场,普通,871348,法玛斯 | 熔化,22,198.16,250.29,1.26,2024-06-16
法玛斯,战痕累累,纪念品,37598,法玛斯（纪念品） | 殖民侵略者,8,186.98,150.17,0.8,2024-06-16
法玛斯,略有磨损,普通,34622,法玛斯 | 残影,64,186.49,259.65,1.39,2024-06-16
法玛斯,崭新出厂,StatTrak™,38500,法玛斯（StatTrak™） | 灯神,20,185.58,416.57,2.24,2024-06-16
法玛斯,崭新出厂,StatTrak™,759433,法玛斯（StatTrak™） | 雅典娜之眼,29,182.18,288.09,1.58,2024-06-16
法玛斯,破损不堪,普通,871648,法玛斯 | 熔化,4,178.98,279.09,1.56,2024-06-16
法玛斯,破损不堪,StatTrak™,773866,法玛斯（StatTrak™） | 纪念碑,4,174.99,228.74,1.31,2024-06-16
法玛斯,略有磨损,StatTrak™,773765,法玛斯（StatTrak™） | 纪念碑,96,174.6,281.12,1.61,2024-06-16
法玛斯,略有磨损,StatTrak™,38497,法玛斯（StatTrak™） | 残影,26,173.9,252.47,1.45,2024-06-16
法玛斯,略有磨损,纪念品,37610,法玛斯（纪念品） | 冥界之憎,94,166.2,225.84,1.36,2024-06-16
法玛斯,战痕累累,普通,927387,法玛斯 | 奈芙蒂斯之河,27,149.5,200.23,1.34,2024-06-16
法玛斯,久经沙场,StatTrak™,773764,法玛斯（StatTrak™） | 纪念碑,69,149.49,210.32,1.41,2024-06-16
法玛斯,崭新出厂,StatTrak™,871878,法玛斯（StatTrak™） | ZX81 彩色,77,128.29,191.24,1.49,2024-06-16
法玛斯,久经沙场,普通,34621,法玛斯 | 残影,39,118.5,155.18,1.31,2024-06-16
法玛斯,崭新出厂,StatTrak™,38516,法玛斯（StatTrak™） | 机械工业,148,114.4,164.18,1.44,2024-06-16
法玛斯,久经沙场,StatTrak™,38496,法玛斯（StatTrak™） | 残影,34,100.64,149.59,1.49,2024-06-16
法玛斯,略有磨损,纪念品,37601,法玛斯（纪念品） | 殖民侵略者,8,99.5,116.8,1.17,2024-06-16
法玛斯,破损不堪,纪念品,37611,法玛斯（纪念品） | 冥界之憎,10,99.29,129.14,1.3,2024-06-16
法玛斯,久经沙场,普通,835714,法玛斯 | 黑水,22,97.9,113.17,1.16,2024-06-16
法玛斯,破损不堪,StatTrak™,38527,法玛斯（StatTrak™） | 电子脉冲,1,96.9,309.63,3.2,2024-06-16
法玛斯,崭新出厂,StatTrak™,887062,法玛斯（StatTrak™） | 目皆转睛,71,94.68,134.94,1.43,2024-06-16
法玛斯,略有磨损,StatTrak™,759294,法玛斯（StatTrak™） | 雅典娜之眼,36,93.8,130.8,1.39,2024-06-16
法玛斯,崭新出厂,普通,773668,法玛斯 | 纪念碑,810,93.1,127.03,1.36,2024-06-16
法玛斯,略有磨损,普通,835667,法玛斯 | 黑水,53,92.64,135.45,1.46,2024-06-16
法玛斯,久经沙场,普通,34680,法玛斯 | 喷焰者,27,90.46,123.26,1.36,2024-06-16
法玛斯,崭新出厂,StatTrak™,38543,法玛斯（StatTrak™） | 元素轮廓,45,87.05,113.83,1.31,2024-06-16
法玛斯,崭新出厂,StatTrak™,38524,法玛斯（StatTrak™） | 电子脉冲,118,84.9,116.15,1.37,2024-06-16
法玛斯,崭新出厂,普通,34670,法玛斯 | 防滚架,141,82.7,108.6,1.31,2024-06-16
法玛斯,略有磨损,StatTrak™,38531,法玛斯（StatTrak™） | 防滚架,99,82.36,111.87,1.36,2024-06-16
法玛斯,崭新出厂,普通,759249,法玛斯 | 雅典娜之眼,108,79.6,102.58,1.29,2024-06-16
法玛斯,破损不堪,普通,34682,法玛斯 | 喷焰者,7,76.05,97.07,1.28,2024-06-16
法玛斯,久经沙场,StatTrak™,38525,法玛斯（StatTrak™） | 电子脉冲,35,71.65,93.8,1.31,2024-06-16
法玛斯,久经沙场,纪念品,37600,法玛斯（纪念品） | 殖民侵略者,31,71.27,98.88,1.39,2024-06-16
法玛斯,略有磨损,StatTrak™,38502,法玛斯（StatTrak™） | 灯神,27,70.6,100.48,1.42,2024-06-16
法玛斯,略有磨损,StatTrak™,38526,法玛斯（StatTrak™） | 电子脉冲,64,69.8,102.22,1.46,2024-06-16
法玛斯,久经沙场,纪念品,37609,法玛斯（纪念品） | 冥界之憎,155,67.77,97.07,1.43,2024-06-16
法玛斯,略有磨损,StatTrak™,38535,法玛斯（StatTrak™） | 中士,26,67.47,104.54,1.55,2024-06-16
法玛斯,崭新出厂,普通,34640,法玛斯 | 灯神,87,67.03,100.62,1.5,2024-06-16
法玛斯,崭新出厂,StatTrak™,38506,法玛斯（StatTrak™） | 蓝巢,58,64.72,85.32,1.32,2024-06-16
法玛斯,战痕累累,纪念品,37607,法玛斯（纪念品） | 冥界之憎,24,64.7,117.38,1.81,2024-06-16
法玛斯,略有磨损,StatTrak™,38518,法玛斯（StatTrak™） | 机械工业,186,58.9,81.4,1.38,2024-06-16
法玛斯,略有磨损,普通,34632,法玛斯 | 对比涂装,9,56.28,72.62,1.29,2024-06-16
法玛斯,略有磨损,普通,773757,法玛斯 | 纪念碑,828,52.89,72.55,1.37,2024-06-16
法玛斯,崭新出厂,普通,774739,法玛斯 | 暗夜锁链,91,50.67,65.73,1.3,2024-06-16
法玛斯,略有磨损,StatTrak™,38508,法玛斯（StatTrak™） | 蓝巢,33,49.59,64.57,1.3,2024-06-16
法玛斯,崭新出厂,普通,34684,法玛斯 | 冥界之憎,132,48.8,72.84,1.49,2024-06-16
法玛斯,战痕累累,StatTrak™,38515,法玛斯（StatTrak™） | 机械工业,73,48.68,64.2,1.32,2024-06-16
法玛斯,破损不堪,StatTrak™,759434,法玛斯（StatTrak™） | 雅典娜之眼,21,45.87,70.95,1.55,2024-06-16
法玛斯,久经沙场,StatTrak™,759293,法玛斯（StatTrak™） | 雅典娜之眼,48,45.77,64.86,1.42,2024-06-16
法玛斯,久经沙场,StatTrak™,38507,法玛斯（StatTrak™） | 蓝巢,23,45.54,52.96,1.16,2024-06-16
法玛斯,破损不堪,StatTrak™,38509,法玛斯（StatTrak™） | 蓝巢,2,45.42,64.57,1.42,2024-06-16
法玛斯,破损不堪,普通,775582,法玛斯 | 暗夜锁链,27,44.21,72.19,1.63,2024-06-16
法玛斯,战痕累累,普通,775038,法玛斯 | 暗夜锁链,7,43.66,57.24,1.31,2024-06-16
法玛斯,略有磨损,普通,759251,法玛斯 | 雅典娜之眼,116,43.59,60.07,1.38,2024-06-16
法玛斯,略有磨损,普通,775147,法玛斯 | 暗夜锁链,30,43.31,53.4,1.23,2024-06-16
法玛斯,崭新出厂,普通,34656,法玛斯 | 机械工业,658,42.98,58.91,1.37,2024-06-16
法玛斯,破损不堪,普通,773742,法玛斯 | 纪念碑,19,42.9,53.76,1.25,2024-06-16
法玛斯,崭新出厂,普通,887028,法玛斯 | 目皆转睛,335,42.89,59.56,1.39,2024-06-16
法玛斯,战痕累累,普通,34678,法玛斯 | 喷焰者,5,42.68,63.04,1.48,2024-06-16
法玛斯,久经沙场,普通,774862,法玛斯 | 暗夜锁链,48,42,53.4,1.27,2024-06-16
法玛斯,崭新出厂,普通,34665,法玛斯 | 电子脉冲,309,41.5,54.19,1.31,2024-06-16
法玛斯,略有磨损,StatTrak™,38545,法玛斯（StatTrak™） | 元素轮廓,96,40.77,52.74,1.29,2024-06-16
法玛斯,战痕累累,StatTrak™,759369,法玛斯（StatTrak™） | 雅典娜之眼,5,40.67,44.47,1.09,2024-06-16
法玛斯,战痕累累,普通,773776,法玛斯 | 纪念碑,33,40.38,55.72,1.38,2024-06-16
法玛斯,崭新出厂,StatTrak™,38511,法玛斯（StatTrak™） | 死亡之舞,15,39.83,54.41,1.37,2024-06-16
法玛斯,久经沙场,普通,773688,法玛斯 | 纪念碑,551,39.6,54.19,1.37,2024-06-16
法玛斯,崭新出厂,普通,34646,法玛斯 | 蓝巢,72,38.46,50.86,1.32,2024-06-16
法玛斯,破损不堪,普通,34668,法玛斯 | 电子脉冲,8,37.7,58.11,1.54,2024-06-16
法玛斯,略有磨损,普通,34667,法玛斯 | 电子脉冲,124,37.28,46.94,1.26,2024-06-16
法玛斯,略有磨损,StatTrak™,871646,法玛斯（StatTrak™） | ZX81 彩色,142,37.25,54.85,1.47,2024-06-16
法玛斯,破损不堪,普通,871590,法玛斯 | 加州迷彩,8,36.55,41.21,1.13,2024-06-16
法玛斯,久经沙场,StatTrak™,38517,法玛斯（StatTrak™） | 机械工业,146,35.56,48.97,1.38,2024-06-16
法玛斯,略有磨损,普通,34648,法玛斯 | 蓝巢,41,35.46,45.05,1.27,2024-06-16
法玛斯,久经沙场,普通,34644,法玛斯 | 厄运之喵,17,35.21,50.42,1.43,2024-06-16
法玛斯,崭新出厂,普通,871831,法玛斯 | ZX81 彩色,239,34.8,49.77,1.43,2024-06-16
法玛斯,久经沙场,StatTrak™,38530,法玛斯（StatTrak™） | 防滚架,147,34.59,50.93,1.47,2024-06-16
法玛斯,久经沙场,普通,34647,法玛斯 | 蓝巢,63,33.96,45.27,1.33,2024-06-16
法玛斯,破损不堪,StatTrak™,38519,法玛斯（StatTrak™） | 机械工业,19,33.81,52.6,1.56,2024-06-16
法玛斯,崭新出厂,普通,34699,法玛斯 | 元素轮廓,174,32.7,46.79,1.43,2024-06-16
法玛斯,久经沙场,普通,34666,法玛斯 | 电子脉冲,39,32.7,41.93,1.28,2024-06-16
法玛斯,破损不堪,普通,34649,法玛斯 | 蓝巢,17,31.93,44.76,1.4,2024-06-16
法玛斯,略有磨损,StatTrak™,886636,法玛斯（StatTrak™） | 目皆转睛,184,32.4,45.05,1.39,2024-06-16
法玛斯,略有磨损,StatTrak™,38505,法玛斯（StatTrak™） | 厄运之喵,121,31.59,40.92,1.3,2024-06-16
法玛斯,略有磨损,普通,34645,法玛斯 | 厄运之喵,57,30.41,41.79,1.37,2024-06-16
法玛斯,久经沙场,普通,759250,法玛斯 | 雅典娜之眼,109,30.38,40.12,1.32,2024-06-16
法玛斯,略有磨损,普通,34686,法玛斯 | 冥界之憎,91,30.31,46.0,1.52,2024-06-16
法玛斯,略有磨损,StatTrak™,38513,法玛斯（StatTrak™） | 死亡之舞,9,30.29,40.41,1.33,2024-06-16
法玛斯,战痕累累,普通,871246,法玛斯 | 加州迷彩,11,29.7,34.32,1.16,2024-06-16
法玛斯,破损不堪,普通,34633,法玛斯 | 对比涂装,8,29.38,23.8,0.81,2024-06-16
法玛斯,略有磨损,普通,34642,法玛斯 | 灯神,106,28.56,38.38,1.34,2024-06-16
法玛斯,崭新出厂,普通,871207,法玛斯 | 加州迷彩,36,28.07,37.51,1.34,2024-06-16
法玛斯,略有磨损,普通,34676,法玛斯 | 中士,39,27.9,38.6,1.38,2024-06-16
法玛斯,略有磨损,普通,871185,法玛斯 | 加州迷彩,58,27.8,34.39,1.24,2024-06-16
法玛斯,久经沙场,StatTrak™,38501,法玛斯（StatTrak™） | 灯神,60,27.76,38.16,1.37,2024-06-16
法玛斯,破损不堪,普通,759252,法玛斯 | 雅典娜之眼,8,27.75,36.85,1.33,2024-06-16
法玛斯,久经沙场,普通,871204,法玛斯 | 加州迷彩,29,27.47,33.66,1.23,2024-06-16
法玛斯,略有磨损,普通,34658,法玛斯 | 机械工业,1119,26.79,36.35,1.36,2024-06-16
法玛斯,久经沙场,普通,34631,法玛斯 | 对比涂装,27,26.56,35.98,1.35,2024-06-16
法玛斯,久经沙场,StatTrak™,38534,法玛斯（StatTrak™） | 中士,54,25.73,33.95,1.32,2024-06-16
法玛斯,破损不堪,StatTrak™,38532,法玛斯（StatTrak™） | 防滚架,40,25.34,37.65,1.49,2024-06-16
法玛斯,略有磨损,普通,34672,法玛斯 | 防滚架,560,25.33,33.81,1.33,2024-06-16
法玛斯,崭新出厂,StatTrak™,38521,法玛斯（StatTrak™） | 神经网,70,25.3,39.03,1.54,2024-06-16
法玛斯,久经沙场,StatTrak™,38544,法玛斯（StatTrak™） | 元素轮廓,112,24.89,31.7,1.27,2024-06-16
法玛斯,破损不堪,StatTrak™,38536,法玛斯（StatTrak™） | 中士,8,24.61,33.15,1.35,2024-06-16
法玛斯,崭新出厂,普通,34651,法玛斯 | 死亡之舞,53,24.46,32.57,1.33,2024-06-16
法玛斯,战痕累累,StatTrak™,38510,法玛斯（StatTrak™） | 死亡之舞,13,24.32,36.71,1.51,2024-06-16
法玛斯,久经沙场,StatTrak™,38504,法玛斯（StatTrak™） | 厄运之喵,21,24.16,35.55,1.47,2024-06-16
法玛斯,久经沙场,StatTrak™,38512,法玛斯（StatTrak™） | 死亡之舞,19,23.81,29.74,1.25,2024-06-16
法玛斯,战痕累累,普通,759248,法玛斯 | 雅典娜之眼,15,23.55,29.82,1.27,2024-06-16
法玛斯,破损不堪,StatTrak™,38503,法玛斯（StatTrak™） | 灯神,24,22.84,37.8,1.65,2024-06-16
法玛斯,战痕累累,StatTrak™,38542,法玛斯（StatTrak™） | 元素轮廓,11,22.5,29.67,1.32,2024-06-16
法玛斯,战痕累累,StatTrak™,38528,法玛斯（StatTrak™） | 防滚架,54,22.47,32.28,1.44,2024-06-16
法玛斯,破损不堪,StatTrak™,38514,法玛斯（StatTrak™） | 死亡之舞,11,21.96,34.46,1.57,2024-06-16
法玛斯,战痕累累,StatTrak™,38533,法玛斯（StatTrak™） | 中士,35,21.55,28.66,1.33,2024-06-16
法玛斯,战痕累累,StatTrak™,38499,法玛斯（StatTrak™） | 灯神,27,21.4,28.0,1.31,2024-06-16
法玛斯,略有磨损,普通,34653,法玛斯 | 死亡之舞,30,20.88,26.77,1.28,2024-06-16
法玛斯,破损不堪,StatTrak™,38546,法玛斯（StatTrak™） | 元素轮廓,8,20.27,31.99,1.58,2024-06-16
法玛斯,久经沙场,StatTrak™,871758,法玛斯（StatTrak™） | ZX81 彩色,196,18.8,26.7,1.42,2024-06-16
法玛斯,略有磨损,普通,34701,法玛斯 | 元素轮廓,299,18.4,25.83,1.4,2024-06-16
法玛斯,战痕累累,普通,34629,法玛斯 | 对比涂装,15,17.87,26.77,1.5,2024-06-16
法玛斯,久经沙场,普通,34657,法玛斯 | 机械工业,856,17.7,24.16,1.36,2024-06-16
法玛斯,略有磨损,普通,886645,法玛斯 | 目皆转睛,658,17.3,23.07,1.33,2024-06-16
法玛斯,破损不堪,普通,34654,法玛斯 | 死亡之舞,10,16.8,22.34,1.33,2024-06-16
法玛斯,破损不堪,普通,34687,法玛斯 | 冥界之憎,12,16.4,24.23,1.48,2024-06-16
法玛斯,久经沙场,普通,34652,法玛斯 | 死亡之舞,42,15.99,21.69,1.36,2024-06-16
法玛斯,破损不堪,普通,34677,法玛斯 | 中士,18,15.41,17.7,1.15,2024-06-16
法玛斯,战痕累累,普通,34650,法玛斯 | 死亡之舞,16,15.35,20.68,1.35,2024-06-16
法玛斯,崭新出厂,StatTrak™,773782,法玛斯（StatTrak™） | 退役,57,15.3,22.49,1.47,2024-06-16
法玛斯,破损不堪,普通,34659,法玛斯 | 机械工业,34,14.76,23.43,1.59,2024-06-16
法玛斯,战痕累累,StatTrak™,871318,法玛斯（StatTrak™） | ZX81 彩色,54,14.5,19.15,1.32,2024-06-16
法玛斯,破损不堪,普通,34702,法玛斯 | 元素轮廓,11,14.4,19.44,1.35,2024-06-16
法玛斯,略有磨损,StatTrak™,38523,法玛斯（StatTrak™） | 神经网,99,14.39,20.02,1.39,2024-06-16
法玛斯,久经沙场,普通,34675,法玛斯 | 中士,70,14.34,18.86,1.32,2024-06-16
法玛斯,战痕累累,普通,34674,法玛斯 | 中士,84,14.32,16.11,1.12,2024-06-16
法玛斯,略有磨损,普通,871626,法玛斯 | ZX81 彩色,563,14.2,20.6,1.45,2024-06-16
法玛斯,久经沙场,普通,34700,法玛斯 | 元素轮廓,374,14,17.34,1.24,2024-06-16
法玛斯,战痕累累,普通,34683,法玛斯 | 冥界之憎,18,13.89,18.06,1.3,2024-06-16
法玛斯,战痕累累,普通,34655,法玛斯 | 机械工业,19,13.58,19.59,1.44,2024-06-16
法玛斯,久经沙场,普通,34671,法玛斯 | 防滚架,1038,13.09,17.05,1.3,2024-06-16
法玛斯,破损不堪,StatTrak™,871655,法玛斯（StatTrak™） | ZX81 彩色,63,12.9,20.46,1.59,2024-06-16
法玛斯,战痕累累,普通,34698,法玛斯 | 元素轮廓,50,12.88,15.67,1.22,2024-06-16
法玛斯,久经沙场,StatTrak™,887063,法玛斯（StatTrak™） | 目皆转睛,159,12.5,18.35,1.47,2024-06-16
法玛斯,久经沙场,普通,34641,法玛斯 | 灯神,232,12.5,17.27,1.38,2024-06-16
法玛斯,久经沙场,普通,34685,法玛斯 | 冥界之憎,99,11.4,15.89,1.39,2024-06-16
法玛斯,崭新出厂,StatTrak™,38538,法玛斯（StatTrak™） | 幸存者 Z,136,11.28,16.03,1.42,2024-06-16
法玛斯,崭新出厂,StatTrak™,769248,法玛斯（StatTrak™） | 保护色,72,10.62,14.15,1.33,2024-06-16
法玛斯,破损不堪,普通,34643,法玛斯 | 灯神,24,10.6,14.15,1.33,2024-06-16
法玛斯,战痕累累,普通,34639,法玛斯 | 灯神,64,9.94,14.51,1.46,2024-06-16
法玛斯,崭新出厂,普通,34661,法玛斯 | 神经网,185,9.85,13.86,1.41,2024-06-16
法玛斯,破损不堪,StatTrak™,887044,法玛斯（StatTrak™） | 目皆转睛,76,9.5,14.51,1.53,2024-06-16
法玛斯,久经沙场,StatTrak™,38522,法玛斯（StatTrak™） | 神经网,89,9.1,11.1,1.22,2024-06-16
法玛斯,破损不堪,普通,34673,法玛斯 | 防滚架,173,8.99,12.91,1.44,2024-06-16
法玛斯,战痕累累,普通,34669,法玛斯 | 防滚架,183,8.98,11.97,1.33,2024-06-16
法玛斯,战痕累累,StatTrak™,887074,法玛斯（StatTrak™） | 目皆转睛,94,8.95,14.29,1.6,2024-06-16
法玛斯,破损不堪,StatTrak™,43917,法玛斯（StatTrak™） | 神经网,6,8.18,11.03,1.35,2024-06-16
法玛斯,略有磨损,纪念品,877025,法玛斯（纪念品） | 黑水,185,8.01,11.68,1.46,2024-06-16
法玛斯,久经沙场,普通,871440,法玛斯 | ZX81 彩色,691,7.82,10.59,1.35,2024-06-16
法玛斯,战痕累累,StatTrak™,38520,法玛斯（StatTrak™） | 神经网,30,7.59,9.72,1.28,2024-06-16
法玛斯,战痕累累,普通,871338,法玛斯 | 线路故障,22,7.49,7.04,0.94,2024-06-16
法玛斯,久经沙场,普通,886629,法玛斯 | 目皆转睛,979,7.18,9.58,1.33,2024-06-16
法玛斯,崭新出厂,StatTrak™,900651,法玛斯（StatTrak™） | 喵喵36,165,6.86,9.65,1.41,2024-06-16
法玛斯,略有磨损,普通,34663,法玛斯 | 神经网,193,6.53,8.63,1.32,2024-06-16
法玛斯,崭新出厂,普通,871123,法玛斯 | 线路故障,133,6.33,9.21,1.45,2024-06-16
法玛斯,略有磨损,StatTrak™,769243,法玛斯（StatTrak™） | 保护色,94,5.91,7.91,1.34,2024-06-16
法玛斯,略有磨损,StatTrak™,38540,法玛斯（StatTrak™） | 幸存者 Z,110,5.88,7.91,1.35,2024-06-16
法玛斯,破损不堪,普通,871570,法玛斯 | 线路故障,43,5.84,5.8,0.99,2024-06-16
法玛斯,战痕累累,普通,886998,法玛斯 | 目皆转睛,467,5.36,7.11,1.33,2024-06-16
法玛斯,破损不堪,StatTrak™,38541,法玛斯（StatTrak™） | 幸存者 Z,18,5.36,7.91,1.48,2024-06-16
法玛斯,破损不堪,普通,871481,法玛斯 | ZX81 彩色,222,5.32,6.96,1.31,2024-06-16
法玛斯,破损不堪,普通,887004,法玛斯 | 目皆转睛,388,5.23,7.25,1.39,2024-06-16
法玛斯,战痕累累,普通,871685,法玛斯 | ZX81 彩色,186,4.94,7.04,1.43,2024-06-16
法玛斯,略有磨损,普通,871578,法玛斯 | 线路故障,67,4.89,6.67,1.36,2024-06-16
法玛斯,久经沙场,普通,871224,法玛斯 | 线路故障,37,4.79,6.46,1.35,2024-06-16
法玛斯,战痕累累,普通,34660,法玛斯 | 神经网,35,4.58,6.75,1.47,2024-06-16
法玛斯,久经沙场,普通,34662,法玛斯 | 神经网,268,3.93,5.59,1.42,2024-06-16
法玛斯,久经沙场,纪念品,877055,法玛斯（纪念品） | 黑水,169,3.84,5.15,1.34,2024-06-16
法玛斯,破损不堪,普通,34664,法玛斯 | 神经网,31,3.78,5.51,1.46,2024-06-16
法玛斯,崭新出厂,普通,34694,法玛斯 | 摧枯拉朽,356,3.39,4.43,1.31,2024-06-16
法玛斯,崭新出厂,普通,34635,法玛斯 | 湖蓝涂装,170,3.25,4.64,1.43,2024-06-16
法玛斯,崭新出厂,普通,769169,法玛斯 | 保护色,213,3.22,4.14,1.29,2024-06-16
法玛斯,崭新出厂,普通,34689,法玛斯 | 幸存者 Z,289,3.19,4.14,1.3,2024-06-16
法玛斯,略有磨损,StatTrak™,773652,法玛斯（StatTrak™） | 退役,129,2.91,3.48,1.2,2024-06-16
法玛斯,战痕累累,StatTrak™,38537,法玛斯（StatTrak™） | 幸存者 Z,30,2.72,3.92,1.44,2024-06-16
法玛斯,久经沙场,StatTrak™,38539,法玛斯（StatTrak™） | 幸存者 Z,349,2.69,3.63,1.35,2024-06-16
法玛斯,崭新出厂,普通,773644,法玛斯 | 退役,89,2.65,3.99,1.51,2024-06-16
法玛斯,略有磨损,普通,34691,法玛斯 | 幸存者 Z,212,2.08,3.34,1.61,2024-06-16
法玛斯,久经沙场,StatTrak™,769209,法玛斯（StatTrak™） | 保护色,182,2.06,2.68,1.3,2024-06-16
法玛斯,略有磨损,普通,34696,法玛斯 | 摧枯拉朽,574,1.99,2.68,1.35,2024-06-16
法玛斯,战痕累累,StatTrak™,769424,法玛斯（StatTrak™） | 保护色,23,1.93,2.61,1.35,2024-06-16
法玛斯,破损不堪,StatTrak™,769261,法玛斯（StatTrak™） | 保护色,47,1.93,2.61,1.35,2024-06-16
法玛斯,略有磨损,普通,769204,法玛斯 | 保护色,197,1.93,2.32,1.2,2024-06-16
法玛斯,略有磨损,StatTrak™,900530,法玛斯（StatTrak™） | 喵喵36,403,1.61,2.25,1.4,2024-06-16
法玛斯,崭新出厂,普通,900562,法玛斯 | 喵喵36,611,1.59,2.25,1.42,2024-06-16
法玛斯,崭新出厂,纪念品,876922,法玛斯（纪念品） | 线路故障,260,1.53,2.25,1.47,2024-06-16
法玛斯,久经沙场,普通,34695,法玛斯 | 摧枯拉朽,373,1.42,1.74,1.23,2024-06-16
法玛斯,破损不堪,普通,34692,法玛斯 | 幸存者 Z,108,1.14,1.74,1.53,2024-06-16
法玛斯,久经沙场,普通,34690,法玛斯 | 幸存者 Z,287,1.12,1.52,1.36,2024-06-16
法玛斯,破损不堪,普通,34697,法玛斯 | 摧枯拉朽,128,1.1,1.67,1.52,2024-06-16
法玛斯,战痕累累,普通,34693,法玛斯 | 摧枯拉朽,103,1.1,1.38,1.25,2024-06-16
法玛斯,久经沙场,StatTrak™,773708,法玛斯（StatTrak™） | 退役,157,1.04,1.45,1.39,2024-06-16
法玛斯,略有磨损,纪念品,876899,法玛斯（纪念品） | 线路故障,212,1.03,1.16,1.13,2024-06-16
法玛斯,略有磨损,普通,773612,法玛斯 | 退役,149,0.92,1.23,1.34,2024-06-16
法玛斯,战痕累累,普通,34688,法玛斯 | 幸存者 Z,26,0.91,1.31,1.44,2024-06-16
法玛斯,战痕累累,StatTrak™,773730,法玛斯（StatTrak™） | 退役,77,0.81,1.02,1.26,2024-06-16
法玛斯,破损不堪,普通,769417,法玛斯 | 保护色,26,0.79,1.09,1.38,2024-06-16
法玛斯,破损不堪,StatTrak™,773700,法玛斯（StatTrak™） | 退役,61,0.78,1.09,1.4,2024-06-16
