FN57,战痕累累,纪念品,877217,FN57（纪念品） | 坠落危险,4,2699.5,436.01,0.16,2024-06-16
FN57,久经沙场,StatTrak™,773677,FN57（StatTrak™） | 好兄弟,86,7.04,10.01,1.42,2024-06-16
FN57,战痕累累,纪念品,37625,FN57（纪念品） | 热火朝天,105,6.99,10.52,1.51,2024-06-16
FN57,战痕累累,StatTrak™,38581,FN57（StatTrak™） | 朝枪夕拾,39,6.96,9.36,1.34,2024-06-16
FN57,破损不堪,StatTrak™,38603,FN57（StatTrak™） | 霸意大名,16,6.94,10.66,1.54,2024-06-16
FN57,破损不堪,普通,773779,FN57 | 好兄弟,11,6.61,8.85,1.34,2024-06-16
FN57,崭新出厂,StatTrak™,38548,FN57（StatTrak™） | 毛细血管,103,6.6,8.85,1.34,2024-06-16
FN57,略有磨损,普通,34799,FN57 | 都市危机,288,6.04,7.76,1.28,2024-06-16
FN57,略有磨损,StatTrak™,38602,FN57（StatTrak™） | 霸意大名,189,5.94,7.98,1.34,2024-06-16
FN57,略有磨损,普通,773695,FN57 | 好兄弟,117,5.81,8.34,1.44,2024-06-16
FN57,战痕累累,StatTrak™,773809,FN57（StatTrak™） | 好兄弟,16,5.55,7.47,1.35,2024-06-16
FN57,久经沙场,普通,956536,FN57 | 混合体,628,5.32,6.67,1.25,2024-06-16
FN57,久经沙场,纪念品,37632,FN57（纪念品） | 橘皮涂装,190,5.07,7.91,1.56,2024-06-16
FN57,破损不堪,普通,956488,FN57 | 混合体,341,4.99,6.17,1.24,2024-06-16
FN57,战痕累累,普通,956565,FN57 | 混合体,213,4.87,5.8,1.19,2024-06-16
FN57,久经沙场,普通,34798,FN57 | 都市危机,92,4.78,7.11,1.49,2024-06-16
FN57,破损不堪,纪念品,37624,FN57（纪念品） | 暮色森林,75,4.73,6.09,1.29,2024-06-16
FN57,久经沙场,普通,34780,FN57 | 朝枪夕拾,297,4.33,5.8,1.34,2024-06-16
FN57,崭新出厂,StatTrak™,45307,FN57（StatTrak™） | 焰色反应,272,3.98,5.59,1.4,2024-06-16
FN57,战痕累累,普通,773703,FN57 | 好兄弟,62,3.92,5.22,1.33,2024-06-16
FN57,略有磨损,StatTrak™,38550,FN57（StatTrak™） | 毛细血管,169,3.9,5.15,1.32,2024-06-16
FN57,久经沙场,普通,773625,FN57 | 好兄弟,119,3.88,5.22,1.35,2024-06-16
FN57,崭新出厂,普通,33841,FN57 | 霸意大名,373,3.41,5.3,1.55,2024-06-16
FN57,战痕累累,纪念品,37620,FN57（纪念品） | 暮色森林,125,3.38,4.14,1.22,2024-06-16
FN57,崭新出厂,普通,34788,FN57 | 银白石英,753,3.36,4.43,1.32,2024-06-16
FN57,破损不堪,纪念品,37619,FN57（纪念品） | 雇佣兵,100,3.13,3.34,1.07,2024-06-16
FN57,破损不堪,普通,34782,FN57 | 朝枪夕拾,69,2.99,3.99,1.33,2024-06-16
FN57,战痕累累,普通,34778,FN57 | 朝枪夕拾,84,2.8,3.85,1.38,2024-06-16
FN57,破损不堪,StatTrak™,38551,FN57（StatTrak™） | 毛细血管,19,2.69,4.28,1.59,2024-06-16
FN57,崭新出厂,普通,34710,FN57 | 毛细血管,259,2.39,3.41,1.43,2024-06-16
FN57,战痕累累,纪念品,37615,FN57（纪念品） | 雇佣兵,147,2.37,3.12,1.32,2024-06-16
FN57,久经沙场,StatTrak™,38549,FN57（StatTrak™） | 毛细血管,161,2.24,2.76,1.23,2024-06-16
FN57,久经沙场,StatTrak™,38601,FN57（StatTrak™） | 霸意大名,369,2.05,2.9,1.41,2024-06-16
FN57,久经沙场,纪念品,37622,FN57（纪念品） | 暮色森林,584,2.05,2.97,1.45,2024-06-16
FN57,崭新出厂,纪念品,761418,FN57（纪念品） | 冷却剂,816,1.99,2.32,1.17,2024-06-16
FN57,略有磨损,普通,34790,FN57 | 银白石英,405,1.99,2.61,1.31,2024-06-16
FN57,久经沙场,纪念品,37617,FN57（纪念品） | 雇佣兵,730,1.97,2.68,1.36,2024-06-16
FN57,崭新出厂,纪念品,877131,FN57（纪念品） | 紫藤老树,347,1.85,2.61,1.41,2024-06-16
FN57,略有磨损,普通,34712,FN57 | 毛细血管,172,1.72,2.1,1.22,2024-06-16
FN57,破损不堪,普通,34791,FN57 | 银白石英,15,1.68,2.54,1.51,2024-06-16
FN57,略有磨损,StatTrak™,38589,FN57（StatTrak™） | 斯康里娅,128,1.67,2.47,1.48,2024-06-16
FN57,略有磨损,StatTrak™,45309,FN57（StatTrak™） | 焰色反应,321,1.66,2.25,1.36,2024-06-16
FN57,战痕累累,StatTrak™,38599,FN57（StatTrak™） | 霸意大名,27,1.66,2.61,1.57,2024-06-16
FN57,崭新出厂,普通,34784,FN57 | 斯康里娅,182,1.64,2.54,1.55,2024-06-16
FN57,战痕累累,StatTrak™,38547,FN57（StatTrak™） | 毛细血管,43,1.6,2.18,1.36,2024-06-16
FN57,略有磨损,StatTrak™,886667,FN57（StatTrak™） | 涂鸦潦草,520,1.57,2.1,1.34,2024-06-16
FN57,久经沙场,普通,34789,FN57 | 银白石英,152,1.48,1.74,1.18,2024-06-16
FN57,崭新出厂,普通,886613,FN57 | 涂鸦潦草,724,1.4,1.81,1.29,2024-06-16
FN57,略有磨损,普通,34802,FN57 | 霸意大名,398,1.4,2.03,1.45,2024-06-16
FN57,崭新出厂,普通,34775,FN57 | 橘皮涂装,116,1.39,1.96,1.41,2024-06-16
FN57,破损不堪,普通,34713,FN57 | 毛细血管,13,1.31,1.81,1.38,2024-06-16
FN57,久经沙场,普通,34711,FN57 | 毛细血管,219,1.28,1.89,1.48,2024-06-16
FN57,崭新出厂,普通,45383,FN57 | 焰色反应,749,1.09,1.52,1.39,2024-06-16
FN57,战痕累累,普通,34709,FN57 | 毛细血管,30,1.09,1.67,1.53,2024-06-16
FN57,破损不堪,普通,34803,FN57 | 霸意大名,14,0.97,1.52,1.57,2024-06-16
FN57,久经沙场,普通,34801,FN57 | 霸意大名,298,0.96,1.45,1.51,2024-06-16
FN57,破损不堪,StatTrak™,45423,FN57（StatTrak™） | 焰色反应,40,0.88,1.38,1.57,2024-06-16
FN57,战痕累累,普通,34800,FN57 | 霸意大名,20,0.88,1.31,1.49,2024-06-16
FN57,略有磨损,纪念品,877130,FN57（纪念品） | 紫藤老树,228,0.82,0.94,1.15,2024-06-16
FN57,略有磨损,纪念品,761428,FN57（纪念品） | 冷却剂,681,0.73,0.87,1.19,2024-06-16
FN57,久经沙场,StatTrak™,38588,FN57（StatTrak™） | 斯康里娅,108,0.7,1.09,1.56,2024-06-16
FN57,崭新出厂,普通,34728,FN57 | 暮色森林,77,0.67,0.65,0.97,2024-06-16
FN57,战痕累累,StatTrak™,886990,FN57（StatTrak™） | 涂鸦潦草,192,0.63,0.87,1.38,2024-06-16
FN57,战痕累累,StatTrak™,38586,FN57（StatTrak™） | 斯康里娅,51,0.62,0.87,1.4,2024-06-16
FN57,久经沙场,StatTrak™,45308,FN57（StatTrak™） | 焰色反应,383,0.59,0.94,1.59,2024-06-16
FN57,略有磨损,普通,33830,FN57 | 橘皮涂装,398,0.61,0.87,1.43,2024-06-16
FN57,久经沙场,StatTrak™,886982,FN57（StatTrak™） | 涂鸦潦草,565,0.59,0.87,1.47,2024-06-16
FN57,战痕累累,StatTrak™,45306,FN57（StatTrak™） | 焰色反应,58,0.58,0.87,1.5,2024-06-16
FN57,破损不堪,纪念品,761502,FN57（纪念品） | 冷却剂,94,0.57,0.58,1.02,2024-06-16
FN57,破损不堪,StatTrak™,887019,FN57（StatTrak™） | 涂鸦潦草,147,0.57,0.87,1.53,2024-06-16
FN57,破损不堪,StatTrak™,38590,FN57（StatTrak™） | 斯康里娅,49,0.54,0.94,1.74,2024-06-16
